"Year","Parental responsibility status","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","Does not have parental responsibility","20","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","45","45","0.9560000000000001","5"
"2023","Does not have parental responsibility","20","England","Male","Not main scheme applicant","Not main scheme application","1455","1290","0.886","185"
"2023","Does not have parental responsibility","20","Scotland","Male","Not main scheme applicant","Not main scheme application","75","65","0.868","20"
"2023","Does not have parental responsibility","20","Wales","Male","Not main scheme applicant","Not main scheme application","60","55","0.915","10"
"2023","Has parental responsibility","20","England","Male","Not main scheme applicant","Not main scheme application","15","10","0.8","0"
"2023","Not declared","21 - 24","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","21 - 24","England","Male","Not main scheme applicant","Not main scheme application","4210","3950","0.9380000000000001","15"
"2023","Not declared","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","180","170","0.961","0"
"2023","Not declared","21 - 24","Wales","Male","Not main scheme applicant","Not main scheme application","90","85","0.977","0"
"2023","Does not have parental responsibility","21 - 24","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","45","40","0.864","10"
"2023","Does not have parental responsibility","21 - 24","England","Male","Not main scheme applicant","Not main scheme application","2035","1755","0.861","300"
"2023","Does not have parental responsibility","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","135","115","0.857","30"
"2023","Does not have parental responsibility","21 - 24","Wales","Male","Not main scheme applicant","Not main scheme application","115","100","0.878","20"
"2023","Has parental responsibility","21 - 24","England","Male","Not main scheme applicant","Not main scheme application","45","35","0.745","15"
"2023","Not declared","25 - 29","England","Male","Not main scheme applicant","Not main scheme application","3640","3430","0.9420000000000001","10"
"2023","Not declared","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","90","90","0.9570000000000001","0"
"2023","Not declared","25 - 29","Wales","Male","Not main scheme applicant","Not main scheme application","45","45","0.9570000000000001","0"
"2023","Does not have parental responsibility","25 - 29","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","15","10","0.857","5"
"2023","Does not have parental responsibility","25 - 29","England","Male","Not main scheme applicant","Not main scheme application","505","415","0.8250000000000001","120"
"2023","Does not have parental responsibility","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","55","55","0.9470000000000001","20"
"2023","Does not have parental responsibility","25 - 29","Wales","Male","Not main scheme applicant","Not main scheme application","35","30","0.784","10"
"2023","Has parental responsibility","25 - 29","England","Male","Not main scheme applicant","Not main scheme application","75","60","0.808","25"
"2023","Has parental responsibility","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2023","Has parental responsibility","25 - 29","Wales","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","30 - 34","England","Male","Not main scheme applicant","Not main scheme application","3305","3110","0.9410000000000001","0"
"2023","Not declared","30 - 34","Scotland","Male","Not main scheme applicant","Not main scheme application","60","60","0.9510000000000001","0"
"2023","Not declared","30 - 34","Wales","Male","Not main scheme applicant","Not main scheme application","30","30","1","0"
"2023","Does not have parental responsibility","30 - 34","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Does not have parental responsibility","30 - 34","England","Male","Not main scheme applicant","Not main scheme application","230","185","0.792","60"
"2023","Does not have parental responsibility","30 - 34","Scotland","Male","Not main scheme applicant","Not main scheme application","20","15","0.682","5"
"2023","Does not have parental responsibility","30 - 34","Wales","Male","Not main scheme applicant","Not main scheme application","15","10","0.714","5"
"2023","Has parental responsibility","30 - 34","England","Male","Not main scheme applicant","Not main scheme application","110","75","0.706","35"
"2023","Has parental responsibility","30 - 34","Scotland","Male","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2023","Has parental responsibility","30 - 34","Wales","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","35 and over","England","Male","Not main scheme applicant","Not main scheme application","7490","7060","0.9420000000000001","15"
"2023","Not declared","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","90","90","0.978","0"
"2023","Not declared","35 and over","Wales","Male","Not main scheme applicant","Not main scheme application","50","50","0.962","0"
"2023","Does not have parental responsibility","35 and over","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Does not have parental responsibility","35 and over","England","Male","Not main scheme applicant","Not main scheme application","315","265","0.8300000000000001","95"
"2023","Does not have parental responsibility","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","40","30","0.795","15"
"2023","Does not have parental responsibility","35 and over","Wales","Male","Not main scheme applicant","Not main scheme application","25","20","0.783","5"
"2023","Has parental responsibility","35 and over","England","Male","Not main scheme applicant","Not main scheme application","370","250","0.679","155"
"2023","Has parental responsibility","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","35","25","0.771","20"
"2023","Has parental responsibility","35 and over","Wales","Male","Not main scheme applicant","Not main scheme application","15","15","0.8240000000000001","5"
