"Year","Gender","Age group","Domicile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2022","Male","30 - 34","England","Not main scheme applicant","Not main scheme application","40","30","0.8160000000000001","0"
"2023","Male","30 - 34","England","Not main scheme applicant","Not main scheme application","60","40","0.644","0"
"2019","Female","35 and over","England","Not main scheme applicant","Not main scheme application","560","470","0.836","0"
"2020","Female","35 and over","England","Not main scheme applicant","Not main scheme application","810","625","0.769","0"
"2021","Female","35 and over","England","Not main scheme applicant","Not main scheme application","530","415","0.79","0"
"2022","Female","35 and over","England","Not main scheme applicant","Not main scheme application","605","455","0.746","0"
"2023","Female","35 and over","England","Not main scheme applicant","Not main scheme application","795","620","0.777","0"
"2019","Male","35 and over","England","Not main scheme applicant","Not main scheme application","160","130","0.8230000000000001","0"
"2020","Male","35 and over","England","Not main scheme applicant","Not main scheme application","215","160","0.75","0"
"2021","Male","35 and over","England","Not main scheme applicant","Not main scheme application","120","85","0.711","0"
"2022","Male","35 and over","England","Not main scheme applicant","Not main scheme application","145","100","0.667","0"
"2023","Male","35 and over","England","Not main scheme applicant","Not main scheme application","250","180","0.713","0"
"2019","Female","17 and under","Scotland","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Female","17 and under","Scotland","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Female","17 and under","Scotland","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","Female","17 and under","Scotland","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","Male","17 and under","Scotland","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","Female","18","Scotland","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Female","18","Scotland","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Female","18","Scotland","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Female","18","Scotland","Not main scheme applicant","Not main scheme application","15","10","0.625","0"
"2019","Female","19","Scotland","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Female","19","Scotland","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","Female","19","Scotland","Not main scheme applicant","Not main scheme application","20","15","0.722","0"
"2023","Female","19","Scotland","Not main scheme applicant","Not main scheme application","30","25","0.871","0"
"2019","Female","20","Scotland","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Female","20","Scotland","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2022","Female","20","Scotland","Not main scheme applicant","Not main scheme application","15","10"," ","0"
"2023","Female","20","Scotland","Not main scheme applicant","Not main scheme application","25","20","0.8260000000000001","0"
"2019","Female","21 - 24","Scotland","Not main scheme applicant","Not main scheme application","30","20","0.724","0"
"2020","Female","21 - 24","Scotland","Not main scheme applicant","Not main scheme application","40","35","0.854","0"
"2021","Female","21 - 24","Scotland","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","Female","21 - 24","Scotland","Not main scheme applicant","Not main scheme application","60","40","0.712","0"
"2023","Female","21 - 24","Scotland","Not main scheme applicant","Not main scheme application","65","55","0.905","0"
"2019","Male","21 - 24","Scotland","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Male","21 - 24","Scotland","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","Male","21 - 24","Scotland","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","Male","21 - 24","Scotland","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Male","21 - 24","Scotland","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2019","Female","25 - 29","Scotland","Not main scheme applicant","Not main scheme application","20","15","0.684","0"
"2020","Female","25 - 29","Scotland","Not main scheme applicant","Not main scheme application","35","30","0.757","0"
"2021","Female","25 - 29","Scotland","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","Female","25 - 29","Scotland","Not main scheme applicant","Not main scheme application","35","25","0.771","0"
"2023","Female","25 - 29","Scotland","Not main scheme applicant","Not main scheme application","55","40","0.759","0"
"2019","Male","25 - 29","Scotland","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Male","25 - 29","Scotland","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","Male","25 - 29","Scotland","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Male","25 - 29","Scotland","Not main scheme applicant","Not main scheme application","15","15","0.933","0"
"2019","Female","30 - 34","Scotland","Not main scheme applicant","Not main scheme application","20","15","0.682","0"
"2020","Female","30 - 34","Scotland","Not main scheme applicant","Not main scheme application","25","15","0.519","0"
"2021","Female","30 - 34","Scotland","Not main scheme applicant","Not main scheme application","15","10","0.714","0"
"2022","Female","30 - 34","Scotland","Not main scheme applicant","Not main scheme application","45","30","0.744","0"
"2023","Female","30 - 34","Scotland","Not main scheme applicant","Not main scheme application","45","30","0.674","0"
"2019","Male","30 - 34","Scotland","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","Male","30 - 34","Scotland","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Male","30 - 34","Scotland","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","Female","35 and over","Scotland","Not main scheme applicant","Not main scheme application","40","30","0.795","0"
"2020","Female","35 and over","Scotland","Not main scheme applicant","Not main scheme application","45","35","0.761","0"
"2021","Female","35 and over","Scotland","Not main scheme applicant","Not main scheme application","20","15","0.778","0"
"2022","Female","35 and over","Scotland","Not main scheme applicant","Not main scheme application","95","60","0.629","0"
"2023","Female","35 and over","Scotland","Not main scheme applicant","Not main scheme application","110","80","0.736","0"
"2019","Male","35 and over","Scotland","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Male","35 and over","Scotland","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Male","35 and over","Scotland","Not main scheme applicant","Not main scheme application","15","15","0.765","0"
"2023","Male","35 and over","Scotland","Not main scheme applicant","Not main scheme application","15","5"," ","0"
"2019","Female","18","Wales","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Female","18","Wales","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Female","18","Wales","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","Female","19","Wales","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Female","19","Wales","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","Female","19","Wales","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Female","19","Wales","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","Female","19","Wales","Not main scheme applicant","Not main scheme application","15","15","0.8240000000000001","0"
"2019","Female","20","Wales","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Female","20","Wales","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Female","20","Wales","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","Female","21 - 24","Wales","Not main scheme applicant","Not main scheme application","10","10","0.909","0"
"2020","Female","21 - 24","Wales","Not main scheme applicant","Not main scheme application","20","15","0.8","0"
"2021","Female","21 - 24","Wales","Not main scheme applicant","Not main scheme application","15","10","0.667","0"
"2022","Female","21 - 24","Wales","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","Female","21 - 24","Wales","Not main scheme applicant","Not main scheme application","15","15","0.875","0"
"2020","Male","21 - 24","Wales","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","Female","25 - 29","Wales","Not main scheme applicant","Not main scheme application","10","10","0.909","0"
"2020","Female","25 - 29","Wales","Not main scheme applicant","Not main scheme application","20","15","0.762","0"
"2021","Female","25 - 29","Wales","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2022","Female","25 - 29","Wales","Not main scheme applicant","Not main scheme application","15","10"," ","0"
"2023","Female","25 - 29","Wales","Not main scheme applicant","Not main scheme application","15","10","0.6880000000000001","0"
"2019","Male","25 - 29","Wales","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Male","25 - 29","Wales","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","Male","25 - 29","Wales","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Male","25 - 29","Wales","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Male","25 - 29","Wales","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","Female","30 - 34","Wales","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","Female","30 - 34","Wales","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","Female","30 - 34","Wales","Not main scheme applicant","Not main scheme application","15","10"," ","0"
"2022","Female","30 - 34","Wales","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","Female","30 - 34","Wales","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","Female","35 and over","Wales","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","Female","35 and over","Wales","Not main scheme applicant","Not main scheme application","15","10"," ","0"
"2021","Female","35 and over","Wales","Not main scheme applicant","Not main scheme application","15","5"," ","0"
"2022","Female","35 and over","Wales","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","Female","35 and over","Wales","Not main scheme applicant","Not main scheme application","15","10","0.706","0"
"2019","Male","35 and over","Wales","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Male","35 and over","Wales","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Male","35 and over","Wales","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","Female","17 and under","Not EU","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Female","17 and under","Not EU","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","Female","18","Not EU","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","Female","18","Not EU","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","Female","18","Not EU","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Female","18","Not EU","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Female","18","Not EU","Not main scheme applicant","Not main scheme application","15","10","0.75","0"
