"Year","Gender","Age group","Domicile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","Male","21 - 24","Scotland","Main scheme applicant","Not main scheme application","15","5"," ","0"
"2019","Female","25 - 29","Scotland","Main scheme applicant","Not main scheme application","40","20","0.5","0"
"2020","Female","25 - 29","Scotland","Main scheme applicant","Not main scheme application","45","20","0.426","0"
"2021","Female","25 - 29","Scotland","Main scheme applicant","Not main scheme application","55","20","0.333","0"
"2022","Female","25 - 29","Scotland","Main scheme applicant","Not main scheme application","30","15","0.5670000000000001","0"
"2023","Female","25 - 29","Scotland","Main scheme applicant","Not main scheme application","25","15","0.708","0"
"2019","Male","25 - 29","Scotland","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","Male","25 - 29","Scotland","Main scheme applicant","Not main scheme application","15","5"," ","0"
"2021","Male","25 - 29","Scotland","Main scheme applicant","Not main scheme application","20","5"," ","0"
"2022","Male","25 - 29","Scotland","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","Male","25 - 29","Scotland","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","Female","30 - 34","Scotland","Main scheme applicant","Not main scheme application","15","5"," ","0"
"2020","Female","30 - 34","Scotland","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2021","Female","30 - 34","Scotland","Main scheme applicant","Not main scheme application","20","10"," ","0"
"2022","Female","30 - 34","Scotland","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","Female","30 - 34","Scotland","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","Male","30 - 34","Scotland","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","Male","30 - 34","Scotland","Main scheme applicant","Not main scheme application","10","0"," ","0"
"2022","Male","30 - 34","Scotland","Main scheme applicant","Not main scheme application","10","0"," ","0"
"2023","Male","30 - 34","Scotland","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","Female","35 and over","Scotland","Main scheme applicant","Not main scheme application","35","20","0.647","0"
"2020","Female","35 and over","Scotland","Main scheme applicant","Not main scheme application","30","15","0.5","0"
"2021","Female","35 and over","Scotland","Main scheme applicant","Not main scheme application","15","10","0.667","0"
"2022","Female","35 and over","Scotland","Main scheme applicant","Not main scheme application","25","15","0.577","0"
"2023","Female","35 and over","Scotland","Main scheme applicant","Not main scheme application","15","10","0.667","0"
"2019","Male","35 and over","Scotland","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","Male","35 and over","Scotland","Main scheme applicant","Not main scheme application","15","5"," ","0"
"2021","Male","35 and over","Scotland","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2022","Male","35 and over","Scotland","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Male","35 and over","Scotland","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2022","Female","21 - 24","Wales","Main scheme applicant","Not main scheme application","10","10","0.833","0"
"2023","Female","21 - 24","Wales","Main scheme applicant","Not main scheme application","15","10","0.8","0"
"2022","Male","21 - 24","Wales","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Female","25 - 29","Wales","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Male","25 - 29","Wales","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Female","35 and over","Wales","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Female","21 - 24","EU (excluding UK)","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","Female","25 - 29","EU (excluding UK)","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","Female","25 - 29","EU (excluding UK)","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","Female","21 - 24","Northern Ireland","Main scheme applicant","Main scheme application","45","10"," ","0"
"2020","Female","21 - 24","Northern Ireland","Main scheme applicant","Main scheme application","35","10"," ","0"
"2021","Female","21 - 24","Northern Ireland","Main scheme applicant","Main scheme application","45","15","0.311","0"
"2022","Female","21 - 24","Northern Ireland","Main scheme applicant","Main scheme application","30","10"," ","0"
"2023","Female","21 - 24","Northern Ireland","Main scheme applicant","Main scheme application","20","5"," ","0"
"2019","Male","21 - 24","Northern Ireland","Main scheme applicant","Main scheme application","15","0"," ","0"
"2020","Male","21 - 24","Northern Ireland","Main scheme applicant","Main scheme application","10","0"," ","0"
"2021","Male","21 - 24","Northern Ireland","Main scheme applicant","Main scheme application","20","0"," ","0"
"2022","Male","21 - 24","Northern Ireland","Main scheme applicant","Main scheme application","15","5"," ","0"
"2023","Male","21 - 24","Northern Ireland","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","Female","25 - 29","Northern Ireland","Main scheme applicant","Main scheme application","15","10"," ","0"
"2020","Female","25 - 29","Northern Ireland","Main scheme applicant","Main scheme application","15","5"," ","0"
"2021","Female","25 - 29","Northern Ireland","Main scheme applicant","Main scheme application","15","5"," ","0"
