"Year","Predicted SQA higher points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2013","All","Quintile 4","Main scheme applicant","All","105","55","0.515","0"
"2014","All","Quintile 4","Main scheme applicant","All","110","60","0.55","0"
"2015","All","Quintile 4","Main scheme applicant","All","130","60","0.465","0"
"2016","All","Quintile 4","Main scheme applicant","All","90","60","0.637","0"
"2017","All","Quintile 4","Main scheme applicant","All","110","75","0.652","0"
"2018","All","Quintile 4","Main scheme applicant","All","100","70","0.676","0"
"2019","All","Quintile 4","Main scheme applicant","All","100","65","0.643","0"
"2020","All","Quintile 4","Main scheme applicant","All","85","55","0.687","0"
"2021","All","Quintile 4","Main scheme applicant","All","85","60","0.735","0"
"2022","All","Quintile 4","Main scheme applicant","All","65","45","0.683","0"
"2023","All","Quintile 4","Main scheme applicant","All","80","60","0.707","0"
"2010","All","Quintile 5","Main scheme applicant","All","120","80","0.678","0"
"2011","All","Quintile 5","Main scheme applicant","All","110","65","0.587","0"
"2012","All","Quintile 5","Main scheme applicant","All","170","95","0.541","0"
"2013","All","Quintile 5","Main scheme applicant","All","135","80","0.5690000000000001","0"
"2014","All","Quintile 5","Main scheme applicant","All","155","95","0.622","0"
"2015","All","Quintile 5","Main scheme applicant","All","160","85","0.544","0"
"2016","All","Quintile 5","Main scheme applicant","All","135","90","0.652","0"
"2017","All","Quintile 5","Main scheme applicant","All","125","80","0.624","0"
"2018","All","Quintile 5","Main scheme applicant","All","130","80","0.641","0"
"2019","All","Quintile 5","Main scheme applicant","All","115","80","0.672","0"
"2020","All","Quintile 5","Main scheme applicant","All","100","80","0.81","0"
"2021","All","Quintile 5","Main scheme applicant","All","125","100","0.784","0"
"2022","All","Quintile 5","Main scheme applicant","All","80","50","0.613","0"
"2023","All","Quintile 5","Main scheme applicant","All","105","65","0.617","0"
"2010","9 point(s)","All","Main scheme applicant","All","5","5"," ","0"
"2012","9 point(s)","All","Main scheme applicant","All","5","0"," ","0"
"2013","9 point(s)","All","Main scheme applicant","All","5","0"," ","0"
"2014","9 point(s)","All","Main scheme applicant","All","5","5"," ","0"
"2022","9 point(s)","All","Main scheme applicant","All","5","0"," ","0"
"2010","10 point(s)","All","Main scheme applicant","All","20","10"," ","0"
"2011","10 point(s)","All","Main scheme applicant","All","20","5"," ","0"
"2012","10 point(s)","All","Main scheme applicant","All","20","5"," ","0"
"2013","10 point(s)","All","Main scheme applicant","All","10","5"," ","0"
"2014","10 point(s)","All","Main scheme applicant","All","15","5"," ","0"
"2015","10 point(s)","All","Main scheme applicant","All","10","0"," ","0"
"2016","10 point(s)","All","Main scheme applicant","All","5","0"," ","0"
"2017","10 point(s)","All","Main scheme applicant","All","5","0"," ","0"
"2018","10 point(s)","All","Main scheme applicant","All","5","0"," ","0"
"2019","10 point(s)","All","Main scheme applicant","All","5","0"," ","0"
"2020","10 point(s)","All","Main scheme applicant","All","5","5"," ","0"
"2022","10 point(s)","All","Main scheme applicant","All","5","0"," ","0"
"2023","10 point(s)","All","Main scheme applicant","All","5","0"," ","0"
"2010","11 point(s)","All","Main scheme applicant","All","25","20","0.6920000000000001","0"
"2011","11 point(s)","All","Main scheme applicant","All","20","10","0.47600000000000003","0"
"2012","11 point(s)","All","Main scheme applicant","All","35","10","0.364","0"
"2013","11 point(s)","All","Main scheme applicant","All","25","10","0.37","0"
"2014","11 point(s)","All","Main scheme applicant","All","25","5"," ","0"
"2015","11 point(s)","All","Main scheme applicant","All","10","5"," ","0"
"2016","11 point(s)","All","Main scheme applicant","All","20","5"," ","0"
