"Year","Predicted A level points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2012","6 point(s)","Other","Main scheme applicant","All","10","10"," ","0"
"2013","6 point(s)","Other","Main scheme applicant","All","10","10"," ","0"
"2014","6 point(s)","Other","Main scheme applicant","All","15","15","0.765","0"
"2015","6 point(s)","Other","Main scheme applicant","All","10","10"," ","0"
"2016","6 point(s)","Other","Main scheme applicant","All","5","5"," ","0"
"2017","6 point(s)","Other","Main scheme applicant","All","10","5"," ","0"
"2018","6 point(s)","Other","Main scheme applicant","All","10","5"," ","0"
"2019","6 point(s)","Other","Main scheme applicant","All","15","15","0.8130000000000001","0"
"2020","6 point(s)","Other","Main scheme applicant","All","15","15","1","0"
"2021","6 point(s)","Other","Main scheme applicant","All","25","25","0.889","0"
"2022","6 point(s)","Other","Main scheme applicant","All","20","15","0.81","0"
"2023","6 point(s)","Other","Main scheme applicant","All","30","20","0.724","0"
"2010","7 point(s)","Other","Main scheme applicant","All","30","20","0.679","0"
"2011","7 point(s)","Other","Main scheme applicant","All","25","20","0.783","0"
"2012","7 point(s)","Other","Main scheme applicant","All","25","15","0.654","0"
"2013","7 point(s)","Other","Main scheme applicant","All","20","15","0.727","0"
"2014","7 point(s)","Other","Main scheme applicant","All","15","15","0.867","0"
"2015","7 point(s)","Other","Main scheme applicant","All","25","15","0.652","0"
"2016","7 point(s)","Other","Main scheme applicant","All","25","20","0.8260000000000001","0"
"2017","7 point(s)","Other","Main scheme applicant","All","20","15","0.75","0"
"2018","7 point(s)","Other","Main scheme applicant","All","20","15","0.762","0"
"2019","7 point(s)","Other","Main scheme applicant","All","20","20","0.905","0"
"2020","7 point(s)","Other","Main scheme applicant","All","20","20","0.9","0"
"2021","7 point(s)","Other","Main scheme applicant","All","30","25","0.9","0"
"2022","7 point(s)","Other","Main scheme applicant","All","55","45","0.811","0"
"2023","7 point(s)","Other","Main scheme applicant","All","40","30","0.756","0"
"2010","8 point(s)","Other","Main scheme applicant","All","60","40","0.6950000000000001","0"
"2011","8 point(s)","Other","Main scheme applicant","All","45","35","0.75","0"
"2012","8 point(s)","Other","Main scheme applicant","All","55","45","0.8250000000000001","0"
"2013","8 point(s)","Other","Main scheme applicant","All","40","30","0.762","0"
"2014","8 point(s)","Other","Main scheme applicant","All","55","40","0.755","0"
"2015","8 point(s)","Other","Main scheme applicant","All","60","50","0.85","0"
"2016","8 point(s)","Other","Main scheme applicant","All","50","40","0.8200000000000001","0"
"2017","8 point(s)","Other","Main scheme applicant","All","45","40","0.8300000000000001","0"
"2018","8 point(s)","Other","Main scheme applicant","All","45","35","0.804","0"
"2019","8 point(s)","Other","Main scheme applicant","All","50","40","0.8","0"
"2020","8 point(s)","Other","Main scheme applicant","All","60","55","0.855","0"
"2021","8 point(s)","Other","Main scheme applicant","All","60","50","0.881","0"
"2022","8 point(s)","Other","Main scheme applicant","All","80","65","0.8230000000000001","0"
"2023","8 point(s)","Other","Main scheme applicant","All","70","60","0.833","0"
"2010","9 point(s)","Other","Main scheme applicant","All","90","75","0.844","0"
"2011","9 point(s)","Other","Main scheme applicant","All","115","100","0.846","0"
"2012","9 point(s)","Other","Main scheme applicant","All","90","70","0.791","0"
"2013","9 point(s)","Other","Main scheme applicant","All","90","70","0.78","0"
"2014","9 point(s)","Other","Main scheme applicant","All","90","75","0.811","0"
"2015","9 point(s)","Other","Main scheme applicant","All","105","90","0.838","0"
"2016","9 point(s)","Other","Main scheme applicant","All","90","80","0.879","0"
"2017","9 point(s)","Other","Main scheme applicant","All","115","105","0.912","0"
"2018","9 point(s)","Other","Main scheme applicant","All","110","95","0.861","0"
"2019","9 point(s)","Other","Main scheme applicant","All","110","95","0.839","0"
"2020","9 point(s)","Other","Main scheme applicant","All","110","100","0.902","0"
"2021","9 point(s)","Other","Main scheme applicant","All","150","130","0.872","0"
"2022","9 point(s)","Other","Main scheme applicant","All","170","145","0.8310000000000001","0"
"2023","9 point(s)","Other","Main scheme applicant","All","175","145","0.8220000000000001","0"
"2010","10 point(s)","Other","Main scheme applicant","All","135","115","0.8250000000000001","0"
"2011","10 point(s)","Other","Main scheme applicant","All","105","90","0.874","0"
"2012","10 point(s)","Other","Main scheme applicant","All","135","120","0.874","0"
"2013","10 point(s)","Other","Main scheme applicant","All","135","110","0.81","0"
"2014","10 point(s)","Other","Main scheme applicant","All","145","125","0.867","0"
"2015","10 point(s)","Other","Main scheme applicant","All","145","120","0.853","0"
"2016","10 point(s)","Other","Main scheme applicant","All","160","140","0.868","0"
"2017","10 point(s)","Other","Main scheme applicant","All","145","135","0.931","0"
"2018","10 point(s)","Other","Main scheme applicant","All","155","130","0.8280000000000001","0"
"2019","10 point(s)","Other","Main scheme applicant","All","165","140","0.865","0"
"2020","10 point(s)","Other","Main scheme applicant","All","195","180","0.933","0"
"2021","10 point(s)","Other","Main scheme applicant","All","205","185","0.899","0"
"2022","10 point(s)","Other","Main scheme applicant","All","225","185","0.835","0"
"2023","10 point(s)","Other","Main scheme applicant","All","245","205","0.835","0"
"2010","11 point(s)","Other","Main scheme applicant","All","150","130","0.868","0"
"2011","11 point(s)","Other","Main scheme applicant","All","180","155","0.882","0"
"2012","11 point(s)","Other","Main scheme applicant","All","160","130","0.8160000000000001","0"
"2013","11 point(s)","Other","Main scheme applicant","All","165","135","0.8190000000000001","0"
"2014","11 point(s)","Other","Main scheme applicant","All","200","165","0.843","0"
"2015","11 point(s)","Other","Main scheme applicant","All","220","195","0.881","0"
"2016","11 point(s)","Other","Main scheme applicant","All","215","180","0.854","0"
"2017","11 point(s)","Other","Main scheme applicant","All","245","220","0.893","0"
"2018","11 point(s)","Other","Main scheme applicant","All","220","190","0.851","0"
"2019","11 point(s)","Other","Main scheme applicant","All","215","195","0.899","0"
"2020","11 point(s)","Other","Main scheme applicant","All","245","215","0.885","0"
"2021","11 point(s)","Other","Main scheme applicant","All","295","265","0.892","0"
"2022","11 point(s)","Other","Main scheme applicant","All","335","295","0.884","0"
"2023","11 point(s)","Other","Main scheme applicant","All","335","290","0.871","0"
"2010","12 point(s)","Other","Main scheme applicant","All","180","150","0.84","0"
"2011","12 point(s)","Other","Main scheme applicant","All","185","165","0.876","0"
"2012","12 point(s)","Other","Main scheme applicant","All","220","180","0.8260000000000001","0"
"2013","12 point(s)","Other","Main scheme applicant","All","235","210","0.889","0"
"2014","12 point(s)","Other","Main scheme applicant","All","235","210","0.881","0"
"2015","12 point(s)","Other","Main scheme applicant","All","250","225","0.892","0"
"2016","12 point(s)","Other","Main scheme applicant","All","265","235","0.894","0"
"2017","12 point(s)","Other","Main scheme applicant","All","300","265","0.89","0"
"2018","12 point(s)","Other","Main scheme applicant","All","340","305","0.894","0"
"2019","12 point(s)","Other","Main scheme applicant","All","395","360","0.913","0"
"2020","12 point(s)","Other","Main scheme applicant","All","360","330","0.922","0"
"2021","12 point(s)","Other","Main scheme applicant","All","415","380","0.915","0"
"2022","12 point(s)","Other","Main scheme applicant","All","445","375","0.843","0"
"2023","12 point(s)","Other","Main scheme applicant","All","475","395","0.838","0"
"2010","13 point(s)","Other","Main scheme applicant","All","190","160","0.856","0"
"2011","13 point(s)","Other","Main scheme applicant","All","190","170","0.895","0"
"2012","13 point(s)","Other","Main scheme applicant","All","240","215","0.892","0"
"2013","13 point(s)","Other","Main scheme applicant","All","260","235","0.915","0"
"2014","13 point(s)","Other","Main scheme applicant","All","265","235","0.873","0"
"2015","13 point(s)","Other","Main scheme applicant","All","280","240","0.857","0"
"2016","13 point(s)","Other","Main scheme applicant","All","350","310","0.885","0"
"2017","13 point(s)","Other","Main scheme applicant","All","360","320","0.897","0"
"2018","13 point(s)","Other","Main scheme applicant","All","375","330","0.875","0"
"2019","13 point(s)","Other","Main scheme applicant","All","400","355","0.883","0"
"2020","13 point(s)","Other","Main scheme applicant","All","460","415","0.894","0"
"2021","13 point(s)","Other","Main scheme applicant","All","480","440","0.921","0"
"2022","13 point(s)","Other","Main scheme applicant","All","520","440","0.844","0"
"2023","13 point(s)","Other","Main scheme applicant","All","525","450","0.856","0"
"2010","14 point(s)","Other","Main scheme applicant","All","180","160","0.888","0"
"2011","14 point(s)","Other","Main scheme applicant","All","185","165","0.892","0"
"2012","14 point(s)","Other","Main scheme applicant","All","220","185","0.845","0"
"2013","14 point(s)","Other","Main scheme applicant","All","230","195","0.853","0"
"2014","14 point(s)","Other","Main scheme applicant","All","270","230","0.851","0"
"2015","14 point(s)","Other","Main scheme applicant","All","295","260","0.869","0"
"2016","14 point(s)","Other","Main scheme applicant","All","300","265","0.886","0"
"2017","14 point(s)","Other","Main scheme applicant","All","375","325","0.866","0"
"2018","14 point(s)","Other","Main scheme applicant","All","370","330","0.886","0"
"2019","14 point(s)","Other","Main scheme applicant","All","455","400","0.875","0"
"2020","14 point(s)","Other","Main scheme applicant","All","505","465","0.919","0"
"2021","14 point(s)","Other","Main scheme applicant","All","465","410","0.878","0"
"2022","14 point(s)","Other","Main scheme applicant","All","520","455","0.875","0"
"2023","14 point(s)","Other","Main scheme applicant","All","580","495","0.85","0"
"2010","15 point(s)","Other","Main scheme applicant","All","220","180","0.8220000000000001","0"
"2011","15 point(s)","Other","Main scheme applicant","All","240","205","0.854","0"
"2012","15 point(s)","Other","Main scheme applicant","All","255","210","0.8310000000000001","0"
"2013","15 point(s)","Other","Main scheme applicant","All","225","200","0.893","0"
"2014","15 point(s)","Other","Main scheme applicant","All","275","225","0.8220000000000001","0"
"2015","15 point(s)","Other","Main scheme applicant","All","270","240","0.881","0"
"2016","15 point(s)","Other","Main scheme applicant","All","285","240","0.846","0"
"2017","15 point(s)","Other","Main scheme applicant","All","350","295","0.844","0"
"2018","15 point(s)","Other","Main scheme applicant","All","390","325","0.8320000000000001","0"
"2019","15 point(s)","Other","Main scheme applicant","All","445","380","0.855","0"
"2020","15 point(s)","Other","Main scheme applicant","All","475","395","0.8320000000000001","0"
"2021","15 point(s)","Other","Main scheme applicant","All","585","480","0.8220000000000001","0"
"2022","15 point(s)","Other","Main scheme applicant","All","655","535","0.8130000000000001","0"
"2023","15 point(s)","Other","Main scheme applicant","All","685","565","0.8240000000000001","0"
"2010","16 point(s)","Other","Main scheme applicant","All","105","90","0.857","0"
"2011","16 point(s)","Other","Main scheme applicant","All","135","115","0.839","0"
"2012","16 point(s)","Other","Main scheme applicant","All","140","115","0.836","0"
"2013","16 point(s)","Other","Main scheme applicant","All","180","140","0.762","0"
"2014","16 point(s)","Other","Main scheme applicant","All","195","170","0.882","0"
"2015","16 point(s)","Other","Main scheme applicant","All","185","150","0.8170000000000001","0"
"2016","16 point(s)","Other","Main scheme applicant","All","205","170","0.8250000000000001","0"
"2017","16 point(s)","Other","Main scheme applicant","All","270","230","0.862","0"
"2018","16 point(s)","Other","Main scheme applicant","All","320","260","0.8180000000000001","0"
"2019","16 point(s)","Other","Main scheme applicant","All","400","345","0.863","0"
"2020","16 point(s)","Other","Main scheme applicant","All","395","325","0.8210000000000001","0"
"2021","16 point(s)","Other","Main scheme applicant","All","460","365","0.793","0"
"2022","16 point(s)","Other","Main scheme applicant","All","530","430","0.805","0"
"2023","16 point(s)","Other","Main scheme applicant","All","635","515","0.811","0"
"2010","17 point(s)","Other","Main scheme applicant","All","55","50","0.86","0"
"2011","17 point(s)","Other","Main scheme applicant","All","80","75","0.901","0"
"2012","17 point(s)","Other","Main scheme applicant","All","115","100","0.885","0"
"2013","17 point(s)","Other","Main scheme applicant","All","90","80","0.879","0"
"2014","17 point(s)","Other","Main scheme applicant","All","125","100","0.8160000000000001","0"
"2015","17 point(s)","Other","Main scheme applicant","All","130","110","0.848","0"
"2016","17 point(s)","Other","Main scheme applicant","All","155","130","0.843","0"
"2017","17 point(s)","Other","Main scheme applicant","All","175","155","0.902","0"
"2018","17 point(s)","Other","Main scheme applicant","All","205","170","0.833","0"
"2019","17 point(s)","Other","Main scheme applicant","All","260","215","0.8230000000000001","0"
"2020","17 point(s)","Other","Main scheme applicant","All","265","220","0.844","0"
"2021","17 point(s)","Other","Main scheme applicant","All","340","290","0.847","0"
"2022","17 point(s)","Other","Main scheme applicant","All","415","335","0.8140000000000001","0"
"2023","17 point(s)","Other","Main scheme applicant","All","545","445","0.811","0"
"2010","18 point(s)","Other","Main scheme applicant","All","60","50","0.852","0"
"2011","18 point(s)","Other","Main scheme applicant","All","85","75","0.917","0"
"2012","18 point(s)","Other","Main scheme applicant","All","125","110","0.886","0"
"2013","18 point(s)","Other","Main scheme applicant","All","95","95","0.9590000000000001","0"
"2014","18 point(s)","Other","Main scheme applicant","All","135","115","0.865","0"
"2015","18 point(s)","Other","Main scheme applicant","All","140","125","0.892","0"
"2016","18 point(s)","Other","Main scheme applicant","All","130","110","0.875","0"
"2017","18 point(s)","Other","Main scheme applicant","All","145","125","0.864","0"
"2018","18 point(s)","Other","Main scheme applicant","All","165","150","0.904","0"
"2019","18 point(s)","Other","Main scheme applicant","All","205","190","0.918","0"
"2020","18 point(s)","Other","Main scheme applicant","All","250","230","0.917","0"
"2021","18 point(s)","Other","Main scheme applicant","All","280","240","0.851","0"
"2022","18 point(s)","Other","Main scheme applicant","All","515","425","0.8260000000000001","0"
"2023","18 point(s)","Other","Main scheme applicant","All","600","510","0.852","0"
"2011","5 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","5","0"," ","0"
"2015","5 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2022","5 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2010","6 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","10","10"," ","0"
"2011","6 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2012","6 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","10","5"," ","0"
"2013","6 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2014","6 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2016","6 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2018","6 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2020","6 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2021","6 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2022","6 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","10","5"," ","0"
"2023","6 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2010","7 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","15","10","0.8","0"
"2011","7 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","10","10"," ","0"
"2012","7 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","5","0"," ","0"
"2013","7 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","10","5"," ","0"
"2014","7 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","10","5"," ","0"
"2015","7 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","10","10"," ","0"
"2016","7 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","10","5"," ","0"
"2017","7 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","10","5"," ","0"
"2018","7 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","10","5"," ","0"
"2019","7 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","10","5"," ","0"
"2020","7 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2021","7 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","10","5"," ","0"
"2022","7 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","15","10","0.857","0"
"2023","7 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","10","5"," ","0"
"2010","8 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","40","30","0.6900000000000001","0"
"2011","8 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","30","20","0.677","0"
"2012","8 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","15","15","0.765","0"
"2013","8 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","15","10","0.714","0"
"2014","8 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","15","10","0.706","0"
"2015","8 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","20","15","0.895","0"
"2016","8 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","30","25","0.857","0"
"2017","8 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","10","10"," ","0"
"2018","8 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","20","15","0.8","0"
"2019","8 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","20","15","0.8","0"
"2020","8 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","15","15","0.8130000000000001","0"
"2021","8 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","25","25","0.885","0"
"2022","8 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","20","15","0.762","0"
"2023","8 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","10","5"," ","0"
"2010","9 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","65","50","0.776","0"
"2011","9 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","35","25","0.714","0"
"2012","9 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","35","25","0.794","0"
"2013","9 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","30","25","0.8280000000000001","0"
"2014","9 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","35","25","0.75","0"
"2015","9 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","40","35","0.846","0"
"2016","9 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","45","35","0.766","0"
"2017","9 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","40","35","0.902","0"
"2018","9 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","50","35","0.75","0"
"2019","9 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","40","35","0.833","0"
"2020","9 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","35","25","0.771","0"
"2021","9 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","45","40","0.848","0"
"2022","9 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","45","35","0.773","0"
"2023","9 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","35","30","0.853","0"
"2010","10 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","60","50","0.839","0"
"2011","10 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","55","45","0.796","0"
"2012","10 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","60","50","0.845","0"
"2013","10 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","50","40","0.8240000000000001","0"
"2014","10 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","35","30","0.838","0"
"2015","10 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","55","50","0.893","0"
"2016","10 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","75","65","0.877","0"
"2017","10 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","60","55","0.898","0"
"2018","10 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","70","65","0.903","0"
"2019","10 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","60","50","0.836","0"
"2020","10 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","60","55","0.9480000000000001","0"
"2021","10 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","80","70","0.887","0"
"2022","10 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","50","40","0.75","0"
"2023","10 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","40","25","0.6","0"
"2010","11 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","85","75","0.881","0"
"2011","11 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","85","70","0.857","0"
"2012","11 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","75","65","0.8180000000000001","0"
"2013","11 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","50","40","0.833","0"
"2014","11 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","40","30","0.744","0"
"2015","11 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","80","65","0.848","0"
"2016","11 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","90","75","0.864","0"
"2017","11 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","85","70","0.855","0"
"2018","11 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","85","75","0.839","0"
"2019","11 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","80","80","0.9510000000000001","0"
"2020","11 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","70","60","0.899","0"
"2021","11 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","75","65","0.868","0"
"2022","11 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","75","65","0.863","0"
"2023","11 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","70","55","0.789","0"
"2010","12 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","105","80","0.755","0"
"2011","12 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","100","75","0.762","0"
"2012","12 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","90","65","0.725","0"
"2013","12 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","75","65","0.877","0"
"2014","12 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","75","65","0.857","0"
"2015","12 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","105","80","0.779","0"
"2016","12 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","110","95","0.853","0"
"2017","12 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","115","100","0.879","0"
"2018","12 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","120","105","0.89","0"
"2019","12 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","115","95","0.843","0"
"2020","12 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","130","120","0.901","0"
"2021","12 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","145","130","0.877","0"
"2022","12 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","115","95","0.8170000000000001","0"
"2023","12 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","110","90","0.8260000000000001","0"
"2010","13 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","140","115","0.796","0"
"2011","13 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","125","105","0.8250000000000001","0"
"2012","13 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","90","75","0.8150000000000001","0"
"2013","13 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","95","75","0.787","0"
"2014","13 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","100","85","0.8220000000000001","0"
"2015","13 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","110","95","0.87","0"
"2016","13 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","135","120","0.875","0"
"2017","13 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","155","130","0.841","0"
"2018","13 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","125","115","0.919","0"
"2019","13 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","145","130","0.884","0"
"2020","13 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","130","115","0.869","0"
"2021","13 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","150","135","0.881","0"
"2022","13 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","130","105","0.806","0"
"2023","13 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","135","115","0.853","0"
"2010","14 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","125","105","0.8270000000000001","0"
"2011","14 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","125","110","0.873","0"
"2012","14 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","110","95","0.88","0"
"2013","14 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","80","70","0.873","0"
"2014","14 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","95","80","0.872","0"
"2015","14 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","140","125","0.879","0"
"2016","14 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","150","135","0.913","0"
"2017","14 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","130","105","0.8200000000000001","0"
"2018","14 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","150","125","0.833","0"
"2019","14 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","160","140","0.876","0"
"2020","14 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","150","130","0.866","0"
"2021","14 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","175","150","0.855","0"
"2022","14 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","155","135","0.864","0"
"2023","14 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","165","130","0.805","0"
"2010","15 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","210","170","0.809","0"
"2011","15 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","150","125","0.836","0"
"2012","15 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","135","110","0.8160000000000001","0"
"2013","15 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","115","100","0.845","0"
"2014","15 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","95","80","0.8300000000000001","0"
"2015","15 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","140","115","0.8210000000000001","0"
"2016","15 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","155","130","0.841","0"
"2017","15 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","175","160","0.913","0"
"2018","15 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","185","150","0.8310000000000001","0"
"2019","15 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","175","140","0.801","0"
"2020","15 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","180","145","0.808","0"
"2021","15 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","185","155","0.838","0"
"2022","15 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","190","150","0.803","0"
"2023","15 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","180","150","0.8280000000000001","0"
"2010","16 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","105","85","0.8130000000000001","0"
"2011","16 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","95","75","0.773","0"
"2012","16 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","110","90","0.786","0"
"2013","16 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","105","90","0.885","0"
"2014","16 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","90","80","0.857","0"
"2015","16 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","130","105","0.8220000000000001","0"
"2016","16 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","135","110","0.8200000000000001","0"
"2017","16 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","125","110","0.888","0"
"2018","16 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","155","130","0.8310000000000001","0"
"2019","16 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","All","155","135","0.853","0"
