"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2021","International","Not EU","Not Known","25 - 29","Female","5","0"," "
"2021","International","Not EU","Monaco","25 - 29","Female","5","0"," "
"2019","UK","England","England","30 - 34","Female","1805","520","0.28800000000000003"
"2020","UK","England","England","30 - 34","Female","2055","655","0.319"
"2021","UK","England","England","30 - 34","Female","3125","950","0.303"
"2022","UK","England","England","30 - 34","Female","2740","815","0.297"
"2023","UK","England","England","30 - 34","Female","1940","615","0.316"
"2019","UK","Northern Ireland","Northern Ireland","30 - 34","Female","55","10"," "
"2020","UK","Northern Ireland","Northern Ireland","30 - 34","Female","60","10","0.2"
"2021","UK","Northern Ireland","Northern Ireland","30 - 34","Female","75","20","0.293"
"2022","UK","Northern Ireland","Northern Ireland","30 - 34","Female","65","15","0.246"
"2023","UK","Northern Ireland","Northern Ireland","30 - 34","Female","60","15","0.217"
"2019","UK","Scotland","Scotland","30 - 34","Female","170","40","0.229"
"2020","UK","Scotland","Scotland","30 - 34","Female","220","45","0.195"
"2021","UK","Scotland","Scotland","30 - 34","Female","280","50","0.17500000000000002"
"2022","UK","Scotland","Scotland","30 - 34","Female","220","40","0.17300000000000001"
"2023","UK","Scotland","Scotland","30 - 34","Female","155","45","0.29"
"2019","UK","Wales","Wales","30 - 34","Female","195","30","0.149"
"2020","UK","Wales","Wales","30 - 34","Female","230","45","0.191"
"2021","UK","Wales","Wales","30 - 34","Female","240","40","0.158"
"2022","UK","Wales","Wales","30 - 34","Female","220","45","0.2"
"2023","UK","Wales","Wales","30 - 34","Female","180","50","0.289"
