"Year","Subject group HECoS","Detailed subject group HECoS","UK region","Main scheme applicant","Main scheme application","Accepted applicants"
"2020","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","North East","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","North East","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","North East","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","North East","Not main scheme applicant","Not main scheme application","10"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","North East","Not main scheme applicant","Not main scheme application","60"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","North East","Not main scheme applicant","Not main scheme application","75"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","North East","Not main scheme applicant","Not main scheme application","35"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","North East","Not main scheme applicant","Not main scheme application","35"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","North East","Not main scheme applicant","Not main scheme application","70"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","North East","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","North East","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-03) community nursing","North East","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-03) community nursing","North East","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-03) community nursing","North East","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","North East","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","North East","Not main scheme applicant","Not main scheme application","10"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","North East","Not main scheme applicant","Not main scheme application","10"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","North East","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","North East","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","North East","Not main scheme applicant","Not main scheme application","25"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","North East","Not main scheme applicant","Not main scheme application","40"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","North East","Not main scheme applicant","Not main scheme application","15"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","North East","Not main scheme applicant","Not main scheme application","30"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","North East","Not main scheme applicant","Not main scheme application","25"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","North East","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","North East","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","North East","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH19) language and area studies","(CAH19-01-05) creative writing","North East","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH19) language and area studies","(CAH19-01-05) creative writing","North East","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH19) language and area studies","(CAH19-01-05) creative writing","North East","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH19) language and area studies","(CAH19-01-05) creative writing","North East","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH19) language and area studies","(CAH19-01-03) literature in English","North East","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH19) language and area studies","(CAH19-01-03) literature in English","North East","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH19) language and area studies","(CAH19-01-03) literature in English","North East","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH19) language and area studies","(CAH19-01-03) literature in English","North East","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","North East","Not main scheme applicant","Not main scheme application","20"
"2020","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","North East","Not main scheme applicant","Not main scheme application","10"
"2021","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","North East","Not main scheme applicant","Not main scheme application","10"
