"Year","Deferred entry","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2018","Deferred","30 - 34","Wales","All","Main scheme applicant","Not main scheme application","5","0"," "
"2023","Deferred","30 - 34","Wales","All","Main scheme applicant","Not main scheme application","5","5"," "
"2006","Not deferred","35 and over","Wales","All","Main scheme applicant","Not main scheme application","30","30","0.967"
"2007","Not deferred","35 and over","Wales","All","Main scheme applicant","Not main scheme application","25","25","0.923"
"2008","Not deferred","35 and over","Wales","All","Main scheme applicant","Not main scheme application","45","40","0.907"
"2009","Not deferred","35 and over","Wales","All","Main scheme applicant","Not main scheme application","40","25","0.65"
"2010","Not deferred","35 and over","Wales","All","Main scheme applicant","Not main scheme application","55","45","0.807"
"2011","Not deferred","35 and over","Wales","All","Main scheme applicant","Not main scheme application","75","55","0.6880000000000001"
"2012","Not deferred","35 and over","Wales","All","Main scheme applicant","Not main scheme application","85","65","0.779"
"2013","Not deferred","35 and over","Wales","All","Main scheme applicant","Not main scheme application","60","50","0.806"
"2014","Not deferred","35 and over","Wales","All","Main scheme applicant","Not main scheme application","65","50","0.731"
"2015","Not deferred","35 and over","Wales","All","Main scheme applicant","Not main scheme application","65","45","0.6880000000000001"
"2016","Not deferred","35 and over","Wales","All","Main scheme applicant","Not main scheme application","70","60","0.806"
"2017","Not deferred","35 and over","Wales","All","Main scheme applicant","Not main scheme application","75","55","0.72"
"2018","Not deferred","35 and over","Wales","All","Main scheme applicant","Not main scheme application","75","65","0.853"
"2019","Not deferred","35 and over","Wales","All","Main scheme applicant","Not main scheme application","65","50","0.797"
"2020","Not deferred","35 and over","Wales","All","Main scheme applicant","Not main scheme application","70","55","0.792"
"2021","Not deferred","35 and over","Wales","All","Main scheme applicant","Not main scheme application","90","75","0.8130000000000001"
"2022","Not deferred","35 and over","Wales","All","Main scheme applicant","Not main scheme application","55","45","0.754"
"2023","Not deferred","35 and over","Wales","All","Main scheme applicant","Not main scheme application","55","45","0.807"
"2006","Deferred","35 and over","Wales","All","Main scheme applicant","Not main scheme application","5","5"," "
"2014","Deferred","35 and over","Wales","All","Main scheme applicant","Not main scheme application","5","5"," "
