"Year","Deferred entry","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2014","Not deferred","All","EU (excluding UK)","All","Main scheme applicant","Main scheme application","44365","21840","0.492"
"2015","Not deferred","All","EU (excluding UK)","All","Main scheme applicant","Main scheme application","47880","24250","0.506"
"2016","Not deferred","All","EU (excluding UK)","All","Main scheme applicant","Main scheme application","50785","26280","0.517"
"2017","Not deferred","All","EU (excluding UK)","All","Main scheme applicant","Main scheme application","48330","25600","0.53"
"2018","Not deferred","All","EU (excluding UK)","All","Main scheme applicant","Main scheme application","49130","26160","0.532"
"2019","Not deferred","All","EU (excluding UK)","All","Main scheme applicant","Main scheme application","49660","26030","0.524"
"2020","Not deferred","All","EU (excluding UK)","All","Main scheme applicant","Main scheme application","48825","26085","0.534"
"2021","Not deferred","All","EU (excluding UK)","All","Main scheme applicant","Main scheme application","27620","11005","0.398"
"2022","Not deferred","All","EU (excluding UK)","All","Main scheme applicant","Main scheme application","22720","9115","0.401"
"2023","Not deferred","All","EU (excluding UK)","All","Main scheme applicant","Main scheme application","21995","8555","0.389"
"2006","Deferred","All","EU (excluding UK)","All","Main scheme applicant","Main scheme application","1460","880","0.601"
"2007","Deferred","All","EU (excluding UK)","All","Main scheme applicant","Main scheme application","1595","1010","0.633"
"2008","Deferred","All","EU (excluding UK)","All","Main scheme applicant","Main scheme application","1625","1045","0.641"
"2009","Deferred","All","EU (excluding UK)","All","Main scheme applicant","Main scheme application","1845","1175","0.637"
"2010","Deferred","All","EU (excluding UK)","All","Main scheme applicant","Main scheme application","2235","1270","0.5680000000000001"
"2011","Deferred","All","EU (excluding UK)","All","Main scheme applicant","Main scheme application","1660","900","0.541"
"2012","Deferred","All","EU (excluding UK)","All","Main scheme applicant","Main scheme application","1910","1135","0.594"
"2013","Deferred","All","EU (excluding UK)","All","Main scheme applicant","Main scheme application","1965","1185","0.604"
"2014","Deferred","All","EU (excluding UK)","All","Main scheme applicant","Main scheme application","2145","1315","0.614"
"2015","Deferred","All","EU (excluding UK)","All","Main scheme applicant","Main scheme application","2280","1405","0.618"
"2016","Deferred","All","EU (excluding UK)","All","Main scheme applicant","Main scheme application","2285","1385","0.605"
"2017","Deferred","All","EU (excluding UK)","All","Main scheme applicant","Main scheme application","2090","1225","0.585"
"2018","Deferred","All","EU (excluding UK)","All","Main scheme applicant","Main scheme application","2010","1325","0.659"
"2019","Deferred","All","EU (excluding UK)","All","Main scheme applicant","Main scheme application","1950","1315","0.674"
"2020","Deferred","All","EU (excluding UK)","All","Main scheme applicant","Main scheme application","1830","1145","0.627"
"2021","Deferred","All","EU (excluding UK)","All","Main scheme applicant","Main scheme application","1495","955","0.639"
"2022","Deferred","All","EU (excluding UK)","All","Main scheme applicant","Main scheme application","1350","795","0.591"
"2023","Deferred","All","EU (excluding UK)","All","Main scheme applicant","Main scheme application","1120","665","0.592"
"2006","All","All","Northern Ireland","All","Not main scheme applicant","Not main scheme application","275","270","0.985"
"2007","All","All","Northern Ireland","All","Not main scheme applicant","Not main scheme application","270","265","0.985"
"2008","All","All","Northern Ireland","All","Not main scheme applicant","Not main scheme application","355","350","0.986"
"2009","All","All","Northern Ireland","All","Not main scheme applicant","Not main scheme application","310","285","0.919"
"2010","All","All","Northern Ireland","All","Not main scheme applicant","Not main scheme application","165","150","0.892"
"2011","All","All","Northern Ireland","All","Not main scheme applicant","Not main scheme application","140","125","0.879"
"2012","All","All","Northern Ireland","All","Not main scheme applicant","Not main scheme application","185","170","0.919"
"2013","All","All","Northern Ireland","All","Not main scheme applicant","Not main scheme application","205","195","0.9420000000000001"
"2014","All","All","Northern Ireland","All","Not main scheme applicant","Not main scheme application","225","205","0.91"
"2015","All","All","Northern Ireland","All","Not main scheme applicant","Not main scheme application","170","160","0.924"
"2016","All","All","Northern Ireland","All","Not main scheme applicant","Not main scheme application","155","135","0.89"
"2017","All","All","Northern Ireland","All","Not main scheme applicant","Not main scheme application","220","195","0.895"
"2018","All","All","Northern Ireland","All","Not main scheme applicant","Not main scheme application","225","205","0.911"
"2019","All","All","Northern Ireland","All","Not main scheme applicant","Not main scheme application","310","285","0.922"
"2020","All","All","Northern Ireland","All","Not main scheme applicant","Not main scheme application","445","405","0.916"
"2021","All","All","Northern Ireland","All","Not main scheme applicant","Not main scheme application","310","275","0.893"
"2022","All","All","Northern Ireland","All","Not main scheme applicant","Not main scheme application","405","355","0.879"
"2023","All","All","Northern Ireland","All","Not main scheme applicant","Not main scheme application","390","340","0.874"
"2006","All","All","England","All","Not main scheme applicant","Not main scheme application","23910","23535","0.984"
"2007","All","All","England","All","Not main scheme applicant","Not main scheme application","25580","25125","0.982"
"2008","All","All","England","All","Not main scheme applicant","Not main scheme application","29805","29180","0.979"
"2009","All","All","England","All","Not main scheme applicant","Not main scheme application","25855","24375","0.9430000000000001"
"2010","All","All","England","All","Not main scheme applicant","Not main scheme application","16070","15030","0.935"
"2011","All","All","England","All","Not main scheme applicant","Not main scheme application","14720","13335","0.906"
"2012","All","All","England","All","Not main scheme applicant","Not main scheme application","21250","19640","0.924"
"2013","All","All","England","All","Not main scheme applicant","Not main scheme application","25265","23660","0.936"
"2014","All","All","England","All","Not main scheme applicant","Not main scheme application","27320","25640","0.9390000000000001"
"2015","All","All","England","All","Not main scheme applicant","Not main scheme application","29740","27915","0.9390000000000001"
"2016","All","All","England","All","Not main scheme applicant","Not main scheme application","28675","26775","0.934"
"2017","All","All","England","All","Not main scheme applicant","Not main scheme application","34385","31835","0.926"
"2018","All","All","England","All","Not main scheme applicant","Not main scheme application","42335","39995","0.9450000000000001"
"2019","All","All","England","All","Not main scheme applicant","Not main scheme application","51245","48260","0.9420000000000001"
"2020","All","All","England","All","Not main scheme applicant","Not main scheme application","52675","48945","0.929"
"2021","All","All","England","All","Not main scheme applicant","Not main scheme application","48180","44765","0.929"
"2022","All","All","England","All","Not main scheme applicant","Not main scheme application","58070","53845","0.927"
"2023","All","All","England","All","Not main scheme applicant","Not main scheme application","64590","59310","0.918"
"2006","All","All","Scotland","All","Not main scheme applicant","Not main scheme application","2050","1990","0.972"
"2007","All","All","Scotland","All","Not main scheme applicant","Not main scheme application","2280","2235","0.98"
"2008","All","All","Scotland","All","Not main scheme applicant","Not main scheme application","3835","3775","0.984"
"2009","All","All","Scotland","All","Not main scheme applicant","Not main scheme application","3875","3775","0.975"
"2010","All","All","Scotland","All","Not main scheme applicant","Not main scheme application","3035","3000","0.987"
"2011","All","All","Scotland","All","Not main scheme applicant","Not main scheme application","2405","2355","0.979"
"2012","All","All","Scotland","All","Not main scheme applicant","Not main scheme application","2400","2350","0.98"
"2013","All","All","Scotland","All","Not main scheme applicant","Not main scheme application","2550","2500","0.98"
"2014","All","All","Scotland","All","Not main scheme applicant","Not main scheme application","670","605","0.903"
"2015","All","All","Scotland","All","Not main scheme applicant","Not main scheme application","2545","2435","0.9570000000000001"
"2016","All","All","Scotland","All","Not main scheme applicant","Not main scheme application","2585","2490","0.964"
"2017","All","All","Scotland","All","Not main scheme applicant","Not main scheme application","2625","2505","0.9540000000000001"
"2018","All","All","Scotland","All","Not main scheme applicant","Not main scheme application","2765","2630","0.9520000000000001"
"2019","All","All","Scotland","All","Not main scheme applicant","Not main scheme application","2555","2380","0.931"
"2020","All","All","Scotland","All","Not main scheme applicant","Not main scheme application","3400","3130","0.921"
"2021","All","All","Scotland","All","Not main scheme applicant","Not main scheme application","2195","2035","0.927"
"2022","All","All","Scotland","All","Not main scheme applicant","Not main scheme application","2745","2415","0.881"
"2023","All","All","Scotland","All","Not main scheme applicant","Not main scheme application","3490","3175","0.91"
"2006","All","All","Wales","All","Not main scheme applicant","Not main scheme application","1700","1685","0.99"
"2007","All","All","Wales","All","Not main scheme applicant","Not main scheme application","1630","1605","0.983"
"2008","All","All","Wales","All","Not main scheme applicant","Not main scheme application","1965","1935","0.985"
"2009","All","All","Wales","All","Not main scheme applicant","Not main scheme application","1860","1805","0.971"
"2010","All","All","Wales","All","Not main scheme applicant","Not main scheme application","1175","1130","0.961"
"2011","All","All","Wales","All","Not main scheme applicant","Not main scheme application","895","855","0.9540000000000001"
"2012","All","All","Wales","All","Not main scheme applicant","Not main scheme application","1500","1445","0.965"
"2013","All","All","Wales","All","Not main scheme applicant","Not main scheme application","1815","1745","0.962"
"2014","All","All","Wales","All","Not main scheme applicant","Not main scheme application","1485","1420","0.9550000000000001"
"2015","All","All","Wales","All","Not main scheme applicant","Not main scheme application","1500","1425","0.9510000000000001"
"2016","All","All","Wales","All","Not main scheme applicant","Not main scheme application","1510","1435","0.9500000000000001"
"2017","All","All","Wales","All","Not main scheme applicant","Not main scheme application","1945","1855","0.9560000000000001"
"2018","All","All","Wales","All","Not main scheme applicant","Not main scheme application","1900","1815","0.9550000000000001"
"2019","All","All","Wales","All","Not main scheme applicant","Not main scheme application","2155","2035","0.9460000000000001"
"2020","All","All","Wales","All","Not main scheme applicant","Not main scheme application","2025","1870","0.925"
"2021","All","All","Wales","All","Not main scheme applicant","Not main scheme application","1595","1450","0.91"
"2022","All","All","Wales","All","Not main scheme applicant","Not main scheme application","1870","1720","0.918"
"2023","All","All","Wales","All","Not main scheme applicant","Not main scheme application","1905","1735","0.912"
"2006","All","All","Not EU","All","Not main scheme applicant","Not main scheme application","4680","4530","0.967"
"2007","All","All","Not EU","All","Not main scheme applicant","Not main scheme application","5230","5055","0.966"
"2008","All","All","Not EU","All","Not main scheme applicant","Not main scheme application","6075","5620","0.925"
"2009","All","All","Not EU","All","Not main scheme applicant","Not main scheme application","7930","7470","0.9420000000000001"
"2010","All","All","Not EU","All","Not main scheme applicant","Not main scheme application","10230","9785","0.9560000000000001"
"2011","All","All","Not EU","All","Not main scheme applicant","Not main scheme application","5995","5700","0.9510000000000001"
"2012","All","All","Not EU","All","Not main scheme applicant","Not main scheme application","5325","4820","0.906"
"2013","All","All","Not EU","All","Not main scheme applicant","Not main scheme application","4990","4590","0.92"
"2014","All","All","Not EU","All","Not main scheme applicant","Not main scheme application","4980","4580","0.92"
"2015","All","All","Not EU","All","Not main scheme applicant","Not main scheme application","4625","4205","0.909"
"2016","All","All","Not EU","All","Not main scheme applicant","Not main scheme application","4565","4165","0.913"
"2017","All","All","Not EU","All","Not main scheme applicant","Not main scheme application","5105","4665","0.914"
"2018","All","All","Not EU","All","Not main scheme applicant","Not main scheme application","5530","5040","0.911"
"2019","All","All","Not EU","All","Not main scheme applicant","Not main scheme application","6020","5490","0.912"
"2020","All","All","Not EU","All","Not main scheme applicant","Not main scheme application","8790","8055","0.917"
"2021","All","All","Not EU","All","Not main scheme applicant","Not main scheme application","8750","8080","0.924"
"2022","All","All","Not EU","All","Not main scheme applicant","Not main scheme application","14220","13110","0.922"
"2023","All","All","Not EU","All","Not main scheme applicant","Not main scheme application","13385","12360","0.924"
"2006","All","All","EU (excluding UK)","All","Not main scheme applicant","Not main scheme application","1800","1760","0.978"
"2007","All","All","EU (excluding UK)","All","Not main scheme applicant","Not main scheme application","1915","1860","0.972"
"2008","All","All","EU (excluding UK)","All","Not main scheme applicant","Not main scheme application","2185","2065","0.9450000000000001"
"2009","All","All","EU (excluding UK)","All","Not main scheme applicant","Not main scheme application","2140","1990","0.932"
"2010","All","All","EU (excluding UK)","All","Not main scheme applicant","Not main scheme application","2020","1895","0.9380000000000001"
"2011","All","All","EU (excluding UK)","All","Not main scheme applicant","Not main scheme application","1325","1195","0.901"
"2012","All","All","EU (excluding UK)","All","Not main scheme applicant","Not main scheme application","1455","1330","0.911"
"2013","All","All","EU (excluding UK)","All","Not main scheme applicant","Not main scheme application","1320","1200","0.91"
"2014","All","All","EU (excluding UK)","All","Not main scheme applicant","Not main scheme application","1240","1125","0.908"
"2015","All","All","EU (excluding UK)","All","Not main scheme applicant","Not main scheme application","1520","1370","0.901"
"2016","All","All","EU (excluding UK)","All","Not main scheme applicant","Not main scheme application","1525","1395","0.913"
"2017","All","All","EU (excluding UK)","All","Not main scheme applicant","Not main scheme application","1760","1605","0.913"
"2018","All","All","EU (excluding UK)","All","Not main scheme applicant","Not main scheme application","2305","2130","0.924"
"2019","All","All","EU (excluding UK)","All","Not main scheme applicant","Not main scheme application","2235","2045","0.914"
"2020","All","All","EU (excluding UK)","All","Not main scheme applicant","Not main scheme application","2905","2595","0.893"
"2021","All","All","EU (excluding UK)","All","Not main scheme applicant","Not main scheme application","3210","3045","0.9480000000000001"
"2022","All","All","EU (excluding UK)","All","Not main scheme applicant","Not main scheme application","900","765","0.852"
"2023","All","All","EU (excluding UK)","All","Not main scheme applicant","Not main scheme application","770","635","0.8260000000000001"
"2006","All","All","Northern Ireland","All","Main scheme applicant","Not main scheme application","1185","1090","0.917"
"2007","All","All","Northern Ireland","All","Main scheme applicant","Not main scheme application","1125","1030","0.915"
"2008","All","All","Northern Ireland","All","Main scheme applicant","Not main scheme application","1110","1015","0.913"
"2009","All","All","Northern Ireland","All","Main scheme applicant","Not main scheme application","1215","1030","0.845"
"2010","All","All","Northern Ireland","All","Main scheme applicant","Not main scheme application","1280","960","0.752"
"2011","All","All","Northern Ireland","All","Main scheme applicant","Not main scheme application","1560","1030","0.66"
"2012","All","All","Northern Ireland","All","Main scheme applicant","Not main scheme application","1615","1165","0.72"
"2013","All","All","Northern Ireland","All","Main scheme applicant","Not main scheme application","1570","1200","0.765"
"2014","All","All","Northern Ireland","All","Main scheme applicant","Not main scheme application","1650","1265","0.767"
"2015","All","All","Northern Ireland","All","Main scheme applicant","Not main scheme application","1620","1190","0.735"
"2016","All","All","Northern Ireland","All","Main scheme applicant","Not main scheme application","1685","1240","0.738"
"2017","All","All","Northern Ireland","All","Main scheme applicant","Not main scheme application","1925","1465","0.76"
"2018","All","All","Northern Ireland","All","Main scheme applicant","Not main scheme application","1685","1335","0.791"
"2019","All","All","Northern Ireland","All","Main scheme applicant","Not main scheme application","1590","1270","0.799"
"2020","All","All","Northern Ireland","All","Main scheme applicant","Not main scheme application","1550","1325","0.856"
"2021","All","All","Northern Ireland","All","Main scheme applicant","Not main scheme application","1575","1310","0.8300000000000001"
"2022","All","All","Northern Ireland","All","Main scheme applicant","Not main scheme application","1850","1525","0.8240000000000001"
"2023","All","All","Northern Ireland","All","Main scheme applicant","Not main scheme application","1630","1320","0.811"
"2006","All","All","England","All","Main scheme applicant","Not main scheme application","25925","24370","0.9400000000000001"
"2007","All","All","England","All","Main scheme applicant","Not main scheme application","27675","25955","0.9380000000000001"
"2008","All","All","England","All","Main scheme applicant","Not main scheme application","32925","30400","0.923"
"2009","All","All","England","All","Main scheme applicant","Not main scheme application","39830","33710","0.846"
"2010","All","All","England","All","Main scheme applicant","Not main scheme application","46160","36895","0.799"
"2011","All","All","England","All","Main scheme applicant","Not main scheme application","56550","43845","0.775"
"2012","All","All","England","All","Main scheme applicant","Not main scheme application","51790","42455","0.8200000000000001"
"2013","All","All","England","All","Main scheme applicant","Not main scheme application","49730","41570","0.836"
"2014","All","All","England","All","Main scheme applicant","Not main scheme application","54820","45945","0.838"
"2015","All","All","England","All","Main scheme applicant","Not main scheme application","55220","47205","0.855"
"2016","All","All","England","All","Main scheme applicant","Not main scheme application","56005","47695","0.852"
"2017","All","All","England","All","Main scheme applicant","Not main scheme application","52385","46390","0.886"
"2018","All","All","England","All","Main scheme applicant","Not main scheme application","49375","44610","0.904"
"2019","All","All","England","All","Main scheme applicant","Not main scheme application","52720","47830","0.907"
"2020","All","All","England","All","Main scheme applicant","Not main scheme application","54990","50490","0.918"
"2021","All","All","England","All","Main scheme applicant","Not main scheme application","44190","38780","0.878"
"2022","All","All","England","All","Main scheme applicant","Not main scheme application","54385","46955","0.863"
"2023","All","All","England","All","Main scheme applicant","Not main scheme application","58260","51520","0.884"
"2006","All","All","Scotland","All","Main scheme applicant","Not main scheme application","1780","1685","0.9460000000000001"
"2007","All","All","Scotland","All","Main scheme applicant","Not main scheme application","1730","1630","0.9420000000000001"
"2008","All","All","Scotland","All","Main scheme applicant","Not main scheme application","1860","1725","0.927"
"2009","All","All","Scotland","All","Main scheme applicant","Not main scheme application","2260","1985","0.879"
"2010","All","All","Scotland","All","Main scheme applicant","Not main scheme application","2590","1990","0.77"
"2011","All","All","Scotland","All","Main scheme applicant","Not main scheme application","2405","1590","0.66"
"2012","All","All","Scotland","All","Main scheme applicant","Not main scheme application","2535","1700","0.672"
"2013","All","All","Scotland","All","Main scheme applicant","Not main scheme application","2515","1670","0.665"
"2014","All","All","Scotland","All","Main scheme applicant","Not main scheme application","2570","1500","0.584"
"2015","All","All","Scotland","All","Main scheme applicant","Not main scheme application","3010","1860","0.618"
"2016","All","All","Scotland","All","Main scheme applicant","Not main scheme application","3095","1820","0.588"
"2017","All","All","Scotland","All","Main scheme applicant","Not main scheme application","2975","1815","0.611"
"2018","All","All","Scotland","All","Main scheme applicant","Not main scheme application","2620","1615","0.616"
"2019","All","All","Scotland","All","Main scheme applicant","Not main scheme application","2740","1745","0.636"
"2020","All","All","Scotland","All","Main scheme applicant","Not main scheme application","3060","2175","0.711"
"2021","All","All","Scotland","All","Main scheme applicant","Not main scheme application","2530","1555","0.615"
"2022","All","All","Scotland","All","Main scheme applicant","Not main scheme application","2830","1895","0.669"
"2023","All","All","Scotland","All","Main scheme applicant","Not main scheme application","2340","1730","0.738"
"2006","All","All","Wales","All","Main scheme applicant","Not main scheme application","1345","1270","0.9440000000000001"
"2007","All","All","Wales","All","Main scheme applicant","Not main scheme application","1275","1195","0.936"
"2008","All","All","Wales","All","Main scheme applicant","Not main scheme application","1430","1320","0.924"
"2009","All","All","Wales","All","Main scheme applicant","Not main scheme application","1735","1535","0.887"
"2010","All","All","Wales","All","Main scheme applicant","Not main scheme application","1965","1650","0.841"
"2011","All","All","Wales","All","Main scheme applicant","Not main scheme application","2220","1840","0.8280000000000001"
"2012","All","All","Wales","All","Main scheme applicant","Not main scheme application","2310","2030","0.879"
"2013","All","All","Wales","All","Main scheme applicant","Not main scheme application","1980","1700","0.859"
"2014","All","All","Wales","All","Main scheme applicant","Not main scheme application","2130","1825","0.857"
"2015","All","All","Wales","All","Main scheme applicant","Not main scheme application","2125","1870","0.881"
"2016","All","All","Wales","All","Main scheme applicant","Not main scheme application","2200","1915","0.87"
"2017","All","All","Wales","All","Main scheme applicant","Not main scheme application","2195","1985","0.905"
"2018","All","All","Wales","All","Main scheme applicant","Not main scheme application","1885","1685","0.895"
"2019","All","All","Wales","All","Main scheme applicant","Not main scheme application","1840","1640","0.893"
"2020","All","All","Wales","All","Main scheme applicant","Not main scheme application","2025","1815","0.895"
"2021","All","All","Wales","All","Main scheme applicant","Not main scheme application","1790","1540","0.86"
"2022","All","All","Wales","All","Main scheme applicant","Not main scheme application","2150","1865","0.867"
"2023","All","All","Wales","All","Main scheme applicant","Not main scheme application","1890","1665","0.88"
"2006","All","All","Not EU","All","Main scheme applicant","Not main scheme application","2770","2490","0.898"
"2007","All","All","Not EU","All","Main scheme applicant","Not main scheme application","2790","2455","0.88"
"2008","All","All","Not EU","All","Main scheme applicant","Not main scheme application","3295","2815","0.854"
"2009","All","All","Not EU","All","Main scheme applicant","Not main scheme application","4035","3055","0.757"
"2010","All","All","Not EU","All","Main scheme applicant","Not main scheme application","4295","3160","0.735"
"2011","All","All","Not EU","All","Main scheme applicant","Not main scheme application","4535","3185","0.7020000000000001"
"2012","All","All","Not EU","All","Main scheme applicant","Not main scheme application","5025","3505","0.6970000000000001"
"2013","All","All","Not EU","All","Main scheme applicant","Not main scheme application","4960","3505","0.707"
"2014","All","All","Not EU","All","Main scheme applicant","Not main scheme application","5595","3900","0.6970000000000001"
"2015","All","All","Not EU","All","Main scheme applicant","Not main scheme application","5190","3625","0.6980000000000001"
"2016","All","All","Not EU","All","Main scheme applicant","Not main scheme application","5365","3705","0.6910000000000001"
"2017","All","All","Not EU","All","Main scheme applicant","Not main scheme application","5285","3660","0.6920000000000001"
"2018","All","All","Not EU","All","Main scheme applicant","Not main scheme application","5585","3935","0.705"
"2019","All","All","Not EU","All","Main scheme applicant","Not main scheme application","6055","4360","0.72"
"2020","All","All","Not EU","All","Main scheme applicant","Not main scheme application","6370","4850","0.761"
"2021","All","All","Not EU","All","Main scheme applicant","Not main scheme application","4945","3165","0.64"
"2022","All","All","Not EU","All","Main scheme applicant","Not main scheme application","6785","3750","0.553"
"2023","All","All","Not EU","All","Main scheme applicant","Not main scheme application","6970","3950","0.5670000000000001"
"2006","All","All","EU (excluding UK)","All","Main scheme applicant","Not main scheme application","1365","1150","0.84"
"2007","All","All","EU (excluding UK)","All","Main scheme applicant","Not main scheme application","1395","1185","0.849"
"2008","All","All","EU (excluding UK)","All","Main scheme applicant","Not main scheme application","1635","1320","0.808"
"2009","All","All","EU (excluding UK)","All","Main scheme applicant","Not main scheme application","2205","1550","0.7030000000000001"
"2010","All","All","EU (excluding UK)","All","Main scheme applicant","Not main scheme application","2750","1695","0.617"
"2011","All","All","EU (excluding UK)","All","Main scheme applicant","Not main scheme application","2940","1645","0.559"
"2012","All","All","EU (excluding UK)","All","Main scheme applicant","Not main scheme application","2930","1765","0.602"
"2013","All","All","EU (excluding UK)","All","Main scheme applicant","Not main scheme application","2785","1675","0.602"
"2014","All","All","EU (excluding UK)","All","Main scheme applicant","Not main scheme application","2965","1855","0.626"
"2015","All","All","EU (excluding UK)","All","Main scheme applicant","Not main scheme application","3080","2010","0.652"
"2016","All","All","EU (excluding UK)","All","Main scheme applicant","Not main scheme application","3175","2030","0.638"
"2017","All","All","EU (excluding UK)","All","Main scheme applicant","Not main scheme application","2925","2005","0.685"
"2018","All","All","EU (excluding UK)","All","Main scheme applicant","Not main scheme application","2815","1980","0.7030000000000001"
"2019","All","All","EU (excluding UK)","All","Main scheme applicant","Not main scheme application","2960","2060","0.6970000000000001"
"2020","All","All","EU (excluding UK)","All","Main scheme applicant","Not main scheme application","2920","2210","0.757"
"2021","All","All","EU (excluding UK)","All","Main scheme applicant","Not main scheme application","1180","765","0.649"
"2022","All","All","EU (excluding UK)","All","Main scheme applicant","Not main scheme application","1145","690","0.603"
"2023","All","All","EU (excluding UK)","All","Main scheme applicant","Not main scheme application","1120","715","0.639"
"2006","All","All","Northern Ireland","All","Main scheme applicant","Main scheme application","16945","11025","0.651"
"2007","All","All","Northern Ireland","All","Main scheme applicant","Main scheme application","16815","11705","0.6960000000000001"
"2008","All","All","Northern Ireland","All","Main scheme applicant","Main scheme application","16685","12065","0.723"
"2009","All","All","Northern Ireland","All","Main scheme applicant","Main scheme application","17445","12290","0.705"
"2010","All","All","Northern Ireland","All","Main scheme applicant","Main scheme application","19400","12395","0.639"
"2011","All","All","Northern Ireland","All","Main scheme applicant","Main scheme application","20030","12640","0.631"
"2012","All","All","Northern Ireland","All","Main scheme applicant","Main scheme application","19145","11950","0.624"
"2013","All","All","Northern Ireland","All","Main scheme applicant","Main scheme application","20295","13160","0.648"
"2014","All","All","Northern Ireland","All","Main scheme applicant","Main scheme application","20295","12985","0.64"
"2015","All","All","Northern Ireland","All","Main scheme applicant","Main scheme application","20810","12700","0.61"
"2016","All","All","Northern Ireland","All","Main scheme applicant","Main scheme application","21105","13420","0.636"
"2017","All","All","Northern Ireland","All","Main scheme applicant","Main scheme application","20290","12710","0.627"
"2018","All","All","Northern Ireland","All","Main scheme applicant","Main scheme application","19315","12585","0.652"
"2019","All","All","Northern Ireland","All","Main scheme applicant","Main scheme application","18510","12350","0.667"
"2020","All","All","Northern Ireland","All","Main scheme applicant","Main scheme application","18155","13330","0.734"
"2021","All","All","Northern Ireland","All","Main scheme applicant","Main scheme application","19385","13405","0.6910000000000001"
"2022","All","All","Northern Ireland","All","Main scheme applicant","Main scheme application","18430","11895","0.646"
"2023","All","All","Northern Ireland","All","Main scheme applicant","Main scheme application","17625","11365","0.645"
"2006","All","All","England","All","Main scheme applicant","Main scheme application","329680","240125","0.728"
"2007","All","All","England","All","Main scheme applicant","Main scheme application","349890","254700","0.728"
"2008","All","All","England","All","Main scheme applicant","Main scheme application","388935","282860","0.727"
"2009","All","All","England","All","Main scheme applicant","Main scheme application","428315","301040","0.7030000000000001"
"2010","All","All","England","All","Main scheme applicant","Main scheme application","473215","307080","0.649"
"2011","All","All","England","All","Main scheme applicant","Main scheme application","476675","309970","0.65"
"2012","All","All","England","All","Main scheme applicant","Main scheme application","429030","280660","0.654"
"2013","All","All","England","All","Main scheme applicant","Main scheme application","441765","302670","0.685"
"2014","All","All","England","All","Main scheme applicant","Main scheme application","456885","310930","0.681"
"2015","All","All","England","All","Main scheme applicant","Main scheme application","460685","319265","0.6930000000000001"
"2016","All","All","England","All","Main scheme applicant","Main scheme application","459355","319825","0.6960000000000001"
"2017","All","All","England","All","Main scheme applicant","Main scheme application","437800","313140","0.715"
"2018","All","All","England","All","Main scheme applicant","Main scheme application","421530","303420","0.72"
"2019","All","All","England","All","Main scheme applicant","Main scheme application","418930","298785","0.713"
"2020","All","All","England","All","Main scheme applicant","Main scheme application","427220","312320","0.731"
"2021","All","All","England","All","Main scheme applicant","Main scheme application","456280","333830","0.732"
"2022","All","All","England","All","Main scheme applicant","Main scheme application","458990","317290","0.6910000000000001"
"2023","All","All","England","All","Main scheme applicant","Main scheme application","446475","303195","0.679"
"2006","All","All","Scotland","All","Main scheme applicant","Main scheme application","33185","23125","0.6970000000000001"
"2007","All","All","Scotland","All","Main scheme applicant","Main scheme application","32990","23355","0.708"
"2008","All","All","Scotland","All","Main scheme applicant","Main scheme application","33890","23890","0.705"
"2009","All","All","Scotland","All","Main scheme applicant","Main scheme application","35895","25265","0.704"
"2010","All","All","Scotland","All","Main scheme applicant","Main scheme application","43040","27260","0.633"
"2011","All","All","Scotland","All","Main scheme applicant","Main scheme application","43395","26855","0.619"
"2012","All","All","Scotland","All","Main scheme applicant","Main scheme application","42485","26845","0.632"
"2013","All","All","Scotland","All","Main scheme applicant","Main scheme application","42925","27330","0.637"
"2014","All","All","Scotland","All","Main scheme applicant","Main scheme application","43910","28210","0.642"
"2015","All","All","Scotland","All","Main scheme applicant","Main scheme application","48495","30480","0.629"
"2016","All","All","Scotland","All","Main scheme applicant","Main scheme application","49465","31360","0.634"
"2017","All","All","Scotland","All","Main scheme applicant","Main scheme application","48930","32220","0.658"
"2018","All","All","Scotland","All","Main scheme applicant","Main scheme application","48715","32865","0.675"
"2019","All","All","Scotland","All","Main scheme applicant","Main scheme application","47110","31600","0.671"
"2020","All","All","Scotland","All","Main scheme applicant","Main scheme application","47260","33205","0.7030000000000001"
"2021","All","All","Scotland","All","Main scheme applicant","Main scheme application","52730","35710","0.677"
"2022","All","All","Scotland","All","Main scheme applicant","Main scheme application","47885","33005","0.6890000000000001"
"2023","All","All","Scotland","All","Main scheme applicant","Main scheme application","44130","31940","0.724"
"2006","All","All","Wales","All","Main scheme applicant","Main scheme application","19550","14195","0.726"
"2007","All","All","Wales","All","Main scheme applicant","Main scheme application","19620","14570","0.743"
"2008","All","All","Wales","All","Main scheme applicant","Main scheme application","20570","15340","0.746"
"2009","All","All","Wales","All","Main scheme applicant","Main scheme application","22825","16855","0.738"
"2010","All","All","Wales","All","Main scheme applicant","Main scheme application","23590","15890","0.674"
"2011","All","All","Wales","All","Main scheme applicant","Main scheme application","23915","15635","0.654"
"2012","All","All","Wales","All","Main scheme applicant","Main scheme application","23230","15830","0.682"
"2013","All","All","Wales","All","Main scheme applicant","Main scheme application","22660","16220","0.716"
"2014","All","All","Wales","All","Main scheme applicant","Main scheme application","23440","16920","0.722"
"2015","All","All","Wales","All","Main scheme applicant","Main scheme application","23535","17215","0.731"
"2016","All","All","Wales","All","Main scheme applicant","Main scheme application","23740","17365","0.732"
"2017","All","All","Wales","All","Main scheme applicant","Main scheme application","22530","16825","0.747"
