"Year","Difference between predicted and achieved A level points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2018","1 points","Black","Main scheme applicant","Not main scheme application","50","45","0.9390000000000001","0"
"2019","1 points","Black","Main scheme applicant","Not main scheme application","50","50","1","0"
"2020","1 points","Black","Main scheme applicant","Not main scheme application","150","140","0.9400000000000001","0"
"2021","1 points","Black","Main scheme applicant","Not main scheme application","155","145","0.935","0"
"2022","1 points","Black","Main scheme applicant","Not main scheme application","120","110","0.909","0"
"2023","1 points","Black","Main scheme applicant","Not main scheme application","60","60","0.967","0"
"2010","2 points","Black","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2011","2 points","Black","Main scheme applicant","Not main scheme application","25","25","0.92","0"
"2012","2 points","Black","Main scheme applicant","Not main scheme application","15","15","0.9380000000000001","0"
"2013","2 points","Black","Main scheme applicant","Not main scheme application","25","25","0.885","0"
"2014","2 points","Black","Main scheme applicant","Not main scheme application","25","20","0.917","0"
"2015","2 points","Black","Main scheme applicant","Not main scheme application","25","20","0.9570000000000001","0"
"2016","2 points","Black","Main scheme applicant","Not main scheme application","20","20","0.9520000000000001","0"
"2017","2 points","Black","Main scheme applicant","Not main scheme application","20","20","0.9550000000000001","0"
"2018","2 points","Black","Main scheme applicant","Not main scheme application","20","20","0.909","0"
"2019","2 points","Black","Main scheme applicant","Not main scheme application","25","20","0.917","0"
"2020","2 points","Black","Main scheme applicant","Not main scheme application","45","45","0.9570000000000001","0"
"2021","2 points","Black","Main scheme applicant","Not main scheme application","75","70","0.933","0"
"2022","2 points","Black","Main scheme applicant","Not main scheme application","60","60","0.968","0"
"2023","2 points","Black","Main scheme applicant","Not main scheme application","20","20","0.9550000000000001","0"
"2010","3 points","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","3 points","Black","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2012","3 points","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","3 points","Black","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2014","3 points","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","3 points","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","3 points","Black","Main scheme applicant","Not main scheme application","15","10","0.923","0"
"2017","3 points","Black","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2018","3 points","Black","Main scheme applicant","Not main scheme application","10","10","1","0"
"2019","3 points","Black","Main scheme applicant","Not main scheme application","10","10","1","0"
"2020","3 points","Black","Main scheme applicant","Not main scheme application","15","15","1","0"
"2021","3 points","Black","Main scheme applicant","Not main scheme application","35","35","0.971","0"
"2022","3 points","Black","Main scheme applicant","Not main scheme application","20","20","0.9520000000000001","0"
"2023","3 points","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","More than 3 points","Black","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2013","More than 3 points","Black","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2014","More than 3 points","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","More than 3 points","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","More than 3 points","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","More than 3 points","Black","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","More than 3 points","Black","Main scheme applicant","Not main scheme application","20","20","0.905","0"
"2022","More than 3 points","Black","Main scheme applicant","Not main scheme application","20","15","0.842","0"
"2023","More than 3 points","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","-1 points","Black","Main scheme applicant","Not main scheme application","200","185","0.925","0"
"2011","-1 points","Black","Main scheme applicant","Not main scheme application","230","210","0.909","0"
"2012","-1 points","Black","Main scheme applicant","Not main scheme application","215","200","0.9440000000000001","0"
"2013","-1 points","Black","Main scheme applicant","Not main scheme application","205","200","0.9570000000000001","0"
"2014","-1 points","Black","Main scheme applicant","Not main scheme application","230","215","0.935","0"
"2015","-1 points","Black","Main scheme applicant","Not main scheme application","240","225","0.9410000000000001","0"
"2016","-1 points","Black","Main scheme applicant","Not main scheme application","210","195","0.933","0"
"2017","-1 points","Black","Main scheme applicant","Not main scheme application","205","200","0.961","0"
"2018","-1 points","Black","Main scheme applicant","Not main scheme application","190","180","0.9580000000000001","0"
"2019","-1 points","Black","Main scheme applicant","Not main scheme application","165","160","0.976","0"
"2020","-1 points","Black","Main scheme applicant","Not main scheme application","480","470","0.973","0"
"2021","-1 points","Black","Main scheme applicant","Not main scheme application","360","340","0.936","0"
"2022","-1 points","Black","Main scheme applicant","Not main scheme application","310","290","0.929","0"
"2023","-1 points","Black","Main scheme applicant","Not main scheme application","260","240","0.93","0"
"2010","-2 points","Black","Main scheme applicant","Not main scheme application","270","255","0.9480000000000001","0"
"2011","-2 points","Black","Main scheme applicant","Not main scheme application","365","335","0.913","0"
"2012","-2 points","Black","Main scheme applicant","Not main scheme application","335","325","0.9580000000000001","0"
"2013","-2 points","Black","Main scheme applicant","Not main scheme application","285","270","0.9440000000000001","0"
"2014","-2 points","Black","Main scheme applicant","Not main scheme application","350","330","0.9460000000000001","0"
"2015","-2 points","Black","Main scheme applicant","Not main scheme application","310","295","0.9460000000000001","0"
"2016","-2 points","Black","Main scheme applicant","Not main scheme application","355","340","0.9580000000000001","0"
"2017","-2 points","Black","Main scheme applicant","Not main scheme application","340","325","0.9590000000000001","0"
"2018","-2 points","Black","Main scheme applicant","Not main scheme application","315","305","0.962","0"
"2019","-2 points","Black","Main scheme applicant","Not main scheme application","315","295","0.934","0"
"2020","-2 points","Black","Main scheme applicant","Not main scheme application","545","525","0.963","0"
"2021","-2 points","Black","Main scheme applicant","Not main scheme application","400","385","0.963","0"
"2022","-2 points","Black","Main scheme applicant","Not main scheme application","455","430","0.9490000000000001","0"
"2023","-2 points","Black","Main scheme applicant","Not main scheme application","395","375","0.9420000000000001","0"
"2010","-3 points","Black","Main scheme applicant","Not main scheme application","315","290","0.92","0"
"2011","-3 points","Black","Main scheme applicant","Not main scheme application","395","365","0.927","0"
