"Year","MEM quintile","Tariff group of provider","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Accepted applicants","Population estimate","Entry rate"
"2013","Quintile 5","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","40","78070","0.001"
"2014","Quintile 1","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","38260","0"
"2014","Quintile 2","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","46110","0"
"2014","Quintile 3","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","53530","0"
"2014","Quintile 4","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","76360","0"
"2014","Quintile 5","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","30","77390","0"
"2015","Quintile 1","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","39660","0"
"2015","Quintile 2","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","46570","0"
"2015","Quintile 3","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","54570","0"
"2015","Quintile 4","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","77870","0"
"2015","Quintile 5","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","40","79680","0"
"2016","Quintile 1","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","39810","0"
"2016","Quintile 2","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","44630","0"
"2016","Quintile 3","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","52740","0"
"2016","Quintile 4","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","77300","0"
"2016","Quintile 5","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","40","78790","0"
"2017","Quintile 1","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","38580","0"
"2017","Quintile 2","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","44030","0"
"2017","Quintile 3","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","51410","0"
"2017","Quintile 4","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","76960","0"
"2017","Quintile 5","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","40","79370","0.001"
"2018","Quintile 1","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","37730","0"
"2018","Quintile 2","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","42420","0"
"2018","Quintile 3","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","49210","0"
"2018","Quintile 4","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","20","76430","0"
