"Year","Achieved SQA higher points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","10 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","11 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","11 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","11 point(s)","Asian","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2013","11 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","11 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","11 point(s)","Asian","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2016","11 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","11 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","11 point(s)","Asian","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2019","11 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","11 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","11 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","11 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","11 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","12 point(s)","Asian","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2011","12 point(s)","Asian","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2012","12 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","12 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","12 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","12 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","12 point(s)","Asian","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2017","12 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","12 point(s)","Asian","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2019","12 point(s)","Asian","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","12 point(s)","Asian","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2021","12 point(s)","Asian","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","12 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","12 point(s)","Asian","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2010","13 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","13 point(s)","Asian","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2012","13 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","13 point(s)","Asian","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2014","13 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","13 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","13 point(s)","Asian","Main scheme applicant","Not main scheme application","15","10","0.786","0"
"2017","13 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","13 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","13 point(s)","Asian","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","13 point(s)","Asian","Main scheme applicant","Not main scheme application","10","10","1","0"
"2021","13 point(s)","Asian","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2022","13 point(s)","Asian","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2023","13 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","14 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","14 point(s)","Asian","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2012","14 point(s)","Asian","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2013","14 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","14 point(s)","Asian","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2015","14 point(s)","Asian","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2016","14 point(s)","Asian","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2017","14 point(s)","Asian","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2018","14 point(s)","Asian","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2019","14 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","14 point(s)","Asian","Main scheme applicant","Not main scheme application","15","10","0.75","0"
"2021","14 point(s)","Asian","Main scheme applicant","Not main scheme application","10","10","1","0"
"2022","14 point(s)","Asian","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","14 point(s)","Asian","Main scheme applicant","Not main scheme application","10","10","0.909","0"
"2010","15 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","15 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","15 point(s)","Asian","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2013","15 point(s)","Asian","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2014","15 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","15 point(s)","Asian","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2016","15 point(s)","Asian","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2017","15 point(s)","Asian","Main scheme applicant","Not main scheme application","5","0"," ","0"
