"Year","Achieved SQA higher points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2016","13 point(s)","White","All","Main scheme application","860","505","0.586","0"
"2017","13 point(s)","White","All","Main scheme application","810","460","0.5680000000000001","0"
"2018","13 point(s)","White","All","Main scheme application","810","525","0.649","0"
"2019","13 point(s)","White","All","Main scheme application","760","485","0.636","0"
"2020","13 point(s)","White","All","Main scheme application","705","460","0.656","0"
"2021","13 point(s)","White","All","Main scheme application","530","355","0.669","0"
"2022","13 point(s)","White","All","Main scheme application","545","355","0.654","0"
"2023","13 point(s)","White","All","Main scheme application","645","490","0.761","0"
"2010","14 point(s)","White","All","Main scheme application","1220","935","0.768","0"
"2011","14 point(s)","White","All","Main scheme application","1230","835","0.679","0"
"2012","14 point(s)","White","All","Main scheme application","1170","800","0.683","0"
"2013","14 point(s)","White","All","Main scheme application","1135","750","0.662","0"
"2014","14 point(s)","White","All","Main scheme application","1185","795","0.674","0"
"2015","14 point(s)","White","All","Main scheme application","1185","760","0.641","0"
"2016","14 point(s)","White","All","Main scheme application","1105","675","0.612","0"
"2017","14 point(s)","White","All","Main scheme application","1020","665","0.652","0"
"2018","14 point(s)","White","All","Main scheme application","1015","730","0.717","0"
"2019","14 point(s)","White","All","Main scheme application","925","650","0.7030000000000001","0"
"2020","14 point(s)","White","All","Main scheme application","900","635","0.705","0"
"2021","14 point(s)","White","All","Main scheme application","735","525","0.717","0"
"2022","14 point(s)","White","All","Main scheme application","740","545","0.738","0"
"2023","14 point(s)","White","All","Main scheme application","765","585","0.763","0"
"2010","15 point(s)","White","All","Main scheme application","1460","1215","0.833","0"
"2011","15 point(s)","White","All","Main scheme application","1405","1095","0.78","0"
"2012","15 point(s)","White","All","Main scheme application","1395","1085","0.777","0"
"2013","15 point(s)","White","All","Main scheme application","1370","1060","0.774","0"
"2014","15 point(s)","White","All","Main scheme application","1270","970","0.764","0"
"2015","15 point(s)","White","All","Main scheme application","1365","1000","0.735","0"
"2016","15 point(s)","White","All","Main scheme application","1310","935","0.713","0"
"2017","15 point(s)","White","All","Main scheme application","1265","900","0.712","0"
"2018","15 point(s)","White","All","Main scheme application","1160","875","0.755","0"
"2019","15 point(s)","White","All","Main scheme application","1145","900","0.783","0"
"2020","15 point(s)","White","All","Main scheme application","1050","815","0.777","0"
"2021","15 point(s)","White","All","Main scheme application","920","705","0.765","0"
"2022","15 point(s)","White","All","Main scheme application","915","690","0.751","0"
"2023","15 point(s)","White","All","Main scheme application","980","815","0.8320000000000001","0"
"2010","16 point(s)","White","All","Main scheme application","1515","1335","0.88","0"
"2011","16 point(s)","White","All","Main scheme application","1575","1325","0.841","0"
"2012","16 point(s)","White","All","Main scheme application","1490","1265","0.847","0"
"2013","16 point(s)","White","All","Main scheme application","1555","1295","0.833","0"
"2014","16 point(s)","White","All","Main scheme application","1530","1315","0.858","0"
"2015","16 point(s)","White","All","Main scheme application","1560","1260","0.806","0"
"2016","16 point(s)","White","All","Main scheme application","1585","1260","0.795","0"
"2017","16 point(s)","White","All","Main scheme application","1555","1230","0.789","0"
"2018","16 point(s)","White","All","Main scheme application","1510","1240","0.8200000000000001","0"
"2019","16 point(s)","White","All","Main scheme application","1350","1115","0.8260000000000001","0"
"2020","16 point(s)","White","All","Main scheme application","1265","1055","0.837","0"
"2021","16 point(s)","White","All","Main scheme application","1210","985","0.8140000000000001","0"
"2022","16 point(s)","White","All","Main scheme application","1120","915","0.8180000000000001","0"
"2023","16 point(s)","White","All","Main scheme application","1160","1005","0.865","0"
"2010","17 point(s)","White","All","Main scheme application","1425","1295","0.911","0"
"2011","17 point(s)","White","All","Main scheme application","1615","1440","0.891","0"
"2012","17 point(s)","White","All","Main scheme application","1610","1435","0.891","0"
"2013","17 point(s)","White","All","Main scheme application","1575","1390","0.884","0"
"2014","17 point(s)","White","All","Main scheme application","1665","1485","0.892","0"
"2015","17 point(s)","White","All","Main scheme application","1665","1475","0.886","0"
"2016","17 point(s)","White","All","Main scheme application","1820","1560","0.859","0"
"2017","17 point(s)","White","All","Main scheme application","1725","1455","0.844","0"
"2018","17 point(s)","White","All","Main scheme application","1630","1390","0.853","0"
"2019","17 point(s)","White","All","Main scheme application","1445","1260","0.871","0"
"2020","17 point(s)","White","All","Main scheme application","1530","1335","0.871","0"
"2021","17 point(s)","White","All","Main scheme application","1530","1305","0.853","0"
"2022","17 point(s)","White","All","Main scheme application","1325","1150","0.868","0"
"2023","17 point(s)","White","All","Main scheme application","1365","1200","0.878","0"
"2010","18 point(s)","White","All","Main scheme application","1315","1220","0.928","0"
"2011","18 point(s)","White","All","Main scheme application","1430","1300","0.909","0"
"2012","18 point(s)","White","All","Main scheme application","1595","1475","0.924","0"
"2013","18 point(s)","White","All","Main scheme application","1535","1410","0.919","0"
"2014","18 point(s)","White","All","Main scheme application","1820","1685","0.927","0"
"2015","18 point(s)","White","All","Main scheme application","1765","1620","0.918","0"
"2016","18 point(s)","White","All","Main scheme application","1770","1590","0.898","0"
"2017","18 point(s)","White","All","Main scheme application","1815","1610","0.885","0"
"2018","18 point(s)","White","All","Main scheme application","1595","1425","0.895","0"
"2019","18 point(s)","White","All","Main scheme application","1535","1390","0.907","0"
"2020","18 point(s)","White","All","Main scheme application","1635","1475","0.902","0"
"2021","18 point(s)","White","All","Main scheme application","1795","1580","0.879","0"
"2022","18 point(s)","White","All","Main scheme application","1575","1370","0.869","0"
"2023","18 point(s)","White","All","Main scheme application","1560","1425","0.914","0"
"2010","19 point(s)","White","All","Main scheme application","1255","1165","0.928","0"
"2011","19 point(s)","White","All","Main scheme application","1260","1175","0.933","0"
"2012","19 point(s)","White","All","Main scheme application","1485","1365","0.92","0"
"2013","19 point(s)","White","All","Main scheme application","1580","1475","0.933","0"
"2014","19 point(s)","White","All","Main scheme application","1630","1495","0.917","0"
"2015","19 point(s)","White","All","Main scheme application","1640","1500","0.914","0"
"2016","19 point(s)","White","All","Main scheme application","1775","1620","0.914","0"
"2017","19 point(s)","White","All","Main scheme application","1715","1575","0.919","0"
"2018","19 point(s)","White","All","Main scheme application","1615","1470","0.912","0"
"2019","19 point(s)","White","All","Main scheme application","1580","1455","0.921","0"
"2020","19 point(s)","White","All","Main scheme application","1665","1520","0.915","0"
"2021","19 point(s)","White","All","Main scheme application","1980","1775","0.897","0"
"2022","19 point(s)","White","All","Main scheme application","1845","1640","0.888","0"
"2023","19 point(s)","White","All","Main scheme application","1665","1535","0.921","0"
"2010","20 point(s)","White","All","Main scheme application","2045","1900","0.928","0"
"2011","20 point(s)","White","All","Main scheme application","2240","2070","0.925","0"
"2012","20 point(s)","White","All","Main scheme application","2450","2255","0.92","0"
"2013","20 point(s)","White","All","Main scheme application","2750","2520","0.916","0"
"2014","20 point(s)","White","All","Main scheme application","2835","2610","0.92","0"
"2015","20 point(s)","White","All","Main scheme application","2985","2750","0.921","0"
"2016","20 point(s)","White","All","Main scheme application","3020","2770","0.918","0"
"2017","20 point(s)","White","All","Main scheme application","3100","2860","0.923","0"
"2018","20 point(s)","White","All","Main scheme application","3075","2840","0.924","0"
"2019","20 point(s)","White","All","Main scheme application","2900","2695","0.929","0"
"2020","20 point(s)","White","All","Main scheme application","3540","3280","0.927","0"
"2021","20 point(s)","White","All","Main scheme application","5440","5050","0.929","0"
"2022","20 point(s)","White","All","Main scheme application","5540","5065","0.914","0"
"2023","20 point(s)","White","All","Main scheme application","4260","3960","0.929","0"
"2023","7 point(s)","Black","All","Main scheme application","5","0"," ","0"
"2017","8 point(s)","Black","All","Main scheme application","5","0"," ","0"
"2019","8 point(s)","Black","All","Main scheme application","5","0"," ","0"
"2022","8 point(s)","Black","All","Main scheme application","5","0"," ","0"
"2023","8 point(s)","Black","All","Main scheme application","5","5"," ","0"
"2012","9 point(s)","Black","All","Main scheme application","5","0"," ","0"
"2018","9 point(s)","Black","All","Main scheme application","5","0"," ","0"
"2019","9 point(s)","Black","All","Main scheme application","5","0"," ","0"
"2020","9 point(s)","Black","All","Main scheme application","5","5"," ","0"
"2022","9 point(s)","Black","All","Main scheme application","5","0"," ","0"
"2023","9 point(s)","Black","All","Main scheme application","10","5"," ","0"
"2014","10 point(s)","Black","All","Main scheme application","5","0"," ","0"
"2019","10 point(s)","Black","All","Main scheme application","10","0"," ","0"
"2020","10 point(s)","Black","All","Main scheme application","5","5"," ","0"
"2021","10 point(s)","Black","All","Main scheme application","5","0"," ","0"
"2022","10 point(s)","Black","All","Main scheme application","5","5"," ","0"
"2023","10 point(s)","Black","All","Main scheme application","10","10"," ","0"
"2011","11 point(s)","Black","All","Main scheme application","5","0"," ","0"
"2012","11 point(s)","Black","All","Main scheme application","5","0"," ","0"
"2013","11 point(s)","Black","All","Main scheme application","5","0"," ","0"
"2014","11 point(s)","Black","All","Main scheme application","5","0"," ","0"
"2015","11 point(s)","Black","All","Main scheme application","5","0"," ","0"
"2017","11 point(s)","Black","All","Main scheme application","5","5"," ","0"
"2018","11 point(s)","Black","All","Main scheme application","5","0"," ","0"
"2019","11 point(s)","Black","All","Main scheme application","5","5"," ","0"
"2020","11 point(s)","Black","All","Main scheme application","15","5"," ","0"
"2021","11 point(s)","Black","All","Main scheme application","10","5"," ","0"
"2022","11 point(s)","Black","All","Main scheme application","10","5"," ","0"
"2023","11 point(s)","Black","All","Main scheme application","20","20","0.864","0"
"2010","12 point(s)","Black","All","Main scheme application","5","0"," ","0"
"2013","12 point(s)","Black","All","Main scheme application","15","10"," ","0"
"2015","12 point(s)","Black","All","Main scheme application","5","0"," ","0"
"2016","12 point(s)","Black","All","Main scheme application","5","5"," ","0"
"2017","12 point(s)","Black","All","Main scheme application","10","5"," ","0"
"2018","12 point(s)","Black","All","Main scheme application","10","5"," ","0"
"2019","12 point(s)","Black","All","Main scheme application","10","10"," ","0"
"2020","12 point(s)","Black","All","Main scheme application","15","10","0.647","0"
"2021","12 point(s)","Black","All","Main scheme application","15","10"," ","0"
"2022","12 point(s)","Black","All","Main scheme application","10","10"," ","0"
"2023","12 point(s)","Black","All","Main scheme application","15","10","0.846","0"
"2011","13 point(s)","Black","All","Main scheme application","5","5"," ","0"
"2012","13 point(s)","Black","All","Main scheme application","5","5"," ","0"
"2013","13 point(s)","Black","All","Main scheme application","5","5"," ","0"
"2014","13 point(s)","Black","All","Main scheme application","5","5"," ","0"
"2015","13 point(s)","Black","All","Main scheme application","10","5"," ","0"
"2016","13 point(s)","Black","All","Main scheme application","5","5"," ","0"
"2017","13 point(s)","Black","All","Main scheme application","10","10"," ","0"
"2018","13 point(s)","Black","All","Main scheme application","15","10","0.857","0"
"2019","13 point(s)","Black","All","Main scheme application","15","10","0.786","0"
"2020","13 point(s)","Black","All","Main scheme application","20","15","0.667","0"
"2021","13 point(s)","Black","All","Main scheme application","15","10","0.714","0"
"2022","13 point(s)","Black","All","Main scheme application","15","10"," ","0"
"2023","13 point(s)","Black","All","Main scheme application","20","20","0.8180000000000001","0"
"2010","14 point(s)","Black","All","Main scheme application","5","5"," ","0"
"2011","14 point(s)","Black","All","Main scheme application","5","5"," ","0"
"2012","14 point(s)","Black","All","Main scheme application","5","5"," ","0"
"2013","14 point(s)","Black","All","Main scheme application","5","5"," ","0"
"2014","14 point(s)","Black","All","Main scheme application","5","5"," ","0"
"2015","14 point(s)","Black","All","Main scheme application","5","5"," ","0"
"2016","14 point(s)","Black","All","Main scheme application","15","10","0.714","0"
"2017","14 point(s)","Black","All","Main scheme application","10","5"," ","0"
"2018","14 point(s)","Black","All","Main scheme application","15","10"," ","0"
"2019","14 point(s)","Black","All","Main scheme application","10","10"," ","0"
"2020","14 point(s)","Black","All","Main scheme application","25","20","0.84","0"
"2021","14 point(s)","Black","All","Main scheme application","25","15","0.652","0"
"2022","14 point(s)","Black","All","Main scheme application","20","20","0.905","0"
"2023","14 point(s)","Black","All","Main scheme application","25","20","0.741","0"
"2010","15 point(s)","Black","All","Main scheme application","5","5"," ","0"
"2012","15 point(s)","Black","All","Main scheme application","5","5"," ","0"
"2013","15 point(s)","Black","All","Main scheme application","5","5"," ","0"
"2014","15 point(s)","Black","All","Main scheme application","5","5"," ","0"
"2015","15 point(s)","Black","All","Main scheme application","10","5"," ","0"
"2016","15 point(s)","Black","All","Main scheme application","15","10","0.733","0"
"2017","15 point(s)","Black","All","Main scheme application","10","10","0.909","0"
"2018","15 point(s)","Black","All","Main scheme application","10","5"," ","0"
"2019","15 point(s)","Black","All","Main scheme application","10","10"," ","0"
"2020","15 point(s)","Black","All","Main scheme application","20","15","0.9440000000000001","0"
"2021","15 point(s)","Black","All","Main scheme application","25","20","0.8260000000000001","0"
"2022","15 point(s)","Black","All","Main scheme application","15","15","0.933","0"
"2023","15 point(s)","Black","All","Main scheme application","25","20","0.778","0"
"2010","16 point(s)","Black","All","Main scheme application","5","5"," ","0"
"2011","16 point(s)","Black","All","Main scheme application","5","5"," ","0"
"2012","16 point(s)","Black","All","Main scheme application","10","10"," ","0"
"2013","16 point(s)","Black","All","Main scheme application","10","10"," ","0"
"2014","16 point(s)","Black","All","Main scheme application","10","5"," ","0"
"2015","16 point(s)","Black","All","Main scheme application","10","10"," ","0"
"2016","16 point(s)","Black","All","Main scheme application","15","10","0.769","0"
"2017","16 point(s)","Black","All","Main scheme application","15","10","0.769","0"
"2018","16 point(s)","Black","All","Main scheme application","20","15","0.85","0"
"2019","16 point(s)","Black","All","Main scheme application","20","15","0.833","0"
"2020","16 point(s)","Black","All","Main scheme application","25","20","0.84","0"
"2021","16 point(s)","Black","All","Main scheme application","20","15","0.667","0"
"2022","16 point(s)","Black","All","Main scheme application","20","15","0.85","0"
"2023","16 point(s)","Black","All","Main scheme application","35","30","0.811","0"
"2011","17 point(s)","Black","All","Main scheme application","10","10"," ","0"
"2012","17 point(s)","Black","All","Main scheme application","10","10","1","0"
"2013","17 point(s)","Black","All","Main scheme application","5","5"," ","0"
"2014","17 point(s)","Black","All","Main scheme application","5","5"," ","0"
"2015","17 point(s)","Black","All","Main scheme application","10","10"," ","0"
"2016","17 point(s)","Black","All","Main scheme application","10","5"," ","0"
"2017","17 point(s)","Black","All","Main scheme application","15","10","0.786","0"
"2018","17 point(s)","Black","All","Main scheme application","15","15","0.929","0"
"2019","17 point(s)","Black","All","Main scheme application","15","15","1","0"
"2020","17 point(s)","Black","All","Main scheme application","25","25","0.923","0"
"2021","17 point(s)","Black","All","Main scheme application","30","25","0.8210000000000001","0"
"2022","17 point(s)","Black","All","Main scheme application","20","15","0.889","0"
"2023","17 point(s)","Black","All","Main scheme application","30","30","0.9380000000000001","0"
"2010","18 point(s)","Black","All","Main scheme application","5","5"," ","0"
"2012","18 point(s)","Black","All","Main scheme application","5","5"," ","0"
"2013","18 point(s)","Black","All","Main scheme application","10","5"," ","0"
"2014","18 point(s)","Black","All","Main scheme application","5","5"," ","0"
"2015","18 point(s)","Black","All","Main scheme application","10","10"," ","0"
"2016","18 point(s)","Black","All","Main scheme application","5","5"," ","0"
"2017","18 point(s)","Black","All","Main scheme application","10","10"," ","0"
"2018","18 point(s)","Black","All","Main scheme application","15","10","0.733","0"
"2019","18 point(s)","Black","All","Main scheme application","10","10","1","0"
"2020","18 point(s)","Black","All","Main scheme application","20","20","0.9500000000000001","0"
"2021","18 point(s)","Black","All","Main scheme application","20","15","0.842","0"
"2022","18 point(s)","Black","All","Main scheme application","35","30","0.833","0"
"2023","18 point(s)","Black","All","Main scheme application","40","35","0.881","0"
"2010","19 point(s)","Black","All","Main scheme application","5","5"," ","0"
"2011","19 point(s)","Black","All","Main scheme application","5","5"," ","0"
"2012","19 point(s)","Black","All","Main scheme application","5","5"," ","0"
"2013","19 point(s)","Black","All","Main scheme application","5","5"," ","0"
"2014","19 point(s)","Black","All","Main scheme application","10","5"," ","0"
"2015","19 point(s)","Black","All","Main scheme application","5","5"," ","0"
"2016","19 point(s)","Black","All","Main scheme application","5","5"," ","0"
"2017","19 point(s)","Black","All","Main scheme application","15","10","0.857","0"
"2018","19 point(s)","Black","All","Main scheme application","15","10","0.786","0"
"2019","19 point(s)","Black","All","Main scheme application","10","10","1","0"
"2020","19 point(s)","Black","All","Main scheme application","20","15","0.833","0"
"2021","19 point(s)","Black","All","Main scheme application","40","35","0.868","0"
"2022","19 point(s)","Black","All","Main scheme application","25","25","0.9580000000000001","0"
"2023","19 point(s)","Black","All","Main scheme application","25","25","0.852","0"
"2011","20 point(s)","Black","All","Main scheme application","5","5"," ","0"
"2012","20 point(s)","Black","All","Main scheme application","10","10"," ","0"
"2013","20 point(s)","Black","All","Main scheme application","10","10"," ","0"
"2014","20 point(s)","Black","All","Main scheme application","10","10"," ","0"
"2015","20 point(s)","Black","All","Main scheme application","10","5"," ","0"
"2016","20 point(s)","Black","All","Main scheme application","15","10","0.923","0"
"2017","20 point(s)","Black","All","Main scheme application","10","10","0.917","0"
"2018","20 point(s)","Black","All","Main scheme application","20","15","0.789","0"
"2019","20 point(s)","Black","All","Main scheme application","20","15","0.778","0"
"2020","20 point(s)","Black","All","Main scheme application","30","30","0.967","0"
"2021","20 point(s)","Black","All","Main scheme application","60","55","0.887","0"
"2022","20 point(s)","Black","All","Main scheme application","70","55","0.809","0"
"2023","20 point(s)","Black","All","Main scheme application","60","55","0.917","0"
"2016","7 point(s)","Asian","All","Main scheme application","5","0"," ","0"
"2018","7 point(s)","Asian","All","Main scheme application","5","0"," ","0"
"2019","7 point(s)","Asian","All","Main scheme application","5","0"," ","0"
"2020","7 point(s)","Asian","All","Main scheme application","5","0"," ","0"
"2021","7 point(s)","Asian","All","Main scheme application","5","0"," ","0"
"2022","7 point(s)","Asian","All","Main scheme application","5","0"," ","0"
"2023","7 point(s)","Asian","All","Main scheme application","5","0"," ","0"
"2010","8 point(s)","Asian","All","Main scheme application","5","0"," ","0"
"2011","8 point(s)","Asian","All","Main scheme application","5","0"," ","0"
"2012","8 point(s)","Asian","All","Main scheme application","5","5"," ","0"
"2014","8 point(s)","Asian","All","Main scheme application","5","0"," ","0"
"2015","8 point(s)","Asian","All","Main scheme application","5","0"," ","0"
"2017","8 point(s)","Asian","All","Main scheme application","5","0"," ","0"
"2018","8 point(s)","Asian","All","Main scheme application","5","0"," ","0"
"2019","8 point(s)","Asian","All","Main scheme application","10","0"," ","0"
"2020","8 point(s)","Asian","All","Main scheme application","5","0"," ","0"
"2022","8 point(s)","Asian","All","Main scheme application","10","0"," ","0"
"2023","8 point(s)","Asian","All","Main scheme application","15","10"," ","0"
"2010","9 point(s)","Asian","All","Main scheme application","5","0"," ","0"
"2011","9 point(s)","Asian","All","Main scheme application","5","0"," ","0"
"2012","9 point(s)","Asian","All","Main scheme application","5","0"," ","0"
"2013","9 point(s)","Asian","All","Main scheme application","5","0"," ","0"
"2014","9 point(s)","Asian","All","Main scheme application","10","0"," ","0"
"2015","9 point(s)","Asian","All","Main scheme application","5","0"," ","0"
"2016","9 point(s)","Asian","All","Main scheme application","10","0"," ","0"
"2017","9 point(s)","Asian","All","Main scheme application","5","0"," ","0"
"2018","9 point(s)","Asian","All","Main scheme application","10","5"," ","0"
"2019","9 point(s)","Asian","All","Main scheme application","15","5"," ","0"
"2020","9 point(s)","Asian","All","Main scheme application","10","5"," ","0"
"2021","9 point(s)","Asian","All","Main scheme application","5","0"," ","0"
"2022","9 point(s)","Asian","All","Main scheme application","10","5"," ","0"
"2023","9 point(s)","Asian","All","Main scheme application","15","10","0.8","0"
"2010","10 point(s)","Asian","All","Main scheme application","10","5"," ","0"
"2011","10 point(s)","Asian","All","Main scheme application","15","5"," ","0"
"2012","10 point(s)","Asian","All","Main scheme application","10","0"," ","0"
"2013","10 point(s)","Asian","All","Main scheme application","15","5"," ","0"
"2014","10 point(s)","Asian","All","Main scheme application","20","5"," ","0"
"2015","10 point(s)","Asian","All","Main scheme application","15","0"," ","0"
"2016","10 point(s)","Asian","All","Main scheme application","15","5"," ","0"
"2017","10 point(s)","Asian","All","Main scheme application","15","0"," ","0"
"2018","10 point(s)","Asian","All","Main scheme application","15","10"," ","0"
"2019","10 point(s)","Asian","All","Main scheme application","20","10"," ","0"
"2020","10 point(s)","Asian","All","Main scheme application","20","10"," ","0"
"2021","10 point(s)","Asian","All","Main scheme application","15","5"," ","0"
"2022","10 point(s)","Asian","All","Main scheme application","15","10"," ","0"
"2023","10 point(s)","Asian","All","Main scheme application","15","5"," ","0"
"2010","11 point(s)","Asian","All","Main scheme application","20","10"," ","0"
"2011","11 point(s)","Asian","All","Main scheme application","25","10","0.5","0"
"2012","11 point(s)","Asian","All","Main scheme application","20","5"," ","0"
"2013","11 point(s)","Asian","All","Main scheme application","15","5"," ","0"
"2014","11 point(s)","Asian","All","Main scheme application","25","10"," ","0"
"2015","11 point(s)","Asian","All","Main scheme application","15","5"," ","0"
"2016","11 point(s)","Asian","All","Main scheme application","25","5"," ","0"
"2017","11 point(s)","Asian","All","Main scheme application","20","5"," ","0"
"2018","11 point(s)","Asian","All","Main scheme application","30","15","0.483","0"
"2019","11 point(s)","Asian","All","Main scheme application","30","10","0.34400000000000003","0"
"2020","11 point(s)","Asian","All","Main scheme application","20","10","0.5710000000000001","0"
"2021","11 point(s)","Asian","All","Main scheme application","10","5"," ","0"
"2022","11 point(s)","Asian","All","Main scheme application","20","10"," ","0"
"2023","11 point(s)","Asian","All","Main scheme application","35","20","0.618","0"
"2010","12 point(s)","Asian","All","Main scheme application","20","10"," ","0"
"2011","12 point(s)","Asian","All","Main scheme application","30","15","0.5","0"
"2012","12 point(s)","Asian","All","Main scheme application","35","20","0.559","0"
"2013","12 point(s)","Asian","All","Main scheme application","15","10"," ","0"
"2014","12 point(s)","Asian","All","Main scheme application","25","15","0.538","0"
"2015","12 point(s)","Asian","All","Main scheme application","25","15","0.5650000000000001","0"
"2016","12 point(s)","Asian","All","Main scheme application","30","10","0.41400000000000003","0"
"2017","12 point(s)","Asian","All","Main scheme application","30","20","0.667","0"
"2018","12 point(s)","Asian","All","Main scheme application","40","25","0.605","0"
"2019","12 point(s)","Asian","All","Main scheme application","40","25","0.548","0"
"2020","12 point(s)","Asian","All","Main scheme application","45","30","0.636","0"
"2021","12 point(s)","Asian","All","Main scheme application","25","15","0.615","0"
"2022","12 point(s)","Asian","All","Main scheme application","35","25","0.706","0"
"2023","12 point(s)","Asian","All","Main scheme application","50","40","0.745","0"
"2010","13 point(s)","Asian","All","Main scheme application","30","20","0.655","0"
"2011","13 point(s)","Asian","All","Main scheme application","45","30","0.705","0"
"2012","13 point(s)","Asian","All","Main scheme application","30","20","0.71","0"
"2013","13 point(s)","Asian","All","Main scheme application","35","20","0.528","0"
"2014","13 point(s)","Asian","All","Main scheme application","30","20","0.667","0"
"2015","13 point(s)","Asian","All","Main scheme application","40","25","0.61","0"
"2016","13 point(s)","Asian","All","Main scheme application","50","30","0.56","0"
"2017","13 point(s)","Asian","All","Main scheme application","55","35","0.679","0"
"2018","13 point(s)","Asian","All","Main scheme application","45","30","0.682","0"
"2019","13 point(s)","Asian","All","Main scheme application","40","30","0.667","0"
"2020","13 point(s)","Asian","All","Main scheme application","50","30","0.633","0"
"2021","13 point(s)","Asian","All","Main scheme application","45","30","0.6890000000000001","0"
"2022","13 point(s)","Asian","All","Main scheme application","45","30","0.63","0"
"2023","13 point(s)","Asian","All","Main scheme application","65","50","0.754","0"
"2010","14 point(s)","Asian","All","Main scheme application","45","30","0.721","0"
"2011","14 point(s)","Asian","All","Main scheme application","40","25","0.61","0"
"2012","14 point(s)","Asian","All","Main scheme application","45","30","0.636","0"
"2013","14 point(s)","Asian","All","Main scheme application","55","40","0.741","0"
"2014","14 point(s)","Asian","All","Main scheme application","45","30","0.659","0"
"2015","14 point(s)","Asian","All","Main scheme application","55","35","0.643","0"
"2016","14 point(s)","Asian","All","Main scheme application","50","35","0.6940000000000001","0"
"2017","14 point(s)","Asian","All","Main scheme application","55","40","0.684","0"
"2018","14 point(s)","Asian","All","Main scheme application","65","55","0.8280000000000001","0"
"2019","14 point(s)","Asian","All","Main scheme application","50","30","0.667","0"
"2020","14 point(s)","Asian","All","Main scheme application","65","50","0.716","0"
"2021","14 point(s)","Asian","All","Main scheme application","50","30","0.612","0"
"2022","14 point(s)","Asian","All","Main scheme application","60","45","0.741","0"
"2023","14 point(s)","Asian","All","Main scheme application","55","40","0.764","0"
"2010","15 point(s)","Asian","All","Main scheme application","40","35","0.868","0"
"2011","15 point(s)","Asian","All","Main scheme application","50","35","0.712","0"
"2012","15 point(s)","Asian","All","Main scheme application","65","50","0.8130000000000001","0"
"2013","15 point(s)","Asian","All","Main scheme application","50","40","0.8240000000000001","0"
"2014","15 point(s)","Asian","All","Main scheme application","50","45","0.846","0"
"2015","15 point(s)","Asian","All","Main scheme application","50","40","0.788","0"
"2016","15 point(s)","Asian","All","Main scheme application","65","50","0.716","0"
"2017","15 point(s)","Asian","All","Main scheme application","65","55","0.836","0"
"2018","15 point(s)","Asian","All","Main scheme application","65","60","0.866","0"
"2019","15 point(s)","Asian","All","Main scheme application","75","55","0.77","0"
"2020","15 point(s)","Asian","All","Main scheme application","80","55","0.722","0"
"2021","15 point(s)","Asian","All","Main scheme application","60","45","0.729","0"
"2022","15 point(s)","Asian","All","Main scheme application","65","50","0.794","0"
"2023","15 point(s)","Asian","All","Main scheme application","65","55","0.8310000000000001","0"
"2010","16 point(s)","Asian","All","Main scheme application","45","30","0.744","0"
"2011","16 point(s)","Asian","All","Main scheme application","40","35","0.833","0"
"2012","16 point(s)","Asian","All","Main scheme application","75","55","0.726","0"
"2013","16 point(s)","Asian","All","Main scheme application","55","50","0.873","0"
"2014","16 point(s)","Asian","All","Main scheme application","65","60","0.925","0"
"2015","16 point(s)","Asian","All","Main scheme application","60","50","0.879","0"
"2016","16 point(s)","Asian","All","Main scheme application","65","50","0.778","0"
"2017","16 point(s)","Asian","All","Main scheme application","65","55","0.8210000000000001","0"
"2018","16 point(s)","Asian","All","Main scheme application","85","70","0.793","0"
"2019","16 point(s)","Asian","All","Main scheme application","90","70","0.756","0"
"2020","16 point(s)","Asian","All","Main scheme application","90","75","0.793","0"
"2021","16 point(s)","Asian","All","Main scheme application","85","70","0.793","0"
"2022","16 point(s)","Asian","All","Main scheme application","90","75","0.852","0"
"2023","16 point(s)","Asian","All","Main scheme application","90","80","0.879","0"
"2010","17 point(s)","Asian","All","Main scheme application","40","30","0.8210000000000001","0"
"2011","17 point(s)","Asian","All","Main scheme application","55","45","0.772","0"
"2012","17 point(s)","Asian","All","Main scheme application","60","55","0.855","0"
"2013","17 point(s)","Asian","All","Main scheme application","65","55","0.844","0"
"2014","17 point(s)","Asian","All","Main scheme application","60","50","0.833","0"
"2015","17 point(s)","Asian","All","Main scheme application","80","70","0.861","0"
"2016","17 point(s)","Asian","All","Main scheme application","65","60","0.879","0"
"2017","17 point(s)","Asian","All","Main scheme application","80","65","0.833","0"
"2018","17 point(s)","Asian","All","Main scheme application","80","70","0.861","0"
"2019","17 point(s)","Asian","All","Main scheme application","70","60","0.882","0"
"2020","17 point(s)","Asian","All","Main scheme application","105","85","0.8160000000000001","0"
"2021","17 point(s)","Asian","All","Main scheme application","80","70","0.873","0"
"2022","17 point(s)","Asian","All","Main scheme application","95","90","0.918","0"
"2023","17 point(s)","Asian","All","Main scheme application","115","105","0.92","0"
"2010","18 point(s)","Asian","All","Main scheme application","55","45","0.836","0"
"2011","18 point(s)","Asian","All","Main scheme application","50","40","0.875","0"
"2012","18 point(s)","Asian","All","Main scheme application","55","50","0.842","0"
"2013","18 point(s)","Asian","All","Main scheme application","55","50","0.927","0"
"2014","18 point(s)","Asian","All","Main scheme application","60","55","0.918","0"
"2015","18 point(s)","Asian","All","Main scheme application","60","55","0.917","0"
"2016","18 point(s)","Asian","All","Main scheme application","90","80","0.879","0"
