"Year","Achieved SQA advanced higher points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2015","6 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","6 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","6 point(s)","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","6 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","6 point(s)","All","Main scheme applicant","Not main scheme application","15","10","0.8","0"
"2023","6 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","7 point(s)","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2011","7 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","7 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","7 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","7 point(s)","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2015","7 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","7 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","7 point(s)","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2018","7 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","7 point(s)","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","7 point(s)","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2021","7 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","7 point(s)","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","7 point(s)","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2010","8 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","8 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","8 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","8 point(s)","All","Main scheme applicant","Not main scheme application","15","5"," ","0"
