"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Registered for Clearing Plus","Placed at provider of interest through Clearing Plus","Placed on course of interest through Clearing Plus"
"2023","International","Not EU","United States of America","20","Female","5","0","0"
"2020","UK","England","England","21 - 24","Female","645","270","195"
"2021","UK","England","England","21 - 24","Female","510","170","135"
"2022","UK","England","England","21 - 24","Female","290","105","75"
"2023","UK","England","England","21 - 24","Female","565","215","145"
"2020","UK","Northern Ireland","Northern Ireland","21 - 24","Female","25","10","10"
"2021","UK","Northern Ireland","Northern Ireland","21 - 24","Female","15","5","5"
"2023","UK","Northern Ireland","Northern Ireland","21 - 24","Female","5","0","0"
"2020","UK","Scotland","Scotland","21 - 24","Female","90","25","15"
"2021","UK","Scotland","Scotland","21 - 24","Female","65","25","15"
"2022","UK","Scotland","Scotland","21 - 24","Female","25","10","5"
"2023","UK","Scotland","Scotland","21 - 24","Female","60","15","10"
"2020","UK","Wales","Wales","21 - 24","Female","40","15","10"
"2021","UK","Wales","Wales","21 - 24","Female","35","15","15"
"2022","UK","Wales","Wales","21 - 24","Female","20","10","5"
"2023","UK","Wales","Wales","21 - 24","Female","35","15","10"
"2020","International","EU (excluding UK)","Germany","21 - 24","Female","5","0","0"
"2020","International","EU (excluding UK)","Greece","21 - 24","Female","5","0","0"
"2020","International","EU (excluding UK)","Ireland","21 - 24","Female","10","0","0"
"2021","International","EU (excluding UK)","Ireland","21 - 24","Female","10","0","0"
"2022","International","EU (excluding UK)","Ireland","21 - 24","Female","10","0","0"
"2023","International","EU (excluding UK)","Ireland","21 - 24","Female","5","0","0"
"2020","International","EU (excluding UK)","Italy","21 - 24","Female","10","0","0"
"2022","International","EU (excluding UK)","Italy","21 - 24","Female","5","0","0"
"2021","International","EU (excluding UK)","Portugal","21 - 24","Female","5","0","0"
"2020","International","EU (excluding UK)","Spain","21 - 24","Female","5","0","0"
"2021","International","EU (excluding UK)","Spain","21 - 24","Female","5","0","0"
"2020","International","EU (excluding UK)","Sweden","21 - 24","Female","5","0","0"
"2020","International","Not EU","Canada","21 - 24","Female","5","0","0"
"2023","International","Not EU","Canada","21 - 24","Female","5","0","0"
"2023","International","Not EU","Sri Lanka","21 - 24","Female","5","0","0"
"2020","International","Not EU","China","21 - 24","Female","5","0","0"
"2021","International","Not EU","China","21 - 24","Female","5","5","0"
"2022","International","Not EU","China","21 - 24","Female","5","0","0"
"2023","International","Not EU","China","21 - 24","Female","5","0","0"
"2021","International","Not EU","Ghana","21 - 24","Female","5","0","0"
"2022","International","Not EU","Ghana","21 - 24","Female","5","0","0"
"2023","International","Not EU","Ghana","21 - 24","Female","5","0","0"
"2023","International","Not EU","Hong Kong","21 - 24","Female","5","0","0"
"2021","International","Not EU","India","21 - 24","Female","5","0","0"
"2022","International","Not EU","India","21 - 24","Female","10","0","0"
"2023","International","Not EU","India","21 - 24","Female","5","0","0"
"2023","International","Not EU","Iran, Islamic Republic of","21 - 24","Female","5","0","0"
"2022","International","Not EU","Kenya","21 - 24","Female","5","0","0"
"2020","International","Not EU","Korea, Republic of","21 - 24","Female","5","0","0"
"2020","International","Not EU","Malaysia","21 - 24","Female","5","0","0"
"2021","International","Not EU","Malaysia","21 - 24","Female","5","0","0"
"2021","International","Not EU","Nigeria","21 - 24","Female","10","0","0"
"2022","International","Not EU","Nigeria","21 - 24","Female","15","0","0"
"2023","International","Not EU","Nigeria","21 - 24","Female","10","0","0"
"2021","International","Not EU","Norway","21 - 24","Female","5","0","0"
"2023","International","Not EU","Norway","21 - 24","Female","5","0","0"
"2021","International","Not EU","Pakistan","21 - 24","Female","5","0","0"
"2023","International","Not EU","Pakistan","21 - 24","Female","5","0","0"
"2021","International","Not EU","Zimbabwe","21 - 24","Female","5","0","0"
"2021","International","Not EU","Saudi Arabia","21 - 24","Female","5","0","0"
"2022","International","Not EU","Saudi Arabia","21 - 24","Female","5","0","0"
"2023","International","Not EU","Saudi Arabia","21 - 24","Female","5","0","0"
"2021","International","Not EU","Sierra Leone","21 - 24","Female","5","0","0"
"2020","International","Not EU","Singapore","21 - 24","Female","5","0","0"
"2023","International","Not EU","South Africa","21 - 24","Female","5","0","0"
"2020","International","Not EU","United States of America","21 - 24","Female","5","0","0"
"2021","International","Not EU","United States of America","21 - 24","Female","5","0","0"
"2022","International","Not EU","United States of America","21 - 24","Female","5","0","0"
"2023","International","Not EU","United States of America","21 - 24","Female","5","0","0"
"2020","UK","England","England","25 - 29","Female","385","145","105"
"2021","UK","England","England","25 - 29","Female","250","70","50"
"2022","UK","England","England","25 - 29","Female","180","50","35"
"2023","UK","England","England","25 - 29","Female","295","85","55"
"2020","UK","Northern Ireland","Northern Ireland","25 - 29","Female","15","5","5"
"2023","UK","Northern Ireland","Northern Ireland","25 - 29","Female","5","0","0"
"2020","UK","Scotland","Scotland","25 - 29","Female","70","15","10"
"2021","UK","Scotland","Scotland","25 - 29","Female","25","5","5"
"2022","UK","Scotland","Scotland","25 - 29","Female","30","5","5"
"2023","UK","Scotland","Scotland","25 - 29","Female","30","10","5"
"2020","UK","Wales","Wales","25 - 29","Female","30","20","15"
"2021","UK","Wales","Wales","25 - 29","Female","30","10","5"
"2022","UK","Wales","Wales","25 - 29","Female","20","10","10"
"2023","UK","Wales","Wales","25 - 29","Female","20","5","5"
"2020","International","EU (excluding UK)","Finland","25 - 29","Female","5","0","0"
"2020","International","EU (excluding UK)","Ireland","25 - 29","Female","5","0","0"
"2020","International","EU (excluding UK)","Italy","25 - 29","Female","5","0","0"
"2021","International","Not EU","Canada","25 - 29","Female","5","0","0"
"2020","International","Not EU","Ghana","25 - 29","Female","5","0","0"
"2021","International","Not EU","Ghana","25 - 29","Female","5","0","0"
"2022","International","Not EU","Ghana","25 - 29","Female","5","0","0"
"2023","International","Not EU","Ghana","25 - 29","Female","10","0","0"
"2020","International","Not EU","Hong Kong","25 - 29","Female","5","0","0"
"2023","International","Not EU","Kenya","25 - 29","Female","5","0","0"
"2020","International","Not EU","Nigeria","25 - 29","Female","5","0","0"
