"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Registered for Clearing Plus","Placed at provider of interest through Clearing Plus","Placed on course of interest through Clearing Plus"
"2022","UK","Scotland","Scotland","All","Male","195","95","75"
"2023","UK","Scotland","Scotland","All","Male","335","145","115"
"2020","UK","Wales","Wales","All","Male","210","115","80"
"2021","UK","Wales","Wales","All","Male","165","95","70"
"2022","UK","Wales","Wales","All","Male","140","85","65"
"2023","UK","Wales","Wales","All","Male","200","130","95"
"2021","International","EU (excluding UK)","Austria","All","Male","5","5","0"
"2020","International","EU (excluding UK)","Belgium","All","Male","5","5","0"
"2021","International","EU (excluding UK)","Belgium","All","Male","5","0","0"
"2023","International","EU (excluding UK)","Belgium","All","Male","5","0","0"
"2020","International","EU (excluding UK)","Bulgaria","All","Male","5","5","5"
"2023","International","EU (excluding UK)","Bulgaria","All","Male","5","0","0"
"2020","International","EU (excluding UK)","Denmark","All","Male","5","5","5"
"2020","International","EU (excluding UK)","France","All","Male","40","10","10"
"2021","International","EU (excluding UK)","France","All","Male","5","0","0"
"2022","International","EU (excluding UK)","France","All","Male","5","0","0"
"2023","International","EU (excluding UK)","France","All","Male","5","0","0"
"2020","International","EU (excluding UK)","Germany","All","Male","20","5","5"
"2021","International","EU (excluding UK)","Germany","All","Male","5","0","0"
"2022","International","EU (excluding UK)","Germany","All","Male","5","0","0"
"2023","International","EU (excluding UK)","Germany","All","Male","5","0","0"
"2020","International","EU (excluding UK)","Greece","All","Male","20","10","5"
"2021","International","EU (excluding UK)","Greece","All","Male","5","0","0"
"2022","International","EU (excluding UK)","Greece","All","Male","5","0","0"
"2023","International","EU (excluding UK)","Greece","All","Male","10","5","5"
"2020","International","EU (excluding UK)","Hungary","All","Male","5","0","0"
"2020","International","EU (excluding UK)","Ireland","All","Male","10","5","5"
"2021","International","EU (excluding UK)","Ireland","All","Male","30","5","0"
"2022","International","EU (excluding UK)","Ireland","All","Male","10","0","0"
"2023","International","EU (excluding UK)","Ireland","All","Male","20","5","0"
"2020","International","EU (excluding UK)","Italy","All","Male","25","5","5"
"2021","International","EU (excluding UK)","Italy","All","Male","10","5","0"
"2022","International","EU (excluding UK)","Italy","All","Male","5","0","0"
"2023","International","EU (excluding UK)","Italy","All","Male","10","0","0"
"2020","International","EU (excluding UK)","Luxembourg","All","Male","5","0","0"
"2023","International","EU (excluding UK)","Luxembourg","All","Male","5","0","0"
"2020","International","EU (excluding UK)","Netherlands","All","Male","5","0","0"
"2022","International","EU (excluding UK)","Netherlands","All","Male","5","0","0"
"2020","International","EU (excluding UK)","Poland","All","Male","40","20","15"
"2021","International","EU (excluding UK)","Poland","All","Male","5","0","0"
"2022","International","EU (excluding UK)","Poland","All","Male","5","0","0"
"2023","International","EU (excluding UK)","Poland","All","Male","5","0","0"
"2020","International","EU (excluding UK)","Portugal","All","Male","15","5","5"
"2021","International","EU (excluding UK)","Portugal","All","Male","15","0","0"
"2023","International","EU (excluding UK)","Portugal","All","Male","10","0","0"
"2020","International","EU (excluding UK)","Romania","All","Male","10","5","0"
"2021","International","EU (excluding UK)","Romania","All","Male","5","0","0"
"2022","International","EU (excluding UK)","Romania","All","Male","5","5","0"
"2020","International","EU (excluding UK)","Spain","All","Male","40","15","5"
"2021","International","EU (excluding UK)","Spain","All","Male","15","0","0"
"2022","International","EU (excluding UK)","Spain","All","Male","15","5","5"
"2023","International","EU (excluding UK)","Spain","All","Male","25","10","10"
"2020","International","EU (excluding UK)","Sweden","All","Male","15","5","5"
"2021","International","EU (excluding UK)","Sweden","All","Male","5","0","0"
"2023","International","EU (excluding UK)","Sweden","All","Male","5","0","0"
"2020","International","EU (excluding UK)","Latvia","All","Male","5","0","0"
"2020","International","EU (excluding UK)","Lithuania","All","Male","5","5","5"
"2020","International","EU (excluding UK)","Cyprus (European Union)","All","Male","10","5","0"
"2022","International","EU (excluding UK)","Cyprus (European Union)","All","Male","5","0","0"
"2023","International","EU (excluding UK)","Cyprus (European Union)","All","Male","10","5","5"
"2020","International","Not EU","Guernsey","All","Male","5","0","0"
"2023","International","Not EU","Guernsey","All","Male","5","0","0"
"2020","International","Not EU","Jersey","All","Male","5","0","0"
"2021","International","Not EU","Jersey","All","Male","5","5","5"
"2022","International","Not EU","Jersey","All","Male","5","5","0"
"2023","International","Not EU","Jersey","All","Male","10","5","5"
"2020","International","Not EU","Isle of Man","All","Male","5","0","0"
"2023","International","Not EU","Isle of Man","All","Male","5","0","0"
"2022","International","Not EU","Afghanistan","All","Male","5","0","0"
"2023","International","Not EU","Afghanistan","All","Male","5","0","0"
"2023","International","Not EU","Albania","All","Male","5","0","0"
"2020","International","Not EU","Algeria","All","Male","5","0","0"
"2023","International","Not EU","Algeria","All","Male","5","0","0"
"2023","International","Not EU","Angola","All","Male","5","0","0"
"2021","International","Not EU","Australia","All","Male","5","0","0"
"2023","International","Not EU","Australia","All","Male","5","0","0"
"2021","International","Not EU","Bahrain","All","Male","5","0","0"
"2022","International","Not EU","Bahrain","All","Male","5","5","0"
"2023","International","Not EU","Bahrain","All","Male","5","0","0"
"2020","International","Not EU","Bermuda","All","Male","5","0","0"
"2021","International","Not EU","Bermuda","All","Male","5","0","0"
"2023","International","Not EU","Burma (Myanmar)","All","Male","5","0","0"
"2023","International","Not EU","Cambodia","All","Male","5","5","0"
"2021","International","Not EU","Cameroon","All","Male","5","0","0"
"2023","International","Not EU","Cameroon","All","Male","5","0","0"
"2020","International","Not EU","Canada","All","Male","5","0","0"
"2021","International","Not EU","Canada","All","Male","5","0","0"
"2022","International","Not EU","Canada","All","Male","5","0","0"
"2023","International","Not EU","Canada","All","Male","10","0","0"
"2020","International","Not EU","Sri Lanka","All","Male","5","5","0"
"2021","International","Not EU","Sri Lanka","All","Male","10","0","0"
"2022","International","Not EU","Sri Lanka","All","Male","10","0","0"
"2023","International","Not EU","Sri Lanka","All","Male","10","0","0"
"2020","International","Not EU","China","All","Male","250","45","25"
"2021","International","Not EU","China","All","Male","130","30","15"
"2022","International","Not EU","China","All","Male","100","15","10"
"2023","International","Not EU","China","All","Male","120","35","25"
"2020","International","Not EU","Taiwan","All","Male","5","0","0"
"2021","International","Not EU","Taiwan","All","Male","5","0","0"
"2022","International","Not EU","Taiwan","All","Male","5","0","0"
"2023","International","Not EU","Taiwan","All","Male","5","0","0"
"2020","International","Not EU","Gambia","All","Male","5","0","0"
"2020","International","Not EU","Ghana","All","Male","15","0","0"
"2021","International","Not EU","Ghana","All","Male","20","0","0"
"2022","International","Not EU","Ghana","All","Male","25","0","0"
"2023","International","Not EU","Ghana","All","Male","25","0","0"
"2020","International","Not EU","Gibraltar","All","Male","5","5","5"
"2021","International","Not EU","Gibraltar","All","Male","5","0","0"
"2022","International","Not EU","Gibraltar","All","Male","10","0","0"
"2023","International","Not EU","Gibraltar","All","Male","5","5","5"
"2020","International","Not EU","Hong Kong","All","Male","90","30","20"
"2021","International","Not EU","Hong Kong","All","Male","60","15","10"
"2022","International","Not EU","Hong Kong","All","Male","30","10","5"
"2023","International","Not EU","Hong Kong","All","Male","35","5","5"
"2020","International","Not EU","India","All","Male","80","15","10"
"2021","International","Not EU","India","All","Male","80","15","10"
"2022","International","Not EU","India","All","Male","100","15","10"
"2023","International","Not EU","India","All","Male","110","10","5"
"2020","International","Not EU","Indonesia","All","Male","10","5","5"
"2021","International","Not EU","Indonesia","All","Male","5","0","0"
"2022","International","Not EU","Indonesia","All","Male","5","0","0"
"2020","International","Not EU","Iran, Islamic Republic of","All","Male","10","0","0"
"2021","International","Not EU","Iran, Islamic Republic of","All","Male","5","0","0"
"2022","International","Not EU","Iran, Islamic Republic of","All","Male","5","0","0"
"2023","International","Not EU","Iran, Islamic Republic of","All","Male","10","0","0"
"2022","International","Not EU","Iraq","All","Male","5","0","0"
"2020","International","Not EU","Japan","All","Male","5","5","0"
"2021","International","Not EU","Japan","All","Male","5","0","0"
"2022","International","Not EU","Japan","All","Male","5","0","0"
"2020","International","Not EU","Jordan","All","Male","5","5","0"
"2021","International","Not EU","Jordan","All","Male","5","5","0"
"2022","International","Not EU","Jordan","All","Male","5","0","0"
"2023","International","Not EU","Jordan","All","Male","10","5","5"
"2020","International","Not EU","Kenya","All","Male","10","0","0"
"2021","International","Not EU","Kenya","All","Male","10","0","0"
"2022","International","Not EU","Kenya","All","Male","15","0","0"
"2023","International","Not EU","Kenya","All","Male","15","5","0"
"2020","International","Not EU","Korea, Republic of","All","Male","15","5","0"
"2021","International","Not EU","Korea, Republic of","All","Male","5","0","0"
"2022","International","Not EU","Korea, Republic of","All","Male","10","0","0"
"2023","International","Not EU","Korea, Republic of","All","Male","5","0","0"
"2020","International","Not EU","Kuwait","All","Male","5","0","0"
"2021","International","Not EU","Kuwait","All","Male","5","0","0"
"2022","International","Not EU","Kuwait","All","Male","5","0","0"
"2023","International","Not EU","Kuwait","All","Male","5","0","0"
"2020","International","Not EU","Lebanon","All","Male","5","0","0"
"2021","International","Not EU","Lebanon","All","Male","5","0","0"
"2023","International","Not EU","Libya","All","Male","5","0","0"
"2020","International","Not EU","Macao","All","Male","5","0","0"
"2021","International","Not EU","Macao","All","Male","5","0","0"
"2023","International","Not EU","Malawi","All","Male","5","0","0"
"2020","International","Not EU","Malaysia","All","Male","40","5","0"
"2021","International","Not EU","Malaysia","All","Male","50","15","10"
"2022","International","Not EU","Malaysia","All","Male","35","5","5"
"2023","International","Not EU","Malaysia","All","Male","25","5","5"
"2020","International","Not EU","Mauritius","All","Male","5","0","0"
"2020","International","Not EU","Mexico","All","Male","5","0","0"
"2020","International","Not EU","Mongolia","All","Male","5","0","0"
"2022","International","Not EU","Morocco","All","Male","5","0","0"
"2023","International","Not EU","Morocco","All","Male","5","0","0"
"2020","International","Not EU","Oman","All","Male","5","5","0"
"2021","International","Not EU","Oman","All","Male","10","0","0"
"2022","International","Not EU","Oman","All","Male","5","0","0"
"2023","International","Not EU","Oman","All","Male","5","0","0"
"2020","International","Not EU","Nepal","All","Male","5","0","0"
"2021","International","Not EU","Nepal","All","Male","5","0","0"
"2022","International","Not EU","Nepal","All","Male","5","0","0"
"2020","International","Not EU","Nigeria","All","Male","40","10","5"
"2021","International","Not EU","Nigeria","All","Male","90","10","5"
"2022","International","Not EU","Nigeria","All","Male","135","5","5"
"2023","International","Not EU","Nigeria","All","Male","85","5","5"
"2020","International","Not EU","Norway","All","Male","10","5","0"
"2020","International","Not EU","Pakistan","All","Male","45","10","5"
"2021","International","Not EU","Pakistan","All","Male","70","20","15"
"2022","International","Not EU","Pakistan","All","Male","45","10","10"
"2023","International","Not EU","Pakistan","All","Male","55","5","5"
"2020","International","Not EU","Qatar","All","Male","5","0","0"
"2021","International","Not EU","Qatar","All","Male","5","0","0"
"2022","International","Not EU","Qatar","All","Male","10","5","0"
"2023","International","Not EU","Qatar","All","Male","10","0","0"
"2020","International","Not EU","Zimbabwe","All","Male","10","0","0"
"2021","International","Not EU","Zimbabwe","All","Male","10","0","0"
"2022","International","Not EU","Zimbabwe","All","Male","5","0","0"
"2023","International","Not EU","Zimbabwe","All","Male","10","0","0"
"2023","International","Not EU","Rwanda","All","Male","5","0","0"
"2020","International","Not EU","Saudi Arabia","All","Male","25","5","0"
"2021","International","Not EU","Saudi Arabia","All","Male","15","5","0"
"2022","International","Not EU","Saudi Arabia","All","Male","25","5","0"
"2023","International","Not EU","Saudi Arabia","All","Male","35","0","0"
"2021","International","Not EU","Sierra Leone","All","Male","5","0","0"
"2020","International","Not EU","Singapore","All","Male","5","0","0"
"2021","International","Not EU","Singapore","All","Male","5","0","0"
"2022","International","Not EU","Singapore","All","Male","10","0","0"
"2023","International","Not EU","Singapore","All","Male","5","0","0"
"2020","International","Not EU","South Africa","All","Male","10","0","0"
"2021","International","Not EU","South Africa","All","Male","5","5","0"
"2022","International","Not EU","South Africa","All","Male","15","5","0"
"2023","International","Not EU","South Africa","All","Male","10","0","0"
"2021","International","Not EU","Sudan","All","Male","5","0","0"
"2020","International","Not EU","Switzerland","All","Male","10","5","5"
"2021","International","Not EU","Switzerland","All","Male","5","5","0"
"2022","International","Not EU","Switzerland","All","Male","5","0","0"
"2023","International","Not EU","Switzerland","All","Male","10","5","5"
"2020","International","Not EU","Tanzania, United Republic of","All","Male","5","0","0"
"2021","International","Not EU","Tanzania, United Republic of","All","Male","5","0","0"
"2020","International","Not EU","Thailand","All","Male","10","0","0"
"2021","International","Not EU","Thailand","All","Male","5","0","0"
"2022","International","Not EU","Thailand","All","Male","5","5","5"
"2020","International","Not EU","United Arab Emirates","All","Male","35","15","10"
"2021","International","Not EU","United Arab Emirates","All","Male","25","10","5"
"2022","International","Not EU","United Arab Emirates","All","Male","30","5","0"
"2023","International","Not EU","United Arab Emirates","All","Male","45","5","5"
"2021","International","Not EU","Tunisia","All","Male","5","0","0"
"2020","International","Not EU","Turkey","All","Male","10","0","0"
"2021","International","Not EU","Turkey","All","Male","10","5","5"
"2022","International","Not EU","Turkey","All","Male","5","0","0"
"2023","International","Not EU","Turkey","All","Male","10","5","0"
"2020","International","Not EU","Uganda","All","Male","5","0","0"
"2021","International","Not EU","Uganda","All","Male","5","0","0"
"2022","International","Not EU","Uganda","All","Male","5","0","0"
"2023","International","Not EU","Uganda","All","Male","5","5","0"
"2020","International","Not EU","Egypt","All","Male","10","0","0"
"2022","International","Not EU","Egypt","All","Male","5","0","0"
"2023","International","Not EU","Egypt","All","Male","5","0","0"
"2020","International","Not EU","United States of America","All","Male","15","5","5"
"2021","International","Not EU","United States of America","All","Male","15","5","5"
"2022","International","Not EU","United States of America","All","Male","10","0","0"
"2023","International","Not EU","United States of America","All","Male","15","5","0"
"2020","International","Not EU","Vietnam [Viet Nam]","All","Male","5","0","0"
"2021","International","Not EU","Vietnam [Viet Nam]","All","Male","5","0","0"
"2023","International","Not EU","Vietnam [Viet Nam]","All","Male","10","0","0"
"2022","International","Not EU","Zambia","All","Male","5","0","0"
"2020","International","Not EU","Not Known","All","Male","10","5","0"
"2020","International","Not EU","Senegal","All","Male","5","0","0"
"2020","International","Not EU","Bangladesh","All","Male","5","5","0"
"2021","International","Not EU","Bangladesh","All","Male","5","0","0"
"2022","International","Not EU","Bangladesh","All","Male","10","0","0"
"2023","International","Not EU","Bangladesh","All","Male","10","0","0"
"2021","International","Not EU","Cayman Islands","All","Male","5","0","0"
"2022","International","Not EU","Cayman Islands","All","Male","5","5","5"
"2023","International","Not EU","Cayman Islands","All","Male","5","0","0"
"2020","International","Not EU","Maldives","All","Male","5","0","0"
"2023","International","Not EU","Azerbaijan","All","Male","5","0","0"
"2022","International","Not EU","Kazakhstan","All","Male","5","0","0"
"2023","International","Not EU","Kazakhstan","All","Male","5","0","0"
"2020","International","Not EU","Russian Federation","All","Male","15","0","0"
"2021","International","Not EU","Russian Federation","All","Male","10","5","0"
"2022","International","Not EU","Russian Federation","All","Male","10","0","0"
"2023","International","Not EU","Russian Federation","All","Male","10","5","0"
"2022","International","Not EU","Tajikistan","All","Male","5","0","0"
"2020","International","Not EU","Ukraine","All","Male","5","0","0"
"2022","International","Not EU","Ukraine","All","Male","10","0","0"
"2023","International","Not EU","Ukraine","All","Male","5","5","0"
"2020","International","Not EU","Uzbekistan","All","Male","5","0","0"
"2021","International","Not EU","Uzbekistan","All","Male","5","0","0"
"2022","International","Not EU","Uzbekistan","All","Male","5","0","0"
"2020","UK","Northern Ireland","All","All","Female","270","120","95"
"2021","UK","Northern Ireland","All","All","Female","185","85","70"
"2022","UK","Northern Ireland","All","All","Female","95","60","45"
"2023","UK","Northern Ireland","All","All","Female","125","30","20"
"2020","UK","England","All","All","Female","8560","3780","2770"
"2021","UK","England","All","All","Female","6245","2895","2195"
"2022","UK","England","All","All","Female","4275","1870","1400"
"2023","UK","England","All","All","Female","8035","3545","2530"
"2020","UK","Scotland","All","All","Female","645","225","160"
"2021","UK","Scotland","All","All","Female","390","145","115"
"2022","UK","Scotland","All","All","Female","270","95","75"
"2023","UK","Scotland","All","All","Female","595","220","180"
"2020","UK","Wales","All","All","Female","340","175","125"
"2021","UK","Wales","All","All","Female","295","150","110"
"2022","UK","Wales","All","All","Female","185","105","80"
"2023","UK","Wales","All","All","Female","355","180","125"
"2020","International","Not EU","All","All","Female","800","150","95"
"2021","International","Not EU","All","All","Female","710","145","100"
"2022","International","Not EU","All","All","Female","780","125","85"
"2023","International","Not EU","All","All","Female","815","135","100"
"2020","International","EU (excluding UK)","All","All","Female","410","125","85"
"2021","International","EU (excluding UK)","All","All","Female","190","45","30"
"2022","International","EU (excluding UK)","All","All","Female","135","25","20"
"2023","International","EU (excluding UK)","All","All","Female","215","40","25"
"2020","UK","Northern Ireland","All","All","Male","190","90","75"
"2021","UK","Northern Ireland","All","All","Male","110","60","40"
"2022","UK","Northern Ireland","All","All","Male","100","60","50"
"2023","UK","Northern Ireland","All","All","Male","50","15","10"
"2020","UK","England","All","All","Male","6990","3095","2120"
"2021","UK","England","All","All","Male","4525","2320","1650"
"2022","UK","England","All","All","Male","4045","2030","1510"
"2023","UK","England","All","All","Male","6505","3020","2040"
"2020","UK","Scotland","All","All","Male","325","140","115"
"2021","UK","Scotland","All","All","Male","250","100","75"
"2022","UK","Scotland","All","All","Male","195","95","75"
"2023","UK","Scotland","All","All","Male","335","145","115"
"2020","UK","Wales","All","All","Male","210","115","80"
"2021","UK","Wales","All","All","Male","165","95","70"
"2022","UK","Wales","All","All","Male","140","85","65"
"2023","UK","Wales","All","All","Male","200","130","95"
"2020","International","Not EU","All","All","Male","950","225","140"
"2021","International","Not EU","All","All","Male","785","185","120"
"2022","International","Not EU","All","All","Male","835","120","85"
"2023","International","Not EU","All","All","Male","875","140","95"
"2020","International","EU (excluding UK)","All","All","Male","295","110","70"
"2021","International","EU (excluding UK)","All","All","Male","125","30","20"
"2022","International","EU (excluding UK)","All","All","Male","75","20","10"
"2023","International","EU (excluding UK)","All","All","Male","125","40","30"
"2020","UK","All","All","All","Female","9820","4300","3150"
"2021","UK","All","All","All","Female","7110","3275","2490"
"2022","UK","All","All","All","Female","4825","2130","1600"
"2023","UK","All","All","All","Female","9110","3975","2855"
"2020","International","All","All","All","Female","1210","275","180"
"2021","International","All","All","All","Female","900","185","130"
"2022","International","All","All","All","Female","915","150","105"
"2023","International","All","All","All","Female","1030","175","125"
"2020","UK","All","All","All","Male","7715","3440","2390"
"2021","UK","All","All","All","Male","5050","2575","1835"
"2022","UK","All","All","All","Male","4480","2270","1695"
"2023","UK","All","All","All","Male","7090","3310","2255"
"2020","International","All","All","All","Male","1250","330","210"
"2021","International","All","All","All","Male","910","215","140"
"2022","International","All","All","All","Male","910","145","95"
"2023","International","All","All","All","Male","1000","185","125"
"2020","All","All","All","All","Female","11030","4575","3330"
"2021","All","All","All","All","Female","8015","3460","2620"
"2022","All","All","All","All","Female","5740","2280","1705"
"2023","All","All","All","All","Female","10140","4150","2980"
"2020","All","All","All","All","Male","8965","3770","2600"
"2021","All","All","All","All","Male","5960","2790","1975"
"2022","All","All","All","All","Male","5385","2415","1790"
"2023","All","All","All","All","Male","8090","3495","2380"
"2020","UK","England","England","17 and under","All","40","20","10"
"2021","UK","England","England","17 and under","All","20","5","5"
"2022","UK","England","England","17 and under","All","25","5","5"
"2023","UK","England","England","17 and under","All","35","10","5"
"2021","UK","Northern Ireland","Northern Ireland","17 and under","All","5","0","0"
"2020","UK","Scotland","Scotland","17 and under","All","25","10","10"
"2021","UK","Scotland","Scotland","17 and under","All","25","10","5"
"2022","UK","Scotland","Scotland","17 and under","All","25","10","5"
"2023","UK","Scotland","Scotland","17 and under","All","40","15","15"
"2020","International","EU (excluding UK)","France","17 and under","All","10","0","0"
"2021","International","EU (excluding UK)","France","17 and under","All","5","0","0"
"2022","International","EU (excluding UK)","France","17 and under","All","5","0","0"
"2023","International","EU (excluding UK)","France","17 and under","All","5","0","0"
"2020","International","EU (excluding UK)","Germany","17 and under","All","5","0","0"
"2020","International","EU (excluding UK)","Greece","17 and under","All","5","0","0"
"2023","International","EU (excluding UK)","Greece","17 and under","All","5","0","0"
"2020","International","EU (excluding UK)","Ireland","17 and under","All","20","5","0"
"2021","International","EU (excluding UK)","Ireland","17 and under","All","25","5","0"
"2022","International","EU (excluding UK)","Ireland","17 and under","All","5","0","0"
"2023","International","EU (excluding UK)","Ireland","17 and under","All","20","0","0"
"2020","International","EU (excluding UK)","Italy","17 and under","All","5","0","0"
"2022","International","EU (excluding UK)","Italy","17 and under","All","5","0","0"
"2020","International","EU (excluding UK)","Portugal","17 and under","All","5","0","0"
"2023","International","EU (excluding UK)","Portugal","17 and under","All","5","0","0"
"2020","International","EU (excluding UK)","Spain","17 and under","All","10","5","0"
"2022","International","EU (excluding UK)","Spain","17 and under","All","5","0","0"
"2023","International","EU (excluding UK)","Spain","17 and under","All","5","0","0"
"2023","International","Not EU","Albania","17 and under","All","5","0","0"
"2021","International","Not EU","Bahrain","17 and under","All","5","0","0"
"2023","International","Not EU","Bermuda","17 and under","All","5","0","0"
"2022","International","Not EU","Cameroon","17 and under","All","5","0","0"
"2023","International","Not EU","Canada","17 and under","All","5","0","0"
"2020","International","Not EU","China","17 and under","All","15","5","5"
"2021","International","Not EU","China","17 and under","All","10","0","0"
"2022","International","Not EU","China","17 and under","All","5","0","0"
"2023","International","Not EU","China","17 and under","All","15","5","5"
"2023","International","Not EU","Ghana","17 and under","All","5","0","0"
"2020","International","Not EU","Hong Kong","17 and under","All","20","10","5"
"2021","International","Not EU","Hong Kong","17 and under","All","10","5","0"
"2023","International","Not EU","Hong Kong","17 and under","All","10","0","0"
"2020","International","Not EU","India","17 and under","All","30","5","5"
"2021","International","Not EU","India","17 and under","All","20","0","0"
"2022","International","Not EU","India","17 and under","All","35","5","5"
"2023","International","Not EU","India","17 and under","All","20","5","5"
"2022","International","Not EU","Indonesia","17 and under","All","5","0","0"
"2020","International","Not EU","Jordan","17 and under","All","5","0","0"
"2022","International","Not EU","Jordan","17 and under","All","5","0","0"
"2022","International","Not EU","Malaysia","17 and under","All","5","0","0"
"2023","International","Not EU","Malaysia","17 and under","All","5","0","0"
"2020","International","Not EU","Oman","17 and under","All","5","0","0"
"2022","International","Not EU","Oman","17 and under","All","5","0","0"
"2020","International","Not EU","Nigeria","17 and under","All","15","0","0"
"2021","International","Not EU","Nigeria","17 and under","All","35","0","0"
"2022","International","Not EU","Nigeria","17 and under","All","50","5","5"
"2023","International","Not EU","Nigeria","17 and under","All","35","5","0"
"2021","International","Not EU","Pakistan","17 and under","All","5","0","0"
"2022","International","Not EU","Pakistan","17 and under","All","5","0","0"
"2023","International","Not EU","Pakistan","17 and under","All","5","0","0"
"2022","International","Not EU","Qatar","17 and under","All","5","0","0"
"2020","International","Not EU","Saudi Arabia","17 and under","All","5","0","0"
"2022","International","Not EU","Saudi Arabia","17 and under","All","5","0","0"
"2023","International","Not EU","Saudi Arabia","17 and under","All","5","0","0"
"2023","International","Not EU","South Africa","17 and under","All","5","0","0"
"2020","International","Not EU","United Arab Emirates","17 and under","All","5","0","0"
"2021","International","Not EU","United Arab Emirates","17 and under","All","10","5","0"
"2022","International","Not EU","United Arab Emirates","17 and under","All","15","0","0"
"2023","International","Not EU","United Arab Emirates","17 and under","All","15","0","0"
"2023","International","Not EU","Turkey","17 and under","All","5","0","0"
"2020","International","Not EU","Egypt","17 and under","All","5","0","0"
"2021","International","Not EU","Egypt","17 and under","All","5","5","5"
"2023","International","Not EU","Egypt","17 and under","All","5","0","0"
"2021","International","Not EU","United States of America","17 and under","All","5","0","0"
"2022","International","Not EU","United States of America","17 and under","All","5","0","0"
"2023","International","Not EU","United States of America","17 and under","All","5","0","0"
"2023","International","Not EU","Kazakhstan","17 and under","All","5","0","0"
"2022","International","Not EU","Ukraine","17 and under","All","5","0","0"
"2020","UK","England","England","18","All","9380","4100","2865"
"2021","UK","England","England","18","All","6535","3545","2660"
"2022","UK","England","England","18","All","5145","2660","1995"
"2023","UK","England","England","18","All","9095","4350","3055"
"2020","UK","Northern Ireland","Northern Ireland","18","All","245","110","90"
"2021","UK","Northern Ireland","Northern Ireland","18","All","215","110","85"
"2022","UK","Northern Ireland","Northern Ireland","18","All","155","105","80"
"2023","UK","Northern Ireland","Northern Ireland","18","All","120","35","25"
"2020","UK","Scotland","Scotland","18","All","395","185","140"
"2021","UK","Scotland","Scotland","18","All","270","115","90"
"2022","UK","Scotland","Scotland","18","All","210","85","65"
"2023","UK","Scotland","Scotland","18","All","475","195","160"
"2020","UK","Wales","Wales","18","All","250","140","100"
"2021","UK","Wales","Wales","18","All","195","120","85"
"2022","UK","Wales","Wales","18","All","165","105","80"
"2023","UK","Wales","Wales","18","All","275","160","120"
"2021","International","EU (excluding UK)","Austria","18","All","5","0","0"
"2022","International","EU (excluding UK)","Austria","18","All","5","0","0"
"2020","International","EU (excluding UK)","Belgium","18","All","5","0","0"
"2021","International","EU (excluding UK)","Belgium","18","All","5","0","0"
"2023","International","EU (excluding UK)","Belgium","18","All","5","0","0"
"2020","International","EU (excluding UK)","Bulgaria","18","All","5","0","0"
"2020","International","EU (excluding UK)","Denmark","18","All","5","5","5"
"2020","International","EU (excluding UK)","Finland","18","All","5","0","0"
"2020","International","EU (excluding UK)","France","18","All","30","10","10"
"2021","International","EU (excluding UK)","France","18","All","10","5","5"
"2022","International","EU (excluding UK)","France","18","All","5","0","0"
"2023","International","EU (excluding UK)","France","18","All","10","5","5"
"2020","International","EU (excluding UK)","Germany","18","All","10","5","5"
"2021","International","EU (excluding UK)","Germany","18","All","5","5","5"
"2022","International","EU (excluding UK)","Germany","18","All","10","5","5"
"2023","International","EU (excluding UK)","Germany","18","All","10","5","5"
"2020","International","EU (excluding UK)","Greece","18","All","20","5","5"
"2021","International","EU (excluding UK)","Greece","18","All","5","0","0"
"2022","International","EU (excluding UK)","Greece","18","All","5","0","0"
"2023","International","EU (excluding UK)","Greece","18","All","15","0","0"
"2020","International","EU (excluding UK)","Ireland","18","All","40","5","5"
"2021","International","EU (excluding UK)","Ireland","18","All","35","5","0"
"2022","International","EU (excluding UK)","Ireland","18","All","25","0","0"
"2023","International","EU (excluding UK)","Ireland","18","All","45","5","5"
"2020","International","EU (excluding UK)","Italy","18","All","20","10","5"
"2021","International","EU (excluding UK)","Italy","18","All","10","5","5"
"2022","International","EU (excluding UK)","Italy","18","All","5","0","0"
"2023","International","EU (excluding UK)","Italy","18","All","10","0","0"
"2020","International","EU (excluding UK)","Luxembourg","18","All","5","0","0"
"2020","International","EU (excluding UK)","Malta","18","All","5","0","0"
"2020","International","EU (excluding UK)","Netherlands","18","All","10","5","5"
"2022","International","EU (excluding UK)","Netherlands","18","All","5","0","0"
"2023","International","EU (excluding UK)","Netherlands","18","All","5","0","0"
"2020","International","EU (excluding UK)","Poland","18","All","25","10","5"
"2021","International","EU (excluding UK)","Poland","18","All","5","0","0"
"2023","International","EU (excluding UK)","Poland","18","All","5","0","0"
"2020","International","EU (excluding UK)","Portugal","18","All","10","5","5"
"2021","International","EU (excluding UK)","Portugal","18","All","15","0","0"
"2023","International","EU (excluding UK)","Portugal","18","All","5","0","0"
"2020","International","EU (excluding UK)","Romania","18","All","10","5","5"
"2021","International","EU (excluding UK)","Romania","18","All","5","0","0"
"2022","International","EU (excluding UK)","Romania","18","All","5","5","5"
"2023","International","EU (excluding UK)","Romania","18","All","5","0","0"
"2020","International","EU (excluding UK)","Spain","18","All","50","20","5"
"2021","International","EU (excluding UK)","Spain","18","All","15","0","0"
"2022","International","EU (excluding UK)","Spain","18","All","10","5","5"
"2023","International","EU (excluding UK)","Spain","18","All","25","10","5"
"2020","International","EU (excluding UK)","Sweden","18","All","10","5","5"
"2021","International","EU (excluding UK)","Sweden","18","All","5","0","0"
"2020","International","EU (excluding UK)","Latvia","18","All","5","0","0"
