"Year","Tariff group of provider","Age group","Domicile","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2013","Lower tariff","All","EU (excluding UK)","All","45065","31685","0.7030000000000001"
"2014","Lower tariff","All","EU (excluding UK)","All","47915","34370","0.717"
"2015","Lower tariff","All","EU (excluding UK)","All","52795","39245","0.743"
"2016","Lower tariff","All","EU (excluding UK)","All","55475","41980","0.757"
"2017","Lower tariff","All","EU (excluding UK)","All","49845","39505","0.793"
"2018","Lower tariff","All","EU (excluding UK)","All","48740","39920","0.8190000000000001"
"2019","Lower tariff","All","EU (excluding UK)","All","48495","40180","0.8290000000000001"
"2020","Lower tariff","All","EU (excluding UK)","All","47595","40115","0.843"
"2021","Lower tariff","All","EU (excluding UK)","All","22830","17050","0.747"
"2022","Lower tariff","All","EU (excluding UK)","All","20985","15000","0.715"
"2023","Lower tariff","All","EU (excluding UK)","All","21155","15475","0.731"
"2006","Higher tariff","All","EU (excluding UK)","All","56015","24330","0.434"
"2007","Higher tariff","All","EU (excluding UK)","All","65280","29600","0.453"
"2008","Higher tariff","All","EU (excluding UK)","All","60700","28485","0.46900000000000003"
"2009","Higher tariff","All","EU (excluding UK)","All","68370","30535","0.447"
"2010","Higher tariff","All","EU (excluding UK)","All","81055","32910","0.406"
"2011","Higher tariff","All","EU (excluding UK)","All","87640","36790","0.42"
"2012","Higher tariff","All","EU (excluding UK)","All","83500","35275","0.422"
"2013","Higher tariff","All","EU (excluding UK)","All","88185","36980","0.419"
"2014","Higher tariff","All","EU (excluding UK)","All","92870","43185","0.465"
"2015","Higher tariff","All","EU (excluding UK)","All","100745","47310","0.47000000000000003"
"2016","Higher tariff","All","EU (excluding UK)","All","108635","53085","0.489"
"2017","Higher tariff","All","EU (excluding UK)","All","104625","53315","0.51"
"2018","Higher tariff","All","EU (excluding UK)","All","107440","54865","0.511"
"2019","Higher tariff","All","EU (excluding UK)","All","108830","56395","0.518"
"2020","Higher tariff","All","EU (excluding UK)","All","107615","55900","0.519"
"2021","Higher tariff","All","EU (excluding UK)","All","67505","36170","0.536"
"2022","Higher tariff","All","EU (excluding UK)","All","55445","27085","0.489"
"2023","Higher tariff","All","EU (excluding UK)","All","52345","25720","0.491"
"2006","Medium tariff","All","EU (excluding UK)","All","35140","22155","0.63"
"2007","Medium tariff","All","EU (excluding UK)","All","41560","27005","0.65"
"2008","Medium tariff","All","EU (excluding UK)","All","37065","24920","0.672"
"2009","Medium tariff","All","EU (excluding UK)","All","43090","28545","0.662"
"2010","Medium tariff","All","EU (excluding UK)","All","54800","31825","0.581"
"2011","Medium tariff","All","EU (excluding UK)","All","58870","33770","0.5740000000000001"
"2012","Medium tariff","All","EU (excluding UK)","All","49895","30295","0.607"
"2013","Medium tariff","All","EU (excluding UK)","All","52445","33120","0.632"
"2014","Medium tariff","All","EU (excluding UK)","All","55470","35390","0.638"
"2015","Medium tariff","All","EU (excluding UK)","All","59435","38980","0.656"
"2016","Medium tariff","All","EU (excluding UK)","All","62340","42630","0.684"
"2017","Medium tariff","All","EU (excluding UK)","All","58680","42360","0.722"
"2018","Medium tariff","All","EU (excluding UK)","All","59740","43395","0.726"
"2019","Medium tariff","All","EU (excluding UK)","All","60790","45330","0.746"
"2020","Medium tariff","All","EU (excluding UK)","All","60115","45685","0.76"
"2021","Medium tariff","All","EU (excluding UK)","All","31710","21920","0.6910000000000001"
"2022","Medium tariff","All","EU (excluding UK)","All","26615","17895","0.672"
"2023","Medium tariff","All","EU (excluding UK)","All","25665","17400","0.678"
"2006","All","All","Northern Ireland","All","88075","62630","0.711"
"2007","All","All","Northern Ireland","All","87820","63390","0.722"
"2008","All","All","Northern Ireland","All","74050","54930","0.742"
"2009","All","All","Northern Ireland","All","77010","56660","0.736"
"2010","All","All","Northern Ireland","All","85650","58930","0.6880000000000001"
"2011","All","All","Northern Ireland","All","90890","57810","0.636"
"2012","All","All","Northern Ireland","All","86000","57775","0.672"
"2013","All","All","Northern Ireland","All","91150","62760","0.6890000000000001"
"2014","All","All","Northern Ireland","All","91370","64645","0.708"
"2015","All","All","Northern Ireland","All","93720","66650","0.711"
"2016","All","All","Northern Ireland","All","95205","67700","0.711"
"2017","All","All","Northern Ireland","All","90780","65490","0.721"
"2018","All","All","Northern Ireland","All","86355","63350","0.734"
"2019","All","All","Northern Ireland","All","82285","60605","0.737"
"2020","All","All","Northern Ireland","All","80625","60505","0.75"
"2021","All","All","Northern Ireland","All","85020","60960","0.717"
"2022","All","All","Northern Ireland","All","83620","58645","0.7010000000000001"
"2023","All","All","Northern Ireland","All","80605","59235","0.735"
"2006","All","All","England","All","1578130","1067380","0.676"
"2007","All","All","England","All","1687465","1130785","0.67"
"2008","All","All","England","All","1593455","1071615","0.673"
"2009","All","All","England","All","1734515","1128130","0.65"
"2010","All","All","England","All","1965670","1173320","0.597"
"2011","All","All","England","All","2043160","1180525","0.578"
"2012","All","All","England","All","1841420","1121300","0.609"
"2013","All","All","England","All","1886460","1226140","0.65"
"2014","All","All","England","All","1958245","1290440","0.659"
"2015","All","All","England","All","1981785","1341115","0.677"
"2016","All","All","England","All","1976705","1350985","0.683"
"2017","All","All","England","All","1887900","1344085","0.712"
"2018","All","All","England","All","1808085","1317790","0.729"
"2019","All","All","England","All","1797510","1321210","0.735"
"2020","All","All","England","All","1826005","1347645","0.738"
"2021","All","All","England","All","1990510","1435710","0.721"
"2022","All","All","England","All","2061975","1407510","0.683"
"2023","All","All","England","All","2003095","1406130","0.7020000000000001"
"2006","All","All","Scotland","All","141725","97860","0.6900000000000001"
"2007","All","All","Scotland","All","142925","97685","0.683"
"2008","All","All","Scotland","All","129580","91140","0.7030000000000001"
"2009","All","All","Scotland","All","136160","95080","0.6980000000000001"
"2010","All","All","Scotland","All","163125","93050","0.5700000000000001"
"2011","All","All","Scotland","All","171820","86375","0.503"
"2012","All","All","Scotland","All","171865","89995","0.524"
"2013","All","All","Scotland","All","173705","91790","0.528"
"2014","All","All","Scotland","All","180465","97635","0.541"
"2015","All","All","Scotland","All","196295","100125","0.51"
"2016","All","All","Scotland","All","200250","100630","0.503"
"2017","All","All","Scotland","All","198790","103810","0.522"
"2018","All","All","Scotland","All","196285","105165","0.536"
"2019","All","All","Scotland","All","188835","103825","0.55"
"2020","All","All","Scotland","All","187215","105805","0.5650000000000001"
"2021","All","All","Scotland","All","213520","113585","0.532"
"2022","All","All","Scotland","All","201255","112320","0.558"
"2023","All","All","Scotland","All","185170","113305","0.612"
"2006","All","All","Wales","All","85565","56950","0.666"
"2007","All","All","Wales","All","86500","57835","0.669"
"2008","All","All","Wales","All","79280","53820","0.679"
"2009","All","All","Wales","All","86020","57020","0.663"
"2010","All","All","Wales","All","92170","57165","0.62"
"2011","All","All","Wales","All","95945","56960","0.594"
"2012","All","All","Wales","All","94540","59025","0.624"
"2013","All","All","Wales","All","91785","60245","0.656"
"2014","All","All","Wales","All","94790","63970","0.675"
"2015","All","All","Wales","All","95720","65965","0.6890000000000001"
"2016","All","All","Wales","All","96025","67005","0.6980000000000001"
"2017","All","All","Wales","All","91300","65960","0.722"
"2018","All","All","Wales","All","87550","64495","0.737"
"2019","All","All","Wales","All","85300","62865","0.737"
"2020","All","All","Wales","All","85250","63295","0.742"
"2021","All","All","Wales","All","95690","68815","0.719"
"2022","All","All","Wales","All","97880","67020","0.685"
"2023","All","All","Wales","All","90125","64355","0.714"
"2006","All","All","Not EU","All","195250","119565","0.612"
"2007","All","All","Not EU","All","206380","127700","0.619"
"2008","All","All","Not EU","All","192120","117765","0.613"
"2009","All","All","Not EU","All","205590","124890","0.607"
"2010","All","All","Not EU","All","228845","137070","0.599"
"2011","All","All","Not EU","All","243145","145835","0.6"
"2012","All","All","Not EU","All","265175","160925","0.607"
"2013","All","All","Not EU","All","283065","175140","0.619"
"2014","All","All","Not EU","All","303415","189435","0.624"
"2015","All","All","Not EU","All","310600","197530","0.636"
"2016","All","All","Not EU","All","305070","196595","0.644"
"2017","All","All","Not EU","All","311485","205280","0.659"
"2018","All","All","Not EU","All","332475","216915","0.652"
"2019","All","All","Not EU","All","358125","235300","0.657"
"2020","All","All","Not EU","All","394300","262305","0.665"
"2021","All","All","Not EU","All","448700","272975","0.608"
"2022","All","All","Not EU","All","500705","275120","0.549"
"2023","All","All","Not EU","All","518865","282495","0.544"
"2006","All","All","EU (excluding UK)","All","126685","71095","0.561"
"2007","All","All","EU (excluding UK)","All","143980","82565","0.5730000000000001"
"2008","All","All","EU (excluding UK)","All","127155","74265","0.584"
"2009","All","All","EU (excluding UK)","All","148115","84545","0.5710000000000001"
"2010","All","All","EU (excluding UK)","All","185040","95515","0.516"
"2011","All","All","EU (excluding UK)","All","202050","105460","0.522"
"2012","All","All","EU (excluding UK)","All","177250","94465","0.533"
"2013","All","All","EU (excluding UK)","All","185695","101785","0.548"
"2014","All","All","EU (excluding UK)","All","196255","112945","0.5760000000000001"
"2015","All","All","EU (excluding UK)","All","212970","125540","0.589"
"2016","All","All","EU (excluding UK)","All","226450","137695","0.608"
"2017","All","All","EU (excluding UK)","All","213150","135175","0.634"
"2018","All","All","EU (excluding UK)","All","215925","138180","0.64"
"2019","All","All","EU (excluding UK)","All","218110","141905","0.651"
"2020","All","All","EU (excluding UK)","All","215325","141700","0.658"
"2021","All","All","EU (excluding UK)","All","122045","75140","0.616"
"2022","All","All","EU (excluding UK)","All","103045","59980","0.582"
"2023","All","All","EU (excluding UK)","All","99165","58595","0.591"
"2006","Lower tariff","17 and under","All","All","6125","4035","0.659"
"2007","Lower tariff","17 and under","All","All","6400","4330","0.677"
"2008","Lower tariff","17 and under","All","All","4800","3285","0.684"
"2009","Lower tariff","17 and under","All","All","5325","3530","0.663"
"2010","Lower tariff","17 and under","All","All","5845","3575","0.612"
"2011","Lower tariff","17 and under","All","All","6100","3850","0.631"
"2012","Lower tariff","17 and under","All","All","5430","3685","0.679"
"2013","Lower tariff","17 and under","All","All","5735","4105","0.716"
"2014","Lower tariff","17 and under","All","All","6405","4590","0.717"
"2015","Lower tariff","17 and under","All","All","6655","4890","0.735"
"2016","Lower tariff","17 and under","All","All","6525","4650","0.712"
"2017","Lower tariff","17 and under","All","All","6540","4810","0.735"
"2018","Lower tariff","17 and under","All","All","7145","5365","0.751"
"2019","Lower tariff","17 and under","All","All","6860","5090","0.742"
"2020","Lower tariff","17 and under","All","All","7600","5810","0.764"
"2021","Lower tariff","17 and under","All","All","7290","5310","0.728"
"2022","Lower tariff","17 and under","All","All","8850","6025","0.681"
"2023","Lower tariff","17 and under","All","All","9025","5855","0.649"
"2006","Higher tariff","17 and under","All","All","21645","12890","0.596"
"2007","Higher tariff","17 and under","All","All","22830","13590","0.595"
"2008","Higher tariff","17 and under","All","All","20295","11810","0.582"
"2009","Higher tariff","17 and under","All","All","21475","12245","0.5700000000000001"
"2010","Higher tariff","17 and under","All","All","22295","12115","0.543"
"2011","Higher tariff","17 and under","All","All","23010","12320","0.535"
"2012","Higher tariff","17 and under","All","All","25130","13780","0.548"
"2013","Higher tariff","17 and under","All","All","27360","15140","0.553"
"2014","Higher tariff","17 and under","All","All","30690","17475","0.5690000000000001"
"2015","Higher tariff","17 and under","All","All","31670","18775","0.593"
"2016","Higher tariff","17 and under","All","All","34085","20225","0.593"
"2017","Higher tariff","17 and under","All","All","36800","22385","0.608"
"2018","Higher tariff","17 and under","All","All","41100","25020","0.609"
"2019","Higher tariff","17 and under","All","All","41075","24915","0.607"
"2020","Higher tariff","17 and under","All","All","46735","28955","0.62"
"2021","Higher tariff","17 and under","All","All","48155","27310","0.5670000000000001"
"2022","Higher tariff","17 and under","All","All","52315","26545","0.507"
"2023","Higher tariff","17 and under","All","All","49685","25320","0.51"
"2006","Medium tariff","17 and under","All","All","8810","6255","0.71"
"2007","Medium tariff","17 and under","All","All","10185","7315","0.718"
"2008","Medium tariff","17 and under","All","All","8535","6230","0.73"
"2009","Medium tariff","17 and under","All","All","8990","6600","0.734"
"2010","Medium tariff","17 and under","All","All","9855","6610","0.671"
"2011","Medium tariff","17 and under","All","All","10385","6780","0.653"
"2012","Medium tariff","17 and under","All","All","10610","7390","0.6970000000000001"
"2013","Medium tariff","17 and under","All","All","11525","8345","0.724"
"2014","Medium tariff","17 and under","All","All","12535","9020","0.72"
"2015","Medium tariff","17 and under","All","All","12900","9505","0.737"
"2016","Medium tariff","17 and under","All","All","13085","9770","0.747"
"2017","Medium tariff","17 and under","All","All","13135","10000","0.761"
"2018","Medium tariff","17 and under","All","All","14300","11055","0.773"
"2019","Medium tariff","17 and under","All","All","14055","10880","0.774"
"2020","Medium tariff","17 and under","All","All","14945","11710","0.784"
"2021","Medium tariff","17 and under","All","All","14180","10480","0.739"
"2022","Medium tariff","17 and under","All","All","16010","10925","0.682"
"2023","Medium tariff","17 and under","All","All","16045","10940","0.682"
"2006","Lower tariff","18","All","All","392025","314000","0.801"
"2007","Lower tariff","18","All","All","392265","310875","0.793"
"2008","Lower tariff","18","All","All","341660","275160","0.805"
"2009","Lower tariff","18","All","All","367875","290765","0.79"
"2010","Lower tariff","18","All","All","412565","306675","0.743"
"2011","Lower tariff","18","All","All","445980","318325","0.714"
"2012","Lower tariff","18","All","All","422210","309105","0.732"
"2013","Lower tariff","18","All","All","416910","325450","0.781"
"2014","Lower tariff","18","All","All","430200","339220","0.789"
"2015","Lower tariff","18","All","All","438475","349750","0.798"
"2016","Lower tariff","18","All","All","426335","342130","0.802"
"2017","Lower tariff","18","All","All","407200","334190","0.8210000000000001"
"2018","Lower tariff","18","All","All","394325","328525","0.833"
"2019","Lower tariff","18","All","All","388685","325730","0.838"
"2020","Lower tariff","18","All","All","398620","338515","0.849"
"2021","Lower tariff","18","All","All","442355","382140","0.864"
"2022","Lower tariff","18","All","All","482845","406530","0.842"
"2023","Lower tariff","18","All","All","466165","396130","0.85"
"2006","Higher tariff","18","All","All","543795","350460","0.644"
"2007","Higher tariff","18","All","All","556260","358275","0.644"
"2008","Higher tariff","18","All","All","499205","328825","0.659"
"2009","Higher tariff","18","All","All","515670","333215","0.646"
"2010","Higher tariff","18","All","All","529890","325765","0.615"
"2011","Higher tariff","18","All","All","508210","310390","0.611"
"2012","Higher tariff","18","All","All","508700","330230","0.649"
"2013","Higher tariff","18","All","All","527705","354630","0.672"
"2014","Higher tariff","18","All","All","546045","378865","0.6940000000000001"
"2015","Higher tariff","18","All","All","582300","412195","0.708"
"2016","Higher tariff","18","All","All","603240","429380","0.712"
"2017","Higher tariff","18","All","All","634255","455800","0.719"
"2018","Higher tariff","18","All","All","647690","460915","0.712"
"2019","Higher tariff","18","All","All","680340","484000","0.711"
"2020","Higher tariff","18","All","All","711155","508500","0.715"
"2021","Higher tariff","18","All","All","787120","522935","0.664"
"2022","Higher tariff","18","All","All","823605","491250","0.596"
"2023","Higher tariff","18","All","All","820215","515700","0.629"
"2006","Medium tariff","18","All","All","373310","294015","0.788"
"2007","Medium tariff","18","All","All","385305","303550","0.788"
"2008","Medium tariff","18","All","All","353780","282680","0.799"
"2009","Medium tariff","18","All","All","381780","301085","0.789"
"2010","Medium tariff","18","All","All","424995","316365","0.744"
"2011","Medium tariff","18","All","All","439925","310985","0.707"
"2012","Medium tariff","18","All","All","419540","309865","0.739"
"2013","Medium tariff","18","All","All","426335","328055","0.769"
"2014","Medium tariff","18","All","All","442825","343330","0.775"
"2015","Medium tariff","18","All","All","463035","358415","0.774"
"2016","Medium tariff","18","All","All","471685","370170","0.785"
"2017","Medium tariff","18","All","All","464215","373280","0.804"
"2018","Medium tariff","18","All","All","456830","375170","0.8210000000000001"
"2019","Medium tariff","18","All","All","458215","378945","0.8270000000000001"
"2020","Medium tariff","18","All","All","463045","383200","0.8280000000000001"
"2021","Medium tariff","18","All","All","504920","414825","0.8220000000000001"
"2022","Medium tariff","18","All","All","529215","420870","0.795"
"2023","Medium tariff","18","All","All","526250","424860","0.807"
"2006","Lower tariff","19","All","All","145870","104875","0.719"
"2007","Lower tariff","19","All","All","170820","121675","0.712"
"2008","Lower tariff","19","All","All","155100","111070","0.716"
"2009","Lower tariff","19","All","All","172315","121155","0.7030000000000001"
"2010","Lower tariff","19","All","All","209265","134240","0.641"
"2011","Lower tariff","19","All","All","236210","147000","0.622"
"2012","Lower tariff","19","All","All","202200","131140","0.649"
"2013","Lower tariff","19","All","All","211075","148225","0.7020000000000001"
"2014","Lower tariff","19","All","All","214415","152300","0.71"
"2015","Lower tariff","19","All","All","211840","155075","0.732"
"2016","Lower tariff","19","All","All","208040","152880","0.735"
"2017","Lower tariff","19","All","All","188075","141965","0.755"
"2018","Lower tariff","19","All","All","174160","134185","0.77"
"2019","Lower tariff","19","All","All","168695","131210","0.778"
"2020","Lower tariff","19","All","All","157965","124675","0.789"
"2021","Lower tariff","19","All","All","146450","114465","0.782"
"2022","Lower tariff","19","All","All","152315","113720","0.747"
"2023","Lower tariff","19","All","All","145520","109095","0.75"
"2006","Higher tariff","19","All","All","118550","61845","0.522"
"2007","Higher tariff","19","All","All","145975","77640","0.532"
"2008","Higher tariff","19","All","All","140015","76580","0.547"
"2009","Higher tariff","19","All","All","151350","80560","0.532"
"2010","Higher tariff","19","All","All","165560","84585","0.511"
"2011","Higher tariff","19","All","All","174680","89530","0.513"
"2012","Higher tariff","19","All","All","155135","82690","0.533"
"2013","Higher tariff","19","All","All","173420","95285","0.549"
"2014","Higher tariff","19","All","All","182545","104060","0.5700000000000001"
"2015","Higher tariff","19","All","All","188820","110190","0.584"
"2016","Higher tariff","19","All","All","196555","116565","0.593"
"2017","Higher tariff","19","All","All","192420","116065","0.603"
"2018","Higher tariff","19","All","All","192510","114685","0.596"
"2019","Higher tariff","19","All","All","197570","118675","0.601"
"2020","Higher tariff","19","All","All","199990","120705","0.604"
"2021","Higher tariff","19","All","All","195725","109725","0.561"
"2022","Higher tariff","19","All","All","199665","100880","0.505"
"2023","Higher tariff","19","All","All","210380","109930","0.523"
"2006","Medium tariff","19","All","All","106280","68445","0.644"
"2007","Medium tariff","19","All","All","134190","87645","0.653"
"2008","Medium tariff","19","All","All","130145","86230","0.663"
"2009","Medium tariff","19","All","All","144525","93345","0.646"
"2010","Medium tariff","19","All","All","179430","105035","0.585"
"2011","Medium tariff","19","All","All","194695","111740","0.5740000000000001"
"2012","Medium tariff","19","All","All","162910","100005","0.614"
"2013","Medium tariff","19","All","All","182065","118900","0.653"
"2014","Medium tariff","19","All","All","189610","125815","0.664"
"2015","Medium tariff","19","All","All","195895","131915","0.673"
"2016","Medium tariff","19","All","All","196015","134405","0.686"
"2017","Medium tariff","19","All","All","185165","130530","0.705"
"2018","Medium tariff","19","All","All","174325","125540","0.72"
"2019","Medium tariff","19","All","All","169675","123020","0.725"
"2020","Medium tariff","19","All","All","160530","115765","0.721"
"2021","Medium tariff","19","All","All","146675","102535","0.6990000000000001"
"2022","Medium tariff","19","All","All","148965","98050","0.658"
"2023","Medium tariff","19","All","All","146685","97875","0.667"
"2006","Lower tariff","20","All","All","60935","41225","0.677"
"2007","Lower tariff","20","All","All","66355","44670","0.673"
"2008","Lower tariff","20","All","All","67815","45345","0.669"
"2009","Lower tariff","20","All","All","73895","47985","0.649"
"2010","Lower tariff","20","All","All","88830","51020","0.5740000000000001"
"2011","Lower tariff","20","All","All","99040","53675","0.542"
"2012","Lower tariff","20","All","All","87500","49560","0.5660000000000001"
"2013","Lower tariff","20","All","All","86525","54255","0.627"
"2014","Lower tariff","20","All","All","90370","57200","0.633"
"2015","Lower tariff","20","All","All","85045","55050","0.647"
"2016","Lower tariff","20","All","All","81010","53065","0.655"
"2017","Lower tariff","20","All","All","76175","52635","0.6910000000000001"
"2018","Lower tariff","20","All","All","69395","49225","0.709"
"2019","Lower tariff","20","All","All","66330","48040","0.724"
"2020","Lower tariff","20","All","All","67025","49805","0.743"
"2021","Lower tariff","20","All","All","61955","45120","0.728"
"2022","Lower tariff","20","All","All","60630","41680","0.687"
"2023","Lower tariff","20","All","All","59510","41325","0.6940000000000001"
"2006","Higher tariff","20","All","All","40085","18245","0.455"
"2007","Higher tariff","20","All","All","43640","19765","0.453"
"2008","Higher tariff","20","All","All","44515","20750","0.466"
"2009","Higher tariff","20","All","All","48735","22095","0.453"
"2010","Higher tariff","20","All","All","54480","23095","0.424"
"2011","Higher tariff","20","All","All","55035","22925","0.417"
"2012","Higher tariff","20","All","All","52315","22540","0.431"
"2013","Higher tariff","20","All","All","54350","24105","0.443"
"2014","Higher tariff","20","All","All","59905","27830","0.465"
"2015","Higher tariff","20","All","All","59685","27840","0.466"
"2016","Higher tariff","20","All","All","59740","28745","0.481"
"2017","Higher tariff","20","All","All","57555","27955","0.486"
"2018","Higher tariff","20","All","All","55130","26460","0.48"
"2019","Higher tariff","20","All","All","55520","27275","0.491"
"2020","Higher tariff","20","All","All","58710","29500","0.502"
"2021","Higher tariff","20","All","All","58365","28470","0.488"
"2022","Higher tariff","20","All","All","60010","27165","0.453"
"2023","Higher tariff","20","All","All","61220","28300","0.462"
"2006","Medium tariff","20","All","All","43195","25760","0.596"
"2007","Medium tariff","20","All","All","48915","28900","0.591"
"2008","Medium tariff","20","All","All","51200","30220","0.59"
"2009","Medium tariff","20","All","All","56310","31845","0.5660000000000001"
"2010","Medium tariff","20","All","All","68120","33675","0.494"
"2011","Medium tariff","20","All","All","72455","34625","0.47800000000000004"
"2012","Medium tariff","20","All","All","62850","31970","0.509"
"2013","Medium tariff","20","All","All","65715","35635","0.542"
"2014","Medium tariff","20","All","All","71660","39970","0.558"
"2015","Medium tariff","20","All","All","70300","39200","0.558"
"2016","Medium tariff","20","All","All","68120","38665","0.5680000000000001"
"2017","Medium tariff","20","All","All","65740","38960","0.593"
"2018","Medium tariff","20","All","All","62880","38650","0.615"
"2019","Medium tariff","20","All","All","60440","37875","0.627"
"2020","Medium tariff","20","All","All","58750","37470","0.638"
"2021","Medium tariff","20","All","All","56060","34515","0.616"
"2022","Medium tariff","20","All","All","54690","31720","0.58"
"2023","Medium tariff","20","All","All","52935","31000","0.586"
"2006","Lower tariff","21 - 24","All","All","80095","50085","0.625"
"2007","Lower tariff","21 - 24","All","All","86500","53415","0.618"
"2008","Lower tariff","21 - 24","All","All","85030","51785","0.609"
"2009","Lower tariff","21 - 24","All","All","98990","57000","0.5760000000000001"
"2010","Lower tariff","21 - 24","All","All","122645","60450","0.493"
"2011","Lower tariff","21 - 24","All","All","131510","61345","0.466"
"2012","Lower tariff","21 - 24","All","All","115615","55125","0.47700000000000004"
"2013","Lower tariff","21 - 24","All","All","116040","60540","0.522"
"2014","Lower tariff","21 - 24","All","All","119830","63545","0.53"
"2015","Lower tariff","21 - 24","All","All","113975","63075","0.553"
"2016","Lower tariff","21 - 24","All","All","108210","59790","0.553"
"2017","Lower tariff","21 - 24","All","All","93925","56620","0.603"
"2018","Lower tariff","21 - 24","All","All","85780","54470","0.635"
"2019","Lower tariff","21 - 24","All","All","81005","52800","0.652"
"2020","Lower tariff","21 - 24","All","All","82505","55745","0.676"
"2021","Lower tariff","21 - 24","All","All","86395","55695","0.645"
"2022","Lower tariff","21 - 24","All","All","83845","49760","0.593"
"2023","Lower tariff","21 - 24","All","All","76590","44765","0.584"
"2006","Higher tariff","21 - 24","All","All","57870","18915","0.327"
"2007","Higher tariff","21 - 24","All","All","62360","20515","0.329"
"2008","Higher tariff","21 - 24","All","All","60430","20920","0.34600000000000003"
"2009","Higher tariff","21 - 24","All","All","66840","21840","0.327"
"2010","Higher tariff","21 - 24","All","All","77055","22535","0.292"
"2011","Higher tariff","21 - 24","All","All","78635","22415","0.28500000000000003"
"2012","Higher tariff","21 - 24","All","All","73580","21055","0.28600000000000003"
"2013","Higher tariff","21 - 24","All","All","76565","22905","0.299"
"2014","Higher tariff","21 - 24","All","All","77975","23480","0.301"
"2015","Higher tariff","21 - 24","All","All","80455","25050","0.311"
"2016","Higher tariff","21 - 24","All","All","78545","25085","0.319"
"2017","Higher tariff","21 - 24","All","All","71860","24040","0.335"
"2018","Higher tariff","21 - 24","All","All","71160","24005","0.337"
"2019","Higher tariff","21 - 24","All","All","68120","24075","0.353"
"2020","Higher tariff","21 - 24","All","All","68510","24800","0.362"
"2021","Higher tariff","21 - 24","All","All","73575","24450","0.332"
"2022","Higher tariff","21 - 24","All","All","71485","22785","0.319"
"2023","Higher tariff","21 - 24","All","All","68000","22990","0.338"
"2006","Medium tariff","21 - 24","All","All","59930","32415","0.541"
"2007","Medium tariff","21 - 24","All","All","64675","34390","0.532"
"2008","Medium tariff","21 - 24","All","All","64900","34780","0.536"
"2009","Medium tariff","21 - 24","All","All","74830","37580","0.502"
"2010","Medium tariff","21 - 24","All","All","90300","38260","0.424"
"2011","Medium tariff","21 - 24","All","All","96135","39140","0.40700000000000003"
"2012","Medium tariff","21 - 24","All","All","85050","35980","0.423"
"2013","Medium tariff","21 - 24","All","All","87140","39125","0.449"
"2014","Medium tariff","21 - 24","All","All","91300","41275","0.452"
"2015","Medium tariff","21 - 24","All","All","91320","41900","0.459"
"2016","Medium tariff","21 - 24","All","All","87585","40895","0.467"
"2017","Medium tariff","21 - 24","All","All","80295","40665","0.506"
"2018","Medium tariff","21 - 24","All","All","77965","41230","0.529"
"2019","Medium tariff","21 - 24","All","All","75705","40970","0.541"
"2020","Medium tariff","21 - 24","All","All","75260","41585","0.553"
"2021","Medium tariff","21 - 24","All","All","77230","39715","0.514"
"2022","Medium tariff","21 - 24","All","All","73575","35730","0.486"
"2023","Medium tariff","21 - 24","All","All","68105","34015","0.499"
"2006","Lower tariff","25 - 29","All","All","32935","18115","0.55"
"2007","Lower tariff","25 - 29","All","All","34025","18785","0.552"
"2008","Lower tariff","25 - 29","All","All","35715","19175","0.537"
"2009","Lower tariff","25 - 29","All","All","42050","21240","0.505"
"2010","Lower tariff","25 - 29","All","All","54825","22630","0.41300000000000003"
"2011","Lower tariff","25 - 29","All","All","57230","21750","0.38"
"2012","Lower tariff","25 - 29","All","All","50040","19320","0.386"
"2013","Lower tariff","25 - 29","All","All","50220","20700","0.41200000000000003"
"2014","Lower tariff","25 - 29","All","All","53570","22720","0.424"
"2015","Lower tariff","25 - 29","All","All","51340","23300","0.454"
"2016","Lower tariff","25 - 29","All","All","50280","22660","0.451"
"2017","Lower tariff","25 - 29","All","All","41005","21055","0.513"
"2018","Lower tariff","25 - 29","All","All","35985","20380","0.5660000000000001"
"2019","Lower tariff","25 - 29","All","All","34855","20100","0.577"
"2020","Lower tariff","25 - 29","All","All","36415","22090","0.607"
"2021","Lower tariff","25 - 29","All","All","41830","23465","0.561"
"2022","Lower tariff","25 - 29","All","All","38010","19925","0.524"
"2023","Lower tariff","25 - 29","All","All","32610","16760","0.514"
"2006","Higher tariff","25 - 29","All","All","21265","5735","0.27"
"2007","Higher tariff","25 - 29","All","All","21300","6090","0.28600000000000003"
"2008","Higher tariff","25 - 29","All","All","21110","6320","0.299"
"2009","Higher tariff","25 - 29","All","All","23055","6365","0.276"
"2010","Higher tariff","25 - 29","All","All","27810","6565","0.23600000000000002"
"2011","Higher tariff","25 - 29","All","All","28435","6220","0.219"
"2012","Higher tariff","25 - 29","All","All","26095","5760","0.221"
"2013","Higher tariff","25 - 29","All","All","26345","6140","0.233"
"2014","Higher tariff","25 - 29","All","All","26620","6530","0.245"
"2015","Higher tariff","25 - 29","All","All","29770","7430","0.25"
"2016","Higher tariff","25 - 29","All","All","30120","7540","0.25"
"2017","Higher tariff","25 - 29","All","All","26770","7200","0.269"
"2018","Higher tariff","25 - 29","All","All","25130","7235","0.28800000000000003"
"2019","Higher tariff","25 - 29","All","All","24055","7195","0.299"
"2020","Higher tariff","25 - 29","All","All","24720","7785","0.315"
"2021","Higher tariff","25 - 29","All","All","28675","7835","0.273"
"2022","Higher tariff","25 - 29","All","All","24525","6680","0.272"
