"Year","Difference between predicted and achieved SQA higher points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2022","2 points","18","All","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2023","2 points","18","All","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2010","3 points","18","All","Female","Main scheme applicant","Main scheme application","10","10"," ","0"
"2011","3 points","18","All","Female","Main scheme applicant","Main scheme application","10","10"," ","0"
"2012","3 points","18","All","Female","Main scheme applicant","Main scheme application","10","10"," ","0"
"2013","3 points","18","All","Female","Main scheme applicant","Main scheme application","10","10","1","0"
"2014","3 points","18","All","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2015","3 points","18","All","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2016","3 points","18","All","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2018","3 points","18","All","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2019","3 points","18","All","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2020","3 points","18","All","Female","Main scheme applicant","Main scheme application","15","10","0.786","0"
"2021","3 points","18","All","Female","Main scheme applicant","Main scheme application","15","10","0.6880000000000001","0"
"2010","More than 3 points","18","All","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2011","More than 3 points","18","All","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2012","More than 3 points","18","All","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2013","More than 3 points","18","All","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2014","More than 3 points","18","All","Female","Main scheme applicant","Main scheme application","10","10"," ","0"
"2015","More than 3 points","18","All","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2016","More than 3 points","18","All","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2017","More than 3 points","18","All","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2018","More than 3 points","18","All","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2019","More than 3 points","18","All","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2020","More than 3 points","18","All","Female","Main scheme applicant","Main scheme application","10","10"," ","0"
"2021","More than 3 points","18","All","Female","Main scheme applicant","Main scheme application","10","10","0.833","0"
"2022","More than 3 points","18","All","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2023","More than 3 points","18","All","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2010","-1 points","18","All","Female","Main scheme applicant","Main scheme application","30","15","0.552","0"
"2011","-1 points","18","All","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2012","-1 points","18","All","Female","Main scheme applicant","Main scheme application","30","10","0.429","0"
"2013","-1 points","18","All","Female","Main scheme applicant","Main scheme application","25","15","0.739","0"
"2014","-1 points","18","All","Female","Main scheme applicant","Main scheme application","25","15","0.739","0"
"2015","-1 points","18","All","Female","Main scheme applicant","Main scheme application","35","15","0.457","0"
"2016","-1 points","18","All","Female","Main scheme applicant","Main scheme application","25","15","0.739","0"
"2017","-1 points","18","All","Female","Main scheme applicant","Main scheme application","30","20","0.679","0"
"2018","-1 points","18","All","Female","Main scheme applicant","Main scheme application","20","15","0.842","0"
"2019","-1 points","18","All","Female","Main scheme applicant","Main scheme application","25","15","0.654","0"
"2020","-1 points","18","All","Female","Main scheme applicant","Main scheme application","25","20","0.6920000000000001","0"
"2021","-1 points","18","All","Female","Main scheme applicant","Main scheme application","25","20","0.72","0"
"2022","-1 points","18","All","Female","Main scheme applicant","Main scheme application","20","15","0.762","0"
"2023","-1 points","18","All","Female","Main scheme applicant","Main scheme application","25","20","0.75","0"
"2010","-2 points","18","All","Female","Main scheme applicant","Main scheme application","20","10"," ","0"
"2011","-2 points","18","All","Female","Main scheme applicant","Main scheme application","30","15","0.464","0"
"2012","-2 points","18","All","Female","Main scheme applicant","Main scheme application","25","15","0.593","0"
