"Year","Ethnic group","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2023","White","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2022","White","30 - 34","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","White","30 - 34","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","White","35 and over","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","White","35 and over","England","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2021","White","35 and over","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","White","35 and over","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","White","35 and over","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","White","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2020","White","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","15","10"," "
"2021","White","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","15","10","0.733"
"2022","White","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2023","White","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","20","15","0.7000000000000001"
"2022","White","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","15","10","0.769"
"2023","White","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","Asian","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2020","Asian","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Asian","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2020","White","21 - 24","England","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","White","21 - 24","England","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","White","21 - 24","England","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","White","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","10","10"," "
"2020","White","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","15","10","0.8"
"2021","White","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","White","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","10","10"," "
"2023","White","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","White","21 - 24","Wales","Male","Not main scheme applicant","Not main scheme application","20","20","0.8180000000000001"
"2023","White","21 - 24","Wales","Male","Not main scheme applicant","Not main scheme application","25","20","0.8260000000000001"
"2020","White","25 - 29","England","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","White","25 - 29","England","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","White","25 - 29","England","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","White","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","10","10","0.909"
"2020","White","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","25","20","0.8"
"2021","White","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","White","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","5","0"," "
"2023","White","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","White","25 - 29","Wales","Male","Not main scheme applicant","Not main scheme application","10","10"," "
"2023","White","25 - 29","Wales","Male","Not main scheme applicant","Not main scheme application","10","5"," "
"2019","White","30 - 34","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","White","30 - 34","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","White","30 - 34","Scotland","Male","Not main scheme applicant","Not main scheme application","5","0"," "
"2023","White","30 - 34","Scotland","Male","Not main scheme applicant","Not main scheme application","5","0"," "
"2023","White","30 - 34","Wales","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","White","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","5","0"," "
"2020","White","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","15","10","0.75"
"2021","White","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","White","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","10","10"," "
"2023","White","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","15","15","1"
"2022","White","35 and over","Wales","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","White","35 and over","Wales","Male","Not main scheme applicant","Not main scheme application","10","10"," "
"2021","White","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
