"Year","Subject group HECoS","Detailed subject group HECoS","IMD2019 NIMDM2017 SIMD2012 2016 2020 WIMD2019","Domicile","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2020","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","Unknown","England","5","0"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","Unknown","England","15","5"," "
"2022","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","Unknown","England","15","10"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","Unknown","Scotland","5","0"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","Unknown","England","5","5"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","Unknown","England","5","5"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","Unknown","Northern Ireland","5","0"," "
"2022","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","Unknown","Northern Ireland","5","0"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","Unknown","England","30","10","0.333"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","Unknown","England","15","5"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","Unknown","England","15","10","0.667"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","Unknown","England","10","0"," "
"2023","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","Unknown","England","5","5"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","Unknown","Wales","5","0"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","Unknown","Wales","5","0"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","Unknown","Northern Ireland","5","5"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","Unknown","England","15","10"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","Unknown","England","5","5"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","Unknown","England","5","5"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","Unknown","Scotland","5","5"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","Unknown","England","5","5"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","Unknown","England","5","5"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","Unknown","England","5","5"," "
"2023","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","Unknown","England","5","5"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","Unknown","Northern Ireland","5","0"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","Unknown","Northern Ireland","5","0"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","Unknown","England","5","5"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","Unknown","England","10","5"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","Unknown","England","5","5"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","Unknown","Northern Ireland","5","5"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","Unknown","England","5","0"," "
