"Year","Care responsibility status","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","Has carer responsibility","19","Wales","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","20","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","20","England","Male","Not main scheme applicant","Not main scheme application","1505","1415","0.9430000000000001","10"
"2023","Not declared","20","Scotland","Male","Not main scheme applicant","Not main scheme application","95","95","0.969","0"
"2023","Not declared","20","Wales","Male","Not main scheme applicant","Not main scheme application","70","70","0.986","0"
"2023","Does not have carer responsibility","20","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","45","45","0.9560000000000001","5"
"2023","Does not have carer responsibility","20","England","Male","Not main scheme applicant","Not main scheme application","1440","1275","0.887","180"
"2023","Does not have carer responsibility","20","Scotland","Male","Not main scheme applicant","Not main scheme application","75","65","0.865","20"
"2023","Does not have carer responsibility","20","Wales","Male","Not main scheme applicant","Not main scheme application","55","50","0.911","10"
"2023","Has carer responsibility","20","England","Male","Not main scheme applicant","Not main scheme application","40","30","0.8160000000000001","5"
"2023","Has carer responsibility","20","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","21 - 24","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","21 - 24","England","Male","Not main scheme applicant","Not main scheme application","4205","3945","0.9380000000000001","10"
"2023","Not declared","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","180","170","0.961","0"
"2023","Not declared","21 - 24","Wales","Male","Not main scheme applicant","Not main scheme application","90","85","0.977","0"
"2023","Does not have carer responsibility","21 - 24","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","45","35","0.86","10"
"2023","Does not have carer responsibility","21 - 24","England","Male","Not main scheme applicant","Not main scheme application","2010","1725","0.858","305"
"2023","Does not have carer responsibility","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","125","110","0.873","30"
"2023","Does not have carer responsibility","21 - 24","Wales","Male","Not main scheme applicant","Not main scheme application","115","100","0.877","20"
"2023","Has carer responsibility","21 - 24","England","Male","Not main scheme applicant","Not main scheme application","75","65","0.863","10"
"2023","Has carer responsibility","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","Has carer responsibility","21 - 24","Wales","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","25 - 29","England","Male","Not main scheme applicant","Not main scheme application","3640","3430","0.9420000000000001","10"
"2023","Not declared","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","90","90","0.9570000000000001","0"
"2023","Not declared","25 - 29","Wales","Male","Not main scheme applicant","Not main scheme application","45","45","0.9570000000000001","0"
"2023","Does not have carer responsibility","25 - 29","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","15","15","0.867","5"
"2023","Does not have carer responsibility","25 - 29","England","Male","Not main scheme applicant","Not main scheme application","540","445","0.8260000000000001","135"
"2023","Does not have carer responsibility","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","60","60","0.9510000000000001","25"
"2023","Does not have carer responsibility","25 - 29","Wales","Male","Not main scheme applicant","Not main scheme application","40","30","0.795","10"
"2023","Has carer responsibility","25 - 29","England","Male","Not main scheme applicant","Not main scheme application","35","30","0.778","5"
"2023","Has carer responsibility","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Has carer responsibility","25 - 29","Wales","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","30 - 34","England","Male","Not main scheme applicant","Not main scheme application","3305","3110","0.9410000000000001","0"
"2023","Not declared","30 - 34","Scotland","Male","Not main scheme applicant","Not main scheme application","60","60","0.9510000000000001","0"
"2023","Not declared","30 - 34","Wales","Male","Not main scheme applicant","Not main scheme application","35","35","1","0"
"2023","Does not have carer responsibility","30 - 34","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Does not have carer responsibility","30 - 34","England","Male","Not main scheme applicant","Not main scheme application","295","230","0.78","85"
"2023","Does not have carer responsibility","30 - 34","Scotland","Male","Not main scheme applicant","Not main scheme application","30","20","0.6880000000000001","10"
"2023","Does not have carer responsibility","30 - 34","Wales","Male","Not main scheme applicant","Not main scheme application","15","10","0.733","5"
"2023","Has carer responsibility","30 - 34","England","Male","Not main scheme applicant","Not main scheme application","45","30","0.659","5"
"2023","Not declared","35 and over","England","Male","Not main scheme applicant","Not main scheme application","7495","7065","0.9430000000000001","15"
"2023","Not declared","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","95","90","0.968","0"
"2023","Not declared","35 and over","Wales","Male","Not main scheme applicant","Not main scheme application","50","50","0.962","0"
"2023","Does not have carer responsibility","35 and over","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Does not have carer responsibility","35 and over","England","Male","Not main scheme applicant","Not main scheme application","580","435","0.75","195"
"2023","Does not have carer responsibility","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","65","55","0.8150000000000001","30"
"2023","Does not have carer responsibility","35 and over","Wales","Male","Not main scheme applicant","Not main scheme application","35","30","0.8240000000000001","10"
"2023","Has carer responsibility","35 and over","England","Male","Not main scheme applicant","Not main scheme application","105","75","0.712","55"
"2023","Has carer responsibility","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2023","Has carer responsibility","35 and over","Wales","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","17 and under","England","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Does not have carer responsibility","17 and under","England","Female","Main scheme applicant","Not main scheme application","65","45","0.7030000000000001","0"
"2023","Does not have carer responsibility","17 and under","Scotland","Female","Main scheme applicant","Not main scheme application","40","30","0.75","0"
"2023","Does not have carer responsibility","17 and under","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Has carer responsibility","17 and under","England","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
