"Year","Subject group HECoS","Detailed subject group HECoS","Disability and mental health","Disability and mental health description","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","No disability declared","No impairment","2260","2170","0.96"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","No disability declared","No impairment","8375","4910","0.586"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","No disability declared","No impairment","9055","5385","0.595"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","No disability declared","No impairment","9785","5930","0.606"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","No disability declared","No impairment","9675","5480","0.5670000000000001"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","No disability declared","No impairment","8180","4655","0.5690000000000001"
"2019","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","No disability declared","No impairment","4855","4035","0.8310000000000001"
"2020","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","No disability declared","No impairment","5085","4230","0.8320000000000001"
"2021","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","No disability declared","No impairment","6035","4875","0.808"
"2022","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","No disability declared","No impairment","6775","5160","0.761"
"2023","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","No disability declared","No impairment","6885","5490","0.798"
"2019","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","No disability declared","No impairment","13960","9630","0.6900000000000001"
"2020","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","No disability declared","No impairment","14195","9630","0.679"
"2021","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","No disability declared","No impairment","17060","12330","0.723"
