"Year","Subject group HECoS","Detailed subject group HECoS","Disability and mental health","Disability and mental health description","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2023","(CAH19) language and area studies","(CAH19-01-06) others in English studies","All","All","170","145","0.854"
"2019","(CAH19) language and area studies","(CAH19-01-02) English language","All","All","4505","4035","0.896"
"2020","(CAH19) language and area studies","(CAH19-01-02) English language","All","All","4030","3620","0.898"
"2021","(CAH19) language and area studies","(CAH19-01-02) English language","All","All","3800","3405","0.897"
"2022","(CAH19) language and area studies","(CAH19-01-02) English language","All","All","3735","3260","0.873"
"2023","(CAH19) language and area studies","(CAH19-01-02) English language","All","All","3505","3130","0.892"
"2019","(CAH19) language and area studies","(CAH19-01-03) literature in English","All","All","19775","17180","0.869"
"2020","(CAH19) language and area studies","(CAH19-01-03) literature in English","All","All","18095","15835","0.875"
"2021","(CAH19) language and area studies","(CAH19-01-03) literature in English","All","All","18355","15825","0.862"
"2022","(CAH19) language and area studies","(CAH19-01-03) literature in English","All","All","18475","15000","0.812"
"2023","(CAH19) language and area studies","(CAH19-01-03) literature in English","All","All","19120","16185","0.846"
"2019","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","All","All","20745","16980","0.8180000000000001"
"2020","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","All","All","18470","15245","0.8250000000000001"
"2021","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","All","All","18160","14685","0.809"
"2022","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","All","All","18585","14680","0.79"
"2023","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","All","All","18040","14590","0.809"
"2019","(CAH19) language and area studies","(CAH19-04-01) French studies","All","All","5615","4530","0.807"
"2020","(CAH19) language and area studies","(CAH19-04-01) French studies","All","All","4865","3950","0.811"
"2021","(CAH19) language and area studies","(CAH19-04-01) French studies","All","All","4640","3715","0.8"
"2022","(CAH19) language and area studies","(CAH19-04-01) French studies","All","All","4185","3215","0.769"
"2023","(CAH19) language and area studies","(CAH19-04-01) French studies","All","All","3730","2975","0.797"
"2019","(CAH19) language and area studies","(CAH19-04-02) German and Scandinavian studies","All","All","1940","1590","0.8200000000000001"
"2020","(CAH19) language and area studies","(CAH19-04-02) German and Scandinavian studies","All","All","1750","1435","0.8200000000000001"
"2021","(CAH19) language and area studies","(CAH19-04-02) German and Scandinavian studies","All","All","1650","1340","0.8130000000000001"
"2022","(CAH19) language and area studies","(CAH19-04-02) German and Scandinavian studies","All","All","1450","1120","0.772"
"2023","(CAH19) language and area studies","(CAH19-04-02) German and Scandinavian studies","All","All","1225","980","0.801"
"2019","(CAH19) language and area studies","(CAH19-04-04) Iberian studies","All","All","6185","4940","0.798"
"2020","(CAH19) language and area studies","(CAH19-04-04) Iberian studies","All","All","5635","4525","0.803"
"2021","(CAH19) language and area studies","(CAH19-04-04) Iberian studies","All","All","5190","4115","0.793"
"2022","(CAH19) language and area studies","(CAH19-04-04) Iberian studies","All","All","4345","3280","0.754"
"2023","(CAH19) language and area studies","(CAH19-04-04) Iberian studies","All","All","4160","3280","0.788"
"2019","(CAH19) language and area studies","(CAH19-04-03) Italian studies","All","All","845","680","0.804"
"2020","(CAH19) language and area studies","(CAH19-04-03) Italian studies","All","All","720","565","0.782"
"2021","(CAH19) language and area studies","(CAH19-04-03) Italian studies","All","All","680","515","0.756"
"2022","(CAH19) language and area studies","(CAH19-04-03) Italian studies","All","All","555","415","0.747"
"2023","(CAH19) language and area studies","(CAH19-04-03) Italian studies","All","All","615","480","0.78"
"2019","(CAH19) language and area studies","(CAH19-01-07) linguistics","All","All","3725","3210","0.861"
"2020","(CAH19) language and area studies","(CAH19-01-07) linguistics","All","All","3605","3155","0.875"
"2021","(CAH19) language and area studies","(CAH19-01-07) linguistics","All","All","3385","2975","0.88"
"2022","(CAH19) language and area studies","(CAH19-01-07) linguistics","All","All","3590","3030","0.844"
"2023","(CAH19) language and area studies","(CAH19-01-07) linguistics","All","All","3400","2890","0.85"
"2019","(CAH19) language and area studies","(CAH19-04-09) others in language and area studies","All","All","7995","7050","0.882"
"2020","(CAH19) language and area studies","(CAH19-04-09) others in language and area studies","All","All","8730","7720","0.884"
"2021","(CAH19) language and area studies","(CAH19-04-09) others in language and area studies","All","All","8385","7415","0.884"
"2022","(CAH19) language and area studies","(CAH19-04-09) others in language and area studies","All","All","9655","8355","0.865"
"2023","(CAH19) language and area studies","(CAH19-04-09) others in language and area studies","All","All","7940","6980","0.879"
"2019","(CAH19) language and area studies","(CAH19-04-05) Slavic studies","All","All","670","500","0.75"
"2020","(CAH19) language and area studies","(CAH19-04-05) Slavic studies","All","All","640","475","0.74"
"2021","(CAH19) language and area studies","(CAH19-04-05) Slavic studies","All","All","675","480","0.712"
"2022","(CAH19) language and area studies","(CAH19-04-05) Slavic studies","All","All","605","380","0.629"
"2023","(CAH19) language and area studies","(CAH19-04-05) Slavic studies","All","All","570","370","0.652"
"2019","(CAH19) language and area studies","(CAH19-02-03) Welsh studies","All","All","240","235","0.971"
"2020","(CAH19) language and area studies","(CAH19-02-03) Welsh studies","All","All","230","220","0.9470000000000001"
"2021","(CAH19) language and area studies","(CAH19-02-03) Welsh studies","All","All","220","210","0.962"
"2022","(CAH19) language and area studies","(CAH19-02-03) Welsh studies","All","All","180","165","0.931"
"2023","(CAH19) language and area studies","(CAH19-02-03) Welsh studies","All","All","175","170","0.963"
"2020","(CAH19) language and area studies","(CAH19-01-04) studies of specific authors","All","All","5","5"," "
"2021","(CAH19) language and area studies","(CAH19-01-04) studies of specific authors","All","All","5","5"," "
"2022","(CAH19) language and area studies","(CAH19-01-04) studies of specific authors","All","All","5","5"," "
"2023","(CAH19) language and area studies","(CAH19-01-04) studies of specific authors","All","All","5","5"," "
"2019","(CAH19) language and area studies","(CAH19-02-01) Celtic studies (non-specific)","All","All","115","85","0.731"
"2020","(CAH19) language and area studies","(CAH19-02-01) Celtic studies (non-specific)","All","All","85","65","0.765"
"2021","(CAH19) language and area studies","(CAH19-02-01) Celtic studies (non-specific)","All","All","140","105","0.766"
"2022","(CAH19) language and area studies","(CAH19-02-01) Celtic studies (non-specific)","All","All","115","85","0.754"
"2023","(CAH19) language and area studies","(CAH19-02-01) Celtic studies (non-specific)","All","All","140","110","0.774"
"2019","(CAH19) language and area studies","(CAH19-02-02) Gaelic studies","All","All","70","55","0.805"
"2020","(CAH19) language and area studies","(CAH19-02-02) Gaelic studies","All","All","70","50","0.729"
"2021","(CAH19) language and area studies","(CAH19-02-02) Gaelic studies","All","All","85","60","0.708"
"2022","(CAH19) language and area studies","(CAH19-02-02) Gaelic studies","All","All","50","40","0.8220000000000001"
"2023","(CAH19) language and area studies","(CAH19-02-02) Gaelic studies","All","All","60","50","0.795"
"2019","(CAH19) language and area studies","(CAH19-02-04) others in Celtic studies","All","All","240","235","0.971"
"2020","(CAH19) language and area studies","(CAH19-02-04) others in Celtic studies","All","All","230","225","0.984"
"2021","(CAH19) language and area studies","(CAH19-02-04) others in Celtic studies","All","All","185","175","0.9550000000000001"
"2022","(CAH19) language and area studies","(CAH19-02-04) others in Celtic studies","All","All","170","150","0.888"
"2023","(CAH19) language and area studies","(CAH19-02-04) others in Celtic studies","All","All","205","195","0.9580000000000001"
"2019","(CAH19) language and area studies","(CAH19-04-06) Asian studies","All","All","4000","2755","0.6880000000000001"
"2020","(CAH19) language and area studies","(CAH19-04-06) Asian studies","All","All","3525","2670","0.758"
"2021","(CAH19) language and area studies","(CAH19-04-06) Asian studies","All","All","3535","2725","0.771"
"2022","(CAH19) language and area studies","(CAH19-04-06) Asian studies","All","All","3740","2745","0.734"
"2023","(CAH19) language and area studies","(CAH19-04-06) Asian studies","All","All","2825","2070","0.732"
"2019","(CAH19) language and area studies","(CAH19-04-07) African and modern Middle Eastern studies","All","All","970","690","0.712"
"2020","(CAH19) language and area studies","(CAH19-04-07) African and modern Middle Eastern studies","All","All","760","555","0.73"
"2021","(CAH19) language and area studies","(CAH19-04-07) African and modern Middle Eastern studies","All","All","655","465","0.709"
"2022","(CAH19) language and area studies","(CAH19-04-07) African and modern Middle Eastern studies","All","All","705","490","0.6980000000000001"
"2023","(CAH19) language and area studies","(CAH19-04-07) African and modern Middle Eastern studies","All","All","655","475","0.727"
"2019","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","All","All","27710","23280","0.84"
"2020","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","All","All","28750","24270","0.844"
"2021","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","All","All","31765","27190","0.856"
"2022","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","All","All","34885","28905","0.8290000000000001"
"2023","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","All","All","33505","27895","0.833"
"2019","(CAH24) media, journalism and communications","(CAH24-01-02) publicity studies","All","All","885","780","0.88"
"2020","(CAH24) media, journalism and communications","(CAH24-01-02) publicity studies","All","All","780","680","0.875"
"2021","(CAH24) media, journalism and communications","(CAH24-01-02) publicity studies","All","All","685","565","0.8210000000000001"
"2022","(CAH24) media, journalism and communications","(CAH24-01-02) publicity studies","All","All","735","610","0.8320000000000001"
"2023","(CAH24) media, journalism and communications","(CAH24-01-02) publicity studies","All","All","660","565","0.859"
"2019","(CAH24) media, journalism and communications","(CAH24-01-01) information services","All","All","370","195","0.534"
"2020","(CAH24) media, journalism and communications","(CAH24-01-01) information services","All","All","305","200","0.654"
"2021","(CAH24) media, journalism and communications","(CAH24-01-01) information services","All","All","355","210","0.587"
"2022","(CAH24) media, journalism and communications","(CAH24-01-01) information services","All","All","440","205","0.46900000000000003"
"2023","(CAH24) media, journalism and communications","(CAH24-01-01) information services","All","All","440","210","0.47600000000000003"
"2019","(CAH24) media, journalism and communications","(CAH24-01-04) journalism","All","All","12275","9505","0.774"
"2020","(CAH24) media, journalism and communications","(CAH24-01-04) journalism","All","All","11710","9705","0.8290000000000001"
"2021","(CAH24) media, journalism and communications","(CAH24-01-04) journalism","All","All","12855","11185","0.87"
"2022","(CAH24) media, journalism and communications","(CAH24-01-04) journalism","All","All","13910","11820","0.85"
"2023","(CAH24) media, journalism and communications","(CAH24-01-04) journalism","All","All","13635","11925","0.875"
"2019","(CAH24) media, journalism and communications","(CAH24-01-03) publishing","All","All","470","440","0.934"
"2020","(CAH24) media, journalism and communications","(CAH24-01-03) publishing","All","All","400","370","0.927"
"2021","(CAH24) media, journalism and communications","(CAH24-01-03) publishing","All","All","420","370","0.879"
"2022","(CAH24) media, journalism and communications","(CAH24-01-03) publishing","All","All","445","400","0.901"
"2023","(CAH24) media, journalism and communications","(CAH24-01-03) publishing","All","All","400","375","0.934"
"2019","(CAH23) combined and general studies","(CAH23-01-04) liberal arts (non-specific)","All","All","2330","2045","0.877"
"2020","(CAH23) combined and general studies","(CAH23-01-04) liberal arts (non-specific)","All","All","2575","2295","0.891"
"2021","(CAH23) combined and general studies","(CAH23-01-04) liberal arts (non-specific)","All","All","2980","2685","0.901"
"2022","(CAH23) combined and general studies","(CAH23-01-04) liberal arts (non-specific)","All","All","3480","2820","0.811"
"2023","(CAH23) combined and general studies","(CAH23-01-04) liberal arts (non-specific)","All","All","3305","2880","0.871"
"2019","(CAH23) combined and general studies","(CAH23-01-03) humanities (non-specific)","All","All","1040","905","0.869"
"2020","(CAH23) combined and general studies","(CAH23-01-03) humanities (non-specific)","All","All","865","750","0.864"
"2021","(CAH23) combined and general studies","(CAH23-01-03) humanities (non-specific)","All","All","815","725","0.891"
"2022","(CAH23) combined and general studies","(CAH23-01-03) humanities (non-specific)","All","All","1005","860","0.854"
"2023","(CAH23) combined and general studies","(CAH23-01-03) humanities (non-specific)","All","All","1110","935","0.841"
"2019","(CAH23) combined and general studies","(CAH23-01-02) personal development","All","All","1420","1030","0.726"
"2020","(CAH23) combined and general studies","(CAH23-01-02) personal development","All","All","1500","1055","0.7030000000000001"
"2021","(CAH23) combined and general studies","(CAH23-01-02) personal development","All","All","1735","1240","0.716"
"2022","(CAH23) combined and general studies","(CAH23-01-02) personal development","All","All","1825","1310","0.717"
"2023","(CAH23) combined and general studies","(CAH23-01-02) personal development","All","All","1805","1340","0.742"
"2019","(CAH23) combined and general studies","(CAH23-01-01) combined, general or negotiated studies","All","All","2690","2175","0.809"
"2020","(CAH23) combined and general studies","(CAH23-01-01) combined, general or negotiated studies","All","All","2730","2280","0.835"
"2021","(CAH23) combined and general studies","(CAH23-01-01) combined, general or negotiated studies","All","All","2745","2115","0.771"
"2022","(CAH23) combined and general studies","(CAH23-01-01) combined, general or negotiated studies","All","All","2840","1925","0.678"
"2023","(CAH23) combined and general studies","(CAH23-01-01) combined, general or negotiated studies","All","All","2350","1835","0.781"
"2019","(CAH17) business and management","(CAH17-01-03) marketing","All","All","26525","22505","0.848"
"2020","(CAH17) business and management","(CAH17-01-03) marketing","All","All","27160","23195","0.854"
"2021","(CAH17) business and management","(CAH17-01-03) marketing","All","All","31740","26950","0.849"
"2022","(CAH17) business and management","(CAH17-01-03) marketing","All","All","33375","27860","0.835"
"2023","(CAH17) business and management","(CAH17-01-03) marketing","All","All","32520","27530","0.847"
"2019","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","All","All","31465","26885","0.854"
"2020","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","All","All","35830","31035","0.866"
"2021","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","All","All","39765","34740","0.874"
"2022","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","All","All","42280","36115","0.854"
"2023","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","All","All","43470","37655","0.866"
"2019","(CAH17) business and management","(CAH17-01-02) business studies","All","All","55570","47245","0.85"
"2020","(CAH17) business and management","(CAH17-01-02) business studies","All","All","54510","46515","0.853"
"2021","(CAH17) business and management","(CAH17-01-02) business studies","All","All","56115","47215","0.841"
"2022","(CAH17) business and management","(CAH17-01-02) business studies","All","All","58265","47920","0.8220000000000001"
"2023","(CAH17) business and management","(CAH17-01-02) business studies","All","All","57390","45915","0.8"
"2019","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","All","All","20255","17805","0.879"
"2020","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","All","All","18780","16615","0.885"
"2021","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","All","All","19485","17285","0.887"
"2022","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","All","All","18890","16870","0.893"
"2023","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","All","All","16335","14535","0.89"
"2019","(CAH17) business and management","(CAH17-01-05) human resource management","All","All","3565","3075","0.863"
"2020","(CAH17) business and management","(CAH17-01-05) human resource management","All","All","3655","3095","0.847"
"2021","(CAH17) business and management","(CAH17-01-05) human resource management","All","All","3630","3090","0.852"
"2022","(CAH17) business and management","(CAH17-01-05) human resource management","All","All","3300","2775","0.84"
"2023","(CAH17) business and management","(CAH17-01-05) human resource management","All","All","3035","2555","0.841"
"2019","(CAH17) business and management","(CAH17-01-04) management studies","All","All","38295","29100","0.76"
"2020","(CAH17) business and management","(CAH17-01-04) management studies","All","All","37725","28015","0.743"
"2021","(CAH17) business and management","(CAH17-01-04) management studies","All","All","41025","29620","0.722"
"2022","(CAH17) business and management","(CAH17-01-04) management studies","All","All","42620","27860","0.654"
"2023","(CAH17) business and management","(CAH17-01-04) management studies","All","All","40670","28280","0.6950000000000001"
"2019","(CAH17) business and management","(CAH17-01-08) accounting","All","All","33950","27465","0.809"
"2020","(CAH17) business and management","(CAH17-01-08) accounting","All","All","34725","28460","0.8200000000000001"
"2021","(CAH17) business and management","(CAH17-01-08) accounting","All","All","40255","32890","0.8170000000000001"
"2022","(CAH17) business and management","(CAH17-01-08) accounting","All","All","39295","31155","0.793"
"2023","(CAH17) business and management","(CAH17-01-08) accounting","All","All","40355","32285","0.8"
"2019","(CAH17) business and management","(CAH17-01-07) finance","All","All","25255","20600","0.8160000000000001"
"2020","(CAH17) business and management","(CAH17-01-07) finance","All","All","25375","20655","0.8140000000000001"
"2021","(CAH17) business and management","(CAH17-01-07) finance","All","All","28620","23325","0.8150000000000001"
"2022","(CAH17) business and management","(CAH17-01-07) finance","All","All","30420","23300","0.766"
"2023","(CAH17) business and management","(CAH17-01-07) finance","All","All","32355","25560","0.79"
"2019","(CAH17) business and management","(CAH17-01-09) others in business and management","All","All","25","20","0.8320000000000001"
"2020","(CAH17) business and management","(CAH17-01-09) others in business and management","All","All","30","25","0.781"
"2021","(CAH17) business and management","(CAH17-01-09) others in business and management","All","All","35","25","0.726"
"2022","(CAH17) business and management","(CAH17-01-09) others in business and management","All","All","30","25","0.803"
"2023","(CAH17) business and management","(CAH17-01-09) others in business and management","All","All","30","25","0.803"
"2019","(CAH15) social sciences","(CAH15-03-01) politics","All","All","44400","36660","0.8260000000000001"
"2020","(CAH15) social sciences","(CAH15-03-01) politics","All","All","42990","35715","0.8310000000000001"
"2021","(CAH15) social sciences","(CAH15-03-01) politics","All","All","46255","36800","0.796"
"2022","(CAH15) social sciences","(CAH15-03-01) politics","All","All","45790","34245","0.748"
"2023","(CAH15) social sciences","(CAH15-03-01) politics","All","All","49370","37915","0.768"
"2019","(CAH15) social sciences","(CAH15-01-04) anthropology","All","All","4985","3955","0.794"
"2020","(CAH15) social sciences","(CAH15-01-04) anthropology","All","All","4690","3735","0.796"
"2021","(CAH15) social sciences","(CAH15-01-04) anthropology","All","All","5090","3795","0.745"
"2022","(CAH15) social sciences","(CAH15-01-04) anthropology","All","All","5125","3635","0.709"
"2023","(CAH15) social sciences","(CAH15-01-04) anthropology","All","All","4810","3545","0.737"
"2019","(CAH15) social sciences","(CAH15-02-01) economics","All","All","54925","43175","0.786"
"2020","(CAH15) social sciences","(CAH15-02-01) economics","All","All","55690","43485","0.781"
"2021","(CAH15) social sciences","(CAH15-02-01) economics","All","All","59280","44410","0.749"
"2022","(CAH15) social sciences","(CAH15-02-01) economics","All","All","57735","37895","0.656"
"2023","(CAH15) social sciences","(CAH15-02-01) economics","All","All","63845","43440","0.68"
"2019","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","All","All","12420","10560","0.85"
"2020","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","All","All","11395","9800","0.86"
"2021","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","All","All","11335","9975","0.88"
"2022","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","All","All","11095","9715","0.876"
"2023","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","All","All","9815","8725","0.889"
"2019","(CAH15) social sciences","(CAH15-04-01) social work","All","All","29600","11730","0.396"
"2020","(CAH15) social sciences","(CAH15-04-01) social work","All","All","30315","13410","0.442"
"2021","(CAH15) social sciences","(CAH15-04-01) social work","All","All","32575","14070","0.432"
"2022","(CAH15) social sciences","(CAH15-04-01) social work","All","All","27460","11840","0.431"
"2023","(CAH15) social sciences","(CAH15-04-01) social work","All","All","22150","10240","0.462"
"2019","(CAH15) social sciences","(CAH15-01-01) social sciences (non-specific)","All","All","5790","4710","0.8130000000000001"
"2020","(CAH15) social sciences","(CAH15-01-01) social sciences (non-specific)","All","All","6370","5460","0.857"
"2021","(CAH15) social sciences","(CAH15-01-01) social sciences (non-specific)","All","All","7000","6005","0.858"
"2022","(CAH15) social sciences","(CAH15-01-01) social sciences (non-specific)","All","All","6185","5165","0.835"
"2023","(CAH15) social sciences","(CAH15-01-01) social sciences (non-specific)","All","All","5665","4920","0.868"
"2019","(CAH15) social sciences","(CAH15-04-03) health studies","All","All","11750","10440","0.889"
"2020","(CAH15) social sciences","(CAH15-04-03) health studies","All","All","11440","10360","0.906"
"2021","(CAH15) social sciences","(CAH15-04-03) health studies","All","All","14465","13360","0.924"
"2022","(CAH15) social sciences","(CAH15-04-03) health studies","All","All","13205","12195","0.924"
"2023","(CAH15) social sciences","(CAH15-04-03) health studies","All","All","11735","10785","0.919"
"2019","(CAH15) social sciences","(CAH15-01-03) social policy","All","All","7685","6245","0.812"
"2020","(CAH15) social sciences","(CAH15-01-03) social policy","All","All","7170","5775","0.805"
"2021","(CAH15) social sciences","(CAH15-01-03) social policy","All","All","7945","5805","0.73"
"2022","(CAH15) social sciences","(CAH15-01-03) social policy","All","All","6620","4580","0.6920000000000001"
"2023","(CAH15) social sciences","(CAH15-01-03) social policy","All","All","6120","4695","0.767"
"2019","(CAH15) social sciences","(CAH15-01-02) sociology","All","All","75925","68480","0.902"
"2020","(CAH15) social sciences","(CAH15-01-02) sociology","All","All","76935","69710","0.906"
"2021","(CAH15) social sciences","(CAH15-01-02) sociology","All","All","83335","74480","0.894"
"2022","(CAH15) social sciences","(CAH15-01-02) sociology","All","All","86555","75175","0.869"
"2023","(CAH15) social sciences","(CAH15-01-02) sociology","All","All","80025","70995","0.887"
"2019","(CAH15) social sciences","(CAH15-01-05) development studies","All","All","1480","1330","0.898"
"2020","(CAH15) social sciences","(CAH15-01-05) development studies","All","All","1520","1390","0.915"
"2021","(CAH15) social sciences","(CAH15-01-05) development studies","All","All","1685","1550","0.921"
"2022","(CAH15) social sciences","(CAH15-01-05) development studies","All","All","1475","1275","0.866"
"2023","(CAH15) social sciences","(CAH15-01-05) development studies","All","All","1410","1245","0.883"
"2019","(CAH15) social sciences","(CAH15-01-06) cultural studies","All","All","835","735","0.878"
"2020","(CAH15) social sciences","(CAH15-01-06) cultural studies","All","All","580","490","0.846"
"2021","(CAH15) social sciences","(CAH15-01-06) cultural studies","All","All","705","595","0.845"
"2022","(CAH15) social sciences","(CAH15-01-06) cultural studies","All","All","600","500","0.835"
"2023","(CAH15) social sciences","(CAH15-01-06) cultural studies","All","All","535","455","0.855"
"2019","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","All","All","68405","56610","0.8280000000000001"
"2020","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","All","All","70325","58160","0.8270000000000001"
"2021","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","All","All","77420","64185","0.8290000000000001"
"2022","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","All","All","83090","65730","0.791"
"2023","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","All","All","74810","61065","0.8160000000000001"
"2019","(CAH03) biological and sport sciences","(CAH03-01-07) genetics","All","All","1270","1060","0.833"
"2020","(CAH03) biological and sport sciences","(CAH03-01-07) genetics","All","All","1190","1000","0.84"
"2021","(CAH03) biological and sport sciences","(CAH03-01-07) genetics","All","All","1335","1160","0.868"
"2022","(CAH03) biological and sport sciences","(CAH03-01-07) genetics","All","All","1260","1090","0.865"
"2023","(CAH03) biological and sport sciences","(CAH03-01-07) genetics","All","All","1095","950","0.866"
"2019","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","All","All","2315","1990","0.86"
"2020","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","All","All","2410","1995","0.8280000000000001"
"2021","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","All","All","2610","2160","0.8270000000000001"
"2022","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","All","All","2595","2205","0.849"
"2023","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","All","All","2315","1985","0.857"
"2019","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","All","All","16455","14140","0.859"
"2020","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","All","All","15510","13235","0.853"
"2021","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","All","All","16550","13965","0.844"
"2022","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","All","All","15725","12270","0.78"
"2023","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","All","All","16925","13685","0.809"
"2019","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","All","All","11395","9740","0.855"
"2020","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","All","All","11675","10015","0.858"
"2021","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","All","All","12845","10865","0.846"
"2022","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","All","All","12025","9705","0.807"
"2023","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","All","All","12140","10370","0.854"
"2019","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","All","All","20465","17560","0.858"
"2020","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","All","All","19785","16830","0.851"
"2021","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","All","All","18550","15680","0.845"
"2022","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","All","All","17330","13985","0.807"
"2023","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","All","All","18195","15145","0.8320000000000001"
"2019","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","All","All","7070","6285","0.889"
"2020","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","All","All","7650","6715","0.878"
"2021","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","All","All","9005","7815","0.868"
"2022","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","All","All","9885","8525","0.862"
"2023","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","All","All","9135","8020","0.878"
"2019","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","All","All","3405","2915","0.856"
"2020","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","All","All","3300","2770","0.839"
"2021","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","All","All","3610","3020","0.837"
"2022","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","All","All","3245","2655","0.8190000000000001"
"2023","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","All","All","2970","2500","0.841"
"2019","(CAH03) biological and sport sciences","(CAH03-01-05) plant sciences","All","All","170","130","0.766"
"2020","(CAH03) biological and sport sciences","(CAH03-01-05) plant sciences","All","All","190","145","0.768"
"2021","(CAH03) biological and sport sciences","(CAH03-01-05) plant sciences","All","All","240","185","0.776"
"2022","(CAH03) biological and sport sciences","(CAH03-01-05) plant sciences","All","All","250","190","0.762"
"2023","(CAH03) biological and sport sciences","(CAH03-01-05) plant sciences","All","All","330","265","0.799"
"2019","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","All","All","8210","6770","0.8240000000000001"
"2020","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","All","All","7980","6485","0.8130000000000001"
"2021","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","All","All","9425","7680","0.8150000000000001"
"2022","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","All","All","9725","7820","0.804"
"2023","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","All","All","8880","7295","0.8220000000000001"
"2019","(CAH03) biological and sport sciences","(CAH03-01-09) hair and beauty sciences","All","All","160","100","0.627"
"2020","(CAH03) biological and sport sciences","(CAH03-01-09) hair and beauty sciences","All","All","155","100","0.641"
"2021","(CAH03) biological and sport sciences","(CAH03-01-09) hair and beauty sciences","All","All","155","80","0.523"
"2022","(CAH03) biological and sport sciences","(CAH03-01-09) hair and beauty sciences","All","All","55","45","0.836"
"2023","(CAH03) biological and sport sciences","(CAH03-01-09) hair and beauty sciences","All","All","55","40","0.745"
"2019","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","All","All","19975","12590","0.63"
"2020","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","All","All","21320","13680","0.642"
