"Year","Ethnic group","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2020","White","30 - 34","England","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2021","White","30 - 34","England","Female","Main scheme applicant","Not main scheme application","15","10","0.6880000000000001"
"2022","White","30 - 34","England","Female","Main scheme applicant","Not main scheme application","30","10","0.379"
"2023","White","30 - 34","England","Female","Main scheme applicant","Not main scheme application","20","15","0.722"
"2020","White","30 - 34","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2022","White","30 - 34","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","White","30 - 34","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2020","White","30 - 34","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2021","White","30 - 34","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2022","White","30 - 34","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2023","White","30 - 34","Wales","Female","Main scheme applicant","Not main scheme application","10","10"," "
"2019","Black","30 - 34","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2021","Black","30 - 34","England","Female","Main scheme applicant","Not main scheme application","10","0"," "
"2022","Black","30 - 34","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2023","Black","30 - 34","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2021","Mixed","30 - 34","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","White","35 and over","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","White","35 and over","England","Female","Main scheme applicant","Not main scheme application","15","10"," "
"2020","White","35 and over","England","Female","Main scheme applicant","Not main scheme application","25","15","0.652"
"2021","White","35 and over","England","Female","Main scheme applicant","Not main scheme application","15","10"," "
"2022","White","35 and over","England","Female","Main scheme applicant","Not main scheme application","30","15","0.5"
"2023","White","35 and over","England","Female","Main scheme applicant","Not main scheme application","25","15","0.63"
"2020","White","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2021","White","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2022","White","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2020","White","35 and over","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2021","White","35 and over","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2022","White","35 and over","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2019","Black","35 and over","England","Female","Main scheme applicant","Not main scheme application","15","10"," "
"2020","Black","35 and over","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2021","Black","35 and over","England","Female","Main scheme applicant","Not main scheme application","10","0"," "
"2022","Black","35 and over","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
