"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2020","International","Not EU","United Arab Emirates","18","Female","10","5"," "
"2022","International","Not EU","United Arab Emirates","18","Female","30","15","0.433"
"2023","International","Not EU","United Arab Emirates","18","Female","15","5"," "
"2019","International","Not EU","Turkey","18","Female","5","0"," "
"2023","International","Not EU","Uganda","18","Female","5","5"," "
"2019","International","Not EU","Egypt","18","Female","5","0"," "
"2021","International","Not EU","Egypt","18","Female","10","5"," "
"2019","International","Not EU","United States of America","18","Female","45","10","0.244"
"2020","International","Not EU","United States of America","18","Female","50","15","0.26"
"2021","International","Not EU","United States of America","18","Female","180","25","0.133"
"2022","International","Not EU","United States of America","18","Female","90","15","0.14400000000000002"
"2023","International","Not EU","United States of America","18","Female","65","10","0.169"
"2019","International","Not EU","Vietnam [Viet Nam]","18","Female","5","5"," "
"2023","International","Not EU","British Virgin Islands","18","Female","5","0"," "
"2019","International","Not EU","Serbia","18","Female","5","0"," "
"2021","International","Not EU","Zambia","18","Female","5","5"," "
"2022","International","Not EU","Zambia","18","Female","5","0"," "
"2019","International","Not EU","Not Known","18","Female","5","0"," "
"2021","International","Not EU","Not Known","18","Female","5","0"," "
"2020","International","Not EU","East Timor (Timor-Leste)","18","Female","5","0"," "
"2023","International","Not EU","Bangladesh","18","Female","5","0"," "
"2019","International","Not EU","Cayman Islands","18","Female","5","0"," "
"2020","International","Not EU","Cayman Islands","18","Female","5","5"," "
"2023","International","Not EU","Cayman Islands","18","Female","5","0"," "
"2019","International","Not EU","Turks and Caicos Islands","18","Female","5","5"," "
"2019","UK","England","England","19","Female","11225","4630","0.41200000000000003"
"2020","UK","England","England","19","Female","10810","4805","0.445"
"2021","UK","England","England","19","Female","12805","5505","0.43"
"2022","UK","England","England","19","Female","12800","4775","0.373"
"2023","UK","England","England","19","Female","10390","4365","0.42"
