"Year","Difference between predicted and achieved BTEC Extended diploma points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2015","-2 points","Quintile 2","Main scheme applicant","All","465","325","0.706","0"
"2016","-2 points","Quintile 2","Main scheme applicant","All","405","310","0.764","0"
"2017","-2 points","Quintile 2","Main scheme applicant","All","320","250","0.786","0"
"2018","-2 points","Quintile 2","Main scheme applicant","All","340","275","0.81","0"
"2019","-2 points","Quintile 2","Main scheme applicant","All","360","285","0.797","0"
"2020","-2 points","Quintile 2","Main scheme applicant","All","350","285","0.807","0"
"2021","-2 points","Quintile 2","Main scheme applicant","All","345","280","0.8170000000000001","0"
"2022","-2 points","Quintile 2","Main scheme applicant","All","450","330","0.737","0"
"2023","-2 points","Quintile 2","Main scheme applicant","All","425","315","0.743","0"
"2010","-3 points","Quintile 2","Main scheme applicant","All","115","45","0.404","0"
"2011","-3 points","Quintile 2","Main scheme applicant","All","120","50","0.397","0"
"2012","-3 points","Quintile 2","Main scheme applicant","All","140","70","0.514","0"
"2013","-3 points","Quintile 2","Main scheme applicant","All","155","90","0.577","0"
"2014","-3 points","Quintile 2","Main scheme applicant","All","210","120","0.5720000000000001","0"
"2015","-3 points","Quintile 2","Main scheme applicant","All","190","125","0.656","0"
"2016","-3 points","Quintile 2","Main scheme applicant","All","215","140","0.648","0"
"2017","-3 points","Quintile 2","Main scheme applicant","All","170","105","0.629","0"
"2018","-3 points","Quintile 2","Main scheme applicant","All","190","145","0.767","0"
"2019","-3 points","Quintile 2","Main scheme applicant","All","180","135","0.743","0"
"2020","-3 points","Quintile 2","Main scheme applicant","All","185","155","0.8270000000000001","0"
"2021","-3 points","Quintile 2","Main scheme applicant","All","190","140","0.739","0"
"2022","-3 points","Quintile 2","Main scheme applicant","All","195","130","0.66","0"
"2023","-3 points","Quintile 2","Main scheme applicant","All","195","130","0.672","0"
"2010","-4 points","Quintile 2","Main scheme applicant","All","75","30","0.4","0"
"2011","-4 points","Quintile 2","Main scheme applicant","All","105","45","0.41100000000000003","0"
"2012","-4 points","Quintile 2","Main scheme applicant","All","100","50","0.48","0"
"2013","-4 points","Quintile 2","Main scheme applicant","All","90","40","0.451","0"
"2014","-4 points","Quintile 2","Main scheme applicant","All","125","70","0.553","0"
"2015","-4 points","Quintile 2","Main scheme applicant","All","125","75","0.605","0"
"2016","-4 points","Quintile 2","Main scheme applicant","All","110","60","0.5640000000000001","0"
"2017","-4 points","Quintile 2","Main scheme applicant","All","100","65","0.618","0"
"2018","-4 points","Quintile 2","Main scheme applicant","All","100","70","0.68","0"
"2019","-4 points","Quintile 2","Main scheme applicant","All","100","75","0.735","0"
"2020","-4 points","Quintile 2","Main scheme applicant","All","100","75","0.743","0"
"2021","-4 points","Quintile 2","Main scheme applicant","All","95","55","0.613","0"
"2022","-4 points","Quintile 2","Main scheme applicant","All","145","85","0.587","0"
"2023","-4 points","Quintile 2","Main scheme applicant","All","95","50","0.532","0"
"2010","-5 points","Quintile 2","Main scheme applicant","All","35","20","0.5680000000000001","0"
"2011","-5 points","Quintile 2","Main scheme applicant","All","60","40","0.644","0"
"2012","-5 points","Quintile 2","Main scheme applicant","All","65","30","0.5","0"
"2013","-5 points","Quintile 2","Main scheme applicant","All","80","50","0.658","0"
"2014","-5 points","Quintile 2","Main scheme applicant","All","80","50","0.63","0"
"2015","-5 points","Quintile 2","Main scheme applicant","All","95","50","0.511","0"
"2016","-5 points","Quintile 2","Main scheme applicant","All","50","30","0.62","0"
"2017","-5 points","Quintile 2","Main scheme applicant","All","60","35","0.61","0"
"2018","-5 points","Quintile 2","Main scheme applicant","All","75","50","0.6930000000000001","0"
"2019","-5 points","Quintile 2","Main scheme applicant","All","55","40","0.684","0"
"2020","-5 points","Quintile 2","Main scheme applicant","All","50","40","0.833","0"
"2021","-5 points","Quintile 2","Main scheme applicant","All","50","30","0.667","0"
"2022","-5 points","Quintile 2","Main scheme applicant","All","60","30","0.5","0"
"2023","-5 points","Quintile 2","Main scheme applicant","All","70","30","0.443","0"
"2010","-6 points","Quintile 2","Main scheme applicant","All","30","20","0.621","0"
"2011","-6 points","Quintile 2","Main scheme applicant","All","40","25","0.59","0"
"2012","-6 points","Quintile 2","Main scheme applicant","All","50","25","0.5630000000000001","0"
"2013","-6 points","Quintile 2","Main scheme applicant","All","50","30","0.653","0"
"2014","-6 points","Quintile 2","Main scheme applicant","All","65","35","0.537","0"
"2015","-6 points","Quintile 2","Main scheme applicant","All","90","45","0.494","0"
"2016","-6 points","Quintile 2","Main scheme applicant","All","55","25","0.434","0"
"2017","-6 points","Quintile 2","Main scheme applicant","All","45","30","0.63","0"
"2018","-6 points","Quintile 2","Main scheme applicant","All","60","35","0.621","0"
"2019","-6 points","Quintile 2","Main scheme applicant","All","35","20","0.595","0"
"2020","-6 points","Quintile 2","Main scheme applicant","All","20","15","0.8","0"
"2021","-6 points","Quintile 2","Main scheme applicant","All","20","15","0.667","0"
"2022","-6 points","Quintile 2","Main scheme applicant","All","55","25","0.429","0"
"2023","-6 points","Quintile 2","Main scheme applicant","All","25","5"," ","0"
"2010","Less than -6 points","Quintile 2","Main scheme applicant","All","40","30","0.737","0"
"2011","Less than -6 points","Quintile 2","Main scheme applicant","All","55","45","0.754","0"
"2012","Less than -6 points","Quintile 2","Main scheme applicant","All","80","55","0.6950000000000001","0"
"2013","Less than -6 points","Quintile 2","Main scheme applicant","All","80","65","0.778","0"
"2014","Less than -6 points","Quintile 2","Main scheme applicant","All","90","60","0.641","0"
"2015","Less than -6 points","Quintile 2","Main scheme applicant","All","150","115","0.762","0"
"2016","Less than -6 points","Quintile 2","Main scheme applicant","All","105","65","0.631","0"
"2017","Less than -6 points","Quintile 2","Main scheme applicant","All","125","65","0.532","0"
"2018","Less than -6 points","Quintile 2","Main scheme applicant","All","105","60","0.587","0"
"2019","Less than -6 points","Quintile 2","Main scheme applicant","All","100","65","0.66","0"
"2020","Less than -6 points","Quintile 2","Main scheme applicant","All","55","40","0.732","0"
"2021","Less than -6 points","Quintile 2","Main scheme applicant","All","55","40","0.709","0"
"2022","Less than -6 points","Quintile 2","Main scheme applicant","All","100","60","0.586","0"
"2023","Less than -6 points","Quintile 2","Main scheme applicant","All","40","25","0.548","0"
"2010","0 points","Quintile 3","Main scheme applicant","All","1770","1400","0.79","0"
"2011","0 points","Quintile 3","Main scheme applicant","All","1940","1555","0.8","0"
"2012","0 points","Quintile 3","Main scheme applicant","All","825","645","0.78","0"
"2013","0 points","Quintile 3","Main scheme applicant","All","1210","1005","0.8310000000000001","0"
"2014","0 points","Quintile 3","Main scheme applicant","All","1515","1265","0.834","0"
"2015","0 points","Quintile 3","Main scheme applicant","All","1860","1570","0.843","0"
"2016","0 points","Quintile 3","Main scheme applicant","All","1920","1610","0.838","0"
"2017","0 points","Quintile 3","Main scheme applicant","All","1875","1605","0.856","0"
"2018","0 points","Quintile 3","Main scheme applicant","All","1760","1510","0.858","0"
"2019","0 points","Quintile 3","Main scheme applicant","All","1695","1470","0.867","0"
"2020","0 points","Quintile 3","Main scheme applicant","All","1860","1675","0.901","0"
"2021","0 points","Quintile 3","Main scheme applicant","All","2135","1835","0.858","0"
"2022","0 points","Quintile 3","Main scheme applicant","All","1625","1320","0.8140000000000001","0"
"2023","0 points","Quintile 3","Main scheme applicant","All","1505","1240","0.8230000000000001","0"
"2010","1 points","Quintile 3","Main scheme applicant","All","970","770","0.791","0"
"2011","1 points","Quintile 3","Main scheme applicant","All","870","720","0.8260000000000001","0"
"2012","1 points","Quintile 3","Main scheme applicant","All","840","695","0.8250000000000001","0"
"2013","1 points","Quintile 3","Main scheme applicant","All","740","620","0.837","0"
"2014","1 points","Quintile 3","Main scheme applicant","All","840","700","0.833","0"
"2015","1 points","Quintile 3","Main scheme applicant","All","950","805","0.844","0"
"2016","1 points","Quintile 3","Main scheme applicant","All","1020","865","0.848","0"
"2017","1 points","Quintile 3","Main scheme applicant","All","945","820","0.866","0"
"2018","1 points","Quintile 3","Main scheme applicant","All","885","765","0.866","0"
"2019","1 points","Quintile 3","Main scheme applicant","All","785","680","0.864","0"
"2020","1 points","Quintile 3","Main scheme applicant","All","1010","905","0.896","0"
"2021","1 points","Quintile 3","Main scheme applicant","All","1100","965","0.877","0"
"2022","1 points","Quintile 3","Main scheme applicant","All","1050","890","0.846","0"
"2023","1 points","Quintile 3","Main scheme applicant","All","920","775","0.843","0"
"2010","2 points","Quintile 3","Main scheme applicant","All","430","345","0.803","0"
"2011","2 points","Quintile 3","Main scheme applicant","All","400","340","0.855","0"
"2012","2 points","Quintile 3","Main scheme applicant","All","475","400","0.84","0"
"2013","2 points","Quintile 3","Main scheme applicant","All","495","400","0.81","0"
"2014","2 points","Quintile 3","Main scheme applicant","All","525","445","0.851","0"
"2015","2 points","Quintile 3","Main scheme applicant","All","575","490","0.853","0"
"2016","2 points","Quintile 3","Main scheme applicant","All","535","455","0.856","0"
"2017","2 points","Quintile 3","Main scheme applicant","All","540","450","0.838","0"
"2018","2 points","Quintile 3","Main scheme applicant","All","465","400","0.858","0"
"2019","2 points","Quintile 3","Main scheme applicant","All","365","325","0.89","0"
"2020","2 points","Quintile 3","Main scheme applicant","All","495","425","0.864","0"
"2021","2 points","Quintile 3","Main scheme applicant","All","590","515","0.87","0"
"2022","2 points","Quintile 3","Main scheme applicant","All","565","490","0.867","0"
"2023","2 points","Quintile 3","Main scheme applicant","All","420","360","0.86","0"
"2010","3 points","Quintile 3","Main scheme applicant","All","135","110","0.8200000000000001","0"
"2011","3 points","Quintile 3","Main scheme applicant","All","115","95","0.8190000000000001","0"
"2012","3 points","Quintile 3","Main scheme applicant","All","555","460","0.834","0"
"2013","3 points","Quintile 3","Main scheme applicant","All","520","435","0.8310000000000001","0"
"2014","3 points","Quintile 3","Main scheme applicant","All","450","365","0.808","0"
"2015","3 points","Quintile 3","Main scheme applicant","All","430","365","0.842","0"
"2016","3 points","Quintile 3","Main scheme applicant","All","310","260","0.844","0"
"2017","3 points","Quintile 3","Main scheme applicant","All","335","300","0.893","0"
"2018","3 points","Quintile 3","Main scheme applicant","All","205","170","0.847","0"
"2019","3 points","Quintile 3","Main scheme applicant","All","160","140","0.857","0"
"2020","3 points","Quintile 3","Main scheme applicant","All","190","160","0.852","0"
"2021","3 points","Quintile 3","Main scheme applicant","All","290","245","0.858","0"
"2022","3 points","Quintile 3","Main scheme applicant","All","195","170","0.873","0"
"2023","3 points","Quintile 3","Main scheme applicant","All","155","140","0.885","0"
"2010","More than 3 points","Quintile 3","Main scheme applicant","All","25","15","0.708","0"
"2011","More than 3 points","Quintile 3","Main scheme applicant","All","15","15","0.8240000000000001","0"
"2012","More than 3 points","Quintile 3","Main scheme applicant","All","130","105","0.786","0"
"2013","More than 3 points","Quintile 3","Main scheme applicant","All","155","135","0.854","0"
"2014","More than 3 points","Quintile 3","Main scheme applicant","All","140","125","0.886","0"
"2015","More than 3 points","Quintile 3","Main scheme applicant","All","130","105","0.8230000000000001","0"
"2016","More than 3 points","Quintile 3","Main scheme applicant","All","95","80","0.8300000000000001","0"
"2017","More than 3 points","Quintile 3","Main scheme applicant","All","90","70","0.758","0"
"2018","More than 3 points","Quintile 3","Main scheme applicant","All","50","45","0.904","0"
"2019","More than 3 points","Quintile 3","Main scheme applicant","All","40","30","0.763","0"
"2020","More than 3 points","Quintile 3","Main scheme applicant","All","50","45","0.882","0"
"2021","More than 3 points","Quintile 3","Main scheme applicant","All","55","45","0.786","0"
"2022","More than 3 points","Quintile 3","Main scheme applicant","All","50","40","0.78","0"
"2023","More than 3 points","Quintile 3","Main scheme applicant","All","35","30","0.8290000000000001","0"
"2010","-1 points","Quintile 3","Main scheme applicant","All","510","345","0.682","0"
"2011","-1 points","Quintile 3","Main scheme applicant","All","520","355","0.682","0"
"2012","-1 points","Quintile 3","Main scheme applicant","All","515","370","0.721","0"
"2013","-1 points","Quintile 3","Main scheme applicant","All","555","425","0.764","0"
"2014","-1 points","Quintile 3","Main scheme applicant","All","695","530","0.763","0"
"2015","-1 points","Quintile 3","Main scheme applicant","All","765","635","0.8280000000000001","0"
"2016","-1 points","Quintile 3","Main scheme applicant","All","830","675","0.8140000000000001","0"
"2017","-1 points","Quintile 3","Main scheme applicant","All","690","565","0.8160000000000001","0"
"2018","-1 points","Quintile 3","Main scheme applicant","All","725","610","0.841","0"
"2019","-1 points","Quintile 3","Main scheme applicant","All","760","625","0.8190000000000001","0"
"2020","-1 points","Quintile 3","Main scheme applicant","All","725","600","0.8280000000000001","0"
"2021","-1 points","Quintile 3","Main scheme applicant","All","785","630","0.8","0"
"2022","-1 points","Quintile 3","Main scheme applicant","All","985","775","0.786","0"
"2023","-1 points","Quintile 3","Main scheme applicant","All","895","725","0.81","0"
"2010","-2 points","Quintile 3","Main scheme applicant","All","240","135","0.5690000000000001","0"
"2011","-2 points","Quintile 3","Main scheme applicant","All","245","130","0.53","0"
"2012","-2 points","Quintile 3","Main scheme applicant","All","260","170","0.646","0"
"2013","-2 points","Quintile 3","Main scheme applicant","All","305","210","0.6910000000000001","0"
"2014","-2 points","Quintile 3","Main scheme applicant","All","355","250","0.7000000000000001","0"
"2015","-2 points","Quintile 3","Main scheme applicant","All","400","305","0.758","0"
"2016","-2 points","Quintile 3","Main scheme applicant","All","420","315","0.748","0"
"2017","-2 points","Quintile 3","Main scheme applicant","All","350","265","0.757","0"
"2018","-2 points","Quintile 3","Main scheme applicant","All","370","300","0.8160000000000001","0"
"2019","-2 points","Quintile 3","Main scheme applicant","All","410","335","0.8170000000000001","0"
"2020","-2 points","Quintile 3","Main scheme applicant","All","380","335","0.872","0"
"2021","-2 points","Quintile 3","Main scheme applicant","All","425","335","0.785","0"
"2022","-2 points","Quintile 3","Main scheme applicant","All","530","390","0.734","0"
"2023","-2 points","Quintile 3","Main scheme applicant","All","445","345","0.774","0"
"2010","-3 points","Quintile 3","Main scheme applicant","All","120","55","0.467","0"
"2011","-3 points","Quintile 3","Main scheme applicant","All","105","45","0.434","0"
"2012","-3 points","Quintile 3","Main scheme applicant","All","150","75","0.503","0"
"2013","-3 points","Quintile 3","Main scheme applicant","All","170","105","0.629","0"
"2014","-3 points","Quintile 3","Main scheme applicant","All","200","120","0.59","0"
"2015","-3 points","Quintile 3","Main scheme applicant","All","225","155","0.686","0"
"2016","-3 points","Quintile 3","Main scheme applicant","All","190","130","0.667","0"
"2017","-3 points","Quintile 3","Main scheme applicant","All","170","120","0.726","0"
"2018","-3 points","Quintile 3","Main scheme applicant","All","190","150","0.775","0"
"2019","-3 points","Quintile 3","Main scheme applicant","All","200","155","0.777","0"
"2020","-3 points","Quintile 3","Main scheme applicant","All","220","180","0.8300000000000001","0"
"2021","-3 points","Quintile 3","Main scheme applicant","All","225","165","0.732","0"
"2022","-3 points","Quintile 3","Main scheme applicant","All","245","170","0.683","0"
"2023","-3 points","Quintile 3","Main scheme applicant","All","220","155","0.6990000000000001","0"
"2010","-4 points","Quintile 3","Main scheme applicant","All","85","40","0.482","0"
"2011","-4 points","Quintile 3","Main scheme applicant","All","110","45","0.40700000000000003","0"
"2012","-4 points","Quintile 3","Main scheme applicant","All","115","55","0.487","0"
"2013","-4 points","Quintile 3","Main scheme applicant","All","100","60","0.614","0"
"2014","-4 points","Quintile 3","Main scheme applicant","All","130","70","0.55","0"
"2015","-4 points","Quintile 3","Main scheme applicant","All","150","90","0.591","0"
"2016","-4 points","Quintile 3","Main scheme applicant","All","115","80","0.667","0"
"2017","-4 points","Quintile 3","Main scheme applicant","All","110","80","0.75","0"
"2018","-4 points","Quintile 3","Main scheme applicant","All","100","65","0.677","0"
"2019","-4 points","Quintile 3","Main scheme applicant","All","105","75","0.7020000000000001","0"
"2020","-4 points","Quintile 3","Main scheme applicant","All","90","75","0.8260000000000001","0"
"2021","-4 points","Quintile 3","Main scheme applicant","All","110","70","0.634","0"
"2022","-4 points","Quintile 3","Main scheme applicant","All","130","75","0.553","0"
"2023","-4 points","Quintile 3","Main scheme applicant","All","120","65","0.537","0"
"2010","-5 points","Quintile 3","Main scheme applicant","All","40","20","0.553","0"
"2011","-5 points","Quintile 3","Main scheme applicant","All","60","35","0.5740000000000001","0"
"2012","-5 points","Quintile 3","Main scheme applicant","All","50","25","0.481","0"
"2013","-5 points","Quintile 3","Main scheme applicant","All","55","35","0.63","0"
"2014","-5 points","Quintile 3","Main scheme applicant","All","70","40","0.583","0"
"2015","-5 points","Quintile 3","Main scheme applicant","All","75","45","0.579","0"
"2016","-5 points","Quintile 3","Main scheme applicant","All","55","20","0.37","0"
"2017","-5 points","Quintile 3","Main scheme applicant","All","50","30","0.58","0"
"2018","-5 points","Quintile 3","Main scheme applicant","All","70","40","0.594","0"
"2019","-5 points","Quintile 3","Main scheme applicant","All","75","55","0.726","0"
"2020","-5 points","Quintile 3","Main scheme applicant","All","35","25","0.735","0"
"2021","-5 points","Quintile 3","Main scheme applicant","All","25","20","0.741","0"
"2022","-5 points","Quintile 3","Main scheme applicant","All","60","30","0.5","0"
"2023","-5 points","Quintile 3","Main scheme applicant","All","65","35","0.522","0"
"2010","-6 points","Quintile 3","Main scheme applicant","All","35","25","0.639","0"
"2011","-6 points","Quintile 3","Main scheme applicant","All","40","25","0.675","0"
"2012","-6 points","Quintile 3","Main scheme applicant","All","40","20","0.512","0"
"2013","-6 points","Quintile 3","Main scheme applicant","All","55","35","0.655","0"
"2014","-6 points","Quintile 3","Main scheme applicant","All","70","40","0.577","0"
"2015","-6 points","Quintile 3","Main scheme applicant","All","70","50","0.676","0"
"2016","-6 points","Quintile 3","Main scheme applicant","All","45","30","0.617","0"
"2017","-6 points","Quintile 3","Main scheme applicant","All","50","30","0.592","0"
"2018","-6 points","Quintile 3","Main scheme applicant","All","50","35","0.6940000000000001","0"
"2019","-6 points","Quintile 3","Main scheme applicant","All","55","35","0.618","0"
"2020","-6 points","Quintile 3","Main scheme applicant","All","25","20","0.72","0"
"2021","-6 points","Quintile 3","Main scheme applicant","All","15","5"," ","0"
"2022","-6 points","Quintile 3","Main scheme applicant","All","50","25","0.5","0"
"2023","-6 points","Quintile 3","Main scheme applicant","All","40","15","0.425","0"
"2010","Less than -6 points","Quintile 3","Main scheme applicant","All","45","30","0.705","0"
"2011","Less than -6 points","Quintile 3","Main scheme applicant","All","70","60","0.868","0"
"2012","Less than -6 points","Quintile 3","Main scheme applicant","All","85","55","0.624","0"
"2013","Less than -6 points","Quintile 3","Main scheme applicant","All","75","55","0.72","0"
"2014","Less than -6 points","Quintile 3","Main scheme applicant","All","95","60","0.639","0"
"2015","Less than -6 points","Quintile 3","Main scheme applicant","All","160","120","0.742","0"
"2016","Less than -6 points","Quintile 3","Main scheme applicant","All","110","80","0.739","0"
"2017","Less than -6 points","Quintile 3","Main scheme applicant","All","100","75","0.755","0"
"2018","Less than -6 points","Quintile 3","Main scheme applicant","All","110","85","0.771","0"
"2019","Less than -6 points","Quintile 3","Main scheme applicant","All","120","85","0.725","0"
"2020","Less than -6 points","Quintile 3","Main scheme applicant","All","55","45","0.804","0"
"2021","Less than -6 points","Quintile 3","Main scheme applicant","All","50","35","0.635","0"
"2022","Less than -6 points","Quintile 3","Main scheme applicant","All","110","65","0.587","0"
"2023","Less than -6 points","Quintile 3","Main scheme applicant","All","45","25","0.587","0"
"2010","0 points","Quintile 4","Main scheme applicant","All","1770","1420","0.802","0"
"2011","0 points","Quintile 4","Main scheme applicant","All","2025","1665","0.8220000000000001","0"
"2012","0 points","Quintile 4","Main scheme applicant","All","805","645","0.8","0"
"2013","0 points","Quintile 4","Main scheme applicant","All","1305","1095","0.841","0"
"2014","0 points","Quintile 4","Main scheme applicant","All","1620","1350","0.835","0"
"2015","0 points","Quintile 4","Main scheme applicant","All","1905","1625","0.852","0"
"2016","0 points","Quintile 4","Main scheme applicant","All","1970","1690","0.858","0"
"2017","0 points","Quintile 4","Main scheme applicant","All","1945","1670","0.859","0"
"2018","0 points","Quintile 4","Main scheme applicant","All","1940","1695","0.872","0"
"2019","0 points","Quintile 4","Main scheme applicant","All","1820","1575","0.864","0"
"2020","0 points","Quintile 4","Main scheme applicant","All","1990","1775","0.891","0"
"2021","0 points","Quintile 4","Main scheme applicant","All","2165","1860","0.859","0"
"2022","0 points","Quintile 4","Main scheme applicant","All","1575","1295","0.8240000000000001","0"
"2023","0 points","Quintile 4","Main scheme applicant","All","1450","1215","0.84","0"
"2010","1 points","Quintile 4","Main scheme applicant","All","910","750","0.8200000000000001","0"
"2011","1 points","Quintile 4","Main scheme applicant","All","1015","840","0.8250000000000001","0"
"2012","1 points","Quintile 4","Main scheme applicant","All","850","695","0.8150000000000001","0"
"2013","1 points","Quintile 4","Main scheme applicant","All","825","685","0.835","0"
"2014","1 points","Quintile 4","Main scheme applicant","All","935","805","0.86","0"
"2015","1 points","Quintile 4","Main scheme applicant","All","1045","900","0.863","0"
"2016","1 points","Quintile 4","Main scheme applicant","All","1025","885","0.863","0"
"2017","1 points","Quintile 4","Main scheme applicant","All","985","855","0.87","0"
"2018","1 points","Quintile 4","Main scheme applicant","All","945","810","0.854","0"
"2019","1 points","Quintile 4","Main scheme applicant","All","920","805","0.876","0"
"2020","1 points","Quintile 4","Main scheme applicant","All","980","865","0.885","0"
"2021","1 points","Quintile 4","Main scheme applicant","All","1195","1040","0.87","0"
"2022","1 points","Quintile 4","Main scheme applicant","All","1020","875","0.861","0"
"2023","1 points","Quintile 4","Main scheme applicant","All","970","840","0.864","0"
"2010","2 points","Quintile 4","Main scheme applicant","All","425","345","0.8140000000000001","0"
"2011","2 points","Quintile 4","Main scheme applicant","All","425","350","0.8300000000000001","0"
"2012","2 points","Quintile 4","Main scheme applicant","All","495","405","0.8160000000000001","0"
"2013","2 points","Quintile 4","Main scheme applicant","All","545","460","0.851","0"
"2014","2 points","Quintile 4","Main scheme applicant","All","620","525","0.844","0"
"2015","2 points","Quintile 4","Main scheme applicant","All","590","515","0.873","0"
"2016","2 points","Quintile 4","Main scheme applicant","All","570","490","0.853","0"
"2017","2 points","Quintile 4","Main scheme applicant","All","575","485","0.842","0"
"2018","2 points","Quintile 4","Main scheme applicant","All","490","420","0.863","0"
"2019","2 points","Quintile 4","Main scheme applicant","All","385","335","0.878","0"
"2020","2 points","Quintile 4","Main scheme applicant","All","505","450","0.895","0"
"2021","2 points","Quintile 4","Main scheme applicant","All","600","515","0.861","0"
"2022","2 points","Quintile 4","Main scheme applicant","All","535","470","0.875","0"
"2023","2 points","Quintile 4","Main scheme applicant","All","430","360","0.837","0"
"2010","3 points","Quintile 4","Main scheme applicant","All","135","105","0.793","0"
"2011","3 points","Quintile 4","Main scheme applicant","All","110","105","0.936","0"
"2012","3 points","Quintile 4","Main scheme applicant","All","550","465","0.842","0"
"2013","3 points","Quintile 4","Main scheme applicant","All","520","430","0.8320000000000001","0"
"2014","3 points","Quintile 4","Main scheme applicant","All","495","420","0.851","0"
"2015","3 points","Quintile 4","Main scheme applicant","All","410","345","0.841","0"
"2016","3 points","Quintile 4","Main scheme applicant","All","340","305","0.898","0"
"2017","3 points","Quintile 4","Main scheme applicant","All","315","280","0.889","0"
"2018","3 points","Quintile 4","Main scheme applicant","All","230","190","0.8290000000000001","0"
"2019","3 points","Quintile 4","Main scheme applicant","All","145","125","0.855","0"
"2020","3 points","Quintile 4","Main scheme applicant","All","240","220","0.909","0"
"2021","3 points","Quintile 4","Main scheme applicant","All","295","260","0.887","0"
"2022","3 points","Quintile 4","Main scheme applicant","All","185","165","0.877","0"
"2023","3 points","Quintile 4","Main scheme applicant","All","140","125","0.873","0"
"2010","More than 3 points","Quintile 4","Main scheme applicant","All","30","25","0.8","0"
"2011","More than 3 points","Quintile 4","Main scheme applicant","All","20","15","0.889","0"
"2012","More than 3 points","Quintile 4","Main scheme applicant","All","125","100","0.8230000000000001","0"
"2013","More than 3 points","Quintile 4","Main scheme applicant","All","175","145","0.8270000000000001","0"
"2014","More than 3 points","Quintile 4","Main scheme applicant","All","150","120","0.811","0"
"2015","More than 3 points","Quintile 4","Main scheme applicant","All","145","120","0.84","0"
"2016","More than 3 points","Quintile 4","Main scheme applicant","All","85","75","0.849","0"
"2017","More than 3 points","Quintile 4","Main scheme applicant","All","100","85","0.8240000000000001","0"
"2018","More than 3 points","Quintile 4","Main scheme applicant","All","65","55","0.889","0"
"2019","More than 3 points","Quintile 4","Main scheme applicant","All","35","30","0.879","0"
"2020","More than 3 points","Quintile 4","Main scheme applicant","All","60","55","0.918","0"
"2021","More than 3 points","Quintile 4","Main scheme applicant","All","80","75","0.914","0"
"2022","More than 3 points","Quintile 4","Main scheme applicant","All","55","45","0.8150000000000001","0"
"2023","More than 3 points","Quintile 4","Main scheme applicant","All","40","35","0.875","0"
"2010","-1 points","Quintile 4","Main scheme applicant","All","520","345","0.663","0"
"2011","-1 points","Quintile 4","Main scheme applicant","All","550","350","0.637","0"
"2012","-1 points","Quintile 4","Main scheme applicant","All","545","400","0.731","0"
"2013","-1 points","Quintile 4","Main scheme applicant","All","600","455","0.757","0"
"2014","-1 points","Quintile 4","Main scheme applicant","All","680","540","0.793","0"
"2015","-1 points","Quintile 4","Main scheme applicant","All","840","680","0.81","0"
"2016","-1 points","Quintile 4","Main scheme applicant","All","830","685","0.8270000000000001","0"
"2017","-1 points","Quintile 4","Main scheme applicant","All","745","620","0.837","0"
"2018","-1 points","Quintile 4","Main scheme applicant","All","760","635","0.839","0"
"2019","-1 points","Quintile 4","Main scheme applicant","All","795","685","0.861","0"
"2020","-1 points","Quintile 4","Main scheme applicant","All","780","670","0.858","0"
"2021","-1 points","Quintile 4","Main scheme applicant","All","885","740","0.838","0"
"2022","-1 points","Quintile 4","Main scheme applicant","All","1040","835","0.804","0"
"2023","-1 points","Quintile 4","Main scheme applicant","All","975","800","0.8190000000000001","0"
"2010","-2 points","Quintile 4","Main scheme applicant","All","220","130","0.579","0"
"2011","-2 points","Quintile 4","Main scheme applicant","All","225","125","0.555","0"
"2012","-2 points","Quintile 4","Main scheme applicant","All","300","195","0.651","0"
"2013","-2 points","Quintile 4","Main scheme applicant","All","330","225","0.6880000000000001","0"
"2014","-2 points","Quintile 4","Main scheme applicant","All","405","290","0.72","0"
"2015","-2 points","Quintile 4","Main scheme applicant","All","470","365","0.773","0"
"2016","-2 points","Quintile 4","Main scheme applicant","All","465","370","0.796","0"
"2017","-2 points","Quintile 4","Main scheme applicant","All","420","325","0.776","0"
"2018","-2 points","Quintile 4","Main scheme applicant","All","390","305","0.782","0"
"2019","-2 points","Quintile 4","Main scheme applicant","All","435","365","0.839","0"
"2020","-2 points","Quintile 4","Main scheme applicant","All","440","375","0.858","0"
"2021","-2 points","Quintile 4","Main scheme applicant","All","420","335","0.8","0"
"2022","-2 points","Quintile 4","Main scheme applicant","All","540","425","0.785","0"
"2023","-2 points","Quintile 4","Main scheme applicant","All","525","405","0.774","0"
"2010","-3 points","Quintile 4","Main scheme applicant","All","115","60","0.513","0"
"2011","-3 points","Quintile 4","Main scheme applicant","All","130","65","0.496","0"
"2012","-3 points","Quintile 4","Main scheme applicant","All","160","80","0.509","0"
"2013","-3 points","Quintile 4","Main scheme applicant","All","185","115","0.628","0"
"2014","-3 points","Quintile 4","Main scheme applicant","All","205","130","0.639","0"
"2015","-3 points","Quintile 4","Main scheme applicant","All","245","160","0.646","0"
"2016","-3 points","Quintile 4","Main scheme applicant","All","220","155","0.705","0"
"2017","-3 points","Quintile 4","Main scheme applicant","All","185","135","0.741","0"
"2018","-3 points","Quintile 4","Main scheme applicant","All","205","145","0.724","0"
"2019","-3 points","Quintile 4","Main scheme applicant","All","195","160","0.81","0"
"2020","-3 points","Quintile 4","Main scheme applicant","All","195","165","0.856","0"
