"Year","Ethnic group","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2023","Black","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","110","85","0.761"
"2019","Asian","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","35","25","0.771"
"2020","Asian","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","45","40","0.809"
"2021","Asian","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","20","15","0.684"
"2022","Asian","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","30","20","0.633"
"2023","Asian","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","50","35","0.771"
"2023","Asian","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2019","Mixed","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2020","Mixed","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","25","20","0.783"
"2021","Mixed","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.933"
"2022","Mixed","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","15","10"," "
"2023","Mixed","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","30","25","0.767"
"2019","Other","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Other","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2021","Other","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Other","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Other","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","15","10","0.769"
"2019","Unknown or Prefer Not To Say","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","30","30","1"
"2020","Unknown or Prefer Not To Say","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","25","25","1"
"2021","Unknown or Prefer Not To Say","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","25","20","0.917"
"2022","Unknown or Prefer Not To Say","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","20","20","0.9470000000000001"
"2023","Unknown or Prefer Not To Say","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","25","25","0.926"
"2020","Unknown or Prefer Not To Say","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Unknown or Prefer Not To Say","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Unknown or Prefer Not To Say","21 - 24","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","White","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","170","150","0.883"
"2020","White","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","280","240","0.867"
"2021","White","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","135","120","0.881"
"2022","White","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","155","130","0.8260000000000001"
"2023","White","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","165","135","0.812"
"2019","White","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","20","15","0.722"
"2020","White","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","35","25","0.727"
"2021","White","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2022","White","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","35","25","0.765"
"2023","White","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","45","35","0.733"
"2019","White","25 - 29","Wales","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2020","White","25 - 29","Wales","Female","Not main scheme applicant","Not main scheme application","20","15","0.737"
"2021","White","25 - 29","Wales","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2022","White","25 - 29","Wales","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2023","White","25 - 29","Wales","Female","Not main scheme applicant","Not main scheme application","15","10"," "
"2019","Black","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","70","50","0.6940000000000001"
"2020","Black","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","100","70","0.727"
"2021","Black","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","65","55","0.844"
"2022","Black","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","85","60","0.7020000000000001"
"2023","Black","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","105","80","0.757"
"2019","Asian","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","15","10"," "
