"Year","Achieved SQA advanced higher points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2014","4 point(s)","18","All","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2015","4 point(s)","18","All","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2016","4 point(s)","18","All","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2017","4 point(s)","18","All","Female","Main scheme applicant","Main scheme application","10","10"," ","0"
"2018","4 point(s)","18","All","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2019","4 point(s)","18","All","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2021","4 point(s)","18","All","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2022","4 point(s)","18","All","Female","Main scheme applicant","Main scheme application","15","15","0.929","0"
"2023","4 point(s)","18","All","Female","Main scheme applicant","Main scheme application","30","25","0.897","0"
"2010","5 point(s)","18","All","Female","Main scheme applicant","Main scheme application","15","10","0.625","0"
"2011","5 point(s)","18","All","Female","Main scheme applicant","Main scheme application","15","15","0.882","0"
"2012","5 point(s)","18","All","Female","Main scheme applicant","Main scheme application","15","10","0.667","0"
"2013","5 point(s)","18","All","Female","Main scheme applicant","Main scheme application","10","10"," ","0"
"2014","5 point(s)","18","All","Female","Main scheme applicant","Main scheme application","15","15","0.875","0"
"2015","5 point(s)","18","All","Female","Main scheme applicant","Main scheme application","15","10","0.857","0"
"2016","5 point(s)","18","All","Female","Main scheme applicant","Main scheme application","15","10","0.769","0"
"2017","5 point(s)","18","All","Female","Main scheme applicant","Main scheme application","15","10","0.647","0"
"2018","5 point(s)","18","All","Female","Main scheme applicant","Main scheme application","20","20","0.909","0"
"2019","5 point(s)","18","All","Female","Main scheme applicant","Main scheme application","30","25","0.781","0"
"2020","5 point(s)","18","All","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2021","5 point(s)","18","All","Female","Main scheme applicant","Main scheme application","10","10"," ","0"
"2022","5 point(s)","18","All","Female","Main scheme applicant","Main scheme application","35","30","0.886","0"
"2023","5 point(s)","18","All","Female","Main scheme applicant","Main scheme application","45","40","0.8260000000000001","0"
"2010","6 point(s)","18","All","Female","Main scheme applicant","Main scheme application","35","30","0.833","0"
"2011","6 point(s)","18","All","Female","Main scheme applicant","Main scheme application","30","25","0.774","0"
"2012","6 point(s)","18","All","Female","Main scheme applicant","Main scheme application","40","30","0.795","0"
"2013","6 point(s)","18","All","Female","Main scheme applicant","Main scheme application","30","25","0.793","0"
"2014","6 point(s)","18","All","Female","Main scheme applicant","Main scheme application","40","30","0.789","0"
"2015","6 point(s)","18","All","Female","Main scheme applicant","Main scheme application","40","30","0.8160000000000001","0"
"2016","6 point(s)","18","All","Female","Main scheme applicant","Main scheme application","35","30","0.8240000000000001","0"
"2017","6 point(s)","18","All","Female","Main scheme applicant","Main scheme application","30","25","0.793","0"
"2018","6 point(s)","18","All","Female","Main scheme applicant","Main scheme application","45","35","0.837","0"
"2019","6 point(s)","18","All","Female","Main scheme applicant","Main scheme application","45","40","0.844","0"
"2020","6 point(s)","18","All","Female","Main scheme applicant","Main scheme application","25","25","0.885","0"
"2021","6 point(s)","18","All","Female","Main scheme applicant","Main scheme application","20","20","0.9550000000000001","0"
"2022","6 point(s)","18","All","Female","Main scheme applicant","Main scheme application","65","55","0.8150000000000001","0"
"2023","6 point(s)","18","All","Female","Main scheme applicant","Main scheme application","70","60","0.882","0"
"2010","7 point(s)","18","All","Female","Main scheme applicant","Main scheme application","50","40","0.875","0"
"2011","7 point(s)","18","All","Female","Main scheme applicant","Main scheme application","55","45","0.887","0"
"2012","7 point(s)","18","All","Female","Main scheme applicant","Main scheme application","60","45","0.741","0"
"2013","7 point(s)","18","All","Female","Main scheme applicant","Main scheme application","50","40","0.78","0"
"2014","7 point(s)","18","All","Female","Main scheme applicant","Main scheme application","70","60","0.841","0"
"2015","7 point(s)","18","All","Female","Main scheme applicant","Main scheme application","70","65","0.901","0"
"2016","7 point(s)","18","All","Female","Main scheme applicant","Main scheme application","50","45","0.846","0"
"2017","7 point(s)","18","All","Female","Main scheme applicant","Main scheme application","70","60","0.8190000000000001","0"
"2018","7 point(s)","18","All","Female","Main scheme applicant","Main scheme application","65","55","0.873","0"
"2019","7 point(s)","18","All","Female","Main scheme applicant","Main scheme application","60","55","0.915","0"
"2020","7 point(s)","18","All","Female","Main scheme applicant","Main scheme application","45","45","0.936","0"
"2021","7 point(s)","18","All","Female","Main scheme applicant","Main scheme application","35","30","0.865","0"
"2022","7 point(s)","18","All","Female","Main scheme applicant","Main scheme application","85","75","0.862","0"
"2023","7 point(s)","18","All","Female","Main scheme applicant","Main scheme application","95","80","0.862","0"
"2010","8 point(s)","18","All","Female","Main scheme applicant","Main scheme application","80","70","0.889","0"
"2011","8 point(s)","18","All","Female","Main scheme applicant","Main scheme application","90","85","0.902","0"
"2012","8 point(s)","18","All","Female","Main scheme applicant","Main scheme application","85","70","0.867","0"
"2013","8 point(s)","18","All","Female","Main scheme applicant","Main scheme application","80","65","0.846","0"
"2014","8 point(s)","18","All","Female","Main scheme applicant","Main scheme application","120","105","0.851","0"
"2015","8 point(s)","18","All","Female","Main scheme applicant","Main scheme application","70","60","0.8190000000000001","0"
"2016","8 point(s)","18","All","Female","Main scheme applicant","Main scheme application","85","75","0.917","0"
"2017","8 point(s)","18","All","Female","Main scheme applicant","Main scheme application","90","80","0.859","0"
"2018","8 point(s)","18","All","Female","Main scheme applicant","Main scheme application","105","95","0.887","0"
"2019","8 point(s)","18","All","Female","Main scheme applicant","Main scheme application","100","85","0.867","0"
"2020","8 point(s)","18","All","Female","Main scheme applicant","Main scheme application","70","55","0.764","0"
"2021","8 point(s)","18","All","Female","Main scheme applicant","Main scheme application","70","60","0.853","0"
"2022","8 point(s)","18","All","Female","Main scheme applicant","Main scheme application","105","90","0.84","0"
"2023","8 point(s)","18","All","Female","Main scheme applicant","Main scheme application","130","115","0.884","0"
"2010","9 point(s)","18","All","Female","Main scheme applicant","Main scheme application","100","85","0.842","0"
"2011","9 point(s)","18","All","Female","Main scheme applicant","Main scheme application","95","85","0.914","0"
"2012","9 point(s)","18","All","Female","Main scheme applicant","Main scheme application","95","85","0.874","0"
"2013","9 point(s)","18","All","Female","Main scheme applicant","Main scheme application","115","110","0.9570000000000001","0"
"2014","9 point(s)","18","All","Female","Main scheme applicant","Main scheme application","100","85","0.851","0"
"2015","9 point(s)","18","All","Female","Main scheme applicant","Main scheme application","125","105","0.8270000000000001","0"
"2016","9 point(s)","18","All","Female","Main scheme applicant","Main scheme application","120","105","0.858","0"
"2017","9 point(s)","18","All","Female","Main scheme applicant","Main scheme application","135","110","0.8280000000000001","0"
"2018","9 point(s)","18","All","Female","Main scheme applicant","Main scheme application","115","100","0.86","0"
"2019","9 point(s)","18","All","Female","Main scheme applicant","Main scheme application","125","105","0.862","0"
"2020","9 point(s)","18","All","Female","Main scheme applicant","Main scheme application","105","95","0.886","0"
"2021","9 point(s)","18","All","Female","Main scheme applicant","Main scheme application","105","85","0.8170000000000001","0"
"2022","9 point(s)","18","All","Female","Main scheme applicant","Main scheme application","140","115","0.801","0"
"2023","9 point(s)","18","All","Female","Main scheme applicant","Main scheme application","165","145","0.88","0"
"2010","10 point(s)","18","All","Female","Main scheme applicant","Main scheme application","100","90","0.89","0"
"2011","10 point(s)","18","All","Female","Main scheme applicant","Main scheme application","120","100","0.85","0"
"2012","10 point(s)","18","All","Female","Main scheme applicant","Main scheme application","120","105","0.881","0"
"2013","10 point(s)","18","All","Female","Main scheme applicant","Main scheme application","110","100","0.902","0"
"2014","10 point(s)","18","All","Female","Main scheme applicant","Main scheme application","145","120","0.8320000000000001","0"
"2015","10 point(s)","18","All","Female","Main scheme applicant","Main scheme application","165","140","0.855","0"
"2016","10 point(s)","18","All","Female","Main scheme applicant","Main scheme application","140","125","0.899","0"
"2017","10 point(s)","18","All","Female","Main scheme applicant","Main scheme application","150","130","0.872","0"
"2018","10 point(s)","18","All","Female","Main scheme applicant","Main scheme application","150","130","0.855","0"
"2019","10 point(s)","18","All","Female","Main scheme applicant","Main scheme application","140","130","0.908","0"
"2020","10 point(s)","18","All","Female","Main scheme applicant","Main scheme application","145","120","0.847","0"
"2021","10 point(s)","18","All","Female","Main scheme applicant","Main scheme application","155","145","0.935","0"
"2022","10 point(s)","18","All","Female","Main scheme applicant","Main scheme application","190","160","0.852","0"
"2023","10 point(s)","18","All","Female","Main scheme applicant","Main scheme application","215","195","0.907","0"
"2010","11 point(s)","18","All","Female","Main scheme applicant","Main scheme application","110","100","0.909","0"
"2011","11 point(s)","18","All","Female","Main scheme applicant","Main scheme application","140","130","0.908","0"
"2012","11 point(s)","18","All","Female","Main scheme applicant","Main scheme application","130","110","0.84","0"
"2013","11 point(s)","18","All","Female","Main scheme applicant","Main scheme application","185","160","0.869","0"
"2014","11 point(s)","18","All","Female","Main scheme applicant","Main scheme application","130","120","0.894","0"
"2015","11 point(s)","18","All","Female","Main scheme applicant","Main scheme application","150","135","0.887","0"
"2016","11 point(s)","18","All","Female","Main scheme applicant","Main scheme application","180","155","0.863","0"
"2017","11 point(s)","18","All","Female","Main scheme applicant","Main scheme application","190","165","0.87","0"
"2018","11 point(s)","18","All","Female","Main scheme applicant","Main scheme application","205","175","0.854","0"
"2019","11 point(s)","18","All","Female","Main scheme applicant","Main scheme application","145","130","0.897","0"
"2020","11 point(s)","18","All","Female","Main scheme applicant","Main scheme application","170","145","0.863","0"
"2021","11 point(s)","18","All","Female","Main scheme applicant","Main scheme application","220","190","0.881","0"
"2022","11 point(s)","18","All","Female","Main scheme applicant","Main scheme application","230","205","0.904","0"
"2023","11 point(s)","18","All","Female","Main scheme applicant","Main scheme application","230","215","0.922","0"
"2010","12 point(s)","18","All","Female","Main scheme applicant","Main scheme application","205","190","0.926","0"
"2011","12 point(s)","18","All","Female","Main scheme applicant","Main scheme application","205","190","0.923","0"
"2012","12 point(s)","18","All","Female","Main scheme applicant","Main scheme application","215","195","0.898","0"
"2013","12 point(s)","18","All","Female","Main scheme applicant","Main scheme application","265","245","0.921","0"
"2014","12 point(s)","18","All","Female","Main scheme applicant","Main scheme application","250","220","0.887","0"
"2015","12 point(s)","18","All","Female","Main scheme applicant","Main scheme application","235","215","0.906","0"
"2016","12 point(s)","18","All","Female","Main scheme applicant","Main scheme application","330","295","0.892","0"
"2017","12 point(s)","18","All","Female","Main scheme applicant","Main scheme application","300","270","0.907","0"
"2018","12 point(s)","18","All","Female","Main scheme applicant","Main scheme application","335","300","0.901","0"
"2019","12 point(s)","18","All","Female","Main scheme applicant","Main scheme application","345","325","0.9450000000000001","0"
"2020","12 point(s)","18","All","Female","Main scheme applicant","Main scheme application","525","480","0.911","0"
