"Year","Achieved BTEC Extended diploma points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2019","4 points (MMM)","All","England","Male","Main scheme applicant","All","825","695","0.845","0"
"2020","4 points (MMM)","All","England","Male","Main scheme applicant","All","930","810","0.871","0"
"2021","4 points (MMM)","All","England","Male","Main scheme applicant","All","965","815","0.845","0"
"2022","4 points (MMM)","All","England","Male","Main scheme applicant","All","1075","875","0.811","0"
"2023","4 points (MMM)","All","England","Male","Main scheme applicant","All","1110","905","0.8180000000000001","0"
"2010","4 points (MMM)","All","Wales","Male","Main scheme applicant","All","70","60","0.8310000000000001","0"
"2011","4 points (MMM)","All","Wales","Male","Main scheme applicant","All","55","45","0.786","0"
"2012","4 points (MMM)","All","Wales","Male","Main scheme applicant","All","60","50","0.774","0"
"2013","4 points (MMM)","All","Wales","Male","Main scheme applicant","All","50","45","0.9380000000000001","0"
"2014","4 points (MMM)","All","Wales","Male","Main scheme applicant","All","55","45","0.804","0"
"2015","4 points (MMM)","All","Wales","Male","Main scheme applicant","All","65","60","0.892","0"
"2016","4 points (MMM)","All","Wales","Male","Main scheme applicant","All","65","55","0.836","0"
"2017","4 points (MMM)","All","Wales","Male","Main scheme applicant","All","45","40","0.872","0"
"2018","4 points (MMM)","All","Wales","Male","Main scheme applicant","All","55","45","0.833","0"
"2019","4 points (MMM)","All","Wales","Male","Main scheme applicant","All","45","40","0.8260000000000001","0"
"2020","4 points (MMM)","All","Wales","Male","Main scheme applicant","All","45","35","0.8","0"
"2021","4 points (MMM)","All","Wales","Male","Main scheme applicant","All","55","45","0.839","0"
"2022","4 points (MMM)","All","Wales","Male","Main scheme applicant","All","50","40","0.76","0"
"2023","4 points (MMM)","All","Wales","Male","Main scheme applicant","All","45","35","0.733","0"
"2010","5 points (DMM)","All","Northern Ireland","Male","Main scheme applicant","All","50","35","0.708","0"
"2011","5 points (DMM)","All","Northern Ireland","Male","Main scheme applicant","All","45","35","0.773","0"
"2012","5 points (DMM)","All","Northern Ireland","Male","Main scheme applicant","All","30","20","0.643","0"
"2013","5 points (DMM)","All","Northern Ireland","Male","Main scheme applicant","All","35","20","0.559","0"
"2014","5 points (DMM)","All","Northern Ireland","Male","Main scheme applicant","All","30","20","0.759","0"
"2015","5 points (DMM)","All","Northern Ireland","Male","Main scheme applicant","All","50","35","0.6920000000000001","0"
"2016","5 points (DMM)","All","Northern Ireland","Male","Main scheme applicant","All","45","35","0.733","0"
"2017","5 points (DMM)","All","Northern Ireland","Male","Main scheme applicant","All","20","15","0.591","0"
"2018","5 points (DMM)","All","Northern Ireland","Male","Main scheme applicant","All","35","20","0.5710000000000001","0"
"2019","5 points (DMM)","All","Northern Ireland","Male","Main scheme applicant","All","40","25","0.634","0"
"2020","5 points (DMM)","All","Northern Ireland","Male","Main scheme applicant","All","50","40","0.792","0"
"2021","5 points (DMM)","All","Northern Ireland","Male","Main scheme applicant","All","40","25","0.643","0"
"2022","5 points (DMM)","All","Northern Ireland","Male","Main scheme applicant","All","35","25","0.657","0"
