"Year","Achieved BTEC Extended diploma points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2010","7 points (DDD)","All","Scotland","Male","All","Main scheme application","5","5"," ","0"
"2010","7 points (DDD)","All","Wales","Male","All","Main scheme application","190","155","0.8310000000000001","0"
"2011","7 points (DDD)","All","Wales","Male","All","Main scheme application","180","145","0.8260000000000001","0"
"2012","7 points (DDD)","All","Wales","Male","All","Main scheme application","40","25","0.675","0"
"2013","7 points (DDD)","All","Wales","Male","All","Main scheme application","45","40","0.93","0"
"2014","7 points (DDD)","All","Wales","Male","All","Main scheme application","45","30","0.727","0"
"2015","7 points (DDD)","All","Wales","Male","All","Main scheme application","60","50","0.867","0"
"2016","7 points (DDD)","All","Wales","Male","All","Main scheme application","50","30","0.667","0"
"2017","7 points (DDD)","All","Wales","Male","All","Main scheme application","50","40","0.8","0"
"2018","7 points (DDD)","All","Wales","Male","All","Main scheme application","50","40","0.804","0"
"2019","7 points (DDD)","All","Wales","Male","All","Main scheme application","40","35","0.878","0"
"2020","7 points (DDD)","All","Wales","Male","All","Main scheme application","35","35","0.919","0"
"2021","7 points (DDD)","All","Wales","Male","All","Main scheme application","65","55","0.862","0"
"2022","7 points (DDD)","All","Wales","Male","All","Main scheme application","50","30","0.627","0"
"2023","7 points (DDD)","All","Wales","Male","All","Main scheme application","40","35","0.833","0"
"2012","8 points (D*DD)","All","Northern Ireland","Male","All","Main scheme application","25","20","0.769","0"
"2013","8 points (D*DD)","All","Northern Ireland","Male","All","Main scheme application","25","20","0.8","0"
"2014","8 points (D*DD)","All","Northern Ireland","Male","All","Main scheme application","25","20","0.8","0"
"2015","8 points (D*DD)","All","Northern Ireland","Male","All","Main scheme application","35","30","0.8240000000000001","0"
"2016","8 points (D*DD)","All","Northern Ireland","Male","All","Main scheme application","35","30","0.9410000000000001","0"
"2017","8 points (D*DD)","All","Northern Ireland","Male","All","Main scheme application","40","30","0.8","0"
"2018","8 points (D*DD)","All","Northern Ireland","Male","All","Main scheme application","30","20","0.75","0"
"2019","8 points (D*DD)","All","Northern Ireland","Male","All","Main scheme application","20","15","0.778","0"
"2020","8 points (D*DD)","All","Northern Ireland","Male","All","Main scheme application","30","25","0.719","0"
"2021","8 points (D*DD)","All","Northern Ireland","Male","All","Main scheme application","35","30","0.857","0"
"2022","8 points (D*DD)","All","Northern Ireland","Male","All","Main scheme application","30","20","0.759","0"
"2023","8 points (D*DD)","All","Northern Ireland","Male","All","Main scheme application","30","25","0.8130000000000001","0"
"2011","8 points (D*DD)","All","England","Male","All","Main scheme application","15","10","0.769","0"
"2012","8 points (D*DD)","All","England","Male","All","Main scheme application","800","650","0.8130000000000001","0"
"2013","8 points (D*DD)","All","England","Male","All","Main scheme application","930","775","0.834","0"
"2014","8 points (D*DD)","All","England","Male","All","Main scheme application","1060","875","0.8280000000000001","0"
"2015","8 points (D*DD)","All","England","Male","All","Main scheme application","1135","950","0.84","0"
"2016","8 points (D*DD)","All","England","Male","All","Main scheme application","1250","1035","0.8270000000000001","0"
"2017","8 points (D*DD)","All","England","Male","All","Main scheme application","1200","1010","0.84","0"
"2018","8 points (D*DD)","All","England","Male","All","Main scheme application","1170","960","0.8210000000000001","0"
"2019","8 points (D*DD)","All","England","Male","All","Main scheme application","1210","975","0.806","0"
"2020","8 points (D*DD)","All","England","Male","All","Main scheme application","1190","1000","0.84","0"
"2021","8 points (D*DD)","All","England","Male","All","Main scheme application","1270","1015","0.8","0"
"2022","8 points (D*DD)","All","England","Male","All","Main scheme application","1505","1185","0.788","0"
"2023","8 points (D*DD)","All","England","Male","All","Main scheme application","1460","1135","0.776","0"
"2012","8 points (D*DD)","All","Wales","Male","All","Main scheme application","45","40","0.907","0"
"2013","8 points (D*DD)","All","Wales","Male","All","Main scheme application","30","25","0.839","0"
"2014","8 points (D*DD)","All","Wales","Male","All","Main scheme application","40","35","0.868","0"
"2015","8 points (D*DD)","All","Wales","Male","All","Main scheme application","50","40","0.854","0"
"2016","8 points (D*DD)","All","Wales","Male","All","Main scheme application","40","30","0.8160000000000001","0"
"2017","8 points (D*DD)","All","Wales","Male","All","Main scheme application","40","30","0.842","0"
"2018","8 points (D*DD)","All","Wales","Male","All","Main scheme application","50","45","0.88","0"
"2019","8 points (D*DD)","All","Wales","Male","All","Main scheme application","35","30","0.8240000000000001","0"
"2020","8 points (D*DD)","All","Wales","Male","All","Main scheme application","30","20","0.759","0"
"2021","8 points (D*DD)","All","Wales","Male","All","Main scheme application","45","40","0.909","0"
"2022","8 points (D*DD)","All","Wales","Male","All","Main scheme application","30","30","0.875","0"
"2023","8 points (D*DD)","All","Wales","Male","All","Main scheme application","35","25","0.8180000000000001","0"
"2012","9 points (D*D*D)","All","Northern Ireland","Male","All","Main scheme application","25","20","0.84","0"
"2013","9 points (D*D*D)","All","Northern Ireland","Male","All","Main scheme application","40","30","0.8160000000000001","0"
"2014","9 points (D*D*D)","All","Northern Ireland","Male","All","Main scheme application","20","15","0.778","0"
"2015","9 points (D*D*D)","All","Northern Ireland","Male","All","Main scheme application","35","30","0.853","0"
"2016","9 points (D*D*D)","All","Northern Ireland","Male","All","Main scheme application","25","25","0.852","0"
"2017","9 points (D*D*D)","All","Northern Ireland","Male","All","Main scheme application","25","20","0.6920000000000001","0"
"2018","9 points (D*D*D)","All","Northern Ireland","Male","All","Main scheme application","35","30","0.806","0"
"2019","9 points (D*D*D)","All","Northern Ireland","Male","All","Main scheme application","30","20","0.6880000000000001","0"
"2020","9 points (D*D*D)","All","Northern Ireland","Male","All","Main scheme application","35","25","0.788","0"
"2021","9 points (D*D*D)","All","Northern Ireland","Male","All","Main scheme application","20","15","0.722","0"
"2022","9 points (D*D*D)","All","Northern Ireland","Male","All","Main scheme application","30","25","0.844","0"
"2023","9 points (D*D*D)","All","Northern Ireland","Male","All","Main scheme application","15","10","0.786","0"
"2011","9 points (D*D*D)","All","England","Male","All","Main scheme application","5","5"," ","0"
"2012","9 points (D*D*D)","All","England","Male","All","Main scheme application","705","575","0.8200000000000001","0"
"2013","9 points (D*D*D)","All","England","Male","All","Main scheme application","800","655","0.8190000000000001","0"
"2014","9 points (D*D*D)","All","England","Male","All","Main scheme application","1015","865","0.853","0"
"2015","9 points (D*D*D)","All","England","Male","All","Main scheme application","1105","935","0.846","0"
"2016","9 points (D*D*D)","All","England","Male","All","Main scheme application","1285","1090","0.85","0"
"2017","9 points (D*D*D)","All","England","Male","All","Main scheme application","1260","1045","0.8300000000000001","0"
"2018","9 points (D*D*D)","All","England","Male","All","Main scheme application","1225","1010","0.8270000000000001","0"
"2019","9 points (D*D*D)","All","England","Male","All","Main scheme application","1075","890","0.8250000000000001","0"
"2020","9 points (D*D*D)","All","England","Male","All","Main scheme application","1275","1060","0.834","0"
"2021","9 points (D*D*D)","All","England","Male","All","Main scheme application","1385","1120","0.81","0"
"2022","9 points (D*D*D)","All","England","Male","All","Main scheme application","1485","1140","0.769","0"
"2023","9 points (D*D*D)","All","England","Male","All","Main scheme application","1100","870","0.792","0"
"2012","9 points (D*D*D)","All","Wales","Male","All","Main scheme application","35","30","0.8290000000000001","0"
"2013","9 points (D*D*D)","All","Wales","Male","All","Main scheme application","30","30","0.935","0"
"2014","9 points (D*D*D)","All","Wales","Male","All","Main scheme application","35","30","0.853","0"
"2015","9 points (D*D*D)","All","Wales","Male","All","Main scheme application","45","35","0.8140000000000001","0"
"2016","9 points (D*D*D)","All","Wales","Male","All","Main scheme application","40","35","0.846","0"
"2017","9 points (D*D*D)","All","Wales","Male","All","Main scheme application","40","35","0.881","0"
"2018","9 points (D*D*D)","All","Wales","Male","All","Main scheme application","40","35","0.854","0"
"2019","9 points (D*D*D)","All","Wales","Male","All","Main scheme application","40","35","0.921","0"
"2020","9 points (D*D*D)","All","Wales","Male","All","Main scheme application","25","20","0.875","0"
"2021","9 points (D*D*D)","All","Wales","Male","All","Main scheme application","35","35","0.9430000000000001","0"
"2022","9 points (D*D*D)","All","Wales","Male","All","Main scheme application","40","30","0.8","0"
"2023","9 points (D*D*D)","All","Wales","Male","All","Main scheme application","35","30","0.848","0"
"2012","10 points (D*D*D*)","All","Northern Ireland","Male","All","Main scheme application","35","35","0.917","0"
"2013","10 points (D*D*D*)","All","Northern Ireland","Male","All","Main scheme application","40","30","0.737","0"
"2014","10 points (D*D*D*)","All","Northern Ireland","Male","All","Main scheme application","40","35","0.9","0"
"2015","10 points (D*D*D*)","All","Northern Ireland","Male","All","Main scheme application","55","50","0.891","0"
"2016","10 points (D*D*D*)","All","Northern Ireland","Male","All","Main scheme application","55","45","0.8180000000000001","0"
"2017","10 points (D*D*D*)","All","Northern Ireland","Male","All","Main scheme application","55","50","0.927","0"
"2018","10 points (D*D*D*)","All","Northern Ireland","Male","All","Main scheme application","75","60","0.787","0"
"2019","10 points (D*D*D*)","All","Northern Ireland","Male","All","Main scheme application","40","30","0.738","0"
"2020","10 points (D*D*D*)","All","Northern Ireland","Male","All","Main scheme application","45","40","0.93","0"
"2021","10 points (D*D*D*)","All","Northern Ireland","Male","All","Main scheme application","70","55","0.761","0"
"2022","10 points (D*D*D*)","All","Northern Ireland","Male","All","Main scheme application","35","25","0.758","0"
"2023","10 points (D*D*D*)","All","Northern Ireland","Male","All","Main scheme application","20","15","0.65","0"
"2011","10 points (D*D*D*)","All","England","Male","All","Main scheme application","20","20","0.905","0"
"2012","10 points (D*D*D*)","All","England","Male","All","Main scheme application","1760","1480","0.839","0"
"2013","10 points (D*D*D*)","All","England","Male","All","Main scheme application","2050","1770","0.863","0"
"2014","10 points (D*D*D*)","All","England","Male","All","Main scheme application","2605","2255","0.864","0"
"2015","10 points (D*D*D*)","All","England","Male","All","Main scheme application","3010","2525","0.838","0"
"2016","10 points (D*D*D*)","All","England","Male","All","Main scheme application","2985","2555","0.855","0"
"2017","10 points (D*D*D*)","All","England","Male","All","Main scheme application","3330","2775","0.833","0"
"2018","10 points (D*D*D*)","All","England","Male","All","Main scheme application","2795","2350","0.84","0"
"2019","10 points (D*D*D*)","All","England","Male","All","Main scheme application","2325","1945","0.837","0"
"2020","10 points (D*D*D*)","All","England","Male","All","Main scheme application","2755","2315","0.841","0"
"2021","10 points (D*D*D*)","All","England","Male","All","Main scheme application","3150","2590","0.8230000000000001","0"
"2022","10 points (D*D*D*)","All","England","Male","All","Main scheme application","1505","1190","0.789","0"
"2023","10 points (D*D*D*)","All","England","Male","All","Main scheme application","1000","780","0.78","0"
"2012","10 points (D*D*D*)","All","Wales","Male","All","Main scheme application","50","40","0.78","0"
"2013","10 points (D*D*D*)","All","Wales","Male","All","Main scheme application","70","65","0.875","0"
"2014","10 points (D*D*D*)","All","Wales","Male","All","Main scheme application","75","65","0.877","0"
"2015","10 points (D*D*D*)","All","Wales","Male","All","Main scheme application","75","70","0.921","0"
"2016","10 points (D*D*D*)","All","Wales","Male","All","Main scheme application","75","65","0.8310000000000001","0"
"2017","10 points (D*D*D*)","All","Wales","Male","All","Main scheme application","75","70","0.9460000000000001","0"
"2018","10 points (D*D*D*)","All","Wales","Male","All","Main scheme application","105","90","0.849","0"
"2019","10 points (D*D*D*)","All","Wales","Male","All","Main scheme application","80","70","0.9","0"
"2020","10 points (D*D*D*)","All","Wales","Male","All","Main scheme application","75","65","0.855","0"
"2021","10 points (D*D*D*)","All","Wales","Male","All","Main scheme application","75","60","0.753","0"
"2022","10 points (D*D*D*)","All","Wales","Male","All","Main scheme application","40","35","0.854","0"
"2023","10 points (D*D*D*)","All","Wales","Male","All","Main scheme application","20","15","0.636","0"
"2010","All","All","Northern Ireland","Female","All","Not main scheme application","15","10","0.588","0"
"2011","All","All","Northern Ireland","Female","All","Not main scheme application","25","15","0.593","0"
"2012","All","All","Northern Ireland","Female","All","Not main scheme application","25","15","0.625","0"
"2013","All","All","Northern Ireland","Female","All","Not main scheme application","20","10","0.6","0"
"2014","All","All","Northern Ireland","Female","All","Not main scheme application","20","15","0.778","0"
"2015","All","All","Northern Ireland","Female","All","Not main scheme application","20","10","0.5710000000000001","0"
"2016","All","All","Northern Ireland","Female","All","Not main scheme application","25","10","0.48","0"
"2017","All","All","Northern Ireland","Female","All","Not main scheme application","25","15","0.739","0"
"2018","All","All","Northern Ireland","Female","All","Not main scheme application","25","15","0.625","0"
"2019","All","All","Northern Ireland","Female","All","Not main scheme application","25","15","0.739","0"
"2020","All","All","Northern Ireland","Female","All","Not main scheme application","15","15","0.8130000000000001","0"
"2021","All","All","Northern Ireland","Female","All","Not main scheme application","30","20","0.656","0"
"2022","All","All","Northern Ireland","Female","All","Not main scheme application","40","35","0.805","0"
"2023","All","All","Northern Ireland","Female","All","Not main scheme application","25","20","0.87","0"
"2010","All","All","England","Female","All","Not main scheme application","955","680","0.711","25"
"2011","All","All","England","Female","All","Not main scheme application","1270","905","0.713","30"
"2012","All","All","England","Female","All","Not main scheme application","1225","875","0.713","0"
"2013","All","All","England","Female","All","Not main scheme application","1280","960","0.752","0"
"2014","All","All","England","Female","All","Not main scheme application","1440","1100","0.765","0"
"2015","All","All","England","Female","All","Not main scheme application","1670","1305","0.784","0"
"2016","All","All","England","Female","All","Not main scheme application","1480","1160","0.784","0"
"2017","All","All","England","Female","All","Not main scheme application","1195","1015","0.85","0"
"2018","All","All","England","Female","All","Not main scheme application","1100","980","0.89","0"
"2019","All","All","England","Female","All","Not main scheme application","1045","915","0.875","0"
"2020","All","All","England","Female","All","Not main scheme application","1100","1000","0.911","0"
"2021","All","All","England","Female","All","Not main scheme application","1475","1285","0.87","0"
"2022","All","All","England","Female","All","Not main scheme application","1370","1175","0.858","0"
"2023","All","All","England","Female","All","Not main scheme application","1240","1110","0.897","0"
"2010","All","All","Scotland","Female","All","Not main scheme application","5","5"," ","0"
"2011","All","All","Scotland","Female","All","Not main scheme application","5","0"," ","0"
"2010","All","All","Wales","Female","All","Not main scheme application","40","35","0.921","0"
"2011","All","All","Wales","Female","All","Not main scheme application","50","35","0.72","0"
"2012","All","All","Wales","Female","All","Not main scheme application","25","20","0.778","0"
"2013","All","All","Wales","Female","All","Not main scheme application","45","30","0.674","0"
"2014","All","All","Wales","Female","All","Not main scheme application","45","35","0.783","0"
"2015","All","All","Wales","Female","All","Not main scheme application","55","40","0.722","0"
"2016","All","All","Wales","Female","All","Not main scheme application","60","45","0.783","0"
"2017","All","All","Wales","Female","All","Not main scheme application","65","55","0.889","0"
"2018","All","All","Wales","Female","All","Not main scheme application","45","35","0.837","0"
"2019","All","All","Wales","Female","All","Not main scheme application","20","20","1","0"
"2020","All","All","Wales","Female","All","Not main scheme application","55","40","0.792","0"
"2021","All","All","Wales","Female","All","Not main scheme application","55","40","0.774","0"
"2022","All","All","Wales","Female","All","Not main scheme application","50","45","0.8270000000000001","0"
"2023","All","All","Wales","Female","All","Not main scheme application","15","15","0.882","0"
"2010","All","All","Northern Ireland","Male","All","Not main scheme application","25","20","0.88","0"
"2011","All","All","Northern Ireland","Male","All","Not main scheme application","15","10"," ","0"
"2012","All","All","Northern Ireland","Male","All","Not main scheme application","10","10"," ","0"
"2013","All","All","Northern Ireland","Male","All","Not main scheme application","5","0"," ","0"
"2014","All","All","Northern Ireland","Male","All","Not main scheme application","10","5"," ","0"
"2015","All","All","Northern Ireland","Male","All","Not main scheme application","10","5"," ","0"
"2016","All","All","Northern Ireland","Male","All","Not main scheme application","10","10"," ","0"
"2017","All","All","Northern Ireland","Male","All","Not main scheme application","15","10"," ","0"
"2018","All","All","Northern Ireland","Male","All","Not main scheme application","10","10"," ","0"
"2019","All","All","Northern Ireland","Male","All","Not main scheme application","15","10"," ","0"
"2020","All","All","Northern Ireland","Male","All","Not main scheme application","25","15","0.68","0"
"2021","All","All","Northern Ireland","Male","All","Not main scheme application","20","15","0.778","0"
"2022","All","All","Northern Ireland","Male","All","Not main scheme application","15","15","0.929","0"
"2023","All","All","Northern Ireland","Male","All","Not main scheme application","15","10"," ","0"
"2010","All","All","England","Male","All","Not main scheme application","740","620","0.837","25"
"2011","All","All","England","Male","All","Not main scheme application","805","665","0.8280000000000001","25"
"2012","All","All","England","Male","All","Not main scheme application","775","700","0.901","0"
"2013","All","All","England","Male","All","Not main scheme application","740","675","0.915","0"
"2014","All","All","England","Male","All","Not main scheme application","790","705","0.891","0"
"2015","All","All","England","Male","All","Not main scheme application","850","785","0.925","0"
"2016","All","All","England","Male","All","Not main scheme application","915","840","0.917","0"
"2017","All","All","England","Male","All","Not main scheme application","840","775","0.926","0"
"2018","All","All","England","Male","All","Not main scheme application","775","735","0.9430000000000001","0"
"2019","All","All","England","Male","All","Not main scheme application","810","770","0.9480000000000001","0"
"2020","All","All","England","Male","All","Not main scheme application","920","860","0.933","0"
"2021","All","All","England","Male","All","Not main scheme application","1085","1020","0.9410000000000001","0"
"2022","All","All","England","Male","All","Not main scheme application","1130","1030","0.912","0"
"2023","All","All","England","Male","All","Not main scheme application","1055","980","0.931","0"
"2010","All","All","Wales","Male","All","Not main scheme application","30","25","0.839","0"
"2011","All","All","Wales","Male","All","Not main scheme application","30","25","0.931","0"
"2012","All","All","Wales","Male","All","Not main scheme application","25","25","0.889","0"
"2013","All","All","Wales","Male","All","Not main scheme application","20","15","0.9440000000000001","0"
"2014","All","All","Wales","Male","All","Not main scheme application","20","20","0.9520000000000001","0"
"2015","All","All","Wales","Male","All","Not main scheme application","25","25","1","0"
"2016","All","All","Wales","Male","All","Not main scheme application","35","35","0.972","0"
"2017","All","All","Wales","Male","All","Not main scheme application","25","25","0.923","0"
"2018","All","All","Wales","Male","All","Not main scheme application","30","30","0.903","0"
"2019","All","All","Wales","Male","All","Not main scheme application","20","20","0.9470000000000001","0"
"2020","All","All","Wales","Male","All","Not main scheme application","15","15","0.8130000000000001","0"
"2021","All","All","Wales","Male","All","Not main scheme application","30","20","0.759","0"
"2022","All","All","Wales","Male","All","Not main scheme application","35","30","0.909","0"
"2023","All","All","Wales","Male","All","Not main scheme application","30","25","0.931","0"
"2010","All","All","Northern Ireland","Female","All","Main scheme application","335","195","0.581","0"
"2011","All","All","Northern Ireland","Female","All","Main scheme application","300","160","0.528","0"
"2012","All","All","Northern Ireland","Female","All","Main scheme application","260","140","0.529","0"
"2013","All","All","Northern Ireland","Female","All","Main scheme application","215","105","0.495","0"
"2014","All","All","Northern Ireland","Female","All","Main scheme application","220","130","0.601","0"
"2015","All","All","Northern Ireland","Female","All","Main scheme application","240","135","0.558","0"
"2016","All","All","Northern Ireland","Female","All","Main scheme application","245","150","0.612","0"
"2017","All","All","Northern Ireland","Female","All","Main scheme application","240","140","0.597","0"
"2018","All","All","Northern Ireland","Female","All","Main scheme application","230","145","0.629","0"
"2019","All","All","Northern Ireland","Female","All","Main scheme application","235","140","0.582","0"
"2020","All","All","Northern Ireland","Female","All","Main scheme application","290","210","0.72","0"
"2021","All","All","Northern Ireland","Female","All","Main scheme application","295","170","0.5730000000000001","0"
"2022","All","All","Northern Ireland","Female","All","Main scheme application","250","135","0.536","0"
"2023","All","All","Northern Ireland","Female","All","Main scheme application","190","115","0.594","0"
"2010","All","All","England","Female","All","Main scheme application","12335","8355","0.678","0"
"2011","All","All","England","Female","All","Main scheme application","12160","8210","0.675","0"
"2012","All","All","England","Female","All","Main scheme application","11795","7870","0.667","0"
"2013","All","All","England","Female","All","Main scheme application","12650","8670","0.685","0"
"2014","All","All","England","Female","All","Main scheme application","13885","9725","0.7010000000000001","0"
"2015","All","All","England","Female","All","Main scheme application","14365","10075","0.7010000000000001","0"
"2016","All","All","England","Female","All","Main scheme application","13275","9430","0.71","0"
"2017","All","All","England","Female","All","Main scheme application","12255","9125","0.745","0"
"2018","All","All","England","Female","All","Main scheme application","11805","8830","0.748","0"
"2019","All","All","England","Female","All","Main scheme application","11170","8420","0.754","0"
"2020","All","All","England","Female","All","Main scheme application","12105","9475","0.783","0"
"2021","All","All","England","Female","All","Main scheme application","13600","10065","0.74","0"
"2022","All","All","England","Female","All","Main scheme application","12480","8925","0.715","0"
"2023","All","All","England","Female","All","Main scheme application","10795","7685","0.712","0"
"2010","All","All","Scotland","Female","All","Main scheme application","35","30","0.811","0"
"2011","All","All","Scotland","Female","All","Main scheme application","15","10"," ","0"
"2014","All","All","Scotland","Female","All","Main scheme application","5","5"," ","0"
"2010","All","All","Wales","Female","All","Main scheme application","585","415","0.713","0"
"2011","All","All","Wales","Female","All","Main scheme application","580","395","0.685","0"
"2012","All","All","Wales","Female","All","Main scheme application","530","375","0.705","0"
"2013","All","All","Wales","Female","All","Main scheme application","500","350","0.7010000000000001","0"
"2014","All","All","Wales","Female","All","Main scheme application","625","445","0.712","0"
"2015","All","All","Wales","Female","All","Main scheme application","610","455","0.747","0"
"2016","All","All","Wales","Female","All","Main scheme application","575","410","0.707","0"
"2017","All","All","Wales","Female","All","Main scheme application","580","415","0.718","0"
"2018","All","All","Wales","Female","All","Main scheme application","645","490","0.757","0"
"2019","All","All","Wales","Female","All","Main scheme application","480","405","0.84","0"
"2020","All","All","Wales","Female","All","Main scheme application","575","440","0.765","0"
"2021","All","All","Wales","Female","All","Main scheme application","640","470","0.734","0"
"2022","All","All","Wales","Female","All","Main scheme application","455","305","0.673","0"
"2023","All","All","Wales","Female","All","Main scheme application","260","200","0.765","0"
"2010","All","All","Northern Ireland","Male","All","Main scheme application","370","235","0.641","0"
"2011","All","All","Northern Ireland","Male","All","Main scheme application","315","195","0.609","0"
"2012","All","All","Northern Ireland","Male","All","Main scheme application","250","165","0.652","0"
"2013","All","All","Northern Ireland","Male","All","Main scheme application","280","180","0.643","0"
"2014","All","All","Northern Ireland","Male","All","Main scheme application","270","175","0.652","0"
"2015","All","All","Northern Ireland","Male","All","Main scheme application","370","255","0.686","0"
"2016","All","All","Northern Ireland","Male","All","Main scheme application","345","230","0.668","0"
"2017","All","All","Northern Ireland","Male","All","Main scheme application","280","190","0.675","0"
"2018","All","All","Northern Ireland","Male","All","Main scheme application","300","195","0.645","0"
"2019","All","All","Northern Ireland","Male","All","Main scheme application","265","165","0.623","0"
"2020","All","All","Northern Ireland","Male","All","Main scheme application","290","200","0.682","0"
"2021","All","All","Northern Ireland","Male","All","Main scheme application","305","195","0.643","0"
"2022","All","All","Northern Ireland","Male","All","Main scheme application","300","185","0.612","0"
"2023","All","All","Northern Ireland","Male","All","Main scheme application","250","150","0.605","0"
"2010","All","All","England","Male","All","Main scheme application","10320","7640","0.74","0"
"2011","All","All","England","Male","All","Main scheme application","10420","7925","0.76","0"
"2012","All","All","England","Male","All","Main scheme application","9890","7395","0.747","0"
"2013","All","All","England","Male","All","Main scheme application","10795","8440","0.782","0"
"2014","All","All","England","Male","All","Main scheme application","12510","9825","0.785","0"
"2015","All","All","England","Male","All","Main scheme application","12750","10065","0.789","0"
"2016","All","All","England","Male","All","Main scheme application","12560","10010","0.797","0"
"2017","All","All","England","Male","All","Main scheme application","11910","9460","0.794","0"
"2018","All","All","England","Male","All","Main scheme application","10920","8745","0.801","0"
"2019","All","All","England","Male","All","Main scheme application","10240","8110","0.792","0"
"2020","All","All","England","Male","All","Main scheme application","11030","8900","0.807","0"
"2021","All","All","England","Male","All","Main scheme application","12515","9730","0.778","0"
"2022","All","All","England","Male","All","Main scheme application","11565","8500","0.735","0"
"2023","All","All","England","Male","All","Main scheme application","10875","7950","0.731","0"
"2010","All","All","Scotland","Male","All","Main scheme application","25","20","0.783","0"
"2011","All","All","Scotland","Male","All","Main scheme application","5","5"," ","0"
"2012","All","All","Scotland","Male","All","Main scheme application","5","5"," ","0"
"2015","All","All","Scotland","Male","All","Main scheme application","5","5"," ","0"
"2017","All","All","Scotland","Male","All","Main scheme application","5","5"," ","0"
"2022","All","All","Scotland","Male","All","Main scheme application","5","0"," ","0"
"2010","All","All","Wales","Male","All","Main scheme application","520","395","0.754","0"
"2011","All","All","Wales","Male","All","Main scheme application","475","345","0.725","0"
"2012","All","All","Wales","Male","All","Main scheme application","445","330","0.744","0"
"2013","All","All","Wales","Male","All","Main scheme application","445","370","0.834","0"
"2014","All","All","Wales","Male","All","Main scheme application","500","405","0.81","0"
"2015","All","All","Wales","Male","All","Main scheme application","565","450","0.796","0"
"2016","All","All","Wales","Male","All","Main scheme application","545","430","0.788","0"
"2017","All","All","Wales","Male","All","Main scheme application","495","395","0.796","0"
"2018","All","All","Wales","Male","All","Main scheme application","600","485","0.81","0"
"2019","All","All","Wales","Male","All","Main scheme application","450","370","0.8200000000000001","0"
"2020","All","All","Wales","Male","All","Main scheme application","445","375","0.847","0"
"2021","All","All","Wales","Male","All","Main scheme application","475","370","0.775","0"
"2022","All","All","Wales","Male","All","Main scheme application","430","305","0.7010000000000001","0"
"2023","All","All","Wales","Male","All","Main scheme application","410","300","0.723","0"
"2010","1 point (PPP)","18","All","Female","All","Not main scheme application","70","40","0.609","5"
"2011","1 point (PPP)","18","All","Female","All","Not main scheme application","65","40","0.656","0"
"2012","1 point (PPP)","18","All","Female","All","Not main scheme application","75","45","0.5660000000000001","0"
"2013","1 point (PPP)","18","All","Female","All","Not main scheme application","75","50","0.658","0"
"2014","1 point (PPP)","18","All","Female","All","Not main scheme application","70","60","0.87","0"
"2015","1 point (PPP)","18","All","Female","All","Not main scheme application","45","30","0.711","0"
"2016","1 point (PPP)","18","All","Female","All","Not main scheme application","45","30","0.6890000000000001","0"
"2017","1 point (PPP)","18","All","Female","All","Not main scheme application","30","25","0.8280000000000001","0"
"2018","1 point (PPP)","18","All","Female","All","Not main scheme application","30","25","0.867","0"
"2019","1 point (PPP)","18","All","Female","All","Not main scheme application","30","25","0.839","0"
"2020","1 point (PPP)","18","All","Female","All","Not main scheme application","35","35","0.919","0"
"2021","1 point (PPP)","18","All","Female","All","Not main scheme application","75","60","0.849","0"
"2022","1 point (PPP)","18","All","Female","All","Not main scheme application","50","45","0.902","0"
"2023","1 point (PPP)","18","All","Female","All","Not main scheme application","60","50","0.8170000000000001","0"
"2010","2 points (MPP)","18","All","Female","All","Not main scheme application","105","60","0.592","0"
"2011","2 points (MPP)","18","All","Female","All","Not main scheme application","80","45","0.59","5"
"2012","2 points (MPP)","18","All","Female","All","Not main scheme application","95","70","0.729","0"
"2013","2 points (MPP)","18","All","Female","All","Not main scheme application","65","45","0.672","0"
"2014","2 points (MPP)","18","All","Female","All","Not main scheme application","80","65","0.8130000000000001","0"
"2015","2 points (MPP)","18","All","Female","All","Not main scheme application","85","70","0.8210000000000001","0"
"2016","2 points (MPP)","18","All","Female","All","Not main scheme application","55","50","0.86","0"
"2017","2 points (MPP)","18","All","Female","All","Not main scheme application","40","35","0.857","0"
"2018","2 points (MPP)","18","All","Female","All","Not main scheme application","50","40","0.837","0"
"2019","2 points (MPP)","18","All","Female","All","Not main scheme application","45","35","0.795","0"
"2020","2 points (MPP)","18","All","Female","All","Not main scheme application","50","45","0.9400000000000001","0"
"2021","2 points (MPP)","18","All","Female","All","Not main scheme application","85","75","0.905","0"
"2022","2 points (MPP)","18","All","Female","All","Not main scheme application","80","65","0.788","0"
"2023","2 points (MPP)","18","All","Female","All","Not main scheme application","90","85","0.9460000000000001","0"
"2010","3 points (MMP)","18","All","Female","All","Not main scheme application","100","80","0.792","5"
"2011","3 points (MMP)","18","All","Female","All","Not main scheme application","110","75","0.676","5"
"2012","3 points (MMP)","18","All","Female","All","Not main scheme application","80","65","0.793","0"
"2013","3 points (MMP)","18","All","Female","All","Not main scheme application","85","70","0.791","0"
"2014","3 points (MMP)","18","All","Female","All","Not main scheme application","95","70","0.763","0"
"2015","3 points (MMP)","18","All","Female","All","Not main scheme application","80","65","0.838","0"
"2016","3 points (MMP)","18","All","Female","All","Not main scheme application","90","70","0.758","0"
"2017","3 points (MMP)","18","All","Female","All","Not main scheme application","60","55","0.887","0"
