"Year","Acceptance route","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Accepted applicants"
"2023","Main scheme firm choice","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","5"
"2023","Main scheme firm choice","20","Northern Ireland","Female","Main scheme applicant","Main scheme application","5"
"2019","Main scheme firm choice","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","5"
"2020","Main scheme firm choice","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","15"
"2021","Main scheme firm choice","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","15"
"2022","Main scheme firm choice","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","5"
"2023","Main scheme firm choice","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","5"
"2019","Main scheme firm choice","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","15"
"2020","Main scheme firm choice","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","15"
"2021","Main scheme firm choice","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","15"
"2022","Main scheme firm choice","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","10"
"2023","Main scheme firm choice","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","5"
"2019","Main scheme firm choice","30 - 34","Northern Ireland","Female","Main scheme applicant","Main scheme application","5"
"2020","Main scheme firm choice","30 - 34","Northern Ireland","Female","Main scheme applicant","Main scheme application","10"
"2021","Main scheme firm choice","30 - 34","Northern Ireland","Female","Main scheme applicant","Main scheme application","20"
"2022","Main scheme firm choice","30 - 34","Northern Ireland","Female","Main scheme applicant","Main scheme application","15"
"2023","Main scheme firm choice","30 - 34","Northern Ireland","Female","Main scheme applicant","Main scheme application","10"
"2019","Main scheme firm choice","35 and over","Northern Ireland","Female","Main scheme applicant","Main scheme application","15"
"2020","Main scheme firm choice","35 and over","Northern Ireland","Female","Main scheme applicant","Main scheme application","10"
"2021","Main scheme firm choice","35 and over","Northern Ireland","Female","Main scheme applicant","Main scheme application","10"
"2022","Main scheme firm choice","35 and over","Northern Ireland","Female","Main scheme applicant","Main scheme application","15"
"2023","Main scheme firm choice","35 and over","Northern Ireland","Female","Main scheme applicant","Main scheme application","5"
"2019","Other main scheme choice","18","England","Female","Main scheme applicant","Main scheme application","10"
"2020","Other main scheme choice","18","England","Female","Main scheme applicant","Main scheme application","10"
"2021","Other main scheme choice","18","England","Female","Main scheme applicant","Main scheme application","20"
"2022","Other main scheme choice","18","England","Female","Main scheme applicant","Main scheme application","15"
"2023","Other main scheme choice","18","England","Female","Main scheme applicant","Main scheme application","10"
"2019","Main scheme firm choice","18","England","Female","Main scheme applicant","Main scheme application","645"
"2020","Main scheme firm choice","18","England","Female","Main scheme applicant","Main scheme application","870"
