"Year","UK region declared county of residence","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2020","West Midlands","19","All","Female","Not main scheme applicant","Not main scheme application","425","400","0.9430000000000001","15"
"2021","West Midlands","19","All","Female","Not main scheme applicant","Not main scheme application","335","315","0.937","20"
"2022","West Midlands","19","All","Female","Not main scheme applicant","Not main scheme application","400","365","0.908","20"
"2023","West Midlands","19","All","Female","Not main scheme applicant","Not main scheme application","485","450","0.93","35"
"2006","North West","19","All","Female","Not main scheme applicant","Not main scheme application","290","280","0.976","25"
"2007","North West","19","All","Female","Not main scheme applicant","Not main scheme application","330","325","0.982","30"
"2008","North West","19","All","Female","Not main scheme applicant","Not main scheme application","390","385","0.982","35"
"2009","North West","19","All","Female","Not main scheme applicant","Not main scheme application","320","305","0.9440000000000001","45"
"2010","North West","19","All","Female","Not main scheme applicant","Not main scheme application","215","205","0.9530000000000001","35"
"2011","North West","19","All","Female","Not main scheme applicant","Not main scheme application","150","135","0.907","35"
"2012","North West","19","All","Female","Not main scheme applicant","Not main scheme application","195","190","0.9540000000000001","15"
"2013","North West","19","All","Female","Not main scheme applicant","Not main scheme application","270","260","0.978","20"
"2014","North West","19","All","Female","Not main scheme applicant","Not main scheme application","270","255","0.9550000000000001","25"
"2015","North West","19","All","Female","Not main scheme applicant","Not main scheme application","335","315","0.9460000000000001","15"
"2016","North West","19","All","Female","Not main scheme applicant","Not main scheme application","310","295","0.961","25"
"2017","North West","19","All","Female","Not main scheme applicant","Not main scheme application","400","380","0.9500000000000001","15"
"2018","North West","19","All","Female","Not main scheme applicant","Not main scheme application","415","395","0.9420000000000001","20"
"2019","North West","19","All","Female","Not main scheme applicant","Not main scheme application","500","470","0.9400000000000001","25"
"2020","North West","19","All","Female","Not main scheme applicant","Not main scheme application","485","465","0.9570000000000001","30"
"2021","North West","19","All","Female","Not main scheme applicant","Not main scheme application","375","360","0.963","15"
"2022","North West","19","All","Female","Not main scheme applicant","Not main scheme application","400","370","0.925","25"
"2023","North West","19","All","Female","Not main scheme applicant","Not main scheme application","555","515","0.923","30"
"2006","Scotland","19","All","Female","Not main scheme applicant","Not main scheme application","155","150","0.987","10"
"2007","Scotland","19","All","Female","Not main scheme applicant","Not main scheme application","145","145","0.993","20"
"2008","Scotland","19","All","Female","Not main scheme applicant","Not main scheme application","240","235","0.971","15"
"2009","Scotland","19","All","Female","Not main scheme applicant","Not main scheme application","280","275","0.979","15"
"2010","Scotland","19","All","Female","Not main scheme applicant","Not main scheme application","225","220","0.987","20"
"2011","Scotland","19","All","Female","Not main scheme applicant","Not main scheme application","95","95","0.979","15"
"2012","Scotland","19","All","Female","Not main scheme applicant","Not main scheme application","160","160","0.994","15"
"2013","Scotland","19","All","Female","Not main scheme applicant","Not main scheme application","155","150","0.981","10"
"2014","Scotland","19","All","Female","Not main scheme applicant","Not main scheme application","40","35","0.974","10"
"2015","Scotland","19","All","Female","Not main scheme applicant","Not main scheme application","170","165","0.971","5"
"2016","Scotland","19","All","Female","Not main scheme applicant","Not main scheme application","165","160","0.9580000000000001","10"
"2017","Scotland","19","All","Female","Not main scheme applicant","Not main scheme application","190","185","0.979","15"
"2018","Scotland","19","All","Female","Not main scheme applicant","Not main scheme application","200","190","0.9490000000000001","10"
"2019","Scotland","19","All","Female","Not main scheme applicant","Not main scheme application","160","155","0.962","15"
"2020","Scotland","19","All","Female","Not main scheme applicant","Not main scheme application","190","185","0.984","20"
"2021","Scotland","19","All","Female","Not main scheme applicant","Not main scheme application","130","125","0.9390000000000001","10"
"2022","Scotland","19","All","Female","Not main scheme applicant","Not main scheme application","180","160","0.89","20"
"2023","Scotland","19","All","Female","Not main scheme applicant","Not main scheme application","230","210","0.914","25"
"2006","London","19","All","Female","Not main scheme applicant","Not main scheme application","350","345","0.989","50"
"2007","London","19","All","Female","Not main scheme applicant","Not main scheme application","375","365","0.973","45"
"2008","London","19","All","Female","Not main scheme applicant","Not main scheme application","460","455","0.983","70"
"2009","London","19","All","Female","Not main scheme applicant","Not main scheme application","375","355","0.9470000000000001","60"
"2010","London","19","All","Female","Not main scheme applicant","Not main scheme application","245","235","0.9510000000000001","70"
"2011","London","19","All","Female","Not main scheme applicant","Not main scheme application","285","255","0.891","65"
"2012","London","19","All","Female","Not main scheme applicant","Not main scheme application","435","415","0.9500000000000001","60"
"2013","London","19","All","Female","Not main scheme applicant","Not main scheme application","475","440","0.924","55"
"2014","London","19","All","Female","Not main scheme applicant","Not main scheme application","505","470","0.923","45"
"2015","London","19","All","Female","Not main scheme applicant","Not main scheme application","610","570","0.936","60"
"2016","London","19","All","Female","Not main scheme applicant","Not main scheme application","625","575","0.925","50"
