"Year","Refugee and asylum seeker status","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","No","18","Scotland","Female","Main scheme applicant","Not main scheme application","595","470","0.789","0"
"2023","No","18","Wales","Female","Main scheme applicant","Not main scheme application","695","635","0.914","0"
"2023","The UK government has granted me refugee status or  humanitarian protection in the UK","18","England","Female","Main scheme applicant","Not main scheme application","115","105","0.906","0"
"2023","The UK government has granted me refugee status or  humanitarian protection in the UK","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","The UK government has granted me refugee status or  humanitarian protection in the UK","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","I have limited or discretionary leave to remain in the UK","18","England","Female","Main scheme applicant","Not main scheme application","170","150","0.887","0"
"2023","I have limited or discretionary leave to remain in the UK","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","I have limited or discretionary leave to remain in the UK","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","I'm currently seeking asylum in the UK","18","England","Female","Main scheme applicant","Not main scheme application","15","10","0.857","0"
"2023","I'm currently seeking asylum in the UK","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Not declared","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","18","England","Female","Main scheme applicant","Not main scheme application","220","200","0.908","0"
"2023","Not declared","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","No","19","Northern Ireland","Female","Main scheme applicant","Not main scheme application","155","125","0.795","0"
"2023","No","19","England","Female","Main scheme applicant","Not main scheme application","4785","4180","0.874","0"
"2023","No","19","Scotland","Female","Main scheme applicant","Not main scheme application","195","145","0.733","0"
"2023","No","19","Wales","Female","Main scheme applicant","Not main scheme application","175","155","0.879","0"
"2023","The UK government has granted me refugee status or  humanitarian protection in the UK","19","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","The UK government has granted me refugee status or  humanitarian protection in the UK","19","England","Female","Main scheme applicant","Not main scheme application","55","50","0.842","0"
"2023","The UK government has granted me refugee status or  humanitarian protection in the UK","19","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","The UK government has granted me refugee status or  humanitarian protection in the UK","19","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","I have limited or discretionary leave to remain in the UK","19","England","Female","Main scheme applicant","Not main scheme application","55","45","0.849","0"
"2023","I have limited or discretionary leave to remain in the UK","19","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","I have limited or discretionary leave to remain in the UK","19","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","I'm currently seeking asylum in the UK","19","England","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","19","England","Female","Main scheme applicant","Not main scheme application","95","85","0.866","0"
"2023","Not declared","19","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","No","20","Northern Ireland","Female","Main scheme applicant","Not main scheme application","45","35","0.783","0"
"2023","No","20","England","Female","Main scheme applicant","Not main scheme application","1385","1145","0.8290000000000001","0"
"2023","No","20","Scotland","Female","Main scheme applicant","Not main scheme application","100","75","0.716","0"
"2023","No","20","Wales","Female","Main scheme applicant","Not main scheme application","75","55","0.75","0"
"2023","The UK government has granted me refugee status or  humanitarian protection in the UK","20","England","Female","Main scheme applicant","Not main scheme application","35","30","0.97","0"
"2023","I have limited or discretionary leave to remain in the UK","20","England","Female","Main scheme applicant","Not main scheme application","30","25","0.75","0"
"2023","I have limited or discretionary leave to remain in the UK","20","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","I'm currently seeking asylum in the UK","20","England","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","Not declared","20","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","20","England","Female","Main scheme applicant","Not main scheme application","30","25","0.8130000000000001","0"
"2023","No","21 - 24","Northern Ireland","Female","Main scheme applicant","Not main scheme application","90","65","0.7000000000000001","0"
"2023","No","21 - 24","England","Female","Main scheme applicant","Not main scheme application","1640","1130","0.6910000000000001","0"
"2023","No","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","210","130","0.624","0"
"2023","No","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","90","70","0.78","0"
"2023","The UK government has granted me refugee status or  humanitarian protection in the UK","21 - 24","England","Female","Main scheme applicant","Not main scheme application","50","35","0.74","0"
"2023","The UK government has granted me refugee status or  humanitarian protection in the UK","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","The UK government has granted me refugee status or  humanitarian protection in the UK","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","I have limited or discretionary leave to remain in the UK","21 - 24","England","Female","Main scheme applicant","Not main scheme application","40","25","0.595","0"
"2023","I have limited or discretionary leave to remain in the UK","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","I'm currently seeking asylum in the UK","21 - 24","England","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","Not declared","21 - 24","England","Female","Main scheme applicant","Not main scheme application","45","30","0.6890000000000001","0"
