"Year","POLAR4 Quintile","Age group","Domicile","Gender","Registered for Clearing Plus","Placed at provider of interest through Clearing Plus","Placed on course of interest through Clearing Plus"
"2020","Quintile 2","21 - 24","Wales","Female","15","5","5"
"2021","Quintile 2","21 - 24","Wales","Female","10","5","5"
"2022","Quintile 2","21 - 24","Wales","Female","5","5","5"
"2023","Quintile 2","21 - 24","Wales","Female","5","5","5"
"2020","Quintile 3","21 - 24","Northern Ireland","Female","5","0","0"
"2021","Quintile 3","21 - 24","Northern Ireland","Female","5","0","0"
"2020","Quintile 3","21 - 24","England","Female","130","50","35"
"2021","Quintile 3","21 - 24","England","Female","95","45","40"
"2022","Quintile 3","21 - 24","England","Female","60","25","20"
"2023","Quintile 3","21 - 24","England","Female","120","40","25"
"2020","Quintile 3","21 - 24","Scotland","Female","15","5","5"
"2021","Quintile 3","21 - 24","Scotland","Female","10","5","0"
"2022","Quintile 3","21 - 24","Scotland","Female","5","0","0"
"2023","Quintile 3","21 - 24","Scotland","Female","10","5","0"
"2020","Quintile 3","21 - 24","Wales","Female","5","0","0"
"2021","Quintile 3","21 - 24","Wales","Female","5","0","0"
"2022","Quintile 3","21 - 24","Wales","Female","5","0","0"
"2023","Quintile 3","21 - 24","Wales","Female","5","0","0"
"2020","Quintile 4","21 - 24","Northern Ireland","Female","5","0","0"
"2021","Quintile 4","21 - 24","Northern Ireland","Female","5","0","0"
"2020","Quintile 4","21 - 24","England","Female","170","70","50"
"2021","Quintile 4","21 - 24","England","Female","125","35","30"
"2022","Quintile 4","21 - 24","England","Female","80","20","15"
"2023","Quintile 4","21 - 24","England","Female","110","30","25"
"2020","Quintile 4","21 - 24","Scotland","Female","25","10","5"
"2021","Quintile 4","21 - 24","Scotland","Female","15","5","5"
"2022","Quintile 4","21 - 24","Scotland","Female","5","0","0"
"2023","Quintile 4","21 - 24","Scotland","Female","10","5","0"
"2020","Quintile 4","21 - 24","Wales","Female","5","5","5"
"2021","Quintile 4","21 - 24","Wales","Female","5","0","0"
"2023","Quintile 4","21 - 24","Wales","Female","5","5","0"
"2020","Quintile 5","21 - 24","Northern Ireland","Female","5","5","5"
"2021","Quintile 5","21 - 24","Northern Ireland","Female","5","0","0"
"2020","Quintile 5","21 - 24","England","Female","110","45","30"
"2021","Quintile 5","21 - 24","England","Female","125","40","30"
"2022","Quintile 5","21 - 24","England","Female","55","25","15"
"2023","Quintile 5","21 - 24","England","Female","125","50","30"
"2020","Quintile 5","21 - 24","Scotland","Female","25","5","5"
"2021","Quintile 5","21 - 24","Scotland","Female","15","5","5"
