"Year","Predicted A level points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2015","9 point(s)","Quintile 1","All","Not main scheme application","130","125","0.9540000000000001","0"
"2016","9 point(s)","Quintile 1","All","Not main scheme application","135","120","0.869","0"
"2017","9 point(s)","Quintile 1","All","Not main scheme application","130","115","0.907","0"
"2018","9 point(s)","Quintile 1","All","Not main scheme application","110","100","0.917","0"
"2019","9 point(s)","Quintile 1","All","Not main scheme application","135","130","0.963","0"
"2020","9 point(s)","Quintile 1","All","Not main scheme application","140","130","0.9430000000000001","0"
"2021","9 point(s)","Quintile 1","All","Not main scheme application","105","95","0.913","0"
"2022","9 point(s)","Quintile 1","All","Not main scheme application","140","130","0.929","0"
"2023","9 point(s)","Quintile 1","All","Not main scheme application","125","120","0.9440000000000001","0"
"2010","10 point(s)","Quintile 1","All","Not main scheme application","190","165","0.873","0"
"2011","10 point(s)","Quintile 1","All","Not main scheme application","245","205","0.841","5"
"2012","10 point(s)","Quintile 1","All","Not main scheme application","190","170","0.885","0"
"2013","10 point(s)","Quintile 1","All","Not main scheme application","165","150","0.915","0"
"2014","10 point(s)","Quintile 1","All","Not main scheme application","205","190","0.917","0"
"2015","10 point(s)","Quintile 1","All","Not main scheme application","170","160","0.9400000000000001","0"
"2016","10 point(s)","Quintile 1","All","Not main scheme application","170","155","0.912","0"
"2017","10 point(s)","Quintile 1","All","Not main scheme application","175","170","0.977","0"
"2018","10 point(s)","Quintile 1","All","Not main scheme application","135","130","0.9490000000000001","0"
"2019","10 point(s)","Quintile 1","All","Not main scheme application","165","155","0.9510000000000001","0"
"2020","10 point(s)","Quintile 1","All","Not main scheme application","155","145","0.9480000000000001","0"
"2021","10 point(s)","Quintile 1","All","Not main scheme application","150","140","0.9390000000000001","0"
"2022","10 point(s)","Quintile 1","All","Not main scheme application","180","170","0.923","0"
"2023","10 point(s)","Quintile 1","All","Not main scheme application","160","150","0.9380000000000001","0"
"2010","11 point(s)","Quintile 1","All","Not main scheme application","165","145","0.902","0"
"2011","11 point(s)","Quintile 1","All","Not main scheme application","225","195","0.859","0"
"2012","11 point(s)","Quintile 1","All","Not main scheme application","225","200","0.902","0"
"2013","11 point(s)","Quintile 1","All","Not main scheme application","200","190","0.9410000000000001","0"
"2014","11 point(s)","Quintile 1","All","Not main scheme application","225","205","0.911","0"
"2015","11 point(s)","Quintile 1","All","Not main scheme application","260","230","0.881","0"
"2016","11 point(s)","Quintile 1","All","Not main scheme application","260","245","0.9430000000000001","0"
"2017","11 point(s)","Quintile 1","All","Not main scheme application","235","225","0.9530000000000001","0"
"2018","11 point(s)","Quintile 1","All","Not main scheme application","240","220","0.909","0"
"2019","11 point(s)","Quintile 1","All","Not main scheme application","235","225","0.962","0"
"2020","11 point(s)","Quintile 1","All","Not main scheme application","215","210","0.972","0"
"2021","11 point(s)","Quintile 1","All","Not main scheme application","185","170","0.934","0"
"2022","11 point(s)","Quintile 1","All","Not main scheme application","225","210","0.925","0"
"2023","11 point(s)","Quintile 1","All","Not main scheme application","275","250","0.916","0"
"2010","12 point(s)","Quintile 1","All","Not main scheme application","190","160","0.847","0"
"2011","12 point(s)","Quintile 1","All","Not main scheme application","250","225","0.892","0"
"2012","12 point(s)","Quintile 1","All","Not main scheme application","250","235","0.9440000000000001","0"
"2013","12 point(s)","Quintile 1","All","Not main scheme application","230","205","0.892","0"
"2014","12 point(s)","Quintile 1","All","Not main scheme application","250","235","0.929","0"
"2015","12 point(s)","Quintile 1","All","Not main scheme application","305","285","0.928","0"
"2016","12 point(s)","Quintile 1","All","Not main scheme application","325","305","0.93","0"
"2017","12 point(s)","Quintile 1","All","Not main scheme application","370","350","0.9510000000000001","0"
"2018","12 point(s)","Quintile 1","All","Not main scheme application","325","305","0.932","0"
"2019","12 point(s)","Quintile 1","All","Not main scheme application","365","345","0.9450000000000001","0"
"2020","12 point(s)","Quintile 1","All","Not main scheme application","350","335","0.963","0"
"2021","12 point(s)","Quintile 1","All","Not main scheme application","295","280","0.9560000000000001","0"
"2022","12 point(s)","Quintile 1","All","Not main scheme application","340","315","0.918","0"
"2023","12 point(s)","Quintile 1","All","Not main scheme application","335","315","0.9400000000000001","0"
"2010","13 point(s)","Quintile 1","All","Not main scheme application","170","160","0.935","0"
"2011","13 point(s)","Quintile 1","All","Not main scheme application","235","215","0.919","0"
"2012","13 point(s)","Quintile 1","All","Not main scheme application","205","190","0.913","0"
"2013","13 point(s)","Quintile 1","All","Not main scheme application","225","210","0.933","0"
"2014","13 point(s)","Quintile 1","All","Not main scheme application","300","280","0.93","0"
"2015","13 point(s)","Quintile 1","All","Not main scheme application","335","315","0.932","0"
"2016","13 point(s)","Quintile 1","All","Not main scheme application","335","315","0.935","0"
"2017","13 point(s)","Quintile 1","All","Not main scheme application","380","355","0.9420000000000001","0"
"2018","13 point(s)","Quintile 1","All","Not main scheme application","340","325","0.9530000000000001","0"
"2019","13 point(s)","Quintile 1","All","Not main scheme application","365","350","0.9560000000000001","0"
"2020","13 point(s)","Quintile 1","All","Not main scheme application","395","380","0.96","0"
"2021","13 point(s)","Quintile 1","All","Not main scheme application","270","260","0.963","0"
"2022","13 point(s)","Quintile 1","All","Not main scheme application","330","310","0.9420000000000001","0"
"2023","13 point(s)","Quintile 1","All","Not main scheme application","445","420","0.9410000000000001","0"
"2010","14 point(s)","Quintile 1","All","Not main scheme application","130","120","0.908","0"
