"Year","Subject group HECoS","Detailed subject group HECoS","POLAR4 Quintile","Main scheme applicant","Main scheme application","Accepted applicants"
"2021","(CAH11) computing","(CAH11-01-08) others in computing","Unknown","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH11) computing","(CAH11-01-08) others in computing","Unknown","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH11) computing","(CAH11-01-08) others in computing","Unknown","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH11) computing","(CAH11-01-07) business computing","Unknown","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH11) computing","(CAH11-01-07) business computing","Unknown","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH11) computing","(CAH11-01-06) computer games and animation","Unknown","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH11) computing","(CAH11-01-06) computer games and animation","Unknown","Not main scheme applicant","Not main scheme application","15"
"2022","(CAH11) computing","(CAH11-01-06) computer games and animation","Unknown","Not main scheme applicant","Not main scheme application","10"
"2019","(CAH11) computing","(CAH11-01-01) computer science","Unknown","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH11) computing","(CAH11-01-01) computer science","Unknown","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH11) computing","(CAH11-01-01) computer science","Unknown","Not main scheme applicant","Not main scheme application","20"
"2022","(CAH11) computing","(CAH11-01-01) computer science","Unknown","Not main scheme applicant","Not main scheme application","30"
"2023","(CAH11) computing","(CAH11-01-01) computer science","Unknown","Not main scheme applicant","Not main scheme application","30"
"2019","(CAH11) computing","(CAH11-01-02) information technology","Unknown","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH11) computing","(CAH11-01-02) information technology","Unknown","Not main scheme applicant","Not main scheme application","15"
"2022","(CAH11) computing","(CAH11-01-02) information technology","Unknown","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH11) computing","(CAH11-01-02) information technology","Unknown","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH11) computing","(CAH11-01-03) information systems","Unknown","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH11) computing","(CAH11-01-04) software engineering","Unknown","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH11) computing","(CAH11-01-04) software engineering","Unknown","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH11) computing","(CAH11-01-04) software engineering","Unknown","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH11) computing","(CAH11-01-04) software engineering","Unknown","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","Unknown","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","Unknown","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH07) physical sciences","(CAH07-02-01) chemistry","Unknown","Not main scheme applicant","Not main scheme application","5"
