"Year","POLAR4 Quintile","Age group","Domicile","Gender","Self-released","Applied after self-releasing","Placed after self-releasing"
"2022","Quintile 3","19","Scotland","Female","20","5","5"
"2023","Quintile 3","19","Scotland","Female","15","10","10"
"2019","Quintile 3","19","Wales","Female","25","20","20"
"2020","Quintile 3","19","Wales","Female","20","15","15"
"2021","Quintile 3","19","Wales","Female","25","15","15"
"2022","Quintile 3","19","Wales","Female","20","10","10"
"2023","Quintile 3","19","Wales","Female","15","15","15"
"2019","Quintile 4","19","Northern Ireland","Female","30","20","20"
"2020","Quintile 4","19","Northern Ireland","Female","20","10","10"
"2021","Quintile 4","19","Northern Ireland","Female","20","10","10"
"2022","Quintile 4","19","Northern Ireland","Female","15","5","5"
"2023","Quintile 4","19","Northern Ireland","Female","15","10","5"
"2019","Quintile 4","19","England","Female","520","440","435"
"2020","Quintile 4","19","England","Female","595","500","495"
"2021","Quintile 4","19","England","Female","480","360","355"
"2022","Quintile 4","19","England","Female","465","360","350"
"2023","Quintile 4","19","England","Female","520","370","365"
"2019","Quintile 4","19","Scotland","Female","10","10","10"
"2020","Quintile 4","19","Scotland","Female","15","10","10"
"2021","Quintile 4","19","Scotland","Female","20","5","5"
"2022","Quintile 4","19","Scotland","Female","20","10","10"
"2023","Quintile 4","19","Scotland","Female","25","10","10"
"2019","Quintile 4","19","Wales","Female","15","10","10"
"2020","Quintile 4","19","Wales","Female","20","15","15"
"2021","Quintile 4","19","Wales","Female","10","5","5"
"2022","Quintile 4","19","Wales","Female","15","10","10"
"2023","Quintile 4","19","Wales","Female","10","5","5"
"2019","Quintile 5","19","Northern Ireland","Female","40","20","20"
"2020","Quintile 5","19","Northern Ireland","Female","35","15","15"
"2021","Quintile 5","19","Northern Ireland","Female","20","15","15"
"2022","Quintile 5","19","Northern Ireland","Female","25","15","15"
"2023","Quintile 5","19","Northern Ireland","Female","30","15","15"
"2019","Quintile 5","19","England","Female","550","450","450"
"2020","Quintile 5","19","England","Female","715","610","600"
"2021","Quintile 5","19","England","Female","500","355","355"
"2022","Quintile 5","19","England","Female","520","345","335"
"2023","Quintile 5","19","England","Female","665","480","475"
"2019","Quintile 5","19","Scotland","Female","20","10","10"
"2020","Quintile 5","19","Scotland","Female","35","15","15"
"2021","Quintile 5","19","Scotland","Female","20","10","10"
"2022","Quintile 5","19","Scotland","Female","35","20","20"
"2023","Quintile 5","19","Scotland","Female","35","20","20"
"2019","Quintile 5","19","Wales","Female","15","10","10"
"2020","Quintile 5","19","Wales","Female","20","15","15"
"2021","Quintile 5","19","Wales","Female","15","10","10"
"2022","Quintile 5","19","Wales","Female","20","10","10"
"2023","Quintile 5","19","Wales","Female","15","10","10"
"2019","Quintile 1","20","Northern Ireland","Female","5","5","5"
"2020","Quintile 1","20","Northern Ireland","Female","10","5","5"
"2021","Quintile 1","20","Northern Ireland","Female","5","0","0"
"2022","Quintile 1","20","Northern Ireland","Female","5","0","0"
"2023","Quintile 1","20","Northern Ireland","Female","5","0","0"
"2019","Quintile 1","20","England","Female","60","55","55"
"2020","Quintile 1","20","England","Female","70","40","40"
"2021","Quintile 1","20","England","Female","85","70","65"
"2022","Quintile 1","20","England","Female","75","45","40"
"2023","Quintile 1","20","England","Female","80","55","50"
"2023","Quintile 1","20","Scotland","Female","5","0","0"
"2019","Quintile 1","20","Wales","Female","5","5","5"
"2020","Quintile 1","20","Wales","Female","5","0","0"
"2021","Quintile 1","20","Wales","Female","5","5","5"
"2022","Quintile 1","20","Wales","Female","10","5","5"
"2023","Quintile 1","20","Wales","Female","10","5","5"
"2019","Quintile 2","20","Northern Ireland","Female","5","5","5"
"2020","Quintile 2","20","Northern Ireland","Female","5","0","0"
"2021","Quintile 2","20","Northern Ireland","Female","10","5","5"
"2022","Quintile 2","20","Northern Ireland","Female","5","0","0"
"2023","Quintile 2","20","Northern Ireland","Female","5","0","0"
"2019","Quintile 2","20","England","Female","75","60","60"
"2020","Quintile 2","20","England","Female","95","75","75"
"2021","Quintile 2","20","England","Female","75","50","45"
"2022","Quintile 2","20","England","Female","100","60","55"
"2023","Quintile 2","20","England","Female","95","60","55"
"2019","Quintile 2","20","Scotland","Female","5","5","5"
"2020","Quintile 2","20","Scotland","Female","5","5","5"
"2022","Quintile 2","20","Scotland","Female","5","0","0"
"2023","Quintile 2","20","Scotland","Female","5","0","0"
"2019","Quintile 2","20","Wales","Female","5","5","5"
"2020","Quintile 2","20","Wales","Female","5","5","5"
"2021","Quintile 2","20","Wales","Female","5","5","5"
"2022","Quintile 2","20","Wales","Female","10","10","10"
"2023","Quintile 2","20","Wales","Female","5","5","5"
"2019","Quintile 3","20","Northern Ireland","Female","5","0","0"
"2021","Quintile 3","20","Northern Ireland","Female","5","0","0"
"2022","Quintile 3","20","Northern Ireland","Female","5","5","5"
"2023","Quintile 3","20","Northern Ireland","Female","5","0","0"
"2019","Quintile 3","20","England","Female","85","70","70"
"2020","Quintile 3","20","England","Female","125","100","95"
"2021","Quintile 3","20","England","Female","115","90","85"
"2022","Quintile 3","20","England","Female","95","50","50"
"2023","Quintile 3","20","England","Female","115","85","80"
"2019","Quintile 3","20","Scotland","Female","5","0","0"
"2021","Quintile 3","20","Scotland","Female","5","0","0"
"2022","Quintile 3","20","Scotland","Female","10","5","5"
