"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2019","UK","Wales","Wales","21 - 24","Female","Not main scheme applicant","Not main scheme application","10","10","0.909","0"
"2020","UK","Wales","Wales","21 - 24","Female","Not main scheme applicant","Not main scheme application","20","15","0.8","0"
"2021","UK","Wales","Wales","21 - 24","Female","Not main scheme applicant","Not main scheme application","15","10","0.667","0"
"2022","UK","Wales","Wales","21 - 24","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","UK","Wales","Wales","21 - 24","Female","Not main scheme applicant","Not main scheme application","15","15","0.875","0"
"2020","International","EU (excluding UK)","Ireland","21 - 24","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","International","EU (excluding UK)","Ireland","21 - 24","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","International","EU (excluding UK)","Ireland","21 - 24","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","International","Not EU","India","21 - 24","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","International","Not EU","Nepal","21 - 24","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","International","Not EU","Nepal","21 - 24","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","International","Not EU","Nigeria","21 - 24","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","International","Not EU","Nigeria","21 - 24","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","International","Not EU","Nigeria","21 - 24","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","International","Not EU","Nigeria","21 - 24","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","International","Not EU","Nigeria","21 - 24","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","International","Not EU","Not Known","21 - 24","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","International","Not EU","Not Known","21 - 24","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","UK","England","England","25 - 29","Female","Not main scheme applicant","Not main scheme application","305","255","0.8320000000000001","0"
"2020","UK","England","England","25 - 29","Female","Not main scheme applicant","Not main scheme application","465","385","0.8270000000000001","0"
"2021","UK","England","England","25 - 29","Female","Not main scheme applicant","Not main scheme application","270","235","0.857","0"
"2022","UK","England","England","25 - 29","Female","Not main scheme applicant","Not main scheme application","315","245","0.776","0"
"2023","UK","England","England","25 - 29","Female","Not main scheme applicant","Not main scheme application","325","255","0.788","0"
"2019","UK","Scotland","Scotland","25 - 29","Female","Not main scheme applicant","Not main scheme application","20","15","0.684","0"
"2020","UK","Scotland","Scotland","25 - 29","Female","Not main scheme applicant","Not main scheme application","35","30","0.757","0"
"2021","UK","Scotland","Scotland","25 - 29","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","UK","Scotland","Scotland","25 - 29","Female","Not main scheme applicant","Not main scheme application","35","25","0.771","0"
"2023","UK","Scotland","Scotland","25 - 29","Female","Not main scheme applicant","Not main scheme application","55","40","0.759","0"
"2019","UK","Wales","Wales","25 - 29","Female","Not main scheme applicant","Not main scheme application","10","10","0.909","0"
"2020","UK","Wales","Wales","25 - 29","Female","Not main scheme applicant","Not main scheme application","20","15","0.762","0"
"2021","UK","Wales","Wales","25 - 29","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2022","UK","Wales","Wales","25 - 29","Female","Not main scheme applicant","Not main scheme application","15","10"," ","0"
"2023","UK","Wales","Wales","25 - 29","Female","Not main scheme applicant","Not main scheme application","15","10","0.6880000000000001","0"
"2019","International","Not EU","Ghana","25 - 29","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","International","Not EU","Ghana","25 - 29","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","International","Not EU","Nepal","25 - 29","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","International","Not EU","Nigeria","25 - 29","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","International","Not EU","Nigeria","25 - 29","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2022","International","Not EU","Nigeria","25 - 29","Female","Not main scheme applicant","Not main scheme application","15","10"," ","0"
"2023","International","Not EU","Nigeria","25 - 29","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","International","Not EU","Not Known","25 - 29","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","UK","England","England","30 - 34","Female","Not main scheme applicant","Not main scheme application","230","195","0.857","0"
"2020","UK","England","England","30 - 34","Female","Not main scheme applicant","Not main scheme application","355","290","0.8220000000000001","0"
"2021","UK","England","England","30 - 34","Female","Not main scheme applicant","Not main scheme application","200","160","0.8","0"
"2022","UK","England","England","30 - 34","Female","Not main scheme applicant","Not main scheme application","225","170","0.747","0"
"2023","UK","England","England","30 - 34","Female","Not main scheme applicant","Not main scheme application","305","250","0.8160000000000001","0"
"2019","UK","Scotland","Scotland","30 - 34","Female","Not main scheme applicant","Not main scheme application","20","15","0.682","0"
"2020","UK","Scotland","Scotland","30 - 34","Female","Not main scheme applicant","Not main scheme application","25","15","0.519","0"
"2021","UK","Scotland","Scotland","30 - 34","Female","Not main scheme applicant","Not main scheme application","15","10","0.714","0"
"2022","UK","Scotland","Scotland","30 - 34","Female","Not main scheme applicant","Not main scheme application","45","30","0.744","0"
"2023","UK","Scotland","Scotland","30 - 34","Female","Not main scheme applicant","Not main scheme application","45","30","0.674","0"
"2019","UK","Wales","Wales","30 - 34","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","UK","Wales","Wales","30 - 34","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","UK","Wales","Wales","30 - 34","Female","Not main scheme applicant","Not main scheme application","15","10"," ","0"
"2022","UK","Wales","Wales","30 - 34","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","UK","Wales","Wales","30 - 34","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","International","EU (excluding UK)","Ireland","30 - 34","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","International","Not EU","Jersey","30 - 34","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","International","Not EU","Nigeria","30 - 34","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","International","Not EU","Nigeria","30 - 34","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","International","Not EU","Nigeria","30 - 34","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","International","Not EU","Nigeria","30 - 34","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","International","Not EU","Nigeria","30 - 34","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","International","Not EU","Not Known","30 - 34","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","UK","England","England","35 and over","Female","Not main scheme applicant","Not main scheme application","560","470","0.836","0"
"2020","UK","England","England","35 and over","Female","Not main scheme applicant","Not main scheme application","810","625","0.769","0"
"2021","UK","England","England","35 and over","Female","Not main scheme applicant","Not main scheme application","530","415","0.79","0"
"2022","UK","England","England","35 and over","Female","Not main scheme applicant","Not main scheme application","605","455","0.746","0"
"2023","UK","England","England","35 and over","Female","Not main scheme applicant","Not main scheme application","795","620","0.777","0"
"2019","UK","Scotland","Scotland","35 and over","Female","Not main scheme applicant","Not main scheme application","40","30","0.795","0"
"2020","UK","Scotland","Scotland","35 and over","Female","Not main scheme applicant","Not main scheme application","45","35","0.761","0"
"2021","UK","Scotland","Scotland","35 and over","Female","Not main scheme applicant","Not main scheme application","20","15","0.778","0"
"2022","UK","Scotland","Scotland","35 and over","Female","Not main scheme applicant","Not main scheme application","95","60","0.629","0"
"2023","UK","Scotland","Scotland","35 and over","Female","Not main scheme applicant","Not main scheme application","110","80","0.736","0"
"2019","UK","Wales","Wales","35 and over","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","UK","Wales","Wales","35 and over","Female","Not main scheme applicant","Not main scheme application","15","10"," ","0"
"2021","UK","Wales","Wales","35 and over","Female","Not main scheme applicant","Not main scheme application","15","5"," ","0"
"2022","UK","Wales","Wales","35 and over","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","UK","Wales","Wales","35 and over","Female","Not main scheme applicant","Not main scheme application","15","10","0.706","0"
"2023","International","Not EU","Jersey","35 and over","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","International","Not EU","Nigeria","35 and over","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","International","Not EU","Nigeria","35 and over","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","International","Not EU","Nigeria","35 and over","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","International","Not EU","Nigeria","35 and over","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","International","Not EU","Nigeria","35 and over","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","International","Not EU","Not Known","35 and over","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2021","International","Not EU","Not Known","35 and over","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","UK","Scotland","Scotland","17 and under","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","UK","England","England","18","Male","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","UK","England","England","18","Male","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","UK","England","England","18","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","UK","England","England","18","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","UK","England","England","18","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","UK","England","England","19","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","UK","England","England","19","Male","Not main scheme applicant","Not main scheme application","15","10"," ","0"
"2021","UK","England","England","19","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","UK","England","England","19","Male","Not main scheme applicant","Not main scheme application","15","10","0.75","0"
