"Year","POLAR4 Quintile","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2022","Quintile 1","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2023","Quintile 1","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","20","15","0.833","0"
"2007","Quintile 2","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2009","Quintile 2","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","Quintile 2","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2011","Quintile 2","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","Quintile 2","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","Quintile 2","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2014","Quintile 2","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","15","10","0.769","0"
"2015","Quintile 2","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","15","5"," ","0"
"2016","Quintile 2","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2017","Quintile 2","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2018","Quintile 2","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","Quintile 2","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Quintile 2","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","Quintile 2","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","Quintile 2","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Quintile 2","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2006","Quintile 2","25 - 29","England","All","Main scheme applicant","Not main scheme application","165","150","0.903","0"
"2007","Quintile 2","25 - 29","England","All","Main scheme applicant","Not main scheme application","150","135","0.887","0"
"2008","Quintile 2","25 - 29","England","All","Main scheme applicant","Not main scheme application","220","195","0.904","0"
"2009","Quintile 2","25 - 29","England","All","Main scheme applicant","Not main scheme application","275","185","0.678","0"
"2010","Quintile 2","25 - 29","England","All","Main scheme applicant","Not main scheme application","345","195","0.5690000000000001","0"
"2011","Quintile 2","25 - 29","England","All","Main scheme applicant","Not main scheme application","430","215","0.499","0"
"2012","Quintile 2","25 - 29","England","All","Main scheme applicant","Not main scheme application","415","255","0.613","0"
"2013","Quintile 2","25 - 29","England","All","Main scheme applicant","Not main scheme application","415","260","0.628","0"
"2014","Quintile 2","25 - 29","England","All","Main scheme applicant","Not main scheme application","420","260","0.613","0"
"2015","Quintile 2","25 - 29","England","All","Main scheme applicant","Not main scheme application","415","265","0.637","0"
"2016","Quintile 2","25 - 29","England","All","Main scheme applicant","Not main scheme application","380","220","0.5750000000000001","0"
"2017","Quintile 2","25 - 29","England","All","Main scheme applicant","Not main scheme application","290","200","0.685","0"
"2018","Quintile 2","25 - 29","England","All","Main scheme applicant","Not main scheme application","235","170","0.732","0"
"2019","Quintile 2","25 - 29","England","All","Main scheme applicant","Not main scheme application","235","160","0.681","0"
"2020","Quintile 2","25 - 29","England","All","Main scheme applicant","Not main scheme application","250","180","0.726","0"
"2021","Quintile 2","25 - 29","England","All","Main scheme applicant","Not main scheme application","245","165","0.676","0"
"2022","Quintile 2","25 - 29","England","All","Main scheme applicant","Not main scheme application","240","145","0.599","0"
"2023","Quintile 2","25 - 29","England","All","Main scheme applicant","Not main scheme application","195","135","0.6910000000000001","0"
"2006","Quintile 2","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2007","Quintile 2","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2008","Quintile 2","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","15","15","0.9410000000000001","0"
"2009","Quintile 2","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","15","15","0.8130000000000001","0"
"2010","Quintile 2","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","35","20","0.618","0"
"2011","Quintile 2","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","35","15","0.47200000000000003","0"
"2012","Quintile 2","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","35","20","0.556","0"
"2013","Quintile 2","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","20","10"," ","0"
"2014","Quintile 2","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","30","20","0.613","0"
"2015","Quintile 2","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","45","20","0.467","0"
"2016","Quintile 2","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","55","15","0.315","0"
"2017","Quintile 2","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","50","20","0.431","0"
"2018","Quintile 2","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","30","15","0.484","0"
"2019","Quintile 2","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","45","25","0.533","0"
"2020","Quintile 2","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","55","25","0.5","0"
"2021","Quintile 2","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","55","20","0.386","0"
"2022","Quintile 2","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","40","20","0.537","0"
"2023","Quintile 2","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","35","20","0.636","0"
"2006","Quintile 2","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2007","Quintile 2","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","15","10","0.923","0"
"2008","Quintile 2","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","15","10","0.923","0"
"2009","Quintile 2","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","Quintile 2","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","25","15","0.739","0"
"2011","Quintile 2","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","35","25","0.6970000000000001","0"
"2012","Quintile 2","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","30","20","0.679","0"
"2013","Quintile 2","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","25","20","0.84","0"
"2014","Quintile 2","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","25","20","0.75","0"
"2015","Quintile 2","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","25","20","0.778","0"
"2016","Quintile 2","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","30","25","0.742","0"
"2017","Quintile 2","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","45","35","0.795","0"
"2018","Quintile 2","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","20","15","0.682","0"
"2019","Quintile 2","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","30","20","0.759","0"
"2020","Quintile 2","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","15","10","0.846","0"
"2021","Quintile 2","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","30","25","0.8","0"
"2022","Quintile 2","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","20","10","0.6","0"
"2023","Quintile 2","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","25","20","0.75","0"
"2006","Quintile 3","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2007","Quintile 3","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2008","Quintile 3","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2009","Quintile 3","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","Quintile 3","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2011","Quintile 3","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","Quintile 3","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2013","Quintile 3","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2014","Quintile 3","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2015","Quintile 3","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2016","Quintile 3","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2017","Quintile 3","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","15","10","0.786","0"
"2018","Quintile 3","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2019","Quintile 3","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Quintile 3","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","Quintile 3","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","25","15","0.739","0"
"2022","Quintile 3","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","Quintile 3","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2006","Quintile 3","25 - 29","England","All","Main scheme applicant","Not main scheme application","175","165","0.937","0"
"2007","Quintile 3","25 - 29","England","All","Main scheme applicant","Not main scheme application","150","130","0.873","0"
"2008","Quintile 3","25 - 29","England","All","Main scheme applicant","Not main scheme application","235","200","0.867","0"
"2009","Quintile 3","25 - 29","England","All","Main scheme applicant","Not main scheme application","300","215","0.712","0"
"2010","Quintile 3","25 - 29","England","All","Main scheme applicant","Not main scheme application","415","245","0.588","0"
"2011","Quintile 3","25 - 29","England","All","Main scheme applicant","Not main scheme application","475","245","0.517","0"
"2012","Quintile 3","25 - 29","England","All","Main scheme applicant","Not main scheme application","495","300","0.606","0"
"2013","Quintile 3","25 - 29","England","All","Main scheme applicant","Not main scheme application","470","280","0.594","0"
"2014","Quintile 3","25 - 29","England","All","Main scheme applicant","Not main scheme application","500","305","0.613","0"
"2015","Quintile 3","25 - 29","England","All","Main scheme applicant","Not main scheme application","450","270","0.606","0"
"2016","Quintile 3","25 - 29","England","All","Main scheme applicant","Not main scheme application","450","275","0.61","0"
"2017","Quintile 3","25 - 29","England","All","Main scheme applicant","Not main scheme application","325","230","0.704","0"
"2018","Quintile 3","25 - 29","England","All","Main scheme applicant","Not main scheme application","255","190","0.756","0"
"2019","Quintile 3","25 - 29","England","All","Main scheme applicant","Not main scheme application","195","140","0.727","0"
"2020","Quintile 3","25 - 29","England","All","Main scheme applicant","Not main scheme application","225","170","0.757","0"
"2021","Quintile 3","25 - 29","England","All","Main scheme applicant","Not main scheme application","255","175","0.6960000000000001","0"
"2022","Quintile 3","25 - 29","England","All","Main scheme applicant","Not main scheme application","245","140","0.5690000000000001","0"
"2023","Quintile 3","25 - 29","England","All","Main scheme applicant","Not main scheme application","200","135","0.683","0"
"2006","Quintile 3","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","15","10","0.846","0"
"2007","Quintile 3","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","15","10","0.923","0"
"2008","Quintile 3","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","15","15","1","0"
"2009","Quintile 3","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","25","20","0.88","0"
"2010","Quintile 3","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","30","20","0.724","0"
"2011","Quintile 3","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","35","20","0.514","0"
"2012","Quintile 3","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","25","15","0.542","0"
"2013","Quintile 3","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","30","20","0.6900000000000001","0"
"2014","Quintile 3","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","40","25","0.625","0"
"2015","Quintile 3","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","55","25","0.439","0"
"2016","Quintile 3","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","35","15","0.441","0"
"2017","Quintile 3","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","45","20","0.455","0"
"2018","Quintile 3","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","40","20","0.47600000000000003","0"
"2019","Quintile 3","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","55","25","0.444","0"
"2020","Quintile 3","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","60","30","0.542","0"
"2021","Quintile 3","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","55","25","0.418","0"
"2022","Quintile 3","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","40","15","0.421","0"
"2023","Quintile 3","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","30","20","0.621","0"
"2006","Quintile 3","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","15","15","0.929","0"
"2007","Quintile 3","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2008","Quintile 3","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","15","10","0.8","0"
"2009","Quintile 3","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","15","15","0.867","0"
"2010","Quintile 3","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","15","10","0.733","0"
"2011","Quintile 3","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","20","15","0.667","0"
"2012","Quintile 3","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","20","15","0.682","0"
"2013","Quintile 3","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","20","10","0.524","0"
"2014","Quintile 3","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","25","20","0.6920000000000001","0"
"2015","Quintile 3","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","25","20","0.741","0"
"2016","Quintile 3","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","20","15","0.737","0"
"2017","Quintile 3","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","25","20","0.783","0"
"2018","Quintile 3","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","20","15","0.842","0"
"2019","Quintile 3","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","20","15","0.75","0"
"2020","Quintile 3","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","25","15","0.652","0"
"2021","Quintile 3","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","20","10","0.632","0"
"2022","Quintile 3","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","15","10","0.667","0"
"2023","Quintile 3","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2006","Quintile 4","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","10","10","0.909","0"
"2007","Quintile 4","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2008","Quintile 4","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2009","Quintile 4","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","Quintile 4","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","Quintile 4","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","15","5"," ","0"
"2012","Quintile 4","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2013","Quintile 4","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","15","5"," ","0"
"2014","Quintile 4","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2015","Quintile 4","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2016","Quintile 4","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2017","Quintile 4","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2018","Quintile 4","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","15","10","0.769","0"
"2019","Quintile 4","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","Quintile 4","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","Quintile 4","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","15","10","0.647","0"
"2022","Quintile 4","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","15","15","0.882","0"
"2023","Quintile 4","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2006","Quintile 4","25 - 29","England","All","Main scheme applicant","Not main scheme application","200","180","0.9","0"
"2007","Quintile 4","25 - 29","England","All","Main scheme applicant","Not main scheme application","180","155","0.845","0"
"2008","Quintile 4","25 - 29","England","All","Main scheme applicant","Not main scheme application","265","225","0.853","0"
"2009","Quintile 4","25 - 29","England","All","Main scheme applicant","Not main scheme application","405","280","0.687","0"
"2010","Quintile 4","25 - 29","England","All","Main scheme applicant","Not main scheme application","465","275","0.596","0"
"2011","Quintile 4","25 - 29","England","All","Main scheme applicant","Not main scheme application","610","310","0.508","0"
"2012","Quintile 4","25 - 29","England","All","Main scheme applicant","Not main scheme application","600","345","0.5730000000000001","0"
"2013","Quintile 4","25 - 29","England","All","Main scheme applicant","Not main scheme application","520","340","0.653","0"
"2014","Quintile 4","25 - 29","England","All","Main scheme applicant","Not main scheme application","595","360","0.604","0"
"2015","Quintile 4","25 - 29","England","All","Main scheme applicant","Not main scheme application","470","280","0.594","0"
"2016","Quintile 4","25 - 29","England","All","Main scheme applicant","Not main scheme application","480","295","0.615","0"
"2017","Quintile 4","25 - 29","England","All","Main scheme applicant","Not main scheme application","410","285","0.6890000000000001","0"
"2018","Quintile 4","25 - 29","England","All","Main scheme applicant","Not main scheme application","270","200","0.745","0"
"2019","Quintile 4","25 - 29","England","All","Main scheme applicant","Not main scheme application","280","200","0.723","0"
"2020","Quintile 4","25 - 29","England","All","Main scheme applicant","Not main scheme application","300","210","0.709","0"
"2021","Quintile 4","25 - 29","England","All","Main scheme applicant","Not main scheme application","295","195","0.658","0"
"2022","Quintile 4","25 - 29","England","All","Main scheme applicant","Not main scheme application","260","165","0.632","0"
"2023","Quintile 4","25 - 29","England","All","Main scheme applicant","Not main scheme application","235","145","0.614","0"
"2006","Quintile 4","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","20","15","0.762","0"
"2007","Quintile 4","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","15","15","0.867","0"
"2008","Quintile 4","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2009","Quintile 4","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","25","20","0.808","0"
"2010","Quintile 4","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","35","15","0.485","0"
"2011","Quintile 4","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","30","15","0.531","0"
"2012","Quintile 4","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","30","15","0.586","0"
"2013","Quintile 4","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","35","20","0.541","0"
"2014","Quintile 4","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","35","20","0.6","0"
"2015","Quintile 4","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","60","35","0.559","0"
"2016","Quintile 4","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","55","25","0.47200000000000003","0"
"2017","Quintile 4","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","60","30","0.525","0"
"2018","Quintile 4","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","60","25","0.383","0"
"2019","Quintile 4","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","55","30","0.509","0"
"2020","Quintile 4","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","65","35","0.523","0"
"2021","Quintile 4","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","50","25","0.54","0"
"2022","Quintile 4","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","35","15","0.515","0"
"2023","Quintile 4","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","30","25","0.793","0"
"2006","Quintile 4","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2007","Quintile 4","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2008","Quintile 4","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2009","Quintile 4","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2010","Quintile 4","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","Quintile 4","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2012","Quintile 4","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","15","10","0.8","0"
"2013","Quintile 4","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","15","5"," ","0"
"2014","Quintile 4","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","20","15","0.773","0"
"2015","Quintile 4","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2016","Quintile 4","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","15","10","0.733","0"
"2017","Quintile 4","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","20","10","0.6","0"
"2018","Quintile 4","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","15","10","0.769","0"
"2019","Quintile 4","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","Quintile 4","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","15","10","0.923","0"
"2021","Quintile 4","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","15","5"," ","0"
"2022","Quintile 4","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2023","Quintile 4","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2006","Quintile 5","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2008","Quintile 5","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2009","Quintile 5","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","Quintile 5","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","15","10","0.733","0"
"2011","Quintile 5","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","15","5"," ","0"
"2012","Quintile 5","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","15","10","0.769","0"
"2013","Quintile 5","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","15","15","0.8240000000000001","0"
"2014","Quintile 5","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","25","20","0.846","0"
"2015","Quintile 5","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","15","10","0.6880000000000001","0"
"2016","Quintile 5","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","20","5"," ","0"
"2017","Quintile 5","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2018","Quintile 5","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","15","10","0.769","0"
"2019","Quintile 5","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Quintile 5","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","Quintile 5","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","20","15","0.773","0"
"2022","Quintile 5","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","15","5"," ","0"
"2023","Quintile 5","25 - 29","Northern Ireland","All","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2006","Quintile 5","25 - 29","England","All","Main scheme applicant","Not main scheme application","225","210","0.933","0"
"2007","Quintile 5","25 - 29","England","All","Main scheme applicant","Not main scheme application","215","185","0.878","0"
"2008","Quintile 5","25 - 29","England","All","Main scheme applicant","Not main scheme application","265","225","0.848","0"
"2009","Quintile 5","25 - 29","England","All","Main scheme applicant","Not main scheme application","355","260","0.725","0"
"2010","Quintile 5","25 - 29","England","All","Main scheme applicant","Not main scheme application","405","270","0.671","0"
"2011","Quintile 5","25 - 29","England","All","Main scheme applicant","Not main scheme application","545","305","0.562","0"
"2012","Quintile 5","25 - 29","England","All","Main scheme applicant","Not main scheme application","460","270","0.591","0"
"2013","Quintile 5","25 - 29","England","All","Main scheme applicant","Not main scheme application","455","270","0.6","0"
"2014","Quintile 5","25 - 29","England","All","Main scheme applicant","Not main scheme application","505","315","0.623","0"
"2015","Quintile 5","25 - 29","England","All","Main scheme applicant","Not main scheme application","440","285","0.648","0"
"2016","Quintile 5","25 - 29","England","All","Main scheme applicant","Not main scheme application","435","275","0.63","0"
"2017","Quintile 5","25 - 29","England","All","Main scheme applicant","Not main scheme application","310","210","0.675","0"
"2018","Quintile 5","25 - 29","England","All","Main scheme applicant","Not main scheme application","275","210","0.757","0"
"2019","Quintile 5","25 - 29","England","All","Main scheme applicant","Not main scheme application","285","210","0.746","0"
"2020","Quintile 5","25 - 29","England","All","Main scheme applicant","Not main scheme application","275","200","0.737","0"
"2021","Quintile 5","25 - 29","England","All","Main scheme applicant","Not main scheme application","255","170","0.667","0"
"2022","Quintile 5","25 - 29","England","All","Main scheme applicant","Not main scheme application","210","135","0.645","0"
"2023","Quintile 5","25 - 29","England","All","Main scheme applicant","Not main scheme application","200","145","0.715","0"
"2006","Quintile 5","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","25","25","0.9580000000000001","0"
"2007","Quintile 5","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","25","25","1","0"
"2008","Quintile 5","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","25","25","0.889","0"
"2009","Quintile 5","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","30","25","0.781","0"
"2010","Quintile 5","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","35","25","0.765","0"
"2011","Quintile 5","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","25","15","0.556","0"
"2012","Quintile 5","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","55","25","0.47200000000000003","0"
"2013","Quintile 5","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","50","25","0.5","0"
"2014","Quintile 5","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","45","25","0.533","0"
"2015","Quintile 5","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","60","35","0.5760000000000001","0"
"2016","Quintile 5","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","80","45","0.544","0"
"2017","Quintile 5","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","70","30","0.394","0"
"2018","Quintile 5","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","60","30","0.525","0"
"2019","Quintile 5","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","60","30","0.492","0"
"2020","Quintile 5","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","80","45","0.588","0"
"2021","Quintile 5","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","90","40","0.455","0"
"2022","Quintile 5","25 - 29","Scotland","All","Main scheme applicant","Not main scheme application","80","40","0.5","0"
