"Year","Subject group HECoS","Detailed subject group HECoS","Provider country","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-03) community nursing","England","105","65","0.629"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-03) community nursing","England","90","60","0.678"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-03) community nursing","England","50","20","0.42"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-09) others in nursing","England","220","55","0.25"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-09) others in nursing","England","125","35","0.296"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-09) others in nursing","England","125","30","0.256"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-09) others in nursing","England","225","85","0.382"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-09) others in nursing","England","185","70","0.389"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-06) dental nursing","England","950","215","0.227"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-06) dental nursing","England","1060","150","0.14200000000000002"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-06) dental nursing","England","1930","220","0.113"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-06) dental nursing","England","2620","240","0.091"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-06) dental nursing","England","2780","240","0.08600000000000001"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","England","1225","600","0.491"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","England","1480","695","0.47000000000000003"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","England","2050","925","0.451"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","England","1875","815","0.435"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","England","1405","575","0.41000000000000003"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","England","19465","7145","0.367"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","England","25895","9935","0.384"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","England","31840","11600","0.364"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","England","31365","9720","0.31"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","England","27805","9245","0.332"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","England","24170","5935","0.246"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","England","24780","6990","0.28200000000000003"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","England","32025","7490","0.234"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","England","29885","6520","0.218"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","England","23525","6865","0.292"
