Subject,              Level,Year, Total,1,2,3,4,5,6,7,8
IRISH,B,2021,1074,8.8,16.5,22.5,20.9,14.4,11.6,1.7,3.4
IRISH,G,2021,23301,3,11,22.1,26.3,21.1,12.3,2.6,1.6
ENGLISH,A,2021,42936,7.6,18.3,27.9,26.4,14.1,4.6,0.7,0.5
ENGLISH,G,2021,14129,5.4,14.8,25.7,25.9,16.5,8.4,1.9,1.6
MATHEMATICS,A,2021,22919,15.1,17.5,20.6,20.2,15.8,8.4,1.6,1
MATHEMATICS,B,2021,2065,10.6,20.9,20.4,18.5,15.1,10.7,1.9,1.9
MATHEMATICS,G,2021,32319,7.2,15.1,21.9,21.7,18.2,11.4,2.9,1.7
HISTORY,A,2021,10053,18.2,23.3,23,18.3,10.5,4.4,1.1,1.2
HISTORY,G,2021,2498,7.3,12.5,19.7,21.7,17.7,12.6,4.5,4.1
GEOGRAPHY,A,2021,21161,10.2,18.6,23.9,23.1,15.2,6.6,1.6,0.8
GEOGRAPHY,G,2021,3217,3,9.2,18.5,22.4,22,15.6,4.6,4.7
LATIN,A,2021,44,45.5,29.5,18.2,4.5,0,0,0,2.3
ANCIENT GREEK,A,2021,14,50,21.4,21.4,7.1,0,0,0,0
CLASSICAL STUDIES,A,2021,553,24.6,26.6,20.3,16.8,7.8,2.9,0.5,0.5
CLASSICAL STUDIES,G,2021,39,7.7,15.4,20.5,7.7,10.3,17.9,15.4,5.1
FRENCH,A,2021,16666,10.8,18.5,23.8,23.5,15,6.6,1.4,0.5
FRENCH,G,2021,5403,2.5,10.8,22.4,26.2,20.3,12.7,2.9,2.2
GERMAN,A,2021,6907,12.3,19.8,24.6,21.8,13.9,5.9,1.3,0.5
GERMAN,G,2021,1696,3.3,12.2,23.6,25.6,18.5,12,2.6,2.1
SPANISH,A,2021,6678,17.5,21,22.4,19.7,12.5,5.2,1.2,0.5
SPANISH,G,2021,1908,4.1,14.6,24.4,22.6,18.6,11.1,2.7,1.9
ITALIAN,A,2021,359,35.7,24,16.7,10.6,8.1,3.1,1.1,0.8
ITALIAN,G,2021,97,1,14.4,20.6,28.9,17.5,10.3,4.1,3.1
ART,A,2021,7925,13.2,23.6,27.1,19.9,9.5,3.8,1.3,1.7
ART,G,2021,1417,5.1,11.7,18.5,17.6,16.9,12.8,4.9,12.4
DUTCH,A,2021,21,47.6,4.8,19,9.5,0,9.5,0,9.5
APPLIED MATHEMATICS,A,2021,2276,40.9,23.6,15.9,9.7,5.6,2.7,0.7,0.9
APPLIED MATHEMATICS,G,2021,40,35,20,10,17.5,7.5,7.5,0,2.5
PHYSICS,A,2021,7210,21.1,20.1,20,16.6,12.1,7.1,2.1,1.1
PHYSICS,G,2021,778,5.3,13.4,17.6,21.3,16.3,15.3,4.4,6.4
CHEMISTRY,A,2021,8794,23.4,21.6,19.4,15.2,10.4,6.1,2.5,1.4
CHEMISTRY,G,2021,857,5,10.9,17.3,20.9,15.8,17.3,5.4,7.6
PHYSICS & CHEMISTRY,A,2021,382,22,20.2,14.9,15.7,14.9,6.8,3.9,1.6
