,Subject,              Level,Year, Total,         A1,        A2,        B1,        B2,        B3,        C1,        C2,        C3,        D1,        D2,        D3,        E,         F,         NG
34,ECONOMICS              ,G,2014,752,2.8,8.8,8.2,11.2,14.5,12.9,11.4,6.8,8.9,5.1,4.8,2.7,1.9,0.1
58,JAPANESE               ,A,2014,224,11.2,10.7,12.9,9.8,9.8,11.2,6.3,9.4,4.9,5.4,4.9,2.7,0.9,0
58,JAPANESE               ,G,2014,74,0,1.4,2.7,10.8,13.5,12.2,16.2,10.8,10.8,5.4,5.4,8.1,1.4,1.4
59,ARABIC                 ,A,2014,108,9.3,8.3,6.5,11.1,17.6,13,10.2,9.3,4.6,1.9,2.8,2.8,0.9,1.9
59,ARABIC                 ,G,2014,19,0,5.3,5.3,5.3,10.5,10.5,5.3,5.3,5.3,5.3,10.5,5.3,15.8,10.5
65,TECHNOLOGY             ,A,2014,983,4.6,7.6,9.5,12.7,12.4,10.7,11,9.4,6.6,6.2,4.3,3.4,1.3,0.4
65,TECHNOLOGY             ,G,2014,119,0,5,7.6,10.1,11.8,7.6,11.8,10.9,12.6,4.2,7.6,7.6,2.5,0.8
67,MUSIC                  ,A,2014,5926,2.9,11.7,17.3,19,17.1,12.7,8.5,5.5,2.9,1.3,0.7,0.4,0.1,0
67,MUSIC                  ,G,2014,506,0.4,2.6,5.7,17.2,19,14.2,15.6,9.5,4.7,4.2,4.3,1.6,0.8,0.2
98,HOME ECONOMICS S & S   ,A,2014,8561,2.7,6,8,11.2,12.7,12.9,13.6,10.6,9.4,6.3,4.2,2.2,0.2,0
98,HOME ECONOMICS S & S   ,G,2014,3466,0.3,2.3,6.9,9.2,12.6,14.2,11.7,11.2,9.5,6.8,6.9,6.1,1.9,0.3
99,RUSSIAN                ,A,2014,292,70.5,12,5.1,3.4,1.4,3.8,0.3,1,0.3,0.3,1,0.7,0,0
99,RUSSIAN                ,G,2014,17,52.9,29.4,0,5.9,0,0,0,0,0,5.9,0,0,5.9,0
223,RELIGIOUS EDUCATION    ,A,2014,1068,2.7,9.9,6.1,12.5,14,13.1,10.8,11,7.3,4.4,5,2.2,0.9,0
223,RELIGIOUS EDUCATION    ,G,2014,153,0.7,9.2,2.6,5.9,17,3.3,6.5,22.2,0.7,4.6,13.7,3.3,9.2,1.3
562,DESIGN & COMMUNICATION ,A,2014,4097,6.2,7.8,9.7,11,12.5,11.5,11.2,9.5,7.2,5.6,4.4,2.7,0.6,0.1
562,DESIGN & COMMUNICATION ,G,2014,1257,1,5,8.5,12.1,13.4,12.3,13.2,9.1,7.2,6.1,3.9,5,2.2,0.8
,,,,,,,,,,,,,,,,,,
1,IRISH                  ,A,2015,19460,6.5,9.3,11.4,12.9,13.4,13.3,12.3,9.2,6.1,3.4,1.7,0.4,0.1,0
1,IRISH                  ,B,2015,3543,2.5,4.5,7.6,10.1,10.6,13.5,13,12.5,9.2,5.8,4.8,4.7,1,0.1
1,IRISH                  ,G,2015,23562,0.4,1.8,5.5,9.9,13.5,15.4,14.3,13.2,9.9,6.6,5.5,3.3,0.7,0
2,ENGLISH                ,A,2015,36060,3.2,5.8,5.5,9.5,12.2,13.4,15,11.4,12.7,6.2,3.9,1,0.1,0
2,ENGLISH                ,G,2015,17064,1.7,5.4,4.3,9.2,15.8,10.8,14.2,14.7,7.4,6.6,6.3,2.8,0.8,0.2
3,MATHEMATICS            ,A,2015,14691,5.2,5.5,7.1,8.3,10,11.4,11.7,11.6,9.5,8.1,6.6,4.3,0.7,0
3,MATHEMATICS            ,B,2015,5613,3.5,5.7,7.6,11.1,13.6,11.8,12.5,10.1,7.1,5.8,5.8,4.2,1,0.1
3,MATHEMATICS            ,G,2015,33266,1.3,4.2,8.2,11.3,12.8,13.2,12.1,10.6,8.4,6.2,5.8,4.6,1.1,0.1
4,HISTORY                ,A,2015,8441,7.5,6.7,10.5,10.5,11.7,12.3,11.7,8.6,8.2,5.3,4.5,2.1,0.2,0.1
4,HISTORY                ,G,2015,3744,5.7,8.6,7.1,9.5,12.8,9,11.6,12,6.3,6.7,6.6,3,0.9,0.1
5,GEOGRAPHY              ,A,2015,19796,3.2,5.8,7.9,10.3,12.7,13.2,13.3,9.7,10.7,6.5,4.7,1.9,0.2,0
5,GEOGRAPHY              ,G,2015,5336,1.6,2.7,6.6,9.7,11.2,17.7,13.7,11.4,10,6.6,4.7,3.5,0.6,0
6,LATIN                  ,A,2015,110,30.9,10,24.5,10,5.5,9.1,4.5,1.8,0.9,0,0,0.9,1.8,0
8,CLASSICAL STUDIES      ,A,2015,473,5.1,7,9.9,11,12.7,11.4,12.5,8,4.7,4.7,5.7,4.7,1.9,0.8
8,CLASSICAL STUDIES      ,G,2015,53,0,1.9,1.9,5.7,11.3,7.5,11.3,17,5.7,11.3,3.8,17,5.7,0
10,FRENCH                 ,A,2015,15408,6.5,6.7,7.7,8.7,9.8,11,11,10.6,9.4,7.8,6.9,3.5,0.2,0
10,FRENCH                 ,G,2015,11390,0.3,1.6,4.4,7.6,11.5,13.2,12.7,11.8,10.3,8.4,9,7.4,1.6,0.1
11,GERMAN                 ,A,2015,5154,8.7,6.1,7.6,9.2,9.8,10.5,11.5,11.4,9.6,7.5,5.5,2.4,0.2,0
11,GERMAN                 ,G,2015,2118,0.2,2.5,7.1,11.4,13.2,14,12.1,11.7,8.5,6,6.3,5.1,1.6,0.3
12,SPANISH                ,A,2015,3655,8.5,8,9.4,10.9,12.8,12.3,11.2,10,7.7,4.7,3.2,1.2,0.1,0
12,SPANISH                ,G,2015,2138,0.8,2,6.1,9.4,12.9,14.1,13.1,10.7,9.4,6.3,8,5.6,1.6,0
13,ITALIAN                ,A,2015,325,13.8,12.3,8.6,10.8,11.1,7.1,8,9.8,7.1,4.3,5.5,1.5,0,0
13,ITALIAN                ,G,2015,111,0,2.7,0.9,6.3,14.4,10.8,11.7,15.3,7.2,9,8.1,8.1,3.6,1.8
14,ART                    ,A,2015,7840,1.1,3.8,8,11.2,13.6,14.6,14.3,13.2,9.6,6.2,3.5,0.9,0.1,0.1
14,ART                    ,G,2015,2045,0.1,1.1,3.1,7,10.5,15.2,17.6,15.9,11.1,7.3,6,2.9,1.5,0.7
