"ID","GaelicKeywords","WordBreaks","GaelicKeywordsTraditionalSpelling","WordClass","WordClassMerged"
"47597","Cal na Cille, ",", ",", ","ainm-àite","noun"
"47624","stràibhig, , stràibhig, , stràibhig, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","boir.","noun"
"47627","suamhaideas, shuamhaideas, suamhaideis, shuamhaideis, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","fir.","noun"
"47638","chan eil stràic, chan eil stràc, chan eil sràic, chan eil sràc, ",", ",", ",,NULL
"47646","stràbhag, sràbhag, shràbhag, stràbhaig, sràbhaig, shràbhaig, stràbhaige, sràbhaige, shràbhaige, , , , , , , , stràbhagan, sràbhagan, shràbhagan, , , , , , , stràbhagaibh, sràbhagaibh, shràbhagaibh, stràbhagan, sràbhagan, shràbhagan, , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","boir.","noun"
"47648","straibhèigearachd, , straibhèigearachd, , straibhèigearachd, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","boir.","noun"
"47699","tom-taiseam, thom-taiseam, tom-taiseim, thom-taiseim, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","fir.","noun"
"47741","leigidh e brag latha air choreigin, ",", ","leigidh e brag latha air chor-eigin, ",,NULL
"47766","thoir dhomh casa-gòbhlagan, thoir dhomh casa-gòbhlagain",,,,NULL
"47773","clach-mhuil, clach-mhoil, chlach-mhuil, chlach-mhoil, cloich-mhuil, cloich-mhoil, chloich-mhuil, chloich-mhoil, cloiche-muil, cloiche-moil, chloiche-muil, chloiche-moil, , , , , , , , clachan-muil, clachan-moil, chlachan-muil, chlachan-moil, , , , , , , , , clachan-muil, clachan-moil, chlachan-muil, chlachan-moil, , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","boir.","noun"
"47798","daiceallach, dhaiceallach, daiceallaiche, dhaiceallaiche, , , daiceallach, dhaiceallach, daiceallaich, dhaiceallaich, daiceallaiche, dhaiceallaiche, daiceallaich, dhaiceallaich, , ",", , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , ","bua.","adjective"
"47845","fadhbh-bhleoghann, fhadhbh-bhleoghann, fadhbh-bhleoghainn, fhadhbh-bhleoghainn, fadhbh-bhleoghainn, fhadhbh-bhleoghainn, , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","faobh-bhleoghann, fhaobh-bhleoghann, faobh-bhleoghainn, fhaobh-bhleoghainn, faobh-bhleoghainn, fhaobh-bhleoghainn, , , , , , , , , , , , , , , , , , , , , , , , , , , , ","boir.","noun"
"47848","thoir a-steach e fiogair, ",", ",", ",,NULL
"47864","Am Baile Dearg, ",", ",", ","ainm-àite","noun"
"47883","eideis, , eideis, , eideis, , , , , , , , , eideisean, , , , , , , , , , eideisean, , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","boir.","noun"
"47891","A' Chlach-thuill, na Cloiche-tuill, ",", ",", ","ainm-àite boir.","noun"
"47919","guallachan, ghuallachan, guallachain, ghuallachain, , , , , , , , guallachain, ghuallachain, , , , , , , guallachanaibh, ghuallachanaibh, guallachan, ghuallachan, , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , guallachan!aibh, ghuallachan!aibh, , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","fir.","noun"
"47977","lunndrag, , lunndraig, , lunndraige, , , , , , , , , lunndragan, , , , , , , , lunndragaibh, , lunndragan, , , , , , , , , , ",", , , , , , , , , , , , , lunndrag!an, , , , , , , , lunndrag!aibh, , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","boir.","noun"
"48016","feuran-breac, fèaran-breac, fheuran-breac, fhèaran-breac, fheuran-bhreac, fhèaran-bhreac, feurain-bhric, fèarain-bhric, fheurain-bhric, fhèarain-bhric, , , , , , , , feurain-bhreaca, fèarain-bhreaca, fheurain-bhreaca, fhèarain-bhreaca, , , , , , , , , feuran-breaca, fèaran-breaca, fheuran-breaca, fhèaran-breaca, , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","fir.","noun"
"48024","silt, shilt, silt, shilt, silte, shilte, , , , , , , , siltean, shiltean, , , , , , , siltibh, shiltibh, siltean, shiltean, , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","boir.","noun"
"48031","cìlig, cèilig, chìlig, chèilig, cìlig, chìlig, cìlige, cèilige, chìlige, chèilige, , , , , , , , cìligean, cèiligean, chìligean, chèiligean, , , , , , , cìligibh, cèiligibh, chìligibh, chèiligibh, cìligean, cèiligean, chìligean, chèiligean, , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","céilig, chéilig, , , céilige, chéilige, , , , , , , , céiligean, chéiligean, , , , , , , , , , , , , , , , , , , ","boir.","noun"
"48049","glèasach, ghlèasach, glèasaiche, ghlèasaiche, , , glèasach, ghlèasach, glèasaich, ghlèasaich, glèasaiche, ghlèasaiche, glèasaich, ghlèasaich, , ",", , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , ","bua.","adjective"
"48053","binndeag, bhinndeag, binndeig, bhinndeig, binndeige, bhinndeige, , , , , , , , binndeagan, bhinndeagan, , , , , , , binndeagaibh, bhinndeagaibh, binndeagan, bhinndeagan, , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","boir.","noun"
"48054","locair cadail, lochdair cadail",,,,NULL
"48095","toinnicheam, toinnich, toinnicheadh, toinnicheamaid, toinnichibh, toinnicheadh, toinneachadh, thoinneachadh, , , , , , , , , , , , , , , toinnichidh, thoinnicheas, toinnich, thoinnich, thoinnich, do thoinnich, toinnichte, thoinnichte, thoinnichinn, thoinnicheadh, thoinnicheamaid, toinnichinn, thoinnichinn, toinnicheadh, thoinnicheadh, toinnicheamaid, thoinnicheamaid, toinnichear, toinnichtear, toinnichear, thoinnichear, toinnichear, thoinnichear, thoinnicheadh, do thoinnicheadh, thoinnichte, thoinnichiste, thoinnichist, toinnichte, toinnichiste, toinnichist, thoinnichte, thoinnichiste, thoinnichist, , ","toinnich!eam, , toinnich!eadh, toinnich!eamaid, , , toinneach!adh, thoinneach!adh, , , , , , , , , , , , , , , toinnich!idh, thoinnich!eas, , , , , toinnich!te, thoinnich!te, thoinnich!inn, thoinnich!eadh, thoinnich!eamaid, toinnich!inn, , , , , , toinnich!ear, toinnich!tear, , , , thoinnich!ear, , , , thoinnich!iste, thoinnich!ist, , toinnich!iste, toinnic!hist, , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","gn.","verb"
"48105","fearsad, fhearsad, fearsaid, fhearsaid, , , , , , , , fearsadan, fhearsadan, , , , , , , fearsadaibh, fhearsadaibh, fearsadan, fhearsadan, , , , , , , , , , ",", , , , , , , , , , , fearsad!an, fhearsad!an, , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","fir.","noun"
"48108","tarsann, tharsann, tarsainn, tharsainn, , , , , , , , tarsainn, tharsainn, , , , , , , tarsannaibh, tharsannaibh, tarsann, tharsann, , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","fir.","noun"
"48113","gutramaid, ghutramaid, gutramaid, ghutramaid, gutramaid, ghutramaid, , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","boir.","noun"
"48120","iomasgladh, , iomasglaidh, , , , , , , , , iomasglaidhean, , , , , , , , , , iomasglaidhean, , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","fir.","noun"
"48144","gonadh, ghonadh, gonaidh, ghonaidh, , , , , , , , gonaidhean, ghonaidhean, , , , , , , , , gonaidhean, ghonaidhean, , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","fir.","noun"
"48165","clostar, chlostar, clostair, chlostair, , , , , , , , clostaran, chlostaran, , , , , , , clostaraibh, chlostaraibh, clostaran, chlostaran, , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","fir.","noun"
"48174","fraochan, fhraochan, fraochain, fhraochain, , , , , , , , fraochain, fhraochain, , , , , , , fraochanaibh, fhraochanaibh, fraochan, fhraochan, , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","fir.","noun"
"48185","grian, grean, ghrian, ghrean, grein, ghrein, , , , , , , , grianan, greanan, ghrianan, ghreanan, , , , , , , , , grianan, greanan, ghrianan, ghreanan, , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","fir.","noun"
"48207","stiùireadh stòir-dhàta, ",", ",", ",,NULL
"48210","obraiche-òigridh, oibriche-òigridh, , obraiche-òigridh, oibriche-òigridh, , , , , , , , , obraichean-òigridh, oibrichean-òigridh, , , , , , , , , , obraichean-òigridh, oibrichean-òigridh, , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","fir.","noun"
"48211","leabhar-bliadhna, leabhar-bhliadhna, leabhair-bliadhna, , , , , , , , , leabhraichean-bliadhna, , , , , , , , , , leabhraichean-bliadhna, , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","fir.","noun"
