"------------------------------------------------------------------"
"Sex, area background and ethnic group			"
"------------------------------------------------------------------"
"This file contains data used reported in the Sex, area background and ethnic group reports, covering all providers for whom reports have been published on the UCAS website."
"Cycle years: 2010 - 2021"
"Cycle reference point: End of Cycle"
"Applicant coverage: UK domiciled"
"Equality dimensions: Sex, POLAR4, SIMD 2016, ethnic group"
"Statistics reported:"
"June deadline applicants, placed June deadline applicants, all placed applicants, June deadline applicants per 10,000 population, placed June deadline applicants per 10,000 population,"
"all placed applicants per 10,000 population"
"June deadline applications, offers, offer rate, average offer rate, percentage point difference between offer rate and average offer rate, contribution of group to the average offer rate"
"Non-disclosure controls: To avoid the disclosure of information about any individual the following measures are taken"
"Applicants, placed applicants, applications and offers are rounded to the nearest 5."
"Applicants/placed applicants per 10,000 population figures are reported as 0 if the applicant/placed applicant figures are rounded to 0."
"All statistics related to the offer rate are not reported when the number of applications for a group is less than 10. The percentage point difference between the offer rate and"
"the average offer rate is not reported when the number of applications for a group is less than 50."
"Offer rates are reported as 0% if there are fewer than 5 offers, and 100% if the number of offers is within 5 of the number of applications. When the offer rate is reported as 0% or 100%,"
"it is reported in italics."
"------------------------------------------------------------------"
Please refer to the Sex, area background and ethnic group reports specified above for technical notes and definitions.
Data lines are comma delimited.
Data follows - 12312 lines in total
------------------------------------------------------------------
inst_cntry_2021_map,Cycle,statistic,equality_dimension,agegroup,value
English providers,2013,Placed June deadline applicants,Asian ethnic group,18 year olds,16360
English providers,2013,Placed June deadline applicants,Mixed ethnic group,18 year olds,6010
English providers,2013,Placed June deadline applicants,Other ethnic group,18 year olds,1720
English providers,2013,Placed June deadline applicants,POLAR4 Q1,18 year olds,16420
English providers,2013,Placed June deadline applicants,POLAR4 Q2,18 year olds,24140
English providers,2013,Placed June deadline applicants,POLAR4 Q3,18 year olds,29910
English providers,2013,Placed June deadline applicants,POLAR4 Q4,18 year olds,36670
English providers,2013,Placed June deadline applicants,POLAR4 Q5,18 year olds,52585
English providers,2013,Placed June deadline applicants,Men,18 year olds,71415
English providers,2013,Placed June deadline applicants,Women,18 year olds,88480
English providers,2014,Placed June deadline applicants,Total,18 year olds,163030
English providers,2014,Placed June deadline applicants,White ethnic group,18 year olds,129290
English providers,2014,Placed June deadline applicants,Black ethnic group,18 year olds,7490
English providers,2014,Placed June deadline applicants,Asian ethnic group,18 year olds,17075
English providers,2014,Placed June deadline applicants,Mixed ethnic group,18 year olds,6570
English providers,2014,Placed June deadline applicants,Other ethnic group,18 year olds,1970
English providers,2014,Placed June deadline applicants,POLAR4 Q1,18 year olds,17885
English providers,2014,Placed June deadline applicants,POLAR4 Q2,18 year olds,25410
English providers,2014,Placed June deadline applicants,POLAR4 Q3,18 year olds,30540
English providers,2014,Placed June deadline applicants,POLAR4 Q4,18 year olds,36965
English providers,2014,Placed June deadline applicants,POLAR4 Q5,18 year olds,52045
English providers,2014,Placed June deadline applicants,Men,18 year olds,72675
English providers,2014,Placed June deadline applicants,Women,18 year olds,90355
English providers,2015,Placed June deadline applicants,Total,18 year olds,172430
English providers,2015,Placed June deadline applicants,White ethnic group,18 year olds,134750
English providers,2015,Placed June deadline applicants,Black ethnic group,18 year olds,8400
English providers,2015,Placed June deadline applicants,Asian ethnic group,18 year olds,18715
English providers,2015,Placed June deadline applicants,Mixed ethnic group,18 year olds,7355
English providers,2015,Placed June deadline applicants,Other ethnic group,18 year olds,2200
English providers,2015,Placed June deadline applicants,POLAR4 Q1,18 year olds,19055
English providers,2015,Placed June deadline applicants,POLAR4 Q2,18 year olds,26410
English providers,2015,Placed June deadline applicants,POLAR4 Q3,18 year olds,32590
English providers,2015,Placed June deadline applicants,POLAR4 Q4,18 year olds,39170
English providers,2015,Placed June deadline applicants,POLAR4 Q5,18 year olds,55035
English providers,2015,Placed June deadline applicants,Men,18 year olds,75505
English providers,2015,Placed June deadline applicants,Women,18 year olds,96925
English providers,2016,Placed June deadline applicants,Total,18 year olds,174005
English providers,2016,Placed June deadline applicants,White ethnic group,18 year olds,134550
English providers,2016,Placed June deadline applicants,Black ethnic group,18 year olds,8675
English providers,2016,Placed June deadline applicants,Asian ethnic group,18 year olds,19750
English providers,2016,Placed June deadline applicants,Mixed ethnic group,18 year olds,7685
English providers,2016,Placed June deadline applicants,Other ethnic group,18 year olds,2295
English providers,2016,Placed June deadline applicants,POLAR4 Q1,18 year olds,19255
English providers,2016,Placed June deadline applicants,POLAR4 Q2,18 year olds,27165
English providers,2016,Placed June deadline applicants,POLAR4 Q3,18 year olds,32520
English providers,2016,Placed June deadline applicants,POLAR4 Q4,18 year olds,39340
English providers,2016,Placed June deadline applicants,POLAR4 Q5,18 year olds,55535
English providers,2016,Placed June deadline applicants,Men,18 year olds,76295
English providers,2016,Placed June deadline applicants,Women,18 year olds,97705
English providers,2017,Placed June deadline applicants,Total,18 year olds,174840
English providers,2017,Placed June deadline applicants,White ethnic group,18 year olds,133330
English providers,2017,Placed June deadline applicants,Black ethnic group,18 year olds,8950
English providers,2017,Placed June deadline applicants,Asian ethnic group,18 year olds,20845
English providers,2017,Placed June deadline applicants,Mixed ethnic group,18 year olds,8095
